series;score_ref;score_auto
E4100Y1;50;50
E4200Y1;0;0
E4300Y1;20;20
RF0610;0;0
RF0620;371;381
RF0811;0;5
RF0812;0;0
RF0893;6;6
RF0899;5;0
RF1011;5;5
RF1012;5;5
RF1013;50;20
RF1020;0;0
RF1031;5;15
RF1032;0;0
RF1039;0;0
RF1041;6;26
RF1042;11;6
RF1051;0;0
RF1052;15;15
RF1061;0;0
RF1062;0;0
RF1071;5;20
RF1072;6;6
RF1073;6;0
RF1081;101;95
RF1082;5;5
RF1083;525;35
RF1085;0;0
RF1086;0;0
RF1089;0;0
RF1091;20;0
RF1092;0;0
RF1101;5;5
RF1102;0;0
RF1105;5;0
RF1106;6;6
RF1107;0;0
RF1200;636;621
RF1310;0;0
RF1320;0;0
RF1330;0;5
RF1391;15;15
RF1392;21;21
RF1393;0;0
RF1395;0;5
RF1396;50;90
RF1399;0;35
RF1412;5;5
RF1413;0;0
RF1414;366;366
RF1419;0;0
RF1431;21;21
RF1439;0;0
RF1511;50;50
RF1512;15;15
RF1520;5;5
RF1621;0;0
RF1623;225;225
RF1624;50;25
RF1629;35;15
RF1711;6;6
RF1712;0;0
RF1721;0;0
RF1722;6;6
RF1723;450;510
RF1724;5;0
RF1729;0;0
RF1812;5;5
RF1813;15;0
RF1920;0;0
RF2011;5;0
RF2012;11;6
RF2013;0;360
RF2014;6;6
RF2015;5;0
RF2016;0;0
RF2017;366;366
RF2020;0;0
RF2030;5;5
RF2041;0;0
RF2042;15;5
RF2051;6;6
RF2052;5;5
RF2053;50;50
RF2059;371;371
RF2060;5;5
RF2110;0;0
RF2120;6;6
RF2211;5;5
RF2219;0;0
RF2221;0;0
RF2222;15;15
RF2223;5;5
RF2229;5;0
RF2311;371;381
RF2312;0;0
RF2313;0;0
RF2314;0;0
RF2319;0;5
RF2320;20;20
RF2331;0;0
RF2332;155;155
RF2341;90;50
RF2342;0;0
RF2351;0;0
RF2361;0;5
RF2362;0;0
RF2363;0;15
RF2391;0;0
RF2399;30;5
RF2410;15;0
RF2420;0;0
RF2431;15;5
RF2432;0;0
RF2433;0;0
RF2434;0;0
RF2442;5;5
RF2443;0;0
RF2444;0;0
RF2445;0;0
RF2451;0;0
RF2452;15;10
RF2453;55;45
RF2454;0;0
RF2511;0;0
RF2512;50;50
RF2521;45;0
RF2529;5;15
RF2530;15;210
RF2540;5;5
RF2550;5;5
RF2561;0;0
RF2562;0;0
RF2571;0;6
RF2572;0;15
RF2573;5;5
RF2591;25;55
RF2592;5;5
RF2593;5;5
RF2594;5;5
RF2599;5;0
RF2611;0;0
RF2612;0;0
RF2620;50;50
RF2630;0;0
RF2640;50;0
RF2651;0;0
RF2652;21;21
RF2660;161;41
RF2670;11;11
RF2711;0;0
RF2712;21;5
RF2720;6;6
RF2731;6;6
RF2732;0;0
RF2733;0;0
RF2740;0;0
RF2751;15;0
RF2752;0;0
RF2790;0;0
RF2811;0;0
RF2812;0;0
RF2813;0;0
RF2814;0;0
RF2815;5;5
RF2821;366;366
RF2822;0;0
RF2823;416;421
RF2825;0;0
RF2829;6;0
RF2830;0;0
RF2841;0;0
RF2891;371;371
RF2892;0;0
RF2893;0;0
RF2894;0;0
RF2895;26;11
RF2896;366;381
RF2899;0;0
RF2910;5;5
RF2920;0;0
RF2931;0;0
RF2932;0;0
RF3011;0;0
RF3012;60;60
RF3020;0;0
RF3030;6;6
RF3091;0;0
RF3092;50;50
RF3101;0;0
RF3102;20;5
RF3103;6;6
RF3109;0;0
RF3212;10;0
RF3230;5;5
RF3250;0;0
RF3299;0;0
RF3311;5;15
RF3312;5;5
RF3313;0;0
RF3314;6;11
RF3315;11;11
RF3316;0;0
RF3320;0;0
RF3511;0;0
RF3512;150;310
RF3513;15;15
RF3514;15;15
RF3522;20;20
RF3523;0;0
RF3600;5;0
