;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
1990-01-31;385,145468;2834,733506;228,913896;109,944782;90,031341;114,411745;105,919075;80,35826;75,998576;82,279716;88,84858;38,952745;100,112365;35,052452;401,725269;82,320461;85,098746;80,598043;36,817658;100,013069;110,640902;94,630544;235,607059;100,430564;93,942069;82,349831;50,635486;75,046442;92,551425;105,823672;100,429782;83,429056;97,854029;88,90189;78,021856;745,8558;1259,451018;263,043268;579,680546;544,124758;196,279284;108,863173;122,182635;113,044911;289,192012;2326,604164;3450,345198;4679,100516;5254,20121;541,617176;997,10902;505,541232;241,735144;1163,295373;92,96121;228,945132;103,095546;90,316637;105,828685;115,901512;114,661968;93,045348;432,475961;299,809931;125,549185;145,496438;92,005506;123,100167;70,869312;337,950168;129,451557;84,995959;243,955188;63,529758;80,559716;90,76964;114,10949;118,274194;37,667067;67,680356;75,745661;111,311789;36,689642;196,341035;48,161876;32,863499;209,220762;99,216066;73,513522;62,164615;59,941153;64,578585;79,466472;82,565739;123,259174;56,336773;178,497285;170,587314;482,248972;115,552454;322,765318;455,25418;72,199682;164,515101;64,191737;105,006374;146,911141;153,631909;107,652018;173,967266;206,494558;406,539694;221,899884;100,45432;90,37462;188,018045;424,318501;84,278372;144,139352;220,622957;112,591114;177,568453;163,440017;225,125185;134,518571;99,030009;115,873974;176,571814;103,153122;92,891089;93,372889;159,74146;274,745037;190,98904;158,787111;80,804013;185,413758;72,232061;109,849469;39,860028;24,18206;129,417646;260,728029;56,323799;98,10387;3664,747334;36,192187;21,400538;113,89637;126,768756;140,184644;41,147754;88,821953;129,706493;127,007017;99,726497;147,716556;97,913705;62,09723;81,595039;104,033796;105,061289;118,881455;201,227515;97,917947;71,516832;73,328953;64,061186;150,999395;145,061874;168,550517;480,990943;115,554892;120,615104;165,10661;59,285675;186,046391;123,746335;90,034813;28,466147;66,726228;98,282874;16,137238;33,484328;58,669564;377,977784;352,797002;231,584669;79,105509;146,605849;264,059057;138,864941;51,473205;102,734694;57,299421;91,175366;38,904812;76,925319;114,927949;69,360304;71,640575;67,52738;107,104884;61,130387;61,130385;69,380757;69,38075;77,798211;103,155082;144,814575;58,011886
1990-02-28;379,849592;2806,265999;228,745424;109,85327;89,470475;114,078288;106,510944;80,33079;76,321002;82,230064;89,00365;38,417353;100,086061;34,968952;401,230013;83,040949;85,016095;81,897087;37,719888;100,013069;110,1473;95,318249;235,676705;99,659997;94,329271;82,449506;50,479647;77,728523;92,634293;105,937511;99,872197;82,708061;98,291972;89,899841;77,021375;740,377967;1242,187126;259,829566;578,993412;554,750108;197,190417;108,863173;121,682373;113,044911;286,898442;2325,565116;3453,735015;4666,983992;5358,88294;532,088467;997,047539;504,578581;240,071512;1165,923451;92,231703;228,634317;101,810525;90,332046;105,98098;115,896312;114,929979;92,730333;430,778152;291,799597;125,549185;145,49033;92,005506;125,174819;70,28462;334,141476;128,752212;83,395697;243,390298;63,66192;78,955414;89,083031;113,958896;118,255058;37,689302;67,950524;75,744383;110,571596;37,414221;198,368402;48,500111;33,038365;207,736647;99,513469;74,230734;62,657967;59,823597;64,58775;80,200971;82,358554;123,948905;56,075715;179,842071;170,957643;478,342421;114,584456;327,130603;451,267249;72,199682;164,069194;64,532254;105,316524;148,327758;158,200701;108,4044;172,842986;202,898682;404,775214;225,84636;100,846138;90,510933;190,959308;423,781013;83,750276;143,152541;217,801008;111,575316;175,818237;163,248771;226,891152;138,455851;101,555861;113,87161;175,173384;102,141849;93,377458;93,209654;159,268056;274,37464;190,658694;158,547995;81,654775;185,981338;72,239373;110,513905;39,796978;24,163161;129,659593;258,461191;57,094116;98,353209;3578,378398;36,658892;21,34048;113,472232;130,367968;141,728799;41,627844;89,869326;129,630772;126,056669;99,734273;149,943003;95,450512;61,900084;82,171768;104,068163;104,830114;119,201206;200,561557;97,967153;71,697751;73,209264;63,778869;147,04568;146,191771;164,054054;471,178158;115,364621;117,984859;163,054275;58,940788;185,347999;122,81622;87,167156;28,553091;66,20068;98,282874;16,492381;34,462016;58,741724;371,810708;355,938518;233,022249;79,105509;146,959686;265,531054;138,864941;51,70376;102,721843;56,432074;91,015072;38,754301;77,85061;114,885668;69,25681;71,587043;68,520623;107,395858;61,675204;61,675203;69,551145;69,551144;78,178981;103,145496;145,043021;58,011886
1990-03-31;374,042387;2795,826961;229,260566;109,823505;88,82523;113,847555;107,203614;80,399596;76,550809;82,275814;89,248326;37,963849;100,082838;34,808067;400,543138;83,724713;85,0012;83,294638;38,610747;100,013069;109,979515;96,035985;235,149041;99,003904;94,779996;82,683573;50,330098;80,567653;92,620546;106,067241;98,76294;82,037618;98,648625;91,028258;76,393981;736,39089;1221,296654;256,130535;575,949387;565,201349;198,637539;108,863173;121,019245;113,044911;284,308076;2319,581608;3447,702596;4641,102413;5488,610027;521,781554;1004,937613;502,65406;239,06711;1168,305513;91,139003;228,660975;100,223759;90,339661;106,152841;115,758954;115,15141;92,534743;428,378193;284,096577;125,549185;145,266522;92,005506;127,583611;69,466625;329,903323;128,080038;81,969496;243,171704;63,7869;77,619917;87,852916;113,533748;118,182816;37,566639;68,203864;75,799535;109,486427;38,099947;200,829403;48,905634;33,237951;206,272311;99,873842;74,856625;63,145588;59,981348;64,507623;80,763991;82,10588;124,631781;55,742339;181,370432;171,284159;474,533077;113,492315;331,793639;446,323781;72,199682;163,403759;64,989126;105,411125;148,814818;162,8437;109,088129;172,327633;198,575661;401,607128;229,462056;101,440149;90,631823;193,952683;422,974779;83,403109;142,164737;215,566575;110,385623;173,928463;163,448347;228,890517;142,401879;104,000827;111,704366;173,730064;100,713606;93,983007;93,083011;159,25096;274,506492;190,076228;158,257586;82,333252;185,879108;72,16543;111,219559;39,606922;24,059305;129,665407;258,052485;57,786993;98,76947;3460,672363;36,910737;21,33481;113,060171;134,152828;143,158068;42,246231;91,235444;129,383887;125,048926;99,740329;152,280385;92,929444;61,67138;82,610654;104,147668;104,41219;119,071517;200,816564;98,080108;71,856661;73,023771;63,331512;142,036813;146,620625;160,035368;459,082009;114,883612;114,825307;161,468378;58,423689;184,327385;121,26439;83,784359;28,554733;65,542365;98,282874;16,879138;35,310739;58,813627;364,001878;358,652638;234,070947;79,105509;146,901624;266,921932;138,864941;51,905459;102,564315;55,660316;90,872729;38,693836;79,206024;114,921691;69,153881;71,613086;69,721341;107,559165;62,390032;62,390032;69,962788;69,96279;78,593999;103,141768;145,428159;58,011886
1990-04-30;368,243814;2789,245099;230,247061;109,861788;88,163741;113,494945;107,895601;80,52114;76,808374;82,353491;89,499628;37,451275;100,090763;34,553139;399,836915;84,288975;84,937167;84,66681;39,462976;100,013069;109,91038;96,922465;235,060208;98,338455;95,193595;82,927052;50,07168;83,323415;92,559682;106,20948;97,925002;81,332872;98,999933;92,250634;75,665913;731,935501;1197,467755;252,239551;570,72943;575,921573;200,65382;108,863173;120,149591;113,044911;281,119086;2314,780575;3435,99137;4607,689166;5631,940891;511,236569;1010,371151;499,712113;238,926614;1170,473506;89,896922;228,658049;98,218067;90,348908;106,226772;115,562967;115,310155;92,229025;426,333215;276,763127;125,549185;145,035372;92,005506;130,354751;68,690957;325,530811;127,788;80,587633;243,510492;63,945995;76,196575;86,62735;112,818271;118,268016;37,349114;68,385672;75,77449;108,262085;38,731922;202,764661;49,352067;33,450065;204,670242;99,978154;75,522838;63,638473;60,322106;64,4577;81,145248;81,658943;125,143347;55,373575;182,876728;171,250532;471,193137;112,285532;336,675065;441,41375;72,199682;162,904573;65,391974;105,566291;148,293639;167,198977;109,912556;173,126998;194,016192;397,471976;233,173658;101,911593;90,644;197,319491;422,036221;83,170231;141,355413;213,311412;109,091016;171,937177;163,829807;230,825901;145,927442;106,388066;109,273325;172,288641;99,321662;94,722422;92,901763;158,899245;274,640645;189,420961;157,945738;83,029201;185,448241;71,924807;111,85348;39,352386;23,91152;129,404743;257,70437;58,341746;99,26047;3323,675905;36,959121;21,345503;112,859369;138,300411;144,576549;42,732414;92,328229;129,029414;123,913699;99,742564;154,451893;90,530745;61,415183;82,852121;104,110925;103,970333;118,770049;201,238333;98,205452;71,956019;72,836087;62,815387;136,53474;146,728466;155,445317;445,854293;114,36063;111,617434;159,809198;57,872531;183,881076;119,25417;80,260443;28,503525;64,811398;98,282874;17,248064;35,988766;58,874097;355,321971;360,449924;234,530691;79,105509;146,809044;268,157447;138,864941;52,124384;102,331904;54,994604;90,760296;38,670622;80,372388;115,017064;69,126615;71,680026;71,095971;107,609023;63,235586;63,235588;70,579746;70,579752;79,052514;103,078421;145,841735;58,011886
1990-05-31;363,251271;2805,820352;232,212343;109,969343;87,653798;113,182984;108,569904;80,707384;77,060253;82,427532;89,735606;37,156055;100,146821;34,234121;398,964033;84,585151;84,843901;85,812544;40,166423;100,013069;109,767062;97,800931;234,858109;97,673336;95,555627;83,160049;49,779003;85,600288;92,451156;106,382491;97,054525;80,511996;99,30628;93,472255;74,902872;726,968267;1171,280656;248,637945;562,315377;584,607059;203,235478;108,863173;119,071544;113,044911;277,410513;2311,669035;3413,509818;4562,55189;5781,028553;502,429696;1014,209646;495,104567;240,606292;1172,195028;88,579145;228,473852;95,805417;90,357151;106,559822;115,296405;115,367087;91,913573;425,271069;269,062987;125,549185;144,799338;92,005506;133,136666;68,069699;321,165069;127,88055;79,476478;244,733899;64,156255;74,774936;85,341617;111,793669;118,601468;37,005457;68,558371;75,76167;107,01747;39,26995;204,567695;49,825312;33,656968;203,12227;99,751274;76,171889;64,117158;61,070031;64,512529;81,122578;81,04032;125,301773;55,009677;184,372881;170,63293;469,400919;111,088752;341,070598;437,215922;72,199682;162,530416;65,839567;105,641322;145,906063;170,634263;110,8033;175,838987;189,483938;391,978599;236,092353;102,309582;90,478187;200,56255;421,471251;82,865329;140,912301;211,211869;107,847453;170,099549;164,590212;232,570998;148,342035;108,28274;106,850793;170,827317;98,041855;95,585252;92,646548;158,503515;274,938646;188,559657;157,436655;83,762736;184,405565;71,499265;112,556298;39,022126;23,710292;128,617657;256,980897;58,517498;99,673634;3171,991533;36,70059;21,33944;112,914091;142,22655;146,04506;43,246024;93,528678;128,454651;122,846585;99,745956;155,677303;88,804273;61,154298;82,716367;104,120854;103,569403;118,198679;201,709363;98,316927;71,733648;72,670381;62,259517;131,110413;146,863941;151,813968;432,77346;113,830649;108,869348;157,724566;57,339016;184,730065;116,729687;76,904505;28,366671;64,076454;98,282874;17,519496;36,801253;58,964948;346,321711;360,377493;233,960193;79,105509;146,671406;269,057748;138,864941;52,37344;102,012598;54,564195;90,731721;38,822532;81,520669;115,168094;69,174937;71,72264;72,528168;107,442286;64,092978;64,092981;71,455342;71,455351;79,517203;102,937203;146,291583;58,011886
1990-06-30;360,02204;2871,289786;235,929984;110,140357;87,252803;113,185833;109,236971;80,792842;77,238469;82,500669;89,954891;37,469396;100,305471;33,941112;397,597145;84,459008;84,73047;86,447899;40,728068;100,013069;109,540092;98,752689;234,760326;96,970983;95,85096;83,371551;49,36438;86,886458;92,351225;106,607514;96,308604;79,571368;99,493993;94,521647;74,135397;721,680137;1144,26535;245,899907;551,637728;588,996723;206,467367;108,863173;118,127968;113,044911;274,34738;2305,135442;3374,586687;4500,179946;5908,545474;496,401981;1016,708804;488,938104;246,06108;1172,150659;87,308496;228,171437;93,483186;90,358241;107,219441;115,085097;115,403469;91,574638;425,46952;260,994159;125,549185;144,498321;92,005506;135,127127;67,920032;316,508606;128,412308;79,042111;247,527397;64,502106;73,462261;83,959551;110,658699;119,106701;36,618585;68,727622;75,761107;105,91864;39,750721;206,118398;50,31;33,85385;201,788477;99,044034;76,86373;64,597966;62,350321;64,679349;80,449405;80,203175;124,969026;54,614851;185,734786;169,344171;471,342077;110,257644;342,945035;435,307476;72,199682;162,507797;66,260296;105,71883;141,614178;172,434367;111,587263;179,927699;185,132484;385,219417;236,633874;102,730538;90,135978;202,45358;421,837239;82,475726;141,075723;209,30772;106,896752;168,873023;165,668577;234,053874;148,933854;109,209094;105,071972;169,432556;96,893758;96,487224;92,357221;158,069038;275,454948;187,486439;156,590149;84,50988;182,395755;71,104684;113,294729;38,632288;23,461008;127,1285;255,9743;58,189844;100,024672;3007,155913;36,137349;21,308529;113,21587;145,246027;147,532482;43,697785;94,612804;127,606875;121,778014;99,747113;155,134303;88,718345;60,878846;82,038979;104,189764;103,236179;117,226962;202,271459;98,394257;71,140246;72,501967;61,761886;126,808225;146,908961;156,936822;422,199757;113,289714;107,090857;155,044097;56,795323;186,546269;113,928233;74,47995;28,1532;63,37322;98,282874;17,67322;37,569241;59,101367;338,201719;357,542563;232,283063;79,105509;146,415048;269,504217;138,864941;52,644943;101,652646;54,577243;90,718772;39,276993;82,420881;115,329314;69,311453;71,717604;73,804467;107,180409;64,679679;64,679684;72,482602;72,482612;79,986324;102,793591;146,752306;58,011886
1990-07-31;358,996798;2979,249042;241,680819;110,468522;86,929148;113,547885;109,900875;80,706249;77,342108;82,606362;90,19872;38,452543;100,591103;33,753271;396,177498;83,898791;84,588663;86,484475;41,189816;100,013069;109,387573;99,802479;234,981929;96,294532;96,036356;83,596135;48,855701;86,892822;92,443155;106,884182;95,789049;78,574375;99,486212;95,275465;73,443836;716,290562;1120,109359;244,38173;541,453802;586,192986;210,32683;108,863173;117,944156;113,044911;273,744196;2288,087588;3318,42965;4421,75038;5980,513598;493,925423;1019,860336;482,013857;256,532342;1169,400105;86,315508;227,866493;92,008913;90,34929;108,40722;115,204059;115,511522;91,287311;427,115608;252,710167;125,549185;144,124967;92,005506;135,547775;68,313591;310,646689;129,218059;79,530913;251,763;65,142272;72,283985;82,609733;109,865482;119,614742;36,341366;68,880618;75,787683;105,101652;40,336812;207,103426;50,73987;34,047221;201,244915;97,981766;77,508967;65,004708;64,114106;64,857367;78,95037;79,259217;124,370984;54,225288;186,743573;167,61272;477,181825;110,151486;340,571932;437,044526;72,199682;163,013869;66,695268;105,94686;136,746846;172,220744;111,977592;183,445057;181,02569;378,468058;233,516929;103,184096;89,819252;202,004207;423,676428;82,186;141,661318;207,852518;106,387063;168,559951;166,543826;234,513294;147,493653;108,97613;104,655727;168,090224;95,915876;97,40897;92,074133;157,634636;276,085256;186,523445;155,386644;85,221757;180,050142;70,913636;114,06465;38,205756;23,176772;124,922211;255,019068;57,449001;100,396055;2835,562441;35,467483;21,259149;113,679758;146,920234;149,11587;44,075715;95,563315;126,573802;120,757876;99,748277;153,410324;90,60528;60,582909;80,857815;104,347324;103,013918;115,946783;203,110644;98,510848;70,160505;72,345628;61,435916;124,393552;146,826284;178,804143;415,970022;112,74106;106,478134;151,822028;56,269659;187,441892;111,123021;73,68591;27,915516;62,758009;98,282874;17,754529;38,216553;59,287216;333,006259;351,850174;229,801451;79,105509;146,00153;269,623683;138,864941;52,959125;101,274827;55,23527;90,577268;40,050642;83,243566;115,56361;69,629761;71,698751;74,726799;107,021669;64,984631;64,984637;73,655977;73,655986;80,482957;102,681957;147,122277;58,011886
1990-08-31;359,576056;3093,649229;248,47305;110,926402;86,787316;114,182385;110,534272;80,57659;77,364311;82,770317;90,477327;40,072868;100,97766;33,799115;394,544674;83,172579;84,422989;86,099688;41,585223;100,013069;109,392047;100,880221;235,276502;95,653907;96,224948;83,852023;48,299675;86,035708;92,792589;107,213908;95,49853;77,434428;99,235331;95,674814;72,910027;710,511241;1101,051641;243,844277;534,541474;576,860377;214,26569;108,863173;118,772531;113,044911;276,430346;2256,498963;3257,918167;4341,006076;5976,131489;494,251016;1023,826273;475,108483;270,969426;1164,781468;85,826119;227,391165;91,834758;90,334335;110,085754;115,839958;115,752485;91,04238;429,854557;244,736826;125,549185;143,618398;92,005506;134,551345;68,989038;303,57084;129,666548;80,757033;255,722231;66,096434;71,264766;81,504944;109,673704;119,870808;36,320214;68,959414;75,753152;104,607001;41,13362;207,36552;51,025393;34,225137;201,819465;96,830976;78,027893;65,250137;66,104447;64,904904;76,925668;78,427935;123,884378;53,76009;187,474556;166,248005;484,208468;110,681574;334,477056;442,274632;72,199682;163,740382;67,128083;106,401296;133,042978;169,978174;111,84309;184,287702;177,21848;373,349565;227,236162;103,65022;89,773277;199,423041;426,956357;82,180409;142,177116;206,862355;106,338352;168,863238;167,030925;234,044495;144,534581;107,80327;105,467154;166,689463;94,968312;98,275741;91,770438;157,057715;276,004601;185,833977;153,772497;85,809825;178,273987;71,027431;114,779707;37,769228;22,88172;121,933917;254,283173;56,617251;100,792557;2671,426397;35,065092;21,196453;114,096383;147,151538;150,754332;44,325031;96,266425;125,478575;119,804102;99,746999;151,498521;93,896946;60,272053;79,451722;104,57433;102,911313;114,588748;204,172015;98,63339;68,87576;72,176118;61,358959;123,960892;146,348241;216,722045;413,407114;112,077806;106,46089;148,226617;55,719628;186,077136;108,722131;74,529559;27,696226;62,195976;98,282874;17,874976;38,703316;59,469285;331,211212;343,900815;227,104602;79,105509;145,44464;269,488758;138,864941;53,323768;100,960698;56,310623;90,234746;41,023514;83,813197;115,850256;70,210438;71,619786;75,278841;107,193235;65,136921;65,136926;74,823691;74,823695;81,019792;102,605693;147,36097;58,011886
1990-09-30;360,231355;3172,464257;254,632667;111,525811;86,776484;114,72784;111,088396;80,538149;65,518502;83,016276;90,813468;41,86311;101,414589;34,046321;392,577475;82,602053;84,246047;85,699732;41,93043;100,013069;109,643615;101,807487;235,7974;95,145642;96,538298;84,142231;47,757899;85,249384;93,320381;107,645857;95,323857;76,222345;98,844468;95,870678;72,40825;704,386119;1086,220796;243,526482;532,511547;563,701849;217,477368;108,863173;120,243014;113,044911;281,334509;2212,871979;3214,622212;4279,138327;5914,713494;495,434856;1026,159013;469,236243;286,382962;1158,080332;85,686591;226,700078;92,669076;90,316666;112,275519;116,894541;116,100922;90,887094;432,445397;237,434453;125,549185;143,015604;92,005506;133,211722;69,677891;296,322044;129,25356;82,325021;257,459621;67,198824;70,371188;80,623535;109,802793;119,94619;36,587298;68,924325;75,629218;104,199908;42,013492;206,587151;51,190365;34,381512;203,153135;95,773853;78,20337;65,272972;67,824283;64,676377;74,83081;77,797373;123,872823;53,171716;187,854817;166,195586;489,093093;111,326957;326,213514;449,22564;72,199682;164,23167;67,560888;106,928439;131,699172;166,476652;111,245668;182,215166;173,66332;370,585948;219,638184;103,95041;90,151004;195,700846;431,178996;82,456908;142,133839;206,477067;106,473859;169,124087;166,870914;233,075029;141,46285;106,482481;106,732594;165,204612;93,830231;98,982637;91,409157;156,410079;274,374075;185,337545;151,826246;86,21383;177,569172;71,379317;115,345542;37,317471;22,576693;118,209162;253,844038;56,075383;101,197031;2527,057925;35,132361;21,127445;114,277729;146,368182;152,347619;44,355213;96,497057;124,505299;118,970722;99,744673;150,56191;97,361166;59,959155;78,334402;104,963885;102,943676;113,392531;205,491642;98,832484;67,339504;72,003596;61,46362;124,765742;145,174592;259,040841;411,8024;111,271394;106,009669;144,601606;55,209348;182,515586;106,919859;76,231778;27,490988;61,546862;98,282874;18,140244;38,990464;59,630226;331,562667;335,719344;224,821031;79,105509;144,865194;269,117604;138,864941;53,752514;100,759489;57,389037;89,716972;41,908396;84,386061;116,280113;71,054645;71,532723;75,62939;107,823903;65,329673;65,329678;75,92;75,92;81,615303;102,551678;147,389128;58,011886
1990-10-31;359,948605;3188,615189;258,888474;112,286525;86,887361;114,876901;111,573678;80,873575;65,581372;83,367883;91,215624;43,152116;101,922953;34,308072;390,789894;82,285766;84,092102;85,552483;42,134924;100,013069;110,182836;102,577398;236,390721;94,813013;96,950762;84,466356;47,293019;85,027963;93,919917;108,178718;95,045031;74,987061;98,288246;96,033354;72,012794;698,342305;1073,281458;242,489075;534,110328;550,285828;219,594837;108,863173;121,766948;113,044911;286,40163;2162,820643;3208,887913;4254,151395;5825,764158;497,800013;1025,565267;464,630572;300,584424;1148,425278;85,615821;225,923042;93,879635;90,307432;114,829015;118,038019;116,454835;90,899452;434,155487;231,487228;125,549185;142,395426;92,005506;132,658798;70,31157;291,128877;127,989686;83,95828;255,728716;68,213304;69,596758;80,046094;109,684005;120,027164;37,00032;68,763514;75,406601;103,599556;42,616547;204,720186;51,322286;34,522338;204,771211;94,825672;77,848985;65,085685;69,015967;64,165908;73,193302;77,502951;124,380366;52,511601;187,800005;167,811435;490,354936;111,680949;318,591461;455,824423;72,199682;164,569339;68,041596;107,573817;132,900485;162,137435;110,474782;178,575878;170,490242;369,429208;212,863454;103,723983;90,797167;192,025471;434,565331;83,098405;141,533677;206,751562;106,371731;168,649933;166,164133;231,367768;139,208847;105,609043;107,819511;163,747539;92,660014;99,381655;91,058004;155,776916;270,529762;184,905996;149,542612;86,418989;177,764782;71,691728;115,758496;36,834303;22,259342;113,986859;253,662895;56,079144;101,526686;2407,126972;35,565291;21,058854;114,456487;145,231293;153,683972;44,17078;96,246725;123,779533;118,355468;99,740629;151,344086;100,144877;59,663299;77,755472;105,499969;103,143217;112,427836;206,664995;99,062684;65,767471;71,816786;61,763982;125,711033;143,098568;291,247589;407,664269;110,249155;104,306003;141,210973;54,770058;178,256304;105,728033;78,14008;27,307905;60,826484;98,282874;18,639175;39,131751;59,721621;331,411185;329,548344;223,232497;79,105509;144,374984;268,215838;138,864941;54,215677;100,662286;58,312804;89,155269;42,457972;84,97044;116,871379;72,146745;71,438543;75,921306;108,834589;65,793556;65,79356;77,106536;77,106533;82,269875;102,553094;147,122834;58,011886
