;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
1990-01-31;395,232818;3017,533674;243,012242;91,896994;108,63547;114,236013;107,076135;79,814714;67,197078;69,509748;85,356938;34,793121;47,686022;37,724607;482,658653;83,392187;58,908981;82,604002;36,442744;100,013069;88,473822;103,436951;181,974031;79,635766;92,295012;80,774145;44,079892;70,541409;97,061687;129,248918;128,871825;48,525622;74,826982;90,681184;72,937317;814,608913;1247,451741;290,279012;584,689957;824,000718;220,847549;108,863173;104,855188;113,044911;314,136013;2306,192218;3859,557279;4356,076712;6483,984801;584,200595;1185,387369;509,54204;245,022285;1295,534571;100,558015;230,515501;97,676949;90,118874;114,325794;120,893938;116,759591;101,151474;476,334318;302,740461;125,549185;136,173424;92,005506;148,015443;68,667763;343,308936;111,156341;90,512716;267,801538;67,136873;86,250247;134,64586;99,939534;105,203691;38,234033;42,965598;72,859116;120,361711;37,977009;204,51313;55,943524;33,02899;219,05057;100,267607;76,983782;63,123753;64,754733;64,323525;78,838124;82,131746;122,200244;56,759986;184,510592;179,256891;514,398212;112,976153;342,548827;503,327788;72,199682;152,796126;68,666841;92,214395;136,972729;41,685033;111,249782;190,797755;237,306806;453,377168;223,217869;109,023219;96,266304;198,129695;446,597026;77,319069;161,010862;240,397009;115,23641;191,96852;146,870165;217,008947;123,158265;85,465248;105,884954;167,461938;108,73392;81,014365;90,586894;142,148979;275,527835;199,966258;148,217233;69,582719;177,47188;79,220384;113,999896;38,390716;23,915175;98,873909;130,590162;50,44828;48,233702;3198,925987;12,04483;18,359211;98,668069;171,589927;171,756742;14,540855;64,93856;127,60647;96,92144;99,598876;145,450201;80,61971;60,62359;83,401564;106,938806;73,116902;117,362484;160,508474;91,809118;49,94825;53,949461;51,82223;149,686612;116,984963;110,884637;463,219904;80,546828;127,4942;110,232798;59,456326;168,955584;126,627806;87,738735;26,398202;66,173967;98,282874;19,24435;57,636841;72,973779;237,146063;225,525318;222,91598;79,105509;137,245682;244,044606;138,864941;58,068838;99,251194;53,39922;76,35964;29,006634;50,159941;94,927477;44,502527;62,762164;84,456341;97,634578;85,633103;85,633099;116,683947;116,683963;76,308634;103,111619;134,307883;58,011886
1990-02-28;346,862399;2828,569346;234,885099;98,601029;82,816204;112,128058;95,432213;73,14897;74,491042;74,061753;92,582273;38,216046;41,827105;37,590674;374,237926;79,051473;65,972111;79,326937;32,884195;100,013069;117,29964;106,086;277,847748;107,281387;86,98753;79,644651;43,749348;75,705754;90,787718;112,091931;98,780947;46,860196;75,621189;82,389276;65,211192;793,220005;1167,457505;277,934581;569,120018;436,355558;297,188295;108,863173;104,980762;113,044911;278,447473;2295,770071;3789,242188;7783,315486;7998,270677;528,723625;1067,079149;474,933336;268,338087;1320,005873;94,705366;216,484826;106,29117;91,094278;107,358766;113,514018;114,599096;93,661586;461,140654;305,793634;125,549185;128,754471;92,005506;117,404511;65,218956;327,949042;101,537126;82,479432;266,295833;64,58888;83,595387;120,179146;120,497603;110,590819;36,111824;44,053356;75,341135;111,598873;34,845353;213,434674;44,415122;29,100901;218,004205;105,919355;73,64269;65,883085;60,83365;67,352437;72,283489;86,536548;121,068292;53,04174;194,088213;178,947699;472,034628;112,39832;313,440903;486,09701;72,199682;156,192766;68,99476;96,09151;155,358279;86,888604;108,841856;174,384671;208,620914;436,811025;218,685683;108,630737;92,35716;194,615588;461,366917;105,633886;151,406218;226,53704;117,306214;184,166639;179,195218;217,673479;116,152274;106,149949;90,120486;175,48001;103,465065;76,673313;88,397574;151,303117;275,244261;201,134696;149,66011;71,419921;194,45147;76,504699;107,687296;40,031266;21,079087;78,688543;246,064063;51,667165;76,182094;3464,211378;21,047881;16,721172;80,481733;170,846531;111,31511;29,016446;91,839472;122,29375;95,295683;99,729512;166,391468;96,818701;63,338553;81,532036;102,515085;103,021091;119,683266;201,828409;78,934016;35,586308;64,341072;59,606937;165,684389;138,586477;77,176587;496,188393;103,893431;125,225873;130,125147;69,295002;183,000733;119,863677;93,602767;25,925465;70,370534;98,282874;12,474841;36,571374;67,874147;495,440979;366,575513;236,417817;79,105509;138,199335;269,256988;138,864941;52,273362;113,187053;48,924112;81,495587;34,867306;61,759143;94,226559;111,802143;68,099672;71,113532;90,917742;67,935738;67,935745;85,363518;85,363531;70,577114;108,865221;138,242678;58,011886
1990-03-31;395,573101;3130,635347;262,879769;117,609265;92,174856;125,07046;110,351113;84,228905;78,044781;90,887569;103,328761;46,208731;40,814766;40,91221;402,564759;90,81277;99,676486;89,343346;39,181499;100,013069;117,783335;109,29734;285,636312;104,881427;90,715767;88,022747;51,655732;94,436235;97,917976;121,585315;80,534451;60,275701;96,768667;91,374217;77,708806;875,94131;1304,16271;301,300806;659,559056;562,606206;180,607663;108,863173;123,732893;113,044911;289,243304;2238,153611;3562,060908;6844,783971;6714,168182;594,121778;868,231607;589,552084;270,027084;1447,67018;96,447293;250,687646;107,272565;90,316375;109,665078;127,340286;125,251596;99,264754;464,121366;333,501024;125,549185;147,888738;92,005506;119,119526;67,013931;359,30333;119,170713;82,578981;307,211815;68,110969;88,064555;120,198294;129,144637;129,880521;41,288135;69,4064;84,505676;126,306417;41,525013;214,207094;63,079364;35,910529;235,543356;115,590233;87,935545;73,304184;68,964986;71,471805;80,497499;86,061643;132,779686;61,184814;207,1777;191,705087;525,957048;127,097225;352,865821;514,554197;72,199682;184,555749;85,335902;120,650674;156,817331;195,472933;121,786229;205,425215;223,397655;443,864802;246,738382;116,264796;101,285618;209,674441;492,812195;97,504981;162,173956;247,02519;122,558447;196,736857;172,872279;229,850962;127,453949;102,002835;88,106766;202,250426;107,83136;102,749643;106,961143;173,779072;304,590836;206,961267;173,781154;81,32513;210,802864;76,789455;124,382917;39,18646;24,263582;145,404595;254,701994;60,121194;79,753442;4184,823737;47,416751;22,717005;103,382625;184,682353;191,879104;25,14939;81,545497;130,304609;119,431676;99,798679;166,404664;100,588687;62,151891;97,464329;115,668793;109,275625;134,917554;167,209626;101,249818;81,11237;77,9135;66,567453;180,376095;142,532731;140,090455;495,737088;116,82614;143,874785;137,63576;71,174673;262,964185;136,72295;98,740096;29,297571;73,548768;98,282874;17,746292;38,742323;70,348109;305,754903;497,135389;253,268169;79,105509;151,809238;293,683404;138,864941;58,382436;102,614571;54,165708;95,411891;38,225288;81,392535;104,246682;89,183496;70,120244;74,18992;101,647568;68,652425;68,652431;85,523742;85,523736;76,679777;100,443669;160,045938;58,011886
1990-04-30;366,437449;3012,432439;230,456495;115,436918;85,508302;112,551566;108,841682;80,045525;84,285299;81,507271;102,576811;41,965946;34,057057;33,664231;347,825469;90,775791;128,09763;81,317289;36,988399;100,013069;115,181592;94,795948;254,613273;92,27457;104,54272;99,918911;58,507125;93,245158;93,137694;108,201395;93,83174;60,421736;114,997673;90,50865;84,198338;774,363597;1151,010892;289,909389;629,865432;688,707308;189,131185;108,863173;134,265726;113,044911;299,861802;2168,695578;2919,074996;4186,822519;5492,867116;461,781423;1345,276425;515,386467;278,863338;1220,116074;94,351245;240,919828;89,276656;90,372883;108,201301;116,893909;115,284753;98,696249;445,029036;320,174604;125,549185;134,800868;92,005506;100,50976;69,938972;341,561915;137,828305;81,392565;235,16519;66,003225;82,066892;67,205141;125,68106;120,414929;36,350148;48,274642;84,417946;110,29198;37,563807;214,077127;57,546509;34,782214;207,360744;107,395804;80,613602;67,613176;70,172073;68,205887;76,331193;90,395442;130,872662;46,088106;183,353386;180,456406;522,016745;119,804331;329,91153;457,039695;72,199682;183,977278;73,782395;108,510668;153,483178;206,630364;117,039392;176,986565;200,279964;421,13947;237,831737;109,963055;96,629479;199,770026;422,689751;91,47253;150,226477;227,696908;117,968855;181,501536;172,785169;232,768844;135,697073;111,391688;83,9361;173,224964;110,729796;85,181321;95,281519;162,202885;292,449958;192,421293;147,72774;73,797774;212,212482;76,786135;114,126259;38,098158;20,204082;73,962786;227,886638;59,889319;81,818097;3595,987785;24,001536;28,595437;103,493299;136,984209;104,627428;17,647484;62,052959;134,820431;107,601473;99,855766;163,416181;73,144397;63,451125;89,854661;111,128743;103,543153;124,497077;143,74527;97,441569;67,924572;81,233101;59,496966;160,153691;132,401008;202,063202;444,584564;105,246263;89,586075;152,551732;61,342673;155,587643;125,191879;93,930268;31,31566;74,260472;98,282874;23,665318;32,068142;56,730898;419,199929;573,483398;225,540185;79,105509;145,661229;272,099639;138,864941;53,197169;105,08165;57,155242;89,013153;43,681668;55,115303;184,35356;71,693173;64,66645;75,073004;112,823192;65,121156;65,121162;79,008647;79,008661;76,749212;113,273305;150,706343;58,011886
1990-05-31;368,586089;2970,165061;215,502716;116,47056;70,698257;113,626864;106,250899;82,85779;92,765396;78,33513;97,786372;48,664662;42,143493;33,659902;334,008198;92,140481;131,641857;79,576774;37,743274;100,013069;112,150106;87,642796;239,470616;81,036387;111,967361;82,699383;56,311024;92,976163;90,053574;102,34998;85,295389;72,379449;125,51838;91,656446;104,283881;685,726702;1241,680333;257,449953;609,394845;665,509302;214,337452;108,863173;110,964074;113,044911;287,361256;1761,81628;2748,726431;2342,254454;6529,975655;413,330523;1102,138561;484,830899;224,05188;1105,767203;89,72929;227,54038;88,926877;90,118874;109,490463;120,810705;114,121472;92,968058;409,104083;260,21248;125,549185;140,591839;92,005506;138,597238;69,409629;315,8727;139,379373;76,152168;195,611973;64,594575;74,44554;58,796429;126,821454;115,03652;35,592861;55,338065;77,873539;109,027225;41,885421;225,678786;45,30492;32,011094;203,201421;100,062905;79,777138;62,910803;60,626366;64,933494;83,413769;83,602575;134,766794;61,264623;183,644135;174,024703;495,602129;117,400124;339,147986;435,050943;72,199682;171,815848;67,816928;107,24961;139,408168;225,650805;118,017071;166,107793;190,648567;395,68112;246,533412;105,710657;91,638838;202,249422;431,310454;83,630428;142,622062;214,055685;112,349144;185,167784;160,469257;244,562025;117,560982;121,350573;82,806675;141,452395;93,712457;87,129239;89,818018;168,433255;280,171422;182,602648;162,030185;80,086;183,151192;73,530822;105,620036;40,125311;22,700177;119,408776;239,191671;62,133294;81,861448;3582,974205;29,613609;31,964863;107,065525;128,402637;104,667678;26,202121;83,881052;137,430359;114,259956;99,598876;160,850637;72,254088;59,548352;81,565796;96,877169;103,356146;120,398865;139,918699;91,510693;84,847911;73,428744;55,224656;117,656045;131,465195;293,138179;432,129142;109,769729;89,786541;145,718581;70,891088;155,498781;120,805661;76,211895;31,601156;63,475322;98,282874;17,982683;53,170725;48,707906;366,055272;514,688923;217,379926;79,105509;136,840182;249,869419;138,864941;52,709858;102,052699;54,436403;88,569038;42,059447;75,383133;109,34813;51,206398;66,491009;65,24057;114,586969;50,954023;50,954029;42,801907;42,801921;80,263562;102,796303;149,673298;58,011886
1990-06-30;350,562887;1862,89823;248,245266;127,137998;85,368217;121,0903;107,201188;83,490582;83,359149;95,939426;103,042118;44,782597;120,30746;23,10233;414,941438;87,31031;144,283786;86,808099;37,575001;100,013069;118,671242;104,87618;259,673549;86,727646;85,400194;93,105951;59,763906;95,268705;86,905941;105,005598;89,340779;72,65292;162,092667;97,177261;91,830909;741,597807;1162,589658;276,425246;605,865033;611,446891;182,764884;108,863173;146,164982;113,044911;287,611031;3087,653676;3485,958789;3550,301838;6834,817139;560,107514;900,550704;574,544229;245,725558;1300,138658;95,711484;275,585621;101,013119;90,372883;112,681125;120,161056;128,26968;95,38803;437,77194;262,237682;125,549185;142,805049;92,005506;136,602487;66,583882;345,985889;137,614206;79,542457;261,646772;64,680494;69,219571;60,482903;131,275909;152,201299;38,592784;75,53864;89,061408;124,018295;52,913114;217,334317;51,003964;34,900226;213,970615;110,781881;82,177368;69,740765;66,751957;71,490652;77,288035;81,43259;126,601673;55,877129;229,649498;176,850597;502,215578;116,576427;359,323459;456,423612;72,199682;187,595234;73,175965;119,367106;173,789404;223,284089;122,478435;191,755851;209,481542;445,983658;270,292929;113,830678;99,784038;214,361508;465,287655;93,907937;157,717069;223,985446;123,012061;190,842423;182,320592;260,897163;147,865821;150,849736;87,964421;180,295561;108,760273;158,670143;104,615853;163,283473;307,45993;208,908831;202,697411;100,589054;215,787739;81,524974;116,198399;38,213827;26,694503;189,571051;246,895821;26,740471;93,893701;2968,784002;82,536316;29,074348;155,890383;139,840749;126,724104;49,31897;72,413601;153,214556;148,922719;99,855766;172,323795;78,206108;64,65156;87,957898;128,651188;118,489647;129,615571;229,524781;111,287676;108,767981;91,603239;66,211681;128,005349;185,287883;471,979393;462,449208;133,989059;112,772807;164,843382;55,067697;177,538589;131,158113;88,922191;33,748524;73,514055;98,282874;20,737246;26,242697;57,189473;408,194681;434,4815;232,263014;79,105509;146,951769;275,93148;138,864941;59,592013;108,553054;56,427609;105,640244;45,267411;125,718841;126,088119;66,820372;93,549603;65,128878;116,93855;51,6698;51,669803;39,117156;39,117164;84,691575;111,385485;154,552589;58,011886
1990-07-31;307,341033;333,40216;248,21134;126,901455;86,126927;145,573671;111,216163;76,9728;85,481199;85,975202;57,947182;43,20326;163,262732;17,366486;416,909729;84,080146;120,456087;80,897442;41,399731;100,013069;100,483549;66,218597;191,461736;76,543248;91,602807;73,443897;51,826426;92,485847;78,710407;78,500898;73,816699;56,784057;120,968961;97,839095;87,901946;668,164331;1033,386544;208,93242;434,498472;450,525987;179,152674;108,863173;106,664514;113,044911;276,516467;3052,866274;4150,13667;4945,920034;9103,382846;469,768152;1125,379775;426,757714;231,552549;1062,50768;103,368678;301,669872;99,883379;90,316375;107,13554;134,116458;123,403819;109,30879;480,810033;289,412282;125,549185;125,853047;92,005506;143,132832;67,545676;323,758934;145,804883;80,798622;217,534105;70,417227;52,46466;65,841509;123,257841;113,940552;41,800274;44,239774;92,217777;111,736619;39,789587;181,290634;49,768334;32,722461;184,893383;113,089422;79,944658;69,095361;71,046259;71,739704;81,44558;70,766801;111,528972;57,393712;206,530798;193,046927;567,317462;111,553778;416,597858;334,256112;72,199682;186,337274;69,244853;119,758581;164,745658;263,851134;117,237193;54,374779;227,046365;507,605256;284,846341;115,791795;91,121907;217,035513;440,801573;64,424874;129,59356;189,762369;127,604507;199,230392;160,178393;293,341635;159,973959;117,426121;96,875024;134,393274;99,812205;65,849223;94,267811;157,101714;282,372917;178,923315;152,507543;102,812524;193,060231;94,002215;127,60796;36,603085;20,029673;71,045411;209,178309;64,951715;69,088809;1416,155613;21,983284;20,640426;118,394832;138,852689;126,178021;63,495302;117,023808;133,900345;141,808254;99,798679;117,479535;109,257001;58,057653;91,338175;84,104285;107,537703;116,277904;159,851728;97,094707;89,897949;72,042204;63,390412;106,837486;160,434158;52,872783;428,516342;120,798425;121,478513;150,353096;68,45744;190,47627;126,244945;76,498339;25,495051;59,541921;98,282874;11,973008;16,462325;58,985009;493,59872;364,372848;222,91143;79,105509;146,220958;264,05756;138,864941;49,63125;107,139808;51,004832;88,636688;45,967977;68,070506;131,018025;61,866603;75,302864;66,305076;118,388649;52,473146;52,473145;35,325588;35,325603;90,920062;109,523902;152,30505;58,011886
1990-08-31;360,964748;1982,850133;216,379549;89,007091;50,905539;51,669387;110,415067;76,163755;85,930141;68,775797;90,526709;41,411174;212,8687;33,480712;349,743978;73,588927;66,466407;80,137977;39,697928;100,013069;88,253755;72,154812;69,52184;85,2959;86,951865;61,379582;36,934856;51,946123;87,610772;93,375239;95,604837;48,468575;103,770385;97,209072;90,758383;287,253702;545,641621;130,586602;175,244096;124,840142;112,629889;108,863173;73,145004;113,044911;94,070584;1399,581769;2214,247769;2584,206048;3083,605414;230,75703;545,304673;211,37113;151,717684;688,115996;40,408533;72,567671;67,739318;90,118874;101,167541;74,392089;69,389087;56,681616;292,613759;152,605725;125,549185;125,739927;92,005506;139,78231;61,764526;204,647316;121,872077;78,531862;237,696829;51,873625;65,425701;29,47076;70,671475;95,99278;30,277207;115,120922;48,771272;86,79745;33,842874;129,978664;31,139129;28,145349;140,936337;29,111228;57,326185;42,233708;32,058004;30,369902;71,305196;63,941898;99,204409;39,372885;112,092679;90,891744;126,018258;47,278847;110,860921;405,880194;72,199682;100,99649;32,421819;82,35845;45,337793;81,291996;71,793564;171,3552;14,759933;15,512156;158,837986;33,884451;47,734584;127,173221;219,600925;20,052547;47,613271;77,510898;16,171658;27,387283;144,044647;147,348095;75,36818;55,071178;69,728881;131,418333;39,396629;92,507955;51,756046;82,653058;158,895061;114,015775;133,591464;90,195716;128,005119;12,826265;57,526216;29,570156;17,218359;62,356815;214,795812;32,673481;56,603839;1996,991108;26,319323;12,029001;57,962175;104,990071;115,866482;35,382159;86,91081;97,473864;122,465549;99,598876;65,034983;90,332538;51,931938;47,287268;72,489068;84,629195;81,461112;201,604109;66,794849;18,936504;52,54603;38,849135;67,617447;102,373594;25,593154;261,924153;100,127258;56,093671;146,274121;40,10429;181,65436;26,351054;18,484272;20,599128;31,914923;98,282874;2,775264;22,622521;58,52094;178,934855;244,315441;159,571267;79,105509;144,688906;146,912694;138,864941;35,608391;49,623882;43,484529;64,113308;31,134162;87,037817;109,223323;50,168635;60,97329;62,081721;106,972385;47,943923;47,943929;28,516829;28,516812;86,13436;60,183295;113,782149;58,011886
1990-09-30;359,168954;3132,384342;263,843242;120,791792;100,209678;92,314528;111,932415;82,607919;58,83266;92,615585;100,13503;34,412842;235,783896;37,658155;395,143101;73,367442;62,200341;85,098814;44,839964;100,013069;135,320851;114,688648;223,712608;118,583909;99,736515;79,176034;55,714549;95,896016;92,400884;112,4688;98,954427;79,09001;88,796017;94,983014;56,719664;799,102613;1200,934114;238,863431;596,573013;751,935883;222,177458;108,863173;134,111742;113,044911;305,673834;1878,679764;4539,772639;4426,360919;4257,159394;586,002773;914,428743;507,951771;309,879518;1243,124167;103,115242;229,651055;103,183547;90,57094;99,816119;115,710751;130,672958;90,514234;435,759221;244,309521;125,549185;157,527437;92,005506;126,335073;76,597187;318,956912;139,275672;76,161856;274,781329;71,047782;77,627953;58,054843;115,802268;137,896169;38,182059;65,39119;85,786822;107,538062;40,044554;215,796457;42,164944;35,665032;216,589109;105,661203;87,895802;69,745429;73,909916;74,246685;78,178565;72,977401;121,415123;56,446053;187,717362;157,921027;518,110836;116,188431;440,208341;478,352174;72,199682;176,617988;67,596587;112,17417;137,65459;250,090376;118,921245;177,058398;200,52167;393,51903;237,191228;114,908494;92,481652;208,26971;477,69608;86,985475;154,088929;235,656957;120,900106;188,139056;174,277111;235,027291;167,478897;100,104885;88,005871;166,940678;107,966306;88,054869;100,613967;172,330221;293,007097;191,656482;167,856506;111,357077;159,861373;71,977011;127,247418;43,464689;29,221873;139,571619;224,638627;67,821194;122,662769;1919,724404;75,210968;11,349234;149,901489;146,461357;167,827199;31,133428;84,118126;115,636521;123,771865;100,055569;172,937367;124,740345;61,935796;79,147301;99,226354;114,105002;115,6933;253,89152;114,303769;98,948826;78,07201;66,730992;128,885958;155,817018;46,355718;369,322899;102,478599;121,480342;137,740928;35,216642;187,627022;117,946681;84,749726;31,36847;68,159555;98,282874;15,062307;42,5577;59,386491;332,889712;339,713618;238,458644;79,105509;188,617812;306,661425;138,864941;53,501989;108,453313;48,574673;97,476452;46,35965;119,807352;113,440384;60,930279;71,670419;68,006245;115,143545;51,750802;51,750806;45,018099;45,018115;83,101847;107,878737;158,043959;58,011886
1990-10-31;375,136283;3118,683881;277,630119;127,499406;99,192755;130,680184;117,261466;83,053343;60,076159;81,954192;90,094267;34,940355;133,540533;41,64594;471,162712;81,624082;49,234525;91,728659;50,007842;100,013069;119,168854;117,809382;298,086093;118,463893;111,268223;95,447315;47,969301;86,519853;96,639898;114,385095;101,779644;94,26968;85,022471;97,030542;52,181163;856,072905;1369,221475;283,745008;677,071119;708,760976;309,590609;108,863173;135,544715;113,044911;415,81217;2318,674606;3408,740287;5527,082054;4495,423214;569,002332;1317,639584;534,308439;346,389845;1203,527846;99,29297;288,350577;104,598629;90,118874;109,677757;125,111117;129,500808;99,391347;457,907602;223,053435;125,549185;165,818374;92,005506;130,073034;78,025974;314,778706;142,75843;93,883631;274,69827;69,962385;68,674608;81,813728;112,898283;132,441017;41,90065;88,2189;77,476201;105,162647;44,525668;229,251583;63,72067;38,614267;224,816668;108,19391;91,255773;68,099452;75,194982;70,971244;82,305029;74,459823;129,811951;57,251556;208,297671;179,864055;561,316466;131,651613;351,455261;516,556641;72,199682;185,583819;77,174186;119,182937;145,192538;164,090418;118,19137;183,635273;199,093726;444,249192;218,766819;119,199748;97,950897;197,829757;489,211857;112,836863;168,774808;245,307446;121,693576;193,979558;182,584597;281,025879;208,126066;87,200531;136,966437;207,507284;102,881075;95,442548;103,262254;178,140309;318,856128;206,804876;165,419244;94,801597;179,94588;87,781468;134,795082;37,558679;21,722716;79,3442;298,05339;96,135842;127,562943;2830,133;25,287203;23,84463;143,229019;110,599717;213,345448;32,791676;98,202917;129,423465;130,503148;99,598876;189,862771;98,24595;64,231138;86,08584;117,427109;113,582032;118,841731;429,383142;103,805909;96,333993;71,539927;65,718062;144,101724;164,746349;257,969964;494,815477;111,845784;111,311964;149,930421;38,966062;186,427568;121,377452;93,803714;29,915476;69,121065;98,282874;20,116831;34,367557;56,350056;330,346879;425,603128;257,205621;79,105509;167,433483;318,151636;138,864941;56,341411;134,462427;70,006983;95,160675;44,388185;65,513063;116,537982;81,63767;70,687642;74,354259;117,002427;60,984291;60,984292;65,444496;65,444482;81,595744;120,38765;166,629787;58,011886
