;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
1990-01-31;1,016081;0,987945;-1,630806;2,682772;6,670964;-2,104295;0,993315;1,000208;-4,631533;0,972771;-1,36573;-3,149936;0,99919;0,964985;1,147376;-1,457633;0,968135;-1,508309;0,975302;0;0,977789;0,599263;-83,545721;0,994744;-1,207379;0,982769;-3,792804;-3,048776;-0,958043;-0,218626;18,655709;-1,665594;0,988879;-0,797903;0,960499;0,971027;11,071232;0,825552;0,985073;1,000759;1,015201;0;-0,253979;0;1,003059;1,001018;0,999009;0,996536;1,000705;1,013781;0,959819;-0,362876;1,004959;0,99101;-1,497552;-1,246148;0,966025;1,000101;4,533962;-0,761838;0,98916;-1,893951;0,999448;1,009551;0;-1,123975;1;13,247955;1,88003;1,034408;5,781135;2,468253;2,967341;-0,689095;-0,422799;0,987582;-3,647245;0,999996;0,981295;0,978204;0,989457;0,985185;0,956194;-10,250814;0,996394;0,988814;-0,596682;-3,086936;0,997886;-0,87986;0,419943;-0,688079;-0,659334;-1,126972;-6,181568;-0,98744;-2,659015;-1,59727;12,272323;0,334055;1,005709;1,009647;1;4,227665;-2,267441;1,4995;0,977484;-5,96152;0,217965;1,058156;4,421346;0,989311;-0,597637;-2,309344;-0,925452;0,985704;0,985452;0,963498;2,851248;5,586948;-6,524214;0,908807;-7,060781;-4,19747;0,96815;-0,509136;0,99594;-1,977271;2,245073;0,99755;0,254944;-4,551481;2,002079;1,003868;0,99121;1,772002;-3,415157;-0,969343;1,139971;0,990731;0,989138;0,874925;0,972977;0,894629;0,966595;0,986755;0,933809;0,987096;3,175529;1,015756;0,994812;1,025328;1,035927;1,002864;0,38725;0,00439;0,991292;1,016004;0,995546;0,989449;0,998869;0,992764;0,991852;1,029424;0,994794;0,87101;1,003673;0,993282;-11,845797;-4,740997;0,913669;0,99006;0,996475;0,997548;0,94676;0,996061;0,999467;-1,246194;1,276943;0,987119;-0,403718;1;0,994026;-5,138307;1,036535;-4,454976;-23,730451;-5,251119;0;-2,610626;-4,703875;-0;0,996474;-0,740875;1,051994;1,000245;0,981141;0,932956;1,008078;0,641988;0,98973;1,010401;0,99089;1,02635;1,02635;1,023401;1,023401;0,996538;0,323863;0,296694;1
1990-02-28;0,999961;1,00956;3,144627;1,719923;-4,981494;1,869598;0,996261;1,006808;-0,75094;0,999131;0,129647;3,771587;1,00234;1,028775;0,962732;-0,665149;0,987624;-0,950347;0,951435;0;1,005687;-0,446704;-1,658076;1,019645;0,314322;1,001877;-0,095036;-1,498585;0,476501;0,835778;4,555178;-0,164874;0,986645;-0,240594;1,064093;1,002229;-5,426034;1,808462;1,005226;0,993803;1,300345;0;-0,174295;0;0,992256;1,003158;0,994928;1,003514;0,986836;0,991956;0,967495;-5,79098;1,023171;1,01153;2,019784;-7,270393;1,132455;1,000071;4,325818;0,229405;1,007751;0,290469;1,012612;0,984178;0;-2,904241;1;-1,184608;-1,011574;0,978985;-0,110464;-0,690665;-0,154418;1,325586;3,728603;1,010449;2,114748;1,002855;1,001777;1,002688;1,007448;1,020967;0,988447;2,935988;0,93412;0,892534;0,162177;1,154113;0,987125;-0,10513;-0,553543;1,086765;-1,477179;0,429485;-1,560925;-0,978697;2,24198;-1,681995;-14,672523;-0,171231;0,964874;0,999901;1;-1,692196;0,873207;-2,229202;0,979626;-2,781067;0,11828;0,975608;-1,993513;1,012501;-3,406467;0,523633;-0,282532;1,025673;1,003508;0,975036;0,019129;6,186379;2,452578;0,461708;23,43971;3,98488;0,920816;-4,139199;0,743987;1,897899;0,454331;0,998863;-0,807542;1,334091;-4,620235;0,999728;0,934566;-2,609432;0,749955;-0,569874;0,120558;1,006871;1,004344;0,885123;1,326482;1,046665;1,175735;1,021912;1,026833;0,98414;-0,911794;0,964254;0,99427;0,952025;0,961088;0,992174;1,136724;-0,0545;1,173566;1,030197;1,002259;0,974396;0,998625;1,012245;0,997174;1,005463;0,996188;0,903386;1,012684;1,013522;13,826273;1,852182;1,119658;1,025043;1,007085;1,028448;0,948208;1,012648;1,015065;-0,525131;3,155601;1,002694;0,910013;1;0,986665;1,753873;1,004479;8,889848;-13,078315;0,460785;0;-2,751118;1,96327;0;1,017998;0,717439;0,989791;1,003926;1,025956;0,942254;1,012433;1,005093;1,12327;0,975477;1,000483;0,940038;0,940038;0,813565;0,813565;1,001652;-0,967877;-1,495583;1
1990-03-31;1,03451;1,010218;5,428374;-1,16088;6,647946;2,288421;0,986525;0,997893;-0,40213;1,007425;0,708128;2,435797;0,995391;1,059457;0,986702;0,785908;1,012052;2,048978;1,021636;0;1,00129;1,013545;-5,478899;1,002266;1,119008;1,004607;-1,147107;0,378841;0,451966;1,284661;1,154614;-1,934062;0,96323;0,519962;0,995453;1,026953;2,72592;2,998073;0,99476;0,958083;0,978963;0;-1,736539;0;0,990133;0,999211;0,981299;0,989852;0,950725;0,999224;1,002117;4,554825;1,021656;1,006266;1,077472;3,100651;1,015422;0,999042;1,720167;1,245713;1,006512;-0,522986;1,004701;1,011612;-0;2,251783;1;-2,798472;-1,309123;0,965091;-3,152771;0,395369;17,371052;-1,187653;4,970975;1,007372;1,162318;1,015165;1,02488;1,012116;1,010241;1,010052;1,041724;-8,121074;1,048041;1,067957;4,376411;1,443241;1,074621;0,64439;0,620024;0,258505;0,472845;-1,568019;-0,501953;1,542235;1,581966;1,961458;11,154389;1,226084;1,016427;1,013612;1;-3,14632;9,882035;2,116378;0,979729;-0,933945;-1,437209;1,033011;3,38414;1,012662;-0,03439;1,100088;1,32093;0,983292;1,034707;1,046965;-0,712891;5,799772;-0,661949;1,213628;-1,4512;-2,589924;1,011688;0,101206;0,71097;5,961747;-2,837198;1,009056;0,977878;3,088668;1,164695;0,99812;0,99197;0,546955;2,583684;1,592734;-0,222488;0,993137;0,99488;0,872229;0,991767;0,939581;0,99698;1,016441;0,999539;0,983145;-2,590125;0,968311;1,100824;0,949562;0,942713;0,999045;-0,542129;-0,074991;0,961773;1,013295;0,993102;1,026765;1,021798;0,994882;0,994898;0,986439;0,98403;0,956606;0,992978;0,988362;6,182496;-1,574126;1,053519;1,048221;1,008355;1,034033;0,948367;1,009582;1,035091;3,101585;8,23686;0,985445;-0,37667;1;0,957205;3,766955;0,975742;7,713217;15,106654;1,541416;0;-0,709739;4,066136;0;1,009851;-0,146216;0,827415;1,000071;1,00118;0,943004;0,997417;0,995859;0,969755;0,993097;0,994451;0,975912;0,975912;0,972858;0,972858;0,997754;0,328585;1,520084;1
1990-04-30;1,00052;1,022348;-4,062817;-2,16225;-4,338557;-2,760162;1,004977;0,980215;2,426813;1,007052;0,322215;-3,101643;1,008725;0,970752;0,826793;0,366631;1,006647;-0,44095;1,02731;0;1,008546;-1,238394;1,154007;0,99138;-0,874889;1,007391;3,080905;0,284506;-0,08151;0,169827;-5,753411;-1,076079;1,000077;-0,283057;0,98527;1,005216;-58,405233;-4,195789;0,995839;1,005488;1,112064;0;3,998671;0;1,027783;1,07009;1,024752;1,011096;1,034329;1,032508;0,958677;-2,103544;0,988776;0,965205;-0,848396;-3,787004;0,98207;1,001154;5,699708;-0,907018;0,987563;4,354306;0,996507;1,008542;0;1,612202;1;-16,956843;2,234946;1,025889;-1,216866;-1,34746;-6,16003;1,159644;1,106358;0,97267;-1,022834;0,987873;0,991252;0,993594;1,000898;0,997433;1,015842;-1,711475;1,008887;0,99375;-3,067926;-0,28096;0,97675;0,354758;1,470587;-0,286204;-0,50958;3,59155;1,976186;-10,609518;-12,48253;0,830848;0,937349;-1,527341;0,991677;0,997029;1;1,187307;1,872237;-2,572256;1,040174;5,657522;0,473767;0,934864;-4,526713;0,976678;-6,008928;-1,398803;-0,035551;0,96634;0,971298;1,024584;-1,837711;-8,839095;-0,982258;-0,94555;0,029804;-2,928847;1,019112;3,834138;0,886323;2,637049;2,768213;0,998599;-0,286007;-2,157476;1,619832;0,994508;0,985901;-1,739102;1,15764;-0,304883;-2,285881;1,008022;1,013004;1,116745;0,95849;1,026006;0,996428;0,97956;1,028433;1,01019;0,239606;1,004267;0,988642;0,871362;0,901207;0,998301;2,114673;0,119732;1,007261;0,976927;1,009422;1,00041;1,028537;1,014183;1,033906;0,998044;1,02815;1,197279;0,999891;1,015826;-0,472144;-1,715533;0,98332;0,974902;0,993675;0,969771;1,048878;1,023;0,967913;-0,791177;-1,636951;1,033044;0,944995;1;1,177146;-1,43476;0,994883;-7,706011;89,599574;-1,148546;0;1,110883;-3,908307;0;1,007279;0,296333;1,017849;1,002671;1,019005;1,015;1,007983;0,990219;1,008348;1,064061;1,020447;1,037023;1,037023;1,135878;1,135878;1,000921;0,050637;-0,725996;1
1990-05-31;0,988556;0,989358;-6,548479;1,60354;0,363589;1,87275;1,013633;1,023626;1,026656;1,020639;2,1288;0,219302;0,996967;1,036555;1,026719;0,021531;1,009769;0,26859;0,996906;0;1,020304;-0,092623;48,37824;0,986184;4,240002;1,037301;2,82905;3,566103;0,69692;1,033068;-0,985706;2,57669;0,988973;-4,53165;1,069859;1,019538;28,700539;2,338699;1,042355;1,03137;1,092689;0;-0,02648;0;1,001182;0,97577;0,998788;0,995203;1,022553;0,986985;1,068741;2,516511;0,958444;1,057348;-0,809175;8,614053;1,027738;0,999408;-2,82889;0,524695;1,013392;3,056654;0,946074;1,031273;0;1,387136;1;1,184677;-0,367228;1,004991;-0,588682;1,197028;-6,652928;-0,111632;-3,66471;1,0139;1,735412;0,985268;1,016585;1,021815;0,993983;0,97865;0,998906;0,516872;0,993837;1,021011;11,692426;0,879469;1,038732;-0,489718;-1,702578;-0,555559;2,173059;-0,624388;2,451937;2,494075;-10,883131;0,40207;-2,689888;2,786761;1,008375;0,993661;1;2,310097;1,261361;1,098608;1,037202;19,362125;0,553161;0,984811;1,249694;1,011426;12,02194;3,95113;-0,673925;1,019224;1,078239;0,97092;1,401825;4,487663;1,773881;11,862635;-1,683698;8,903703;1,032931;2,472058;0,887045;-6,979967;-2,427594;0,988555;-0,484049;5,031507;1,111833;1,004603;1,033373;0,034661;-2,70054;1,090118;-0,142596;1,003585;0,999383;1,116232;1,105263;1,018126;1,028101;1,013015;1,0152;1,001033;1,202844;1,068754;0,996287;1,06273;1,072623;1,020911;1,366942;-0,072554;1,044882;0,866021;1,000569;1,021488;0,981028;0,982397;0,985522;0,96381;0,988898;1,058331;0,979876;0,985935;-4,003974;-1,483034;0,9866;0,961284;0,980741;0,969116;1,051865;0,965251;0,975813;0,923735;-2,628103;0,98427;-1,60785;1;1,061788;1,644051;0,970814;-24,791109;81,639259;5,163998;0;5,584559;0,804434;0;0,970856;-0,016746;0,986442;0,987985;0,9647;1,179318;0,965861;1,001067;1,02707;0,997308;0,99071;0,984218;0,984218;0,985757;0,985758;1,000389;0,718714;1,116404;1
1990-06-30;0,991937;0,885366;1,216609;-1,801143;-4,187145;-2,787135;0,995119;0,989774;-7,793313;0,992296;-1,437643;-1,330841;0,992749;0,784256;1,063239;1,039031;1,006574;0,767818;0,973673;0;0,996682;-2,457555;1,289433;1,009479;-0,358665;0,991068;-0,041305;-0,824817;-1,082042;-3,625238;-4,040538;3,730114;1,034873;2,159767;0,958355;0,94501;3,360941;-3,855515;0,993876;1,03614;0,934106;0;5,901037;0;1,050363;1,013612;1,019719;1,021495;0,953603;0,962576;1,149875;15,260632;0,972429;0,9654;0,253629;-0,063562;0,997341;1,000016;-2,326198;-0,325186;0,990444;-1,671863;0,991681;0,960663;0;-3,746241;1;3,413793;-1,527317;1,029656;1,059462;-7,761747;2,397901;-1,552117;-2,314366;1,05744;-1,1268;0,998289;0,965965;0,98196;0,984899;1,00639;0,950743;1,925921;1,001413;0,999063;-4,055552;-1,390446;0,988847;-0,25486;-2,250195;-0,890673;0,983858;-1,103967;-1,900356;-1,231175;13,56825;0,693519;-12,817693;-4,679705;1,010501;0,967583;1;-3,39354;-2,24499;1,00151;1,029975;-0,697673;-0,879328;0,990273;-0,133243;1,004641;3,927897;-2,895264;1,068436;1,023464;0,959928;1,119697;-2,383157;-6,856905;-2,812492;-2,261574;-1,968727;-6,18635;0,926764;-13,556156;0,914241;1,659181;0,075083;0,991047;0,780872;-2,860121;-1,151804;1,00839;1,047979;-0,427976;13,228575;-1,128487;0,430239;1,007592;1,007657;1,121997;0,742275;1,017565;0,848475;1,082724;0,991856;1,000829;-0,042293;1,006467;1,020699;0,976873;0,979383;0,994509;0,917875;0,044956;1,038088;0,954043;1,009295;0,956514;1,009363;0,998107;1,004505;0,946905;1,003635;1,19428;0,989224;1,016254;-1,523768;16,598194;0,943252;1,012302;0,980046;0,981471;1,057734;1,010631;0,951389;-1,777169;1,63834;1,018701;1,206556;1;1,1087;-3,0468;1,001075;6,423889;46,487532;0,509162;0;3,459656;0,13659;0;0,99931;-0,284774;0,983291;0,999912;0,993809;0,984619;0,980751;1,003324;0,977295;1,014606;1,01332;1,014341;1,014341;0,995086;0,995086;1,000404;0,081559;-2,101243;1
1990-07-31;0,847123;0,114097;-2,660494;1,910682;0,286359;-0,471008;1,018563;1,000787;0,078165;1,000369;1,234427;-2,085636;1,000583;0,98915;1,260395;2,785988;1,022662;0,656698;1,036619;0;1,022167;2,254702;5,500961;1,012002;0,04127;1,006473;0,604821;14,155378;-8,694709;-8,283425;3,412515;-1,475819;1,05047;1,148848;0,94007;1,052734;-26,358888;-1,202169;0,991838;0,986243;1,148278;0;-9,895276;0;0,94669;1,01552;0,992878;0,995704;1,119813;0,982819;0,970783;-7,997189;1,020628;1,02451;9,881136;4,582113;0,970307;1,001163;-7,346251;4,860063;1,006029;0,226469;1,0187;1,014754;0;-0,732849;1;1,404517;0,329118;0,959656;3,550511;-2,73147;3,100571;4,997963;-6,748376;1,013261;-0,650418;1,016189;1,03463;0,994915;1,014736;1,005485;1,029028;26,071937;0,994324;0,985296;0,664821;0,041832;0,993667;0,131799;-0,836191;1,165453;0,120064;-0,97753;-0,302766;7,911518;7,494643;16,295248;49,804038;-0,999383;1,242039;1,036468;1;4,265737;-0,631055;1,769033;0,893097;-0,90938;2,134555;0,280289;21,196086;1,050982;5,643785;-3,031683;-8,154978;1,022442;1,005163;0,816672;5,915383;-0,144901;32,471284;41,11078;2,608746;18,061843;1,169614;12,230057;0,914044;-8,005229;2,917731;1,018021;-0,43478;3,246926;-6,462346;1,050643;1,020521;0,873425;5,51349;7,26932;7,46237;0,990186;0,991825;1,014547;1,004207;1,011613;1,00958;0,920223;0,997495;1,021013;-0,012085;0,997858;1,005233;1,08077;1,080167;1,001523;-2,557771;0,121901;0,964203;1,117776;0,990264;1,038302;0,903323;1,007874;1,013448;1,053804;1,018914;1,022262;1,021437;0,985825;-1,245241;0,402217;0,840086;0,998045;1,023068;1,021406;1,017365;1,006361;1,069124;2,610113;-0,167897;0,989312;-1,011717;1;0,860397;-6,74783;1,029713;-4,865028;26,911651;-1,732109;-0;-4,080957;1,950642;0;1,010084;0,560635;0,995022;1,005956;0,968075;1,027898;1,021317;1,009196;1,026605;0,998601;0,988853;1,00569;1,00569;0,991734;0,991734;1,002979;-1,006231;0,681702;1
1990-08-31;0,999141;0,606391;21,535216;-3,062174;0,573187;2,278192;0,98785;1,016378;1,182836;0,985077;-2,307534;2,053248;1,001872;0,996718;0,949545;-2,203031;0,984054;0,352936;0,973621;0;0,990978;-17,046731;-10,222152;0,993551;0,692764;1,000224;-3,21546;-13,177086;-0,695905;0,311784;1,471543;2,716313;0,966759;0,059318;1,041593;0,963108;-93,315473;-14,789079;0,969357;0,964684;0,829257;0;-16,456296;0;0,850207;0,98839;0,983806;0,987074;1,020871;1,021844;0,921733;-47,110195;0,99131;1,00148;-1,433958;-20,814794;0,89377;0,998456;-5,681514;-1,431057;0,893553;-2,744863;0,985795;1,063527;0;1,469972;1;-0,130056;-3,059612;0,999817;-3,015376;2,055928;-2,017976;-0,578224;3,511665;0,962782;-10,292008;0,922326;0,973397;0,984959;0,949974;0,988045;0,848082;13,228871;1,002087;1,016018;3,870368;3,294815;0,960063;-4,605349;2,141241;-0,588528;-1,143025;2,897313;0,316114;-2,951605;28,992846;-15,82493;-49,645344;-0,301282;0,646917;0,981321;1;-4,950678;-0,362774;-4,731319;0,938855;-26,271212;-3,94177;1,363496;-24,218942;0,571801;-5,360869;2,552585;0,353001;0,98751;1,003182;0,962382;-11,55554;-0,785956;-27,507781;-51,905711;3,8644;1,610899;0,832431;-4,025116;0,848776;-13,947896;-6,17895;1,002695;0,74116;-27,77665;5,098357;0,985857;0,991965;-9,332346;-3,638687;-6,394039;-2,395973;0,978217;0,976643;1,00197;0,975129;0,981832;0,978526;0,989231;1,458105;1,025045;-4,995879;0,958285;0,974123;1,021272;1,02718;0,960078;-5,047596;-0,140156;0,887521;0,995544;0,9976;1,070853;0,887422;0,991809;0,963322;1,034525;0,979188;0,972808;1,009186;0,953877;-3,352737;-18,375334;0,631764;0,986651;1,009882;0,989477;1,023047;0,952463;1,238984;-2,020544;-3,108718;0,973596;0,038112;1;0,803692;2,725785;0,989;-4,954825;-4,023576;-1,885676;0;-4,385997;-13,049748;0;0,972898;-0,952637;0,920436;1,009815;1,022746;0,988202;1,006247;0,989777;1,00017;0,997103;0,986182;1,004318;1,004318;1,011293;1,011293;0,992777;0,084878;1,429437;1
1990-09-30;1,005998;1,086529;-19,656213;-0,206769;-3,18722;-29,91748;0,991939;1,002724;0,891135;0,998633;-0,802234;0,952733;1,003471;1,001365;0,974041;-1,974311;0,964563;-0,979179;0,988166;0;0,965933;-0,944762;-16,749402;1,080933;-1,769361;0,98779;8,551644;0,262221;1,273445;-0,688903;-0,982645;-1,539339;1,0467;0,092354;0,983924;1,001923;0,231124;3,195017;0,986064;1,022015;0,997802;0;-0,492276;0;0,998568;1,029181;1,016988;1,011834;1,029472;1,05632;0,903888;-4,646262;0,988135;0,98432;1,524023;-5,479405;0,967755;1,002429;-10,487874;-5,656444;0,992537;-3,34028;1,02012;0,988314;0;2,8663;1;0,928869;3,365076;1,038201;-1,902225;-1,0868;-3,643815;0,405014;2,824965;1,015683;-0,582318;1,021056;0,981685;1,007673;1,013226;1,040869;1,005185;3,698471;1,014289;0,994577;-2,877367;-3,515458;1,040233;2,136824;2,367899;1,553478;-0,296781;-0,050919;-0,901572;1,785632;1,287548;-5,750098;8,545775;0,331731;1,231262;0,99233;1;-0,374406;-8,75815;0,191244;0,96311;2,550753;2,58088;1,037476;0,303517;0,961244;3,508062;0,698605;-3,937556;1,012132;1,014882;0,954943;-0,013081;-5,48531;-0,463553;-0,450766;-4,054231;-16,230051;0,989453;0,824372;0,858441;3,285708;1,858178;0,997126;-1,70985;-5,337624;0,639627;0,993081;1,028312;1,945351;-10,894077;-0,959507;1,3741;1,027091;1,030191;1,046968;1,027136;0,95721;1,024418;1,024278;1,386798;1,030575;2,094378;1,039296;1,004239;1,006738;0,999545;1,001837;1,195612;0,217614;0,994605;0,997631;0,999679;0,968586;0,887772;1,02009;1,021698;1,028463;1,016699;1,157336;1,040771;1,023725;4,996731;-4,261927;0,573409;0,997446;1,010527;1,02846;1,041132;1,044213;1,061482;-2,365328;-1,062831;1,019685;1,269261;1;0,847189;7,94775;0,998605;1,680905;12,147545;-1,788693;0;0,66943;-2,155067;0;1,01093;0,336016;0,933868;1,002442;1,032999;0,968673;1,026722;0,995969;1,014496;1,009499;1,005518;0,992338;0,992338;1,01996;1,01996;1,002682;-0,341675;-1,134289;1
1990-10-31;1,005181;1,024529;2,864377;0,322493;6,202101;4,144456;1,002792;0,976367;0,47585;1,001402;-0,330732;1,133972;1,001223;1,01775;0,996599;-0,123193;1,000375;-0,90053;1,027629;0;1,000631;2,324345;3,746937;0,89431;0,553816;1,006128;-0,77631;-1,846617;-1,260387;-0,620709;-5,345856;-2,144547;0,968015;-1,011134;0,995959;1,021128;53,613047;7,487929;1,025686;1,012364;1,007842;0;11,316062;0;1,073609;0,974668;0,98579;0,984681;0,965594;0,958982;1,028496;3,899725;1,028717;1,004712;-1,891314;29,388384;1,025859;0,999813;3,489851;-0,48568;1,00907;0,796556;0,991578;0,948372;0;1,617149;1;-4,407496;1,447657;1,002534;2,846591;1,277417;8,89841;-0,942815;-1,550789;0,944277;0,524284;0,975666;1,059746;1,019932;1,013782;0,995757;0,991216;3,264947;0,996702;1,006023;-4,534009;-1,157368;1,081001;-0,047325;-1,640327;-0,245839;1,03425;-0,764518;-1,507419;1,857811;6,897405;0,794644;12,395807;1,085814;0,974309;1,014296;1;3,573075;0,932238;1,443355;1,027892;-1,07551;-1,141232;0,97871;-0,97896;1,015483;-8,154037;0,072113;-0,302399;0,940739;0,982464;0,948137;3,388531;-2,688327;0,951572;1,351537;3,16382;21,865897;1,01273;1,11157;1,111054;15,100825;-0,216718;0,979967;1,16716;2,378919;13,977741;0,997923;0,976292;1,335635;-6,123532;1,867837;2,97993;0,996897;0,993839;0,912243;1,000816;1,020554;0,999492;0,970394;1,220608;0,97238;9,283322;0,986597;0,9894;0,994389;0,995228;0,990425;1,335507;-0,026268;0,88739;1,050331;0,998454;0,992995;1,11135;0,983763;0,989294;0,964236;0,984122;0,887163;0,987858;1,00152;14,665452;10,948673;1,134537;1,015969;0,998491;0,994902;0,899583;0,988453;0,967991;2,089374;5,742208;1,001879;-0,635811;1;1,031961;2,452435;1,004915;-4,712337;99,376245;1,389189;0;17,024994;1,006694;0;1,005022;2,089748;1,080419;0,991771;0,993497;0,914749;0,977452;0,992736;1,002034;0,984874;0,998231;0,937034;0,937034;0,786579;0,786579;1,00039;1,212178;0,034227;1
