;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
1990-01-31;1,011636;1,077475;20,850735;-17,110212;11,933165;5,595581;1,056988;1,030003;-1,744586;0,888972;0,142043;1,997529;0,48142;1,115285;1,071085;4,345832;0,730783;5,677916;1,014883;-0;0,834078;11,023046;32,606272;0,810277;1,089954;1,019909;-0,416801;1,245317;8,655797;26,175708;12,765485;-29,758775;0,795102;2,727751;1,004574;1,156297;-15,935607;29,792734;1,055644;1,561738;1,108322;0;-15,445283;-0;1,102484;1,012693;1,136764;0,948511;1,255217;1,080311;1,272252;7,37414;1,024047;1,152071;12,240663;8,100428;1,012547;0,999583;3,963148;5,863581;1,065106;13,01784;1,127541;1,020233;-0;-5,158497;1;11,848281;-3,616038;1,006743;-24,076351;3,048504;22,419287;5,464687;6,113329;1,538326;-6,85383;0,911289;1,066733;0,657266;1,002427;1,121815;1,101552;18,422909;1,198243;1,044607;12,842681;6,968028;1,0779;3,93026;7,282244;3,084366;-0,309124;3,254383;5,122089;1,410653;10,290181;12,500488;25,447686;-1,394437;1,075703;1,1273;1;-10,891733;7,358249;-10,513159;0,975549;-101,969446;3,964597;1,07087;30,761304;1,155111;6,231655;13,776419;8,77317;1,094601;1,09668;0,952181;16,232404;17,747544;12,486661;16,585506;-6,890906;-0,33972;0,966502;-10,601206;0,925212;-5,22108;6,850643;0,89606;-0,733844;-10,783251;3,383161;1,066322;0,976601;-9,954588;-0,780376;10,2726;5,397495;0,984309;1,014989;0,873207;0,524425;1,022956;0,519134;0,894527;0,356392;0,869101;-15,947564;1,364396;1,246754;0,35587;0,725466;1,005498;-27,877611;0,039249;1,017298;0,823527;0,980637;1,063479;1,042066;0,711726;1,016664;0,774848;0,960255;0,836077;0,738697;0,829007;13,380862;-23,335914;0,720033;0,98591;0,71123;1,075913;0,70519;1,041575;0,921664;7,436888;-1,829459;0,96042;1,541764;1;1,231149;31,13017;1,232146;-136,376745;-103,541234;-0,745498;-0;-2,634923;-10,175856;-0;1,152252;-0,821824;0,896011;0,847999;0,772129;0,709146;0,833121;1,004318;0,898047;1,241726;0,925302;1,372003;1,372003;1,643336;1,643336;0,98672;1,264019;-8,462016;1
1990-02-28;0,905111;0,998403;0,726702;-14,556404;-1,672778;-3,912572;0,891389;0,896435;-1,774198;0,893471;2,721748;-4,6513;0,413246;1,044906;0,960259;-4,150511;0,778767;-2,100123;0,9163;-0;1,049541;10,383096;43,84182;1,046391;-8,028418;0,955639;-7,19885;-1,032011;-3,123255;4,935973;-4,687125;-36,475724;0,772866;-8,142561;0,788626;1,059529;-71,155222;14,74109;0,969184;0,784481;1,15901;-0;-17,800066;-0;0,969463;0,975371;1,092978;1,647194;1,499051;0,992869;1,096407;-23,957394;1,082762;1,109345;-0,212583;-6,132784;0,913741;0,999443;-2,948032;-3,633858;0,980696;-0,072686;1,047794;1,055382;-0;-14,473873;1;-8,747132;-4,878062;0,993664;-27,104622;-0,2256;21,146793;-1,17549;0,91137;1,323303;3,859829;0,924274;0,947982;0,640855;0,978586;0,979815;0,933887;12,130284;0,971684;0,978143;8,646842;4,029473;0,996124;2,616972;0,803345;0,976404;-7,928699;2,522448;-2,447828;-2,055278;12,140223;9,228058;7,835898;-2,929838;0,984245;1,067755;1;-7,056621;2,602079;-8,215755;1,05972;-69,01214;-0,724535;1,024993;6,17758;1,056388;-5,517657;6,652006;1,33719;0,984844;1,075285;1,293589;6,739355;1,257633;1,703293;7,244806;-7,719808;-14,600327;0,902991;7,577366;1,054344;-2,682108;-0,2628;0,814771;-4,487743;-10,351354;5,47069;1,045895;1,001094;-8,727362;7,487767;3,430061;-3,734049;0,990182;0,860905;0,685651;0,711363;0,85695;0,652972;0,938954;0,559151;0,796169;-32,094018;1,347049;0,782945;0,725691;1,053888;0,942427;-31,982693;0,090363;0,93721;0,975889;1,020933;1,009275;0,977703;0,962263;0,997979;1,000849;0,801645;0,544557;0,860177;0,913958;3,450721;-9,457477;0,420159;1,018261;0,886316;1,02288;0,841638;1,150713;0,964075;-3,966814;2,843215;0,897521;2,546802;1;0,759839;-0,881936;1,140135;114,740422;23,71531;1,721348;-0;-7,752946;0,130472;-0;0,984353;9,164531;0,868146;0,884013;0,869179;0,83447;0,802935;1,591919;0,839394;1,054516;0,83867;1,1614;1,1614;1,508605;1,508605;0,893299;6,867631;-6,154717;1
1990-03-31;1,021999;1,108427;30,05753;9,596101;-3,298319;9,468557;1,024349;1,043463;1,491872;1,092266;12,994315;5,307882;0,409028;1,109404;1,014761;5,999404;1,154482;4,075912;1,003615;0;1,066072;12,704461;55,517239;1,054094;-5,438175;1,060872;2,081743;13,039478;4,314215;13,81144;-19,879629;-20,4077;1,013676;-0,199095;1,025457;1,152962;83,419034;42,735084;1,145363;1,033508;0,928771;0;5,65897;-0;1,024438;0,962052;1,05021;1,486168;1,282901;1,136632;0,858297;83,334755;1,102763;1,239217;5,255868;19,84838;1,048487;1,000388;1,79207;10,3174;1,080876;7,564823;1,074262;1,156601;-0;1,009696;1;-5,695774;-1,221161;1,123854;-5,756553;0,214115;46,412346;5,316976;5,473663;1,352771;15,246525;1,08843;1,073655;1,003325;1,113492;1,137993;1,043206;21,498765;1,225072;1,007054;27,58658;15,254152;1,096347;9,165662;8,585805;6,967337;-0,682651;5,957476;9,353098;3,900239;23,955658;20,379308;43,707781;12,126173;1,042983;1,131898;1;25,440821;10,362124;14,066701;1,071548;35,474544;14,037843;1,147706;23,524062;1,106382;20,664888;15,072594;9,006859;1,095112;1,121074;1,140463;21,795815;25,065436;13,091196;22,371983;11,63628;4,548342;0,898294;-0,203331;1,107857;24,035865;11,132425;1,088134;13,078848;11,063153;28,152575;1,099366;1,108552;-1,036616;23,522213;3,673644;13,937676;1,003565;1,022074;1,285652;0,992135;1,103331;0,807167;1,187483;1,285226;1,08304;-6,578178;1,416127;1,232004;0,623588;0,962828;1,013533;-2,919361;0,104797;1,131675;1,065362;1,022797;1,143502;1,084662;1,064643;1,134873;0,844095;1,045817;1,17182;1,086873;1,076326;31,682146;1,144424;0,830903;1,027859;1,020205;1,208673;0,898808;1,199886;1,374981;13,939383;6,428284;1,062933;10,090014;1;1,093654;1,463043;1,247709;-65,960192;123,376097;18,730481;-0;4,931583;23,666576;0;1,110546;0,718043;1,173902;1,047656;0,984107;1,08708;0,906937;1,293946;1,015309;1,070926;0,949395;1,126555;1,126555;1,256522;1,256522;0,977433;-2,645742;13,754276;1
1990-04-30;0,993748;1,056408;-1,008838;4,674354;1,683117;-1,161969;0,996983;0,99579;3,837423;0,971381;11,620991;6,112706;0,335665;1,003628;1,040334;5,211949;1,481949;-4,427185;0,902991;0;1,028898;-3,222043;17,052269;0,938788;9,459199;1,177609;4,181546;8,286451;-0,934224;0,55617;0,170574;-21,57459;1,145454;-1,534205;1,101937;1,038028;3,91287;39,047713;1,09145;1,170686;0,84759;-0;7,823223;0;1,028598;0,865755;0,822796;0,891883;0,934625;0,868179;1,370363;14,779371;1,171461;1,055539;2,180131;11,603816;0,910916;0,998175;-3,72518;2,183302;0,989466;-0,21075;1,035589;1,13575;-0;-14,512997;1;-12,978628;-1,219701;1,010154;11,257171;2,152392;-2,955411;0,313348;4,763959;0,788129;10,641748;1,008683;0,960761;0,705974;1,080804;1,010271;0,946427;13,023942;1,140003;1,032143;1,455688;4,83124;1,07035;2,574314;6,231452;2,005166;-4,134421;3,003652;3,050255;1,324049;12,150258;4,966094;42,734214;8,288181;0,978705;1,023515;1;15,372948;6,210332;2,054223;0,983881;29,185226;6,360671;1,075813;5,790674;1,052885;4,43548;6,170114;5,043012;1,03539;1,017592;1,05101;8,160308;21,444371;7,392239;7,669861;6,418966;1,487786;0,885676;-2,362662;0,863037;-4,452326;5,119169;0,882087;0,949105;4,332242;13,88826;0,998716;0,924638;-10,036593;21,926896;2,980569;2,415472;0,945527;0,818994;0,51181;0,914067;0,989799;0,818836;1,098366;0,631453;1,326133;-11,75243;0,974704;0,717549;0,466414;0,721;1,024048;-22,312802;-0,09216;1,037952;0,820418;1,015496;1,068447;1,031309;0,960511;1,003151;0,715704;0,956102;0,772122;1,097065;0,910441;22,667171;-16,270116;1,321949;1,015959;0,905432;0,82135;0,910102;1,018709;0,867974;2,940329;14,434995;1,026525;5,670266;1;1,1506;-5,510511;0,934949;71,583969;123,4339;-10,698016;-0;-4,316008;3,456112;-0;1,00432;0,651307;1,01527;0,971947;1,09971;0,670726;1,57695;1,044814;0,881204;0,990806;1,024476;0,990465;0,990465;0,985514;0,985514;0,968761;8,675741;3,373109;1
1990-05-31;1,028146;1,069959;-5,039566;8,518025;-17,31913;2,23815;1,002722;1,040291;17,103865;0,953143;8,18992;14,296523;0,426267;0,948552;0,834047;9,350271;1,570425;-4,340712;0,942588;0;1,021295;-7,249609;-41,072153;0,855162;13,701363;0,979684;6,048958;6,511345;0,092992;-2,533744;-7,794279;-7,230172;1,314113;2,866396;1,34319;0,951127;48,83404;9,855851;1,071895;1,139158;0,965166;-0;-6,452804;-0;1,053318;0,798793;0,818506;0,523742;1,124373;0,846321;1,044434;-9,779724;0,986456;0,914628;5,105626;-4,263613;0,932421;0,999828;5,759531;5,098922;1,009937;1,015593;1,040365;0,956541;0;-2,554093;1;4,456854;2,172698;1,003229;12,087506;-4,521338;-40,92872;1,718429;3,335315;0,695928;16,961254;1,008567;0,975709;0,800025;1,066313;1,064007;1,086555;20,594219;0,940394;0,957374;-9,197083;2,261714;1,035638;1,374625;4,147521;3,62787;-0,221977;5,748048;7,012534;3,760871;11,772245;5,223345;34,461867;5,040529;1,005199;1,030903;1;12,030242;1,331704;4,288001;0,942174;39,670326;7,245408;0,991066;4,285338;1,022701;2,735152;2,34812;3,79061;1,013026;0,974537;1,03946;2,520078;1,916593;6,044962;6,299846;0,180909;6,666373;0,784137;13,050194;0,880984;-20,483431;1,613114;0,945053;-0,037386;7,155981;8,723387;0,985554;1,032838;-0,672689;5,192513;3,256373;-4,406626;1,037414;0,972519;0,831728;0,857912;1,065571;0,815311;1,127557;0,794816;1,496378;-4,595143;0,8649;0,728198;0,588677;0,859481;1,074131;-7,358356;0,096734;1,012732;0,95472;0,973185;0,993792;0,960384;1,03134;1,055729;0,719711;0,958933;1,165343;1,039166;0,915776;-6,602547;-13,915712;1,957129;1,052809;0,999736;0,864076;0,878326;1,325042;0,875009;6,461462;3,679055;1,157086;2,697024;1;0,99204;16,56477;0,873698;44,52467;72,672171;-19,072193;-0;-11,301164;-14,858042;-0;1,055061;1,977648;1,022945;1,000662;1,141076;0,795581;0,999541;0,743082;0,915764;0,904792;1,08275;0,811976;0,811976;0,607657;0,607657;1,011515;0,771731;4,60668;1
1990-06-30;0,980823;0,732806;8,537882;16,98861;2,30256;8,858093;0,967688;1,025157;12,701304;1,158312;13,390893;7,140433;1,202248;0,867904;0,970517;0,904035;1,673397;-1,489442;0,947528;-0;1,076314;7,173095;22,277001;0,878754;-10,856917;1,114691;9,267837;7,856277;-5,956988;0,757405;-4,416862;-12,388096;1,552517;0,42057;1,272225;1,072467;11,395916;32,689583;1,088341;0,986219;0,947644;0;21,321884;-0;0,989194;1,306733;1,0054;0,766475;1,202357;1,163298;0,760043;68,840267;1,019174;1,134749;6,576206;44,835791;1,066289;0,999208;7,787881;5,346487;1,103271;3,976373;1,025737;1,035599;-0;0,532698;1;-2,028913;-0,041603;1,048556;8,142437;8,262092;10,951336;1,146267;-1,928324;0,673166;19,90957;1,264646;1,074384;1,112213;1,175411;1,150804;1,387933;9,289998;0,998554;1,017851;15,029594;11,713518;1,066812;4,352028;5,207526;6,376303;-3,975173;1,05268;3,533277;2,493453;29,537533;5,696086;40,90581;10,240529;1,026975;1,068015;1;25,953524;8,852807;10,757606;1,178148;49,539441;11,478101;1,05878;22,2971;1,138413;27,573142;12,546316;7,601606;1,022404;1,133945;1,016894;17,918432;19,754411;17,269226;22,683851;17,311658;31,240114;1,059676;53,969588;0,911898;8,248061;10,033973;1,639038;10,324212;6,945682;30,855565;1,092823;1,212918;14,987796;18,290237;10,39131;1,279912;0,975632;1,120711;1,329038;1,287422;0,446773;1,095116;0,906741;2,302714;1,363317;41,488673;0,945376;0,836411;1,137003;0,770789;1,192507;24,929222;-0,021933;1,057355;0,916583;1,05219;1,104732;1,215682;1,141246;1,089113;1,198363;1,116487;1,253722;1,272309;1,045579;1,296969;21,780728;3,188381;1,074761;1,196807;1,064789;1,00517;0,943251;0,993238;17,352437;11,93212;1,163825;8,089125;1;1,044731;-9,199418;0,953907;63,569072;30,451404;-1,865247;-0;-4,980244;3,723313;0;1,122808;6,224782;1,045507;1,157212;1,150485;1,537945;1,105497;0,958518;1,325109;0,86838;1,07359;0,78551;0,78551;0,542342;0,542342;1,057078;7,694662;8,730842;1
1990-07-31;1,010329;0,980817;8,337419;13,918859;-1,08858;31,885625;0,987277;0,947202;7,656697;1,036355;-33,863957;6,335149;1,619432;0,520156;0,831781;-2,907378;1,387416;-6,60434;0,969591;0;0,895735;-36,307901;-49,470084;0,783322;-4,729757;0,869761;1,974906;-9,012615;-5,569288;-20,521831;-25,88139;-20,894344;1,15216;1,389689;1,266462;0,882012;-61,553077;-34,810898;0,804967;0,775194;0,741791;-0;-1,655731;-0;1,063834;1,308948;1,256434;1,120527;1,355305;0,965261;1,131607;-47,760697;0,882144;0,883187;6,647649;68,340614;1,112873;0,998163;6,07457;14,034116;1,055913;17,29205;1,100841;1,124863;-0;-18,045828;1;6,15038;-1,174623;1,081541;13,036314;3,999179;-37,586179;0,082246;-13,070949;0,783464;13,431296;0,933613;1,106025;0,644186;1,193005;1,053485;0,955825;-51,884729;0,981946;0,970994;-17,41905;14,594233;1,033377;3,610311;7,28691;5,274993;2,431831;-7,941785;-12,539154;-4,743094;12,022939;8,766685;39,403138;2,149021;0,981714;0,734338;1;18,215184;3,078022;11,412968;1,343904;91,870452;3,027579;1,051772;24,096189;1,270969;44,966287;15,156353;9,131627;1,046702;1,030521;0,95986;-18,351832;-18,538654;-11,806699;-10,956047;-9,41054;40,16999;0,923966;-4,189135;1,011294;-26,010309;0,392777;0,661324;2,243943;-4,156139;11,982933;0,909652;0,955922;16,210891;6,872208;15,433436;5,6831;0,965544;0,869153;0,560563;0,814286;1,113618;0,679319;0,541716;0,621372;0,950914;4,317783;0,943399;0,840057;1,325839;1,128491;1,051941;23,175613;-0,100043;0,791064;1,075916;0,967739;1,082691;0,890403;1,033145;0,986057;0,746836;0,964328;1,244712;0,973655;1,043558;-16,785465;13,205657;0,35199;1,029865;1,044412;1,114132;0,973421;1,202092;0,948232;11,960274;2,689733;0,91977;-2,486088;1;0,78041;-15,312957;0,961942;165,45749;-14,388977;-5,603257;-0;3,614615;-8,372552;-0;0,925085;4,984213;0,926272;0,970725;1,182449;0,79361;1,10699;0,879694;1,020588;0,888077;1,117603;0,802204;0,802204;0,4836;0,4836;1,125857;7,576285;4,110843;1
1990-08-31;1,006402;1,056979;-48,507135;-15,236788;-36,454964;-61,124172;1,050216;0,964629;9,808372;0,863449;4,62487;2,292276;2,124925;0,993841;0,954898;-5,564148;0,81769;-4,150998;0,98048;-0;0,830302;-8,862776;-152,838931;0,9123;-8,436215;0,747854;-5,803372;-18,210926;-1,298419;-11,618618;1,613915;-28,203101;1,112181;1,625495;1,233522;0,431545;-454,959645;-95,086054;0,34868;0,23153;0,633887;-0;-27,543045;-0;0,407484;0,641773;0,701361;0,612336;0,514467;0,463923;0,593544;-213,616703;0,573468;0,604746;-40,837322;-128,72479;0,852039;1,001034;-3,2367;-39,907495;0,694108;-28,598138;0,706527;0,598035;0;-16,307901;1;5,54198;-3,699359;0,6912;-4,779094;-4,281099;-14,46715;-12,476108;-9,350731;0,384635;-25,041341;0,889517;0,88317;1,716544;0,698836;0,858344;0,987203;-90,615727;0,625957;0,831853;-62,337305;-68,185013;0,786016;-16,319817;-33,299075;-31,295128;-4,817557;-14,821947;-24,996632;-11,435599;-102,756864;-57,297689;-302,974096;-61,585526;0,522267;0,962735;1;-52,738308;-33,727786;-15,533207;0,371236;-58,399056;-35,522959;0,704576;-133,869202;0,074458;-58,721274;-69,42018;-40,43566;0,661198;0,526456;0,253544;-80,796162;-125,00506;-59,341763;-86,475997;-24,232511;-84,72825;0,640225;-46,252558;0,785468;-19,411709;-45,877814;0,962161;-38,448457;-44,370258;-117,605454;0,636272;0,908245;16,756945;-42,883836;-49,492192;-52,470478;0,810362;0,782177;0,510393;0,882488;0,600558;0,58574;0,764149;0,514767;0,553635;-48,682063;0,762323;0,798698;0,807056;0,903475;0,829325;10,304258;0,163293;0,495364;0,981992;0,863698;0,572168;0,79097;0,841809;0,753783;0,95447;0,70461;0,294689;0,72698;0,675648;-50,142861;-25,599313;0,186924;0,650852;0,899453;0,54068;0,964596;0,781741;0,79924;-77,041309;-51,193007;0,780971;-28,628858;1;0,198246;-16,967231;1,021679;-147,321531;-95,561798;-62,975587;-0;7,744881;-104,391597;0;0,69858;-48,463378;0,84858;0,712603;0,753987;1,066249;0,952686;0,725468;0,863595;0,829694;1,017799;0,736718;0,736718;0,376864;0,376864;1,073537;-40,87593;-32,666889;1
1990-09-30;0,988354;0,908734;20,330818;3,438837;16,620414;1,39247;0,953685;0,96245;-11,619275;1,074497;6,343873;-13,415031;2,279256;1,104578;0,995147;-10,287754;0,738135;-3,22782;1,082197;0;1,236458;9,132753;0,175312;1,12202;2,418191;0,918846;-4,504974;5,881789;-7,50543;1,292119;-0,352037;-1,391439;0,81936;-1,230943;0,755222;1,081301;102,590691;-13,495639;1,079811;1,238302;1,023863;-0;11,647361;-0;1,056117;0,794621;1,354088;0,996728;0,678821;1,091637;0,942784;38,344365;1,06764;1,046266;10,660784;-0,376137;1,090999;0,997262;-1,971525;4,290459;1,071419;-2,062185;0,950808;1,00731;0;6,577962;1;-8,107118;2,778319;0,994771;11,924337;-5,076364;18,398394;1,496483;4,4318;0,681297;0,46699;1,081418;1,009901;0,921807;1,0637;0,956047;0,921056;5,510835;0,775744;0,996481;12,286356;8,68689;1,033315;-1,149804;-1,096612;3,59792;4,211384;-9,03806;-1,555212;1,488705;-4,121436;-6,247197;11,187354;2,003213;1,06151;1,022367;1;4,33588;7,767676;-1,242713;1,045279;74,369788;4,120034;0,886992;19,270828;1,06066;6,851594;5,429187;3,008147;1,010902;1,044543;1,104694;8,281266;28,731134;9,361215;14,308656;7,096819;12,217232;1,153848;-11,292666;0,947242;-4,735517;6,4197;0,856323;7,069501;17,494851;10,322657;1,00357;1,011893;18,133384;-13,057632;-2,301023;6,549378;1,110753;1,225275;1,127749;0,835318;1,219018;1,143672;0,728005;1,543691;0,521243;29,435606;0,925663;1,074836;0,660971;0,832977;0,889725;-0,719826;-0,192152;1,109811;1,250332;1,033298;0,99386;1,042832;1,059481;0,963945;1,201338;1,102745;1,184185;1,028508;1,029618;-5,622927;14,904352;0,312083;0,879186;0,886491;1,086266;0,914922;0,577297;0,945727;7,876779;6,674844;1,078603;2,526255;1;0,938737;-7,446096;0,954276;-0,35386;-8,153272;10,972855;0;36,22549;31,141021;-0;0,956086;4,156474;0,88932;1,061143;1,042783;1,430608;0,924165;0,853992;0,964102;0,886082;1,051825;0,791353;0,791352;0,581364;0,581364;1,011276;2,949826;7,886838;1
1990-10-31;1,038553;0,954652;20,99885;18,510736;6,103293;15,325846;1,088481;1,090973;-3,555685;1,00487;1,47733;-6,338514;1,321537;1,192711;1,237444;1,277981;0,598161;9,240355;1,15494;-0;1,102371;15,72354;60,642014;1,420144;15,293277;1,147704;3,798579;6,04008;7,16786;9,358922;15,059619;24,906231;0,918833;2,158876;0,750945;1,234152;249,461872;37,150546;1,274201;1,313056;1,398857;-0;4,089891;-0;1,376711;1,124889;1,094007;1,339646;0,813417;1,210242;1,283144;68,788597;1,13738;1,069327;18,714769;38,323061;1,121292;0,999973;-8,641109;7,668095;1,140197;10,713101;1,088299;1,03635;0;24,846341;1;2,002691;6,732288;1,105603;11,922154;8,647934;11,611422;3,860373;0,628639;1,108552;6,358875;1,158659;1,101997;1,273927;1,045051;1,041938;1,0726;21,26645;1,28038;1,142683;26,995657;17,355156;1,113804;5,152354;10,70795;9,70252;7,737368;0,282794;6,938454;2,882144;15,21812;13,491618;64,136493;20,400769;1,154165;1,150185;1;22,496311;8,816055;13,944085;1,087051;7,044402;9,442618;1,085575;33,952848;1,213452;18,373435;18,301827;9,412164;1,121285;1,176567;1,432146;26,064743;44,804651;17,687423;27,072335;15,87481;31,371262;1,508796;-17,065662;1,152942;30,570445;13,952698;1,004404;13,344185;22,242222;38,951069;1,145855;1,175008;10,08568;12,050975;16,536836;18,443694;1,035634;0,996836;0,763044;1,19604;1,716301;1,282995;1,225188;0,582503;1,164447;21,945476;0,790322;1,420336;0,770872;1,053853;1,08207;13,407388;0,055775;1,447854;0,949151;1,078227;1,147799;1,014163;1,136483;1,091388;2,154739;1,084824;1,721559;1,01619;1,081433;6,573087;10,699108;0,780707;1,210901;1,033039;1,089117;1,180267;0,744588;1,095932;16,869268;11,664988;1,117835;10,620699;1;1,073257;-5,377279;0,964107;3,648031;-3,321461;35,256006;-0;10,148124;54,063825;-0;1,052395;33,631194;1,123899;1,089969;1,069224;0,855198;1,037289;1,145419;1,001856;0,997536;1,083208;0,994364;0,994364;1,079045;1,079045;0,993896;18,253723;21,814095;1
