;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
1990-01-31;395,892609;3017,533674;248,133824;95,517342;108,63547;117,903031;111,206712;82,786439;69,622457;71,152733;87,624893;37,800339;48,157115;37,724607;493,694944;85,208659;60,207092;84,767651;36,442744;100,013069;90,233498;106,252853;184,66761;80,94883;93,824644;82,542121;46,42588;73,242982;100,24918;131,780753;131,850976;52,004688;76,938682;90,831739;75,282702;837,444114;1254,586643;293,661554;602,801921;850,424783;220,847549;108,863173;106,483373;113,044911;319,804833;2358,535059;3918,342275;4422,808273;6599,816544;593,178717;1217,601577;512,552496;248,775888;1328,150838;103,704321;235,799412;100,842501;90,288134;114,325794;121,003255;120,803316;104,169237;487,365075;308,797481;125,549185;139,213966;92,005506;148,196403;69,133304;351,935792;111,156341;90,512716;269,341816;68,30535;86,250247;137,899325;103,608415;107,78161;39,429123;43,514411;75,128922;123,02126;38,645103;204,51313;57,501567;33,945444;221,466761;103,097158;79,07275;65,215015;67,64334;66,974871;78,498015;84,69315;122,199695;56,759986;186,128451;181,490532;519,968981;114,492071;349,181699;518,158826;72,199682;157,851033;69,282545;95,992715;140,092114;45,700943;111,83458;197,130456;241,677209;464,579181;227,533902;111,921394;98,222338;202,862624;458,571746;77,319069;163,223005;243,957449;118,553561;195,062767;149,488331;220,587995;125,871653;87,919667;106,77274;169,373463;112,248839;83,032088;92,893989;144,406728;280,130278;204,443579;153,708497;72,621426;181,218226;81,535318;116,386935;38,870935;24,277912;98,873909;133,037266;51,545635;49,227821;3234,796602;12,04483;18,359211;101,124334;175,68802;173,869007;15,014118;66,752363;130,79319;99,516655;99,770136;148,963193;81,925067;60,62359;85,859112;108,287406;74,233846;119,877749;160,508474;93,53666;52,080761;54,366845;52,750431;152,534459;116,984963;110,884637;469,499931;81,8964;129,453133;110,232798;61,507264;171,380941;129,937029;89,482297;26,987304;67,864274;98,282874;19,748656;59,476191;74,930557;237,146063;225,525318;225,588051;79,105509;141,3603;249,179326;138,864941;59,101007;101,171994;54,010368;77,335531;29,473004;50,89392;96,522338;44,72077;63,675891;84,722631;98,201569;86,081127;86,081124;116,683947;116,683963;76,499294;104,742964;136,649253;58,011886
1990-02-28;343,792821;2828,569346;232,616753;97,016789;82,816204;112,035314;94,587681;72,501634;73,795864;73,406339;91,855044;37,537641;41,456954;37,590674;370,926086;78,225289;65,388287;78,846617;32,884195;100,013069;116,26159;105,254641;277,860449;106,331995;86,615175;78,939831;43,185761;75,197927;89,987539;111,709262;99,74025;46,067463;74,951975;81,516686;64,634102;786,200359;1165,60587;276,379118;564,083558;432,494004;297,188295;108,863173;103,708012;113,044911;275,983336;2275,453522;3755,709071;7714,436588;7927,48952;524,044655;1057,63597;474,830207;265,963414;1308,324405;94,038904;215,231141;105,35054;90,288134;107,358766;112,491859;113,584944;92,948115;457,059763;303,087496;125,549185;128,112216;92,005506;115,243078;64,394984;325,046838;101,537126;82,479432;264,382673;63,812017;83,595387;119,115613;119,933474;109,612139;35,79225;43,663503;74,674399;110,611272;34,536987;213,434674;44,022068;28,843371;216,545666;104,697054;72,990985;65,169809;60,073399;66,65092;70,795094;85,310487;119,940152;53,04174;194,224273;178,503706;471,505796;111,483387;310,66709;481,795267;72,199682;155,320377;68,00754;94,871566;153,983427;86,407495;107,798145;172,841444;207,082749;432,945441;216,922236;108,021777;91,565592;192,893326;457,284024;105,633886;149,911025;225,24502;115,731186;183,524752;178,968673;216,275704;115,124378;104,994028;89,32296;174,389175;102,33338;75,994788;87,914368;150,250793;275,225095;199,354743;148,335685;70,31798;194,21906;75,09956;106,900414;39,677007;20,892546;78,688543;243,886505;51,209933;75,507916;3433,55464;21,047881;16,721172;80,46642;169,334615;110,330021;28,759664;91,026733;121,211505;95,2107;99,770136;164,918977;95,961898;63,338553;80,810514;101,607872;102,1094;118,624122;201,828409;78,235485;35,271384;63,771682;59,079442;164,322674;138,586477;77,176587;491,797345;102,97402;124,11768;130,125147;68,681772;181,381257;118,324276;93,165972;25,696036;69,657495;98,282874;12,364444;35,333954;67,273491;495,440979;366,575513;235,204382;79,105509;136,455621;267,624796;138,864941;51,810766;112,603814;48,491155;80,774387;34,558746;61,212602;93,392696;110,812744;67,49702;70,484209;90,113161;67,334537;67,334543;85,363518;85,363531;69,952537;109,04525;137,392721;58,011886
1990-03-31;395,463148;3130,635347;264,74647;118,258726;92,174856;125,604533;108,334131;83,717281;77,640551;90,534375;102,950769;45,707528;40,747949;40,91221;401,050741;90,510025;99,315042;89,419527;39,588753;100,013069;117,397364;109,753991;285,187382;104,595946;90,460829;88,12077;51,264734;93,985973;97,386727;121,163343;80,037925;59,695856;96,320857;91,349125;77,982581;871,914491;1307,441609;301,863692;656,214046;559,654241;180,607663;108,863173;124,941677;113,044911;288,382408;2229,797467;3553,09807;6827,462344;6694,383217;592,613505;864,360225;590,543641;269,343734;1456,855188;97,472343;251,610006;106,703847;90,288134;109,665078;127,322067;125,274985;99,57658;462,353845;332,401742;125,549185;148,528001;92,005506;119,089366;66,93634;357,8202;119,170713;82,578981;306,955103;67,916223;88,064555;119,720939;129,94259;130,584538;41,337125;69,259733;85,266564;125,847167;41,404495;214,207094;62,791231;35,747096;238,235302;116,571235;88,192871;72,955641;69,187176;71,733465;80,554184;86,495337;133,482926;61,184814;206,908057;193,624925;529,395247;126,844572;351,739733;512,069756;72,199682;185,698261;85,233285;121,594204;156,22989;197,384299;121,688762;204,310337;225,483864;449,957116;250,092554;117,612831;100,959613;208,851092;490,643672;99,585362;163,247661;246,431783;122,814871;197,514074;173,633427;230,848934;129,413797;103,898702;87,984244;203,727676;109,008833;103,192235;107,139737;173,402781;303,823762;208,570408;174,02806;81,843592;211,985005;77,431808;124,934747;39,475307;24,464494;145,404595;253,915105;59,905956;79,482728;4177,053516;47,416751;22,717005;103,891869;183,957292;194,153658;25,015497;82,81179;131,009653;121,587437;99,770136;165,744091;100,319773;62,642187;96,993731;115,427449;110,592827;134,44157;167,209626;100,935726;80,549141;78,810241;67,372033;179,901454;146,190923;140,090455;494,625715;118,184078;143,509614;137,63576;70,773513;262,340258;138,305357;98,449503;29,909979;75,255709;98,282874;17,669946;40,540737;71,602212;305,754903;497,135389;254,342844;79,105509;151,123468;294,654644;138,864941;58,21125;103,136143;54,063072;95,210162;38,123806;81,195712;103,957604;89,110811;70,510275;74,151004;101,549518;68,592743;68,592749;85,523742;85,523736;76,647892;100,824611;160,702519;58,011886
1990-04-30;366,131971;3012,432439;225,175406;112,373892;85,508302;109,572814;108,105499;78,595727;83,07261;80,560734;101,442834;40,462338;33,890067;33,664231;343,915768;89,867555;126,709164;79,798676;36,607895;100,013069;114,052964;92,462029;253,266484;91,523121;103,777904;98,377434;57,334131;91,894371;91,543948;106,935478;92,342165;58,682203;113,408549;90,433372;82,150942;763,73306;1142,975392;287,091474;620,330703;677,923256;189,131185;108,863173;131,971485;113,044911;297,192263;2144,495686;2897,095512;4155,116972;5444,451769;458,273426;1327,361077;512,38794;276,751556;1192,491969;91,228657;236,474861;87,864239;90,288134;108,201301;116,83925;112,676476;96,372581;439,963939;317,018962;125,549185;132,134577;92,005506;100,41928;69,706202;337,349659;137,828305;81,392565;234,395051;65,418986;82,066892;66,407622;122,437185;117,848341;35,56967;47,96925;81,970905;109,093286;37,237691;214,077127;56,761524;34,309479;203,058004;104,528434;78,956442;66,567545;68,024144;66,176663;76,501248;88,254145;130,169788;46,088106;182,544456;177,047473;514,8647;119,046372;326,763094;450,451383;72,199682;179,464828;73,474544;105,048259;151,764779;202,041724;116,746994;174,120565;195,280153;408,732147;231,600211;106,682904;95,651462;197,425884;417,134379;89,56163;147,67801;225,916688;115,500997;178,661488;170,278577;229,38484;131,714507;107,859542;83,586419;170,473364;107,209044;83,436303;93,564862;161,074011;290,148737;188,138788;143,98348;71,253506;208,532777;74,600493;111,98307;37,507257;19,838064;73,962786;225,781024;59,248398;80,987756;3575,994274;24,001536;28,595437;101,346545;135,377137;102,562533;17,367123;59,992135;131,907828;103,71557;99,770136;161,477766;72,559332;62,954497;88,559368;110,434582;101,281068;123,18406;143,74527;96,537544;66,51941;79,897233;58,094788;158,729767;128,742817;202,063202;441,601175;102,890868;88,905666;152,551732;60,311278;154,482794;121,403322;93,058487;30,226438;71,42666;98,282874;23,361203;29,043495;54,762621;419,199929;573,483398;222,684129;79,105509;143,603919;267,705251;138,864941;52,730592;103,279545;56,830956;88,449745;43,334689;54,71643;182,824157;71,518024;63,69206;74,95493;112,497015;64,951467;64,951473;79,008647;79,008661;76,653511;111,8048;148,488848;58,011886
1990-05-31;369,201396;2970,165061;220,624298;120,090908;70,698257;117,293883;110,349641;85,942817;95,190774;80,186719;100,054326;51,67188;42,559831;33,659902;341,645504;93,956953;134,542699;81,740423;37,743274;100,013069;114,380685;90,458698;242,164195;82,372545;113,496993;84,509498;58,657012;95,677736;93,241067;104,881815;88,274539;75,858515;129,060648;91,807001;107,637251;704,949064;1248,815235;260,832496;628,272094;686,850862;214,337452;108,863173;112,59226;113,044911;292,546905;1801,803611;2790,592339;2378,135892;6646,628992;419,682677;1132,09039;487,841355;227,484228;1133,605903;92,875596;232,824291;91,808853;90,288134;109,490463;120,920022;118,073832;95,985821;418,577949;265,41863;125,549185;143,632381;92,005506;138,778197;69,87517;323,810123;139,379373;76,152168;197,15225;65,763052;74,44554;60,217135;130,490335;117,855382;36,705396;56,044916;80,299561;111,436323;42,622273;225,678786;46,566675;32,899305;205,617612;102,892456;81,941905;65,002065;63,514974;67,58484;83,073659;86,163979;134,766245;61,264623;185,261994;176,258345;501,172898;118,916042;345,715007;447,870138;72,199682;176,870755;68,432631;111,02793;142,583018;229,666714;118,601869;171,621019;195,01897;405,457583;250,849445;108,608832;93,594872;207,080763;442,875292;83,630428;144,834204;217,616125;115,666295;188,262031;163,087423;248,141074;120,151052;123,804992;83,500963;143,36392;97,227375;89,299258;92,125113;170,691003;284,773865;186,691191;168,033202;83,124708;186,897538;75,845756;108,007076;40,627228;23,044485;119,408776;243,673837;63,484822;83,54865;3623,15128;29,613609;31,964863;109,521791;131,469285;105,954881;27,054924;86,223939;140,862411;116,855171;99,770136;164,735588;73,423992;59,548352;83,96925;98,098883;104,935029;122,979205;139,918699;93,23262;88,470443;73,996831;56,213798;120,503892;131,465195;293,138179;437,98766;111,608935;91,1661;145,718581;73,336466;157,730965;124,114884;77,955456;32,306367;65,165629;98,282874;18,453926;55,010074;50,013999;366,055272;514,688923;220,051997;79,105509;140,954801;255,004139;138,864941;53,646771;103,9735;55,059422;89,700966;42,735681;76,486197;111,18527;51,457517;67,459022;65,446273;115,252407;51,22061;51,220616;42,801907;42,801921;80,464104;104,427648;152,014668;58,011886
1990-06-30;350,270643;1862,89823;245,684475;125,327824;85,368217;119,256791;105,19145;81,978387;82,14646;94,82529;101,908141;43,278988;119,717564;23,10233;410,277326;86,402074;142,719876;85,726275;37,575001;100,013069;117,508419;103,468229;258,32676;86,02137;84,635378;92,103431;58,590912;93,917918;85,312194;103,73968;87,851204;70,913387;159,852749;97,101984;90,389124;731,417081;1159,022207;274,733975;596,693616;601,872614;182,764884;108,863173;145,350889;113,044911;285,050556;3053,199377;3459,710893;3523,416471;6774,573548;555,852567;888,557868;573,039002;243,864722;1284,075249;94,138331;272,943666;99,415024;90,288134;112,681125;120,106398;126,104581;93,879148;432,789439;259,653067;125,549185;141,284778;92,005506;136,512007;66,351111;341,719075;137,614206;79,542457;260,876634;64,096256;69,219571;59,765156;129,441468;150,370109;38,003413;75,060774;87,705722;122,670419;52,45374;217,334317;50,308226;34,425887;212,76252;109,367106;81,084609;68,695134;65,307653;70,164979;77,45809;80,151888;126,601948;55,877129;228,840569;175,733776;499,430194;115,818468;355,894337;449,844181;72,199682;185,06778;72,868113;117,477946;171,843656;221,276134;122,186036;188,650687;207,29634;440,574033;268,134913;112,38159;98,806021;211,846147;459,172422;93,907937;156,610997;222,205226;121,353486;189,2953;181,011509;259,107639;146,263382;149,622527;87,597958;179,339799;107,002814;156,730402;103,462305;162,154599;305,158709;206,608612;199,043782;99,0697;213,914566;80,367507;115,00488;37,977043;26,494331;189,571051;244,614567;26,454301;92,94081;2952,277712;82,536316;29,074348;154,66225;138,200165;125,951992;48,535451;71,423011;151,336542;147,625112;99,770136;170,27972;77,580555;64,65156;86,689948;127,847573;117,594854;128,248571;229,524781;110,255192;106,517887;91,250935;65,626563;126,581425;185,287883;471,979393;459,345938;132,880469;111,916294;164,843382;54,141807;176,277863;129,503501;88,05041;33,378145;72,668901;98,282874;20,470758;25,323023;56,437794;408,194681;434,4815;230,926978;79,105509;144,89446;273,36412;138,864941;59,069349;107,592654;56,10745;104,971595;44,907836;124,809006;125,042088;66,657127;92,875976;65,026445;116,600475;51,535162;51,535166;39,117156;39,117164;84,58597;110,569812;153,381905;58,011886
1990-07-31;307,255605;333,40216;247,357743;126,298063;86,126927;144,962502;110,516772;76,505251;85,076969;85,641098;57,56919;42,702057;162,995456;17,366486;415,34176;83,7774;120,019292;80,536833;41,399731;100,013069;100,154269;65,74928;191,012806;76,334902;91,347869;73,179343;51,435428;92,035585;78,179158;78,078926;73,320174;56,204212;120,409161;97,814002;87,439485;665,09269;1032,197394;208,368663;432,294876;448,162101;179,152674;108,863173;106,393149;113,044911;275,693451;3041,468401;4139,694119;4933,403732;9076,557466;468,575571;1120,361788;426,255971;230,966566;1058,11372;102,844293;300,78922;99,353836;90,288134;107,13554;134,098238;122,705554;108,80583;478,978955;288,458325;125,549185;125,34629;92,005506;143,102672;67,468086;322,422523;145,804883;80,798622;217,277392;70,222481;52,46466;65,580026;122,646361;113,481754;41,586397;44,146288;91,747472;111,330346;39,674105;181,290634;49,541002;32,573537;184,490685;112,61783;79,588719;68,746818;70,564825;71,297813;81,502265;70,339901;111,529064;57,393712;206,261155;192,674653;566,389;111,301125;415,268384;332,64221;72,199682;185,49479;69,142235;119,128861;164,128518;263,181816;117,139727;54,079677;226,317964;505,544543;284,127002;115,308766;90,795901;216,183258;438,861912;64,424874;129,224869;189,168963;127,051648;198,714684;159,742032;292,745127;159,393973;117,017052;96,740308;134,074686;99,226385;65,579786;93,883296;156,725423;281,605843;178,264204;151,585663;102,306073;192,43584;93,616392;127,21012;36,527327;19,979482;71,045411;208,532063;64,719184;68,854295;1413,526149;21,983284;20,640426;117,985455;138,307554;125,921237;63,15726;116,487742;133,351003;141,375718;99,770136;117,013178;108,964914;58,057653;90,897156;83,928802;107,266323;115,867681;159,851728;96,793505;89,273715;71,949728;63,20313;106,362845;160,434158;52,872783;427,555669;120,46435;121,170187;150,353096;68,071595;190,024333;125,693408;76,207746;25,401441;59,260204;98,282874;11,921499;16,155766;58,725442;493,59872;364,372848;222,466085;79,105509;145,535188;263,201773;138,864941;49,485724;106,819674;50,908185;88,449284;45,84594;67,905898;130,654709;61,816181;75,121683;66,270297;118,274449;52,42753;52,427528;35,325588;35,325603;90,882256;109,252011;151,914822;58,011886
1990-08-31;361,567333;1982,850133;221,50113;92,627439;50,905539;55,336406;114,674447;78,999544;88,355519;70,401434;92,794663;44,418392;214,971643;33,480712;357,741092;75,4054;67,931052;82,301626;39,697928;100,013069;90,009055;74,970714;72,215419;86,70229;88,481497;62,723052;39,280843;54,647696;90,798265;95,907074;98,583988;51,947641;106,6989;97,359627;93,676825;295,306027;552,776523;133,969144;180,672639;128,843517;112,629889;108,863173;74,77319;113,044911;95,768158;1431,347589;2247,973022;2623,793988;3138,691815;234,303355;560,123928;214,381585;154,041913;705,439945;43,554839;77,851582;69,934639;90,288134;101,167541;74,501406;71,792233;59,699379;299,389989;155,658954;125,549185;128,780469;92,005506;139,96327;62,230067;209,789806;121,872077;78,531862;239,237106;53,042102;65,425701;30,182866;74,340356;98,344993;31,223589;116,591399;50,29066;88,715353;34,438241;129,978664;32,006362;28,926297;143,352528;31,940779;58,881741;44,32497;34,946612;33,021248;70,965087;66,503302;99,203859;39,372885;113,710538;93,125385;131,589028;48,794765;113,007553;417,839845;72,199682;106,051397;33,037523;86,13677;46,370306;85,307905;72,378362;177,04259;19,130336;15,895429;163,154019;36,782626;49,690619;130,21114;225,48914;20,052547;49,825414;81,071338;19,488809;30,48153;146,662813;150,927144;77,028671;57,525597;70,313519;133,329858;42,911548;94,811935;54,063141;84,910807;163,497504;116,568632;138,540861;93,234424;131,751465;15,1412;59,913256;29,940042;17,479521;62,356815;218,820828;33,384197;57,77047;2019,384029;26,319323;12,029001;60,41844;107,497556;117,291407;36,533745;89,338321;99,908082;125,060764;99,770136;66,605743;91,795161;51,931938;48,680656;73,403225;85,922003;83,206954;201,604109;68,051706;19,744987;52,952556;39,544971;70,465295;102,373594;25,593154;265,475146;101,804903;56,955544;146,274121;41,487682;184,262007;29,660277;20,227833;21,058818;33,60523;98,282874;2,847991;24,461871;60,090168;178,934855;244,315441;162,243339;79,105509;148,803525;152,047414;138,864941;36,241327;51,544683;43,982204;64,932688;31,634738;88,311421;111,058367;50,414665;61,860973;62,277465;107,593603;48,194761;48,194767;28,516829;28,516812;86,349571;61,81464;116,123519;58,011886
1990-09-30;358,171862;3132,384342;255,307272;114,757879;100,209678;86,20283;105,089345;77,725098;54,790362;89,078786;96,355107;29,400812;231,952215;37,658155;380,531048;70,339988;59,981299;81,492732;44,839964;100,013069;130,951269;109,995478;219,223309;115,395376;97,187128;76,369799;51,804569;91,393395;87,088396;108,249074;93,989175;73,291568;84,771388;94,732089;53,805247;763,117517;1189,042611;233,225861;566,998548;713,400837;222,177458;108,863173;131,398099;113,044911;296,696738;1809,706032;4426,827893;4315,613066;4133,362091;571,294963;874,463508;502,934346;302,126189;1192,661461;97,871398;220,844537;97,841834;90,288134;99,816119;115,528556;123,464444;85,48463;419,445654;236,375026;125,549185;152,459866;92,005506;126,033473;75,821286;306,032913;139,275672;76,161856;272,2142;69,10032;77,627953;55,790025;109,687465;132,443116;36,272793;64,022429;81,510799;103,691345;38,897402;215,796457;40,278049;34,07472;212,562124;100,945285;84,059886;66,259992;69,095569;69,827775;78,745414;68,708394;121,416039;56,446053;185,02093;154,198291;508,826221;113,661901;426,360162;455,751141;72,199682;168,193144;66,570415;105,876971;132,584085;243,397194;117,946582;167,680445;193,237665;377,832149;229,99784;110,078203;89,221595;200,234388;457,087383;86,985475;150,402024;229,722891;115,371522;182,981977;169,913502;229,06221;161,505061;96,014187;86,78968;163,754804;102,108108;84,517537;96,768808;168,567306;285,336358;184,712201;157,981496;106,292565;153,617463;68,118787;123,269019;42,573428;28,497828;139,571619;217,794223;65,431902;118,562152;1884,376048;75,210968;11,349234;145,807713;140,811823;164,44287;29,51507;80,34329;110,979037;119,446507;99,770136;166,193652;121,445376;61,935796;75,407715;97,175323;111,257949;111,675884;253,89152;110,806986;92,288779;77,075614;64,785488;124,139546;155,817018;46,355718;361,126232;99,679511;118,432013;137,740928;33,281333;183,222483;112,43131;81,84379;30,235564;65,342377;98,282874;14,426722;39,492118;56,824303;332,889712;339,713618;234,005193;79,105509;181,760114;298,103557;138,864941;51,953765;105,251979;47,662064;95,435009;45,14348;116,941499;110,333619;60,435507;69,964557;67,65037;114,037664;51,302672;51,302674;45,018099;45,018115;82,75694;105,159828;154,141676;58,011886
1990-10-31;375,762525;3118,683881;282,751701;131,119754;99,192755;134,347203;121,784953;86,145651;62,501538;83,891323;92,362221;37,947573;134,859788;41,64594;481,936142;83,440554;50,31945;93,892308;50,007842;100,013069;121,539031;120,625284;300,779672;120,41717;112,797855;97,536456;50,315288;89,221426;99,82739;116,916931;104,758794;97,748746;87,421899;97,181097;53,859109;880,070428;1376,356376;287,12755;698,044778;731,489531;309,590609;108,863173;137,172901;113,044911;423,315813;2371,300756;3460,65888;5611,752467;4575,73073;577,746884;1353,447891;537,318894;351,696342;1233,827759;102,439277;293,634488;107,988501;90,288134;109,677757;125,220434;133,985799;102,409109;468,51164;227,516133;125,549185;168,858916;92,005506;130,253994;78,491514;322,688638;142,75843;93,883631;276,238547;71,130862;68,674608;83,790603;116,567164;135,686361;43,210349;89,345749;79,889845;107,486353;45,308967;229,251583;65,495309;39,685695;227,232859;111,02346;93,732014;70,190714;78,08359;73,62259;81,96492;77,021227;129,811402;57,251556;209,91553;182,097697;566,887236;133,167532;358,260591;531,77748;72,199682;190,638725;77,789889;122,961257;148,49912;168,106328;118,776167;189,730247;203,464129;455,225671;223,082852;122,097923;99,906931;202,555521;502,32922;112,836863;170,986951;248,867886;125,010726;197,073805;185,202763;284,604927;212,711441;89,65495;138,114823;209,418808;106,395993;97,819616;105,569349;180,398057;323,458572;211,435317;171,547821;97,840304;183,692225;90,096402;137,182121;38,02849;22,052199;79,3442;303,638553;98,226997;130,192074;2861,868217;25,287203;23,84463;145,685285;113,241177;215,96917;33,85895;100,945828;132,655561;133,098363;99,770136;194,44844;99,836704;64,231138;88,622484;118,907977;115,317127;121,388699;429,383142;105,759191;100,446916;72,093401;66,895154;146,949572;164,746349;257,969964;501,523855;113,719774;113,022258;149,930421;40,310191;189,103735;124,686675;95,547275;30,58307;70,811372;98,282874;20,644;36,206906;57,861072;330,346879;425,603128;259,877692;79,105509;171,548101;323,286356;138,864941;57,342874;136,383228;70,808204;96,376846;45,101861;66,471701;118,495918;82,038025;71,716751;74,588698;117,681892;61,303355;61,303357;65,444496;65,444482;81,799615;122,018996;168,971156;58,011886
