;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
1990-01-31;391,339072;2800,561556;227,28309;112,627554;96,702306;112,30745;105,210995;80,374951;71,367043;80,039331;87,48285;35,80281;100,031301;33,825097;460,929779;80,862827;82,387051;79,089734;35,908338;100,013069;108,183511;95,229807;152,061338;99,902715;92,73469;80,930866;46,842681;71,997666;91,593382;105,605046;119,085491;81,763462;96,76579;88,103988;74,93992;724,246452;1270,522249;263,86882;571,027594;544,537566;199,262902;108,863173;121,928656;113,044911;290,076597;2328,972866;3446,927209;4662,893998;5257,908047;549,081263;957,044518;505,178356;242,933955;1152,837298;91,463659;227,698984;99,592881;90,325769;110,362646;115,139675;113,419084;91,151397;432,237079;302,673401;125,549185;144,372463;92,005506;136,348122;72,749342;349,578439;135,232692;87,464212;246,922528;62,840663;80,136917;89,642478;110,462246;118,273745;36,962518;66,205186;74,947044;109,66267;35,082419;186,09022;47,988218;32,495893;208,62408;96,12913;73,358128;61,284755;60,361097;63,890506;78,807138;81,438767;117,077606;55,349333;175,83827;168,990044;494,521295;115,886508;324,607961;459,645829;72,199682;168,742765;61,924296;106,505874;143,603317;147,670389;107,869983;184,084458;210,915905;402,194335;221,302247;98,144976;89,449168;185,330167;418,145533;81,202039;146,9906;226,209905;106,0669;178,477261;156,379237;220,927715;130,234179;98,520873;115,40358;174,594543;105,398195;92,663537;93,627833;155,189978;276,747116;191,727784;157,391306;82,576015;181,998602;71,262718;110,98944;39,490568;23,91939;113,23077;253,682325;50,388914;94,826757;3616,207706;33,7966;21,124381;117,071899;128,766156;139,457398;42,18995;92,013025;130,078035;127,394267;99,730887;146,430191;99,480729;61,820625;80,734159;103,916117;104,301108;117,912849;207,148411;97,408158;62,291853;73,598326;63,630831;139,153597;140,320877;153,999404;476,209823;115,147592;120,319371;156,316354;59,052168;185,947285;122,500141;91,311756;28,099474;66,32251;98,282874;16,040831;28,346021;60,813068;373,522808;329,066552;226,33355;79,105509;143,995224;259,355182;138,864941;51,291727;101,993819;60,278674;91,197671;38,171112;71,767903;115,856358;44,528498;70,904839;68,229749;106,129206;62,741202;62,741198;71,004326;71,004327;77,528909;103,478945;145,111268;58,011886
1990-02-28;379,834827;2833,095167;231,890051;111,573193;84,488981;115,947885;106,11272;80,877712;75,570062;82,158578;89,133296;42,188941;100,320229;35,975168;386,277129;82,3758;83,963904;80,94674;35,888039;100,013069;110,773758;94,871545;234,018629;101,617838;94,643593;82,604251;50,384612;76,229938;93,110794;106,773289;104,427375;82,543187;96,979312;89,659247;81,957908;742,028315;1236,761093;261,638028;582,019021;551,312225;256,415599;108,863173;121,508078;113,044911;284,67662;2332,909626;3436,217537;4683,382035;5288,340084;527,80852;964,638227;498,787601;245,634305;1179,366933;94,251487;221,363925;115,295801;90,33848;110,306798;116,125717;115,820807;93,020802;436,211326;287,182839;125,549185;142,586089;92,005506;123,990211;69,273046;327,119554;128,641748;82,705032;243,23588;64,987506;82,684017;90,013844;116,073644;118,5927;37,756262;68,133192;76,308505;112,889954;36,981975;201,30439;45,304911;29,487874;207,898824;100,667582;73,274985;62,552838;59,270054;65,674515;78,723792;82,788039;122,38798;55,097018;182,08405;169,275648;463,669898;114,413225;315,639859;451,222762;72,199682;162,376998;65,405461;103,087321;145,305753;155,419634;108,52268;168,627026;200,905169;409,835472;222,439893;101,369771;90,228402;195,861737;425,267563;81,659527;143,17167;223,987387;114,027893;176,279945;186,688481;230,876032;127,492333;97,416662;84,718958;177,071284;102,59618;93,271326;92,402111;160,602147;269,754405;190,606928;148,173586;79,045343;186,731294;71,669499;110,634463;40,070413;24,268133;114,764659;342,84413;59,758396;115,63732;3656,788293;37,642556;21,002029;112,560439;125,707801;140,916754;39,630742;86,372343;128,616307;127,193393;99,679773;175,967965;98,332803;62,039886;80,06786;103,925091;106,113792;118,86429;201,65713;97,593679;64,770759;74,137873;64,641301;160,871953;148,043953;183,684408;482,977845;116,182015;121,341341;154,60941;59,686263;188,14024;122,291089;90,322757;28,630016;67,110693;98,282874;16,272459;36,21589;59,004846;380,700557;342,860203;233,483034;79,105509;144,208568;267,494324;138,864941;52,634309;103,439283;55,855986;91,372371;39,760227;73,355064;116,314081;69,609536;80,411601;66,840314;107,447703;57,977036;57,977046;56,584388;56,584404;78,308094;102,177619;143,547438;58,011886
1990-03-31;386,950699;2824,394369;234,68894;108,662625;95,473175;116,135976;105,759005;80,230204;76,148679;82,886733;89,956454;40,399646;99,62153;36,877659;395,216916;84,51062;86,025664;85,343616;39,446145;100,013069;110,121409;97,04953;229,670143;99,228284;95,899004;83,064491;49,182992;80,946495;93,072512;107,351902;99,917554;80,103556;95,021326;91,548219;76,046631;756,238814;1224,022575;259,128608;572,931161;541,509605;194,458789;108,863173;119,282707;113,044911;281,50295;2317,751956;3383,226702;4594,003979;5218,159501;521,376843;1007,06466;507,208886;244,244462;1175,625537;92,216475;231,761626;101,769392;90,253072;107,873008;117,004666;115,901329;92,011757;430,392064;287,395436;125,549185;147,518305;92,005506;124,785139;68,157502;318,386611;124,927267;82,364865;260,542756;62,599247;82,590892;88,500536;114,696066;119,975106;38,501314;69,030209;76,575826;110,58695;39,689646;192,708329;51,255115;35,496702;210,648722;101,317083;80,442488;63,789978;60,601372;64,766128;81,236835;80,537861;124,129828;57,284575;182,952398;173,245617;485,687465;114,718399;337,243852;452,399219;72,199682;160,257439;74,871161;107,527503;145,798267;161,909755;107,650919;178,016293;201,959801;406,692259;229,427666;102,540237;91,952753;190,712121;437,655039;87,32012;141,451846;221,366347;109,723674;175,142091;161,997147;226,300592;144,066209;104,102033;79,418409;179,691811;97,876407;94,83416;94,060889;162,339628;275,671187;189,718866;156,986815;82,880208;188,462792;73,758164;110,997071;39,335086;23,936126;113,0979;255,927932;54,295534;98,471229;3517,568729;36,893712;20,975216;110,470046;129,901702;157,591775;40,115417;86,008868;129,260383;124,506797;99,665339;146,459112;94,164961;61,245957;84,82169;106,417853;103,877843;118,464029;198,093289;96,513778;68,738506;72,510992;62,594453;148,219308;145,046499;168,600319;481,219322;115,843455;118,733156;153,131357;58,983517;190,795605;124,365974;92,021219;28,139113;65,165695;98,282874;16,156802;39,077694;57,386928;371,715095;373,759293;235,612363;79,105509;146,191885;270,988068;138,864941;52,416789;102,418099;46,054158;90,879222;38,739495;74,691593;114,624893;68,867512;69,447131;69,240071;106,962314;60,887158;60,887161;68,063841;68,063833;78,417502;103,470353;146,948244;58,011886
1990-04-30;368,435339;2851,580123;226,184244;107,699538;83,825185;110,734783;108,432614;78,928;79,235186;82,93425;89,821843;34,349631;100,964029;33,542534;330,58219;84,655606;85,501719;84,22586;40,540701;100,013069;110,849635;95,684071;236,214215;97,490745;94,318706;83,539968;53,152585;83,607921;92,478172;106,379307;92,171592;80,256793;99,007543;91,967577;74,551392;735,753509;1139,062522;248,043762;568,354817;579,082163;223,139989;108,863173;124,148262;113,044911;288,929428;2477,023371;3521,03771;4658,815509;5825,281544;527,856094;968,619807;497,608569;236,244836;1129,746983;89,048526;224,871045;96,457038;90,453206;111,92648;114,655949;113,876079;96,583331;424,84409;279,127328;125,549185;146,647574;92,005506;113,397908;70,925903;333,958627;126,571134;79,240173;237,350462;65,105638;77,302933;84,259859;111,795437;116,833826;37,022396;67,947603;75,842548;107,984223;39,34553;201,053186;49,790672;33,241001;201,602316;99,697194;73,766915;63,993231;61,792692;64,171496;80,635669;85,250493;127,119533;44,764057;170,394198;172,08138;472,130486;110,758191;333,872845;440,102246;72,199682;164,09188;67,264212;102,994035;154,251184;172,856499;110,386323;161,85016;189,48948;388,201991;227,16473;100,51279;90,608449;190,677799;409,922908;85,214852;139,517702;204,472318;108,108758;170,991627;163,859611;227,897054;148,716347;110,222204;96,851463;174,92569;102,089875;94,589683;92,615757;156,741769;276,260477;188,38062;155,718792;81,290099;186,605881;71,619924;109,567598;39,66809;24,222466;144,512093;247,007057;59,858996;98,905903;3255,738786;38,009987;21,563018;113,098975;138,890488;142,93451;37,235393;83,206888;128,81021;126,028372;99,862296;155,573378;88,441957;61,993841;82,886066;107,08193;105,444966;122,797123;200,84466;100,969915;86,151446;72,828184;63,809473;136,062596;145,012933;152,852537;434,664209;113,637283;108,243385;167,620398;59,203628;177,980853;118,462993;78,623492;29,445407;65,756394;98,282874;20,303496;34,554006;58,572818;347,61596;450,049498;233,382145;79,105509;147,919927;264,249139;138,864941;52,50379;102,628237;55,976214;91,002674;39,405555;81,577962;115,935285;68,450503;72,278433;75,650479;109,809291;65,57674;65,576745;80,169992;80,170008;79,125297;103,129059;145,115739;58,011886
1990-05-31;359,09432;2775,961567;225,663864;111,572883;88,017387;115,055733;110,050034;82,614209;78,086909;84,128746;91,864406;37,375357;99,843027;35,485566;409,623756;84,606682;85,672779;86,081134;40,042166;100,013069;111,995772;97,708307;283,236349;96,323867;99,79563;86,261995;52,608054;89,166391;93,148076;107,41556;96,068818;83,088686;98,211239;88,940605;80,13551;741,172085;1199,981195;250,976644;586,132188;602,946143;222,073175;108,863173;119,045064;113,044911;277,73852;2255,65741;3409,373502;4540,66686;5911,408195;495,890402;1083,927079;497,621078;230,607558;1239,417671;87,76997;237,087904;98,462839;90,303647;103,730932;115,8211;116,912096;94,970228;402,337712;277,477497;125,549185;146,186474;92,005506;134,321343;67,702472;322,767891;127,291868;80,673506;238,080971;64,044623;71,110225;86,527884;113,529081;116,85429;37,619197;70,053951;75,30584;104,732693;39,226978;205,084566;49,518259;34,364118;214,814695;100,630742;79,122159;63,62744;59,367453;63,95697;83,295637;80,415931;127,753711;57,503751;173,489749;171,035;466,711031;113,875513;343,92701;434,444509;72,199682;164,840513;67,100928;106,73993;151,334103;189,996389;111,356461;173,168128;190,733632;396,457423;248,114293;106,260712;89,804262;204,418069;454,446855;80,455628;142,314126;215,699532;109,621333;181,962184;162,906514;241,474701;153,227101;110,754797;94,781422;163,847351;95,614261;94,49126;92,162499;163,535023;276,050478;189,427665;162,69084;83,797397;181,705024;72,589383;112,413702;39,162015;23,695659;143,567106;284,031437;59,578197;102,474544;3213,276405;37,258434;21,361492;114,116935;152,005149;145,502787;45,958846;100,320975;131,140812;124,213527;99,673402;162,664477;76,906343;61,189108;84,493747;102,145483;101,746283;116,487429;194,409428;97,225406;75,917929;71,207932;61,383813;127,106439;145,380907;149,779706;416,018107;111,638407;105,507016;165,904885;55,346539;180,262086;117,653422;74,276402;27,920455;62,468605;98,282874;18,601989;38,445304;57,244003;321,530602;442,016752;239,124191;79,105509;152,255965;269,862181;138,864941;50,847058;101,995852;53,824429;89,641589;37,45209;96,138831;111,236345;69,248772;73,664198;72,332944;106,444109;63,081464;63,081469;70,437628;70,437649;79,548098;103,655917;147,407987;58,011886
1990-06-30;357,119088;2542,143224;237,146593;108,339214;83,065657;110,398697;108,703834;79,966677;69,445156;81,865051;88,517248;36,138555;99,578121;26,618537;422,740934;85,498039;85,287496;87,215717;39,655804;100,013069;109,176658;96,295134;236,049759;97,890167;95,492295;82,626836;49,323075;86,061641;91,269183;102,982276;92,268066;83,301482;102,963608;96,681413;71,048047;681,995099;1147,626291;242,044391;548,259561;610,282903;192,862389;108,863173;124,029005;113,044911;288,164342;2336,512683;3441,130227;4596,91023;5634,409065;477,824729;1169,088499;504,198735;239,276944;1131,594327;87,562125;228,107875;93,234601;90,359723;104,893244;114,759911;114,300617;89,902775;421,9301;250,727307;125,549185;140,75208;92,005506;138,54092;66,392714;325,894876;129,471769;71,280365;249,925298;62,949989;71,147895;88,782209;109,531898;118,902946;35,372268;67,48778;74,617043;106,595417;37,792704;208,044319;50,381086;33,822145;197,732925;97,653588;76,006482;64,343106;60,100127;63,788676;81,433263;79,099209;123,06867;53,383676;199,303036;170,037691;458,524384;105,577939;346,546252;421,196328;72,199682;159,114257;64,015306;106,72034;145,859128;171,736693;110,707935;178,177483;184,999241;387,007344;240,56177;99,835274;91,204414;207,204038;404,933417;92,347808;138,692566;202,450815;104,08426;166,611449;163,69985;227,867525;138,02653;95,652938;96,061103;171,091737;96,968841;95,623414;93,138093;155,208917;274,303144;189,059513;164,103209;84,081904;195,624329;69,976197;113,724968;38,925569;23,640646;142,637816;190,003358;59,211924;84,868434;3255,920643;35,843054;21,326187;113,173577;146,185325;150,586284;42,687191;92,662175;126,906203;122,695889;99,792069;161,043069;84,641087;61,44474;78,471466;105,165277;103,040781;117,755074;191,531941;98,751893;84,961338;71,720713;62,765757;125,284457;163,507154;148,031042;427,393581;111,029142;105,106595;163,995464;57,399135;177,478035;112,151064;76,11829;28,679684;64,579776;98,282874;19,594295;34,522441;59,1649;344,625609;404,030095;232,792225;79,105509;149,874704;269,640807;138,864941;52,608599;101,367872;53,66531;90,710812;39,033824;81,153125;113,109353;69,541839;70,089288;74,882445;108,608049;65,60723;65,607234;72,126426;72,126443;80,018656;102,87515;144,651063;58,011886
1990-07-31;304,114401;339,922954;239,020324;112,379204;87,215506;113,076876;111,941004;80,76973;77,420273;82,636864;91,433147;36,366908;100,649774;33,387063;499,340163;86,684779;86,505644;87,141173;42,69815;100,013069;111,812397;102,057182;240,48289;97,450234;96,077626;84,13727;49,460523;101,0482;83,748447;98,600756;99,201564;77,098557;104,507298;96,424313;69,042311;754,063434;1093,750471;243,179561;537,034321;578,128809;241,513654;108,863173;108,04888;113,044911;259,15093;2323,598347;3294,797004;4402,752455;6697,057;485,439274;990,062891;474,016668;261,824182;1198,062619;96,196645;232,448606;89,276886;90,454338;101,06097;120,064122;116,207975;91,51378;435,102715;256,438556;125,549185;143,392118;92,005506;136,952291;68,642709;298,114046;132,768569;76,799444;254,863571;70,140235;65,535609;83,705204;109,215064;121,55121;37,599869;68,530357;76,904518;105,67812;41,507721;233,175363;50,451847;33,546578;201,909735;98,023598;77,018069;65,136507;63,277915;66,02282;79,070434;78,281686;124,068218;62,136806;194,238216;183,907968;526,985862;109,152104;423,003559;452,982682;72,199682;167,279606;66,064213;107,715893;122,128137;171,311364;114,112147;51,417698;202,221775;397,763164;239,160715;100,152413;81,664274;206,537561;425,864014;67,119039;147,576701;207,707617;138,858347;209,670731;169,152572;252,575137;172,510578;121,206187;95,659965;160,084995;98,833608;99,164413;91,639353;160,881561;269,62291;195,969567;158,575285;86,095182;185,563632;78,182956;121,52702;37,830812;22,987309;126,739431;256,091976;58,116142;101,357819;2609,350667;35,378624;21,705877;113,667672;146,605579;149,896124;47,635706;103,224354;126,766574;118,200105;99,870179;147,918633;101,27642;59,993093;83,954849;94,259341;103,825014;117,506093;214,038716;100,374039;71,722404;73,896534;60,56506;123,14831;147,228501;150,210888;415,157001;115,341744;108,757451;154,458478;56,627614;200,398629;113,733135;73,518013;27,617158;61,746292;98,282874;15,275941;31,468724;61,048831;328,14123;378,761825;228,069341;79,105509;141,920573;271,574325;138,864941;53,493166;101,835462;54,960316;91,116732;38,772025;85,565866;118,027038;70,270093;73,606282;74,622227;105,828721;65,354368;65,354368;73,047141;73,047171;80,722723;101,675726;147,803979;58,011886
1990-08-31;359,267142;1875,960616;270,008266;107,864227;87,360503;116,460577;109,191277;81,896303;78,547147;81,535145;88,169793;42,126116;101,166675;33,688192;374,637821;80,969548;83,07679;86,452624;40,488254;100,013069;108,405161;83,83349;225,05435;95,037031;96,917712;83,870768;45,084215;72,858622;92,096684;107,525692;96,970073;80,150741;95,93662;95,734132;75,942587;684,299207;1007,736169;229,055199;518,1614;556,488002;177,681376;108,863173;102,316235;113,044911;235,023135;2230,300833;3205,158952;4284,894272;6100,859745;505,047405;943,69403;427,998288;268,614577;1166,505243;84,392161;206,576371;82,079183;90,194891;104,40424;114,408901;103,430957;88,297517;423,748614;260,284168;125,549185;145,08837;92,005506;134,421289;65,929426;303,515215;126,651171;82,812961;253,704256;65,51821;74,776432;78,471474;99,381697;110,559957;35,353986;67,922192;71,963509;103,356424;34,884673;220,594391;51,131864;34,773342;205,689833;100,125792;74,911655;60,644787;68,245687;64,316375;75,782644;81,325249;124,200492;50,808485;216,467402;150,423074;434,563124;110,380291;216,378973;434,013569;72,199682;158,789704;66,765309;101,669977;124,908058;143,706962;107,901321;251,275505;152,999538;213,481568;221,875294;106,202806;90,126279;196,932226;428,314924;79,088971;130,621576;206,076398;78,830572;116,957527;170,895324;235,655394;120,315072;103,778155;89,517967;152,741567;88,789361;98,540591;92,511598;129,281065;281,102958;183,205721;152,536912;76,477479;174,635301;64,633392;112,383734;36,946501;22,347277;122,174182;247,958987;55,588608;98,628171;2642,658004;51,12857;21,727326;109,100503;141,01316;146,853335;45,267933;98,882965;120,469162;114,756506;99,606843;134,458102;93,478546;60,127406;85,081119;92,801543;102,068335;110,385846;211,221059;96,580639;67,002873;72,839093;58,528917;120,608156;127,972907;136,91709;407,88834;113,185329;105,340568;151,642821;53,070881;230,546656;106,701586;71,420841;26,964923;62,234088;98,282874;14,365976;41,429101;58,815143;326,256387;339,877238;225,218926;79,105509;141,058643;256,439011;138,864941;51,878583;100,008061;51,830334;91,120369;41,956626;82,824398;116,573944;69,492652;71,631931;75,060788;105,712029;65,418166;65,418176;75,668708;75,668674;80,434613;102,69057;148,790408;58,011886
1990-09-30;362,392123;3446,975522;234,976454;111,319042;83,589264;84,81036;110,19288;80,757569;66,409637;82,902761;90,011234;42,815843;101,766614;34,092787;382,38675;80,627742;81,26064;84,720553;41,434211;100,013069;105,908364;100,862725;219,047997;102,846085;94,768937;83,114883;56,309543;85,511606;94,593826;106,956955;94,341212;74,683007;103,460497;95,963032;71,244244;705,740392;1086,45192;246,7215;525,090701;576,111952;216,999304;108,863173;119,750738;113,044911;280,931752;2277,445286;3269,2315;4329,778215;6089,029248;523,337952;927,53301;464,589981;282,985111;1139,92213;87,210614;221,220673;89,680975;90,53606;101,787644;111,238096;115,234459;87,546814;441,146406;234,659676;125,549185;145,881904;92,005506;134,140591;73,042966;307,641697;127,351335;81,238221;253,815806;67,603838;73,196153;81,887952;109,220475;122,471724;35,917184;69,453172;76,629524;108,458461;42,231325;210,285622;51,921809;34,19505;200,275768;92,258395;81,349722;67,409796;70,192182;66,229855;74,534029;77,746454;122,971251;54,957348;189,142366;160,445488;497,638868;111,658688;401,654412;445,780293;72,199682;163,857264;58,802739;107,119684;126,840821;169,027405;113,826549;189,043824;173,966837;356,223609;223,146246;104,649015;86,213448;198,075027;437,595618;78,741668;142,120758;200,991757;106,010306;168,673321;162,816683;216,844978;139,970889;107,306853;91,623582;168,490321;95,688408;98,69821;89,699307;151,072455;275,013702;184,055153;156,124698;88,159181;166,675095;70,41981;116,719642;38,328426;23,258315;123,761239;260,73226;53,675902;103,668013;2588,409151;48,721502;21,773411;116,372107;152,119938;152,993466;44,6541;96,453191;124,734066;120,166333;99,962287;149,749557;97,130479;59,939914;75,873569;93,184024;105,011788;115,852948;211,340534;100,482896;77,934421;74,939233;62,921858;129,762473;140,912665;148,536364;410,750732;112,442736;109,026708;150,549373;57,650325;193,737093;104,554531;75,168946;28,03214;62,816123;98,282874;15,368222;46,938214;59,547038;333,243571;347,866889;223,032337;79,105509;145,534624;266,962537;138,864941;54,340054;101,095505;53,593799;89,936067;43,291332;81,742506;119,387373;70,768229;72,56965;76,347788;108,418865;64,829098;64,829105;77,435341;77,435354;81,834205;102,210003;146,254839;58,011886
1990-10-31;361,813405;3266,829218;261,752851;112,609018;93,089462;119,021357;111,885207;78,96225;66,057223;83,484777;90,884891;44,286087;102,047647;34,917049;389,46097;82,162573;84,123622;84,651953;43,299066;100,013069;110,252378;104,901743;240,137658;84,792226;97,504577;84,983955;46,516709;83,181346;92,65953;107,558008;89,699175;72,842515;95,144527;95,02222;71,721818;713,097052;1126,894505;249,977005;547,829486;557,089438;221,316801;108,863173;133,083009;113,044911;307,483423;2108,031195;3163,288217;4188,980541;5625,320211;477,381382;1054,790257;468,530297;309,216277;1153,836173;83,724507;255,311427;96,307242;90,290584;118,318866;117,552339;117,511108;91,696008;430,499019;219,536043;125,549185;144,012575;92,005506;128,251302;71,759226;291,866533;130,836276;85,235697;264,627125;67,270489;68,045969;75,585648;110,20829;117,106393;39,210946;70,134129;76,44589;103,159985;42,242201;207,985133;51,153017;34,730261;200,237202;93,668305;84,154841;65,03836;67,37564;63,920069;74,227552;76,738433;122,872948;54,369412;194,69741;168,606078;502,750743;112,766763;310,406662;462,340705;72,199682;168,142414;68,973834;109,017172;136,607321;161,061925;109,333549;174,774039;169,511281;375,14926;204,709417;103,796096;90,494767;180,645849;426,944799;78,788685;144,922208;204,063235;107,323304;170,001469;169,327953;253,233665;140,980961;106,720612;119,793339;178,848364;92,443296;97,390741;92,225164;158,155835;284,507503;184,521944;145,997189;87,754624;171,641251;73,559565;118,738427;36,719999;22,122205;103,983754;253,86998;57,231798;101,475118;2335,860983;43,411287;20,477206;123,739809;143,284774;152,05499;43,922924;95,787434;122,594298;119,690975;99,714361;134,301182;105,185318;59,571058;77,210804;117,247389;101,468443;111,224134;199,273851;97,489763;58,346476;70,9448;61,857865;140,376485;154,047241;330,431068;414,174099;110,08278;103,774205;127,030971;54,137607;172,550562;107,817407;83,882288;27,35921;60,190673;98,282874;19,234904;41,584185;60,015168;326,698848;428,924589;224,621686;79,105509;161,399978;269,222531;138,864941;54,487961;102,752034;63,002263;88,421626;42,181869;77,726651;114,236167;71,622698;71,583866;74,772953;108,642009;61,6508;61,650796;60,650391;60,650372;82,301965;103,765273;147,157061;58,011886
