;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2004-01-31;0,981696;0,992944;0,97178;0,527436;-13,600373;1,045488;1,03142;-0,417005;0,990784;1,026558;0,847584;0,982141;1,042684;-0,974213;1,046516;1,006841;1,000512;1,010321;-0,533711;0,51842;1,018522;1,00137;-1,123399;0,998455;1,034921;-0,310907;-0,427311;1,036158;1,003751;-9,637342;1,032416;0,987136;1,064082;-5,474312;1,006983;1,002974;0,985062;-11,448987;0,415259;0,901618;1,018455;3,987967;0,751915;1,295922;0,98029;0,968522;0,94955;0,95918;0,920667;0,898917;0,95282;-5,406112;-2,742698;1,013038;1,001309;-2,440583;1,022443;0,992296;-5,939694;0,98392;0,987549;1,011606;0,995327;0,972435;1,012943;1,002379;1,009543;0,938741;-0,623198;0,979092;2,380987;0,986582;-8,33446;-1,107584;0,835978;0,952127;1,008593;1,754571;-0,140826;1,017725;0,928215;0,951897;0,210027;1,153829;0,971863;1,016031;1,005365;-2,44677;0,988995;0,179255;-3,066866;-1,508065;1,562723;1,743948;0,996142;0,916265;1,028131;0,979946;-11,636084;-3,893212;8,341785;0,956236;0,97954;0,977465;0,993327;0,944533;4,2439;0,944118;0,862761;1,0053;0,985739;1,004982;0,967543;0,957142;-3,046053;1,002825;5,792432;-9,807233;1,027048;-12,549515;-2,322373;1,00926;0,967649;-2,894216;-0,182472;0,961128;-0,381958;3,189011;1,000776;0,975661;-1,465227;-4,730707;0,988905;0,98278;-4,461241;0,873124;0,986962;-7,062724;0,719642;0,989328;0,853789;1,393219;0,977356;-5,650156;0,979407;1,124605;0,992178;4,037622;0,979919;1,001261;1,000149;1,006394;0,985793;0,983945;1,010762;1,002492;0,910111;1,056812;0,993633;1,007842;1,064536;0,957688;0,990236;0,347646;0,893044;0,919648;-1,820335;0,990258;-4,059537;39,990627;1,299173;0,985406;0,961045;0,956396;0,852509;-11,65166;1,033956;1,023476;2,236052;-0,439705;1,000507;0,967566;-1,365051;1,028526;5,845677;0,904531;1,098038;0,991529;2,747486;1,0061;1,029356;1,024386;0,974155;-0,440805;0,982608;-2,359169;0,988466;0,95369;0,950971;0,999112;0,990831;0,995997;0,992099;0,982386;0,982386;0,976013;0,976016;0,992405;-3,774491;-3,363109;1,003831;-1,919445
2004-02-29;0,998128;1,018274;1,0493;-0,151778;10,909837;1,026564;0,989504;-0,648124;0,990098;0,978895;-2,467115;1,053433;1,019314;-1,054338;0,960666;0,982644;0,988558;1,006794;0,815772;-0,306746;0,994407;1,015217;8,154275;1,005195;1,013908;-0,180581;2,583827;0,999693;0,985472;4,878519;1,025956;0,958357;0,982848;2,005403;0,96156;0,890449;1,031881;2,378349;-2,757144;1,091452;0,99737;2,988779;2,009875;-0,683697;0,956007;1,108175;0,985764;1,043354;0,968166;0,934874;1,0066;-3,728757;1,293844;0,901076;0,998951;2,468086;0,990783;1,01067;0,760949;1,019345;0,990278;1,004091;1,012468;1,033982;1,01791;0,993928;1,013238;1,048219;-0,312839;1,019545;1,20761;-2,210831;13,811616;5,357777;29,483379;0,994968;1,029042;-1,617619;0,426159;0,96573;1,015166;1,006793;3,439694;-5,170297;1,048038;1,003847;1,003625;2,000742;0,996171;2,17257;-3,274138;-0,038335;-0,407152;-2,243041;0,98822;1,030884;1,022257;1,027867;-1,083123;2,354678;-6,099861;0,969379;1,003084;1,012996;0,974142;1,02579;1,255064;1,06363;-3,325529;0,939613;1,031333;0,986106;0,980593;0,982782;2,89699;1,004187;-14,495316;-6,71615;1,04792;2,240629;7,714643;1,000635;1,01815;3,208122;-5,967987;1,058205;0,609281;-0,325133;1,009311;0,975637;1,770381;1,191865;1,032424;1,008269;4,249992;0,952793;0,998355;4,234041;1,211606;1,000489;0,485082;0,984999;1,28719;1,644277;1,027267;0,953185;0,800741;-2,066526;0,989516;0,978105;1,002327;1,01052;0,992768;1,012114;1,025689;1,010556;0,978301;1,026072;0,83924;0,985614;0,932809;1,069403;1,019692;1,157913;1,211524;0,989142;2,58626;0,961738;6,074997;-1,494421;0,412007;0,928394;0,978646;0,960119;1,016887;1,763941;0,97823;0,972654;0,365794;-0,342659;1,005877;1,042496;1,538373;1,006303;1,108062;0,952858;0,967379;0,986162;0,181495;0,980415;0,990533;1,003488;1,006916;3,081131;1,008727;11,052582;0,955603;0,883128;0,958419;1,083025;1,080647;0,991844;1,008572;0,990504;0,990504;0,964751;0,964755;0,996878;2,805519;1,513855;1,015799;0,21663
2004-03-31;0,99911;0,9972;0,976792;5,81788;-5,102047;0,967392;1,004329;1,802465;1,008232;0,991503;0,065432;1,004049;0,972945;0,288179;1,016751;0,994071;0,992094;0,993898;0,197886;0,726874;1,011083;0,977945;25,887947;1,006783;0,990395;0,541342;-1,201911;0,971896;1,000709;9,074218;0,97368;1,026945;0,9803;1,117781;1,019524;1,018918;1,000436;3,115328;8,708719;1,014226;0,97447;-3,816137;1,048826;-1,044922;1,04636;0,935807;1,054008;1,013542;1,018983;1,024609;1,051388;16,684866;0,852353;1,035771;0,997231;1,60936;0,980949;0,998508;3,259355;0,997586;1,011026;0,994074;1,011385;0,816929;0,985487;1,043115;0,989072;0,987414;0,177887;1,019281;0,193073;1,087521;0,463458;-3,331468;4,085346;1,00438;0,98552;1,994183;-1,266336;0,941058;1,01738;1,053574;-2,350605;30,61798;1,026958;1,007354;1,019643;1,974001;1,020753;-1,927708;2,799216;2,485011;-3,692755;1,206971;1,013511;1,012382;1,002758;0,997552;9,054337;-1,173065;-17,014121;1,048199;1,016163;1,009854;1,029339;1,044692;3,171919;0,987419;0,343926;1,041778;1,127182;0,976662;0,991579;1,021176;-2,387831;1,038748;-24,178805;6,985278;0,943459;3,986592;-0,6401;0,993385;1,004204;-0,26581;4,466423;0,984768;3,729704;3,896616;1,0083;1,020369;-0,189109;3,691733;1,107276;1,026504;0,033653;0,998439;1,013614;-0,018078;-4,057757;1,007602;0,661874;0,914996;0,777362;6,862066;0,996835;1,075896;0,946388;-0,474496;1,021527;1,029279;1,024979;0,936428;0,986384;1,007552;0,997517;0,985201;1,067367;0,95806;1,033295;1,006828;1,129434;0,988793;1,058602;1,293219;1,001972;1,128483;-12,307688;0,987257;-1,083008;6,525186;1,532549;1,038245;1,12106;1,109148;0,993717;0,559368;0,986672;1,016841;-5,766871;1,491327;1,008173;1,092852;-2,289976;0,983845;0,633088;0,988767;0,977496;1,023407;-2,223905;1,115307;0,986086;0,984067;1,022361;0,136729;1,093927;0,947866;0,974408;1,034227;1,045765;1,005869;0,92624;0,998603;0,990656;1,001582;1,001582;0,98314;0,983141;1,004893;2,238591;1,63884;0,978607;2,010395
2004-04-30;1,020093;1,01368;0,996094;-0,161676;0,215688;0,981384;0,992946;-0,464273;1,0097;0,983949;-0,309685;0,97144;0,963905;-1,006231;0,995225;1,013175;1,027216;0,995994;-0,459059;-1,801382;0,987117;1,011501;-2,820341;0,999538;0,971335;1,868733;0,168047;0,969778;1,013715;-3,659238;1,057169;1,027904;0,987354;-0,40051;1,010056;1,035841;1,000453;4,154149;0,298304;1,042144;0,978961;-1,934902;2,369589;-0,561152;1,016652;1,016807;1,025818;0,994148;0,997812;1,069823;0,976467;3,193565;1,533418;0,985578;1,011749;-0,942917;1,013508;0,986858;2,30402;1,006966;1,043634;1,0019;0,98224;1,011051;0,984649;1,014087;0,989265;1,03965;-2,221451;0,978932;-0,548084;-14,286693;5,476717;-1,830224;-8,705484;1,022548;0,987502;-1,06026;0,195308;1,039796;0,976777;1,01815;-2,059143;2,010193;0,932014;0,990534;0,985932;-1,162221;1,002176;1,155714;1,247834;-1,247043;1,110151;0,586132;1,007608;1,014469;0,976989;0,993318;-2,503727;1,544142;12,318211;1,040322;0,996886;1,004914;0,982072;1,003811;-2,275813;1,026734;0,704872;0,976959;0,996848;1,040401;1,028079;1,036667;4,236739;1,004921;32,300096;-4,574153;0,976348;6,97214;-5,836524;0,992095;1,005415;1,43743;-1,302907;1,004851;-1,633118;-0,139025;0,996939;1,018451;0,563013;-2,926677;0,999966;1,018008;18,46742;1,079608;1,010462;1,514771;1,886637;1,007448;-1,759409;1,06678;1,006525;-2,299622;1,12199;0,944758;1,02608;-0,284936;1,01667;0,997281;1,011551;1,046253;1,123542;1,004497;0,972378;0,99433;1,02336;0,967635;0,996774;1,012526;0,98415;0,991922;0,992772;0,734486;0,989943;0,985168;0,23769;0,882583;-1,690618;-0,579473;1,01006;1,125988;0,944687;0,952096;1,003841;36,473309;0,966361;0,996723;2,634107;1,640071;0,993371;0,971467;3,640238;0,998279;1,755719;1,083967;1,001679;1,000963;-1,190086;1,004583;1,016015;0,983051;1,022641;-0,270726;0,981762;-0,752044;1,058573;1,06959;1,071961;0,996619;1,012849;1,017165;1,003016;1,02597;1,02597;1,042908;1,042903;1,014232;0,567496;-0,013917;0,990721;1,516046
2004-05-31;1,067923;1,008453;1,005951;-2,937239;5,772638;0,970177;0,943515;-6,285519;0,908438;0,973756;-4,699434;0,991861;1,001677;0,718763;0,95409;0,990781;0,971981;0,954001;-0,016126;2,004049;0,945441;0,977653;-7,204769;0,958486;1,139543;-4,027397;-5,291687;1,038085;0,957672;1,6226;1,018703;0,968359;0,993668;-0,694262;1,002651;0,912845;1,010721;-7,453881;-7,913951;0,958807;1,044247;1,430571;-3,16266;2,687535;0,973076;0,959948;0,957306;0,883115;1,16823;1,087375;1,024796;-7,883791;-1,268482;0,999244;0,987454;-1,011336;0,982402;1,020969;-1,5607;0,989241;0,948117;0,939468;1,002365;1,007599;1,021834;0,961128;1,016172;0,993828;2,715229;0,942967;-3,293653;0,350453;-5,216947;-0,747953;3,718021;0,991409;0,916168;-3,222669;0,181927;1,215783;1,009983;1,017604;-0,496432;-0,683435;0,998673;0,999066;0,969164;-5,156091;0,959403;-1,374019;0,254951;-1,227225;0,702905;-1,404738;1,002404;1,01229;0,927034;1,007092;5,783097;-8,711794;2,963083;0,949539;1,003114;0,923724;1,029073;0,946876;-6,744646;0,913871;1,984942;1,007989;0,917682;1,004812;1,108152;0,970331;-3,818629;0,977173;8,848266;13,311266;0,985405;1,517168;-26,52562;0,985362;0,995651;-4,961971;-3,062376;1,023978;5,02957;-3,798765;0,986036;0,973684;0,224136;-0,555943;0,918676;0,921081;-4,748878;0,971758;1,001859;-1,097186;0,744427;0,98037;-0,991569;0,908505;1,022299;-9,17093;1,029543;0,954168;1,040598;-1,929917;0,995865;0,920834;0,95192;0,984416;1,013781;0,989736;0,995669;1,019069;1,004427;0,993463;0,993508;0,966861;0,956383;1,006139;0,957082;1,014095;0,993863;1,016946;-0,526646;1,043849;-4,383302;-8,054926;0,596755;0,943239;0,987687;0,988967;2,032777;-26,781492;1,02955;0,978556;1,318357;-2,721906;0,97735;0,96984;-1,458766;0,996914;-11,135162;1,048166;0,976423;0,949701;1,910958;0,91558;0,993718;1,033445;0,975347;-0,780664;1,031254;-0,099154;1,033593;0,955728;0,981473;1,008742;0,991154;1,00572;0,999236;1,011516;1,011516;1,073748;1,073759;0,999068;-2,908783;-1,972363;1,028109;-1,96004
2004-06-30;0,99643;0,937989;1,011755;0,688504;1,432427;1,012753;1,021405;5,535888;1,00758;1,016693;3,285523;1,012039;1,009185;0,366971;1,049115;1,004382;1,012568;0,993663;0,026336;-0,325059;1,007151;1,032602;6,75585;1,004413;0,96823;1,635265;1,574338;1,002676;1,005773;0,769455;0,956442;1,016446;1,07522;-0,43033;1,125881;1,080485;0,948394;5,311704;2,083294;0,992423;1,001078;-0,788494;-0,711755;-0,345102;1,039396;1,033223;1,033357;1,026981;1,509054;0,980233;0,958758;3,055956;22,072474;1,040313;1,004318;-1,382644;1,032164;0,992579;2,835063;0,999789;1,047229;0,998967;1,07419;1,028579;0,987143;0,999572;0,990284;0,985836;-0,801032;1,073033;-1,569334;2,146375;-3,764817;2,577125;-3,601814;1,048199;1,016035;2,404117;2,154765;0,773476;1,012534;1,001325;0,952555;2,165337;0,970676;1,017664;1,013677;2,931731;1,021061;-0,421117;1,315892;1,427114;1,911261;-0,525112;0,986813;0,96941;1,019258;0,984342;12,028706;0,718343;5,632277;1,016624;1,002395;0,99524;1,009861;1,00937;1,336885;0,977807;-0,040811;1,025853;0,988572;1,026212;0,89089;1,037578;1,938906;0,969745;-12,012328;-2,896687;1,05882;-13,10329;5,99089;1,012021;1,011775;0,152154;6,718803;1,000535;-3,624427;-1,42939;0,998802;1,02182;-0,568728;-0,247205;0,995132;1,025307;2,448703;1,015713;0,998032;-0,667055;-0,15602;1,009441;1,331857;0,879951;0,733597;1,878657;0,971663;0,965082;1,141343;23,999329;0,978004;0,981431;0,978268;0,93316;0,855874;0,982252;0,984635;0,996731;0,990792;1,017282;1,005516;1,013045;0,987067;1,133215;1,001933;0,739631;1,038161;0,806586;-0,340184;1,032973;6,838485;-16,297199;0,760175;0,98659;1,069443;1,047126;0,759994;6,939329;1,0124;1,001269;-1,46263;-0,697919;1,008061;0,946299;-1,216307;0,994223;0,544701;1,016972;1,01362;1,013108;-0,662042;1,001815;0,988426;0,983662;0,982999;0,382933;0,995535;1,878051;1,051973;1,02194;0,986903;0,98522;0,982007;0,99236;1,000001;0,991146;0,991146;0,975166;0,97517;0,9941;-0,21382;0,906762;0,995116;0,045309
2004-07-31;1,006518;1,00834;1,006354;1,131057;1,423456;1,039469;1,018921;0,972863;1,014348;1,016666;0,537838;0,969667;0,991149;-0,919457;1,024397;1,002848;1,022658;1,007477;-0,977942;-1,365515;0,999914;0,808797;-9,253588;1,021527;0,990999;1,396545;2,176802;1,155745;1,033284;-8,318618;0,801495;1,047547;0,936474;-0,282493;0,850306;1,059844;0,990572;-25,383142;-20,507903;0,978685;0,99846;-0,739569;-6,10489;-1,954494;0,991654;0,910238;1,010741;1,117509;0,881216;0,957093;1,034331;-2,4557;-1,51559;0,958119;1,021129;11,405487;0,996993;0,987722;0,352658;0,997252;1,007884;1,005707;0,992003;1,003763;0,987333;1,002706;0,990455;0,986037;2,851427;1,20026;3,324783;-1,616002;2,226009;3,028429;1,13867;1,019818;1,072071;2,089854;-0,689087;0,92263;1,009014;0,995967;3,04586;-4,886101;1,040373;0,926436;1,01637;15,72272;1,031345;1,203395;4,095042;0,918577;-1,596814;1,399136;0,998082;0,998082;1,034415;1,111238;-17,146362;-0,143933;-1,149993;0,571452;0,981926;1,00437;0,994661;1,040311;-0,064241;1,030183;0,170208;1,029544;1,010973;0,954693;0,999192;0,970689;3,737452;0,997496;21,11389;0,692791;0,993109;1,623975;-3,580007;1,053963;0,98468;5,77651;4,618884;0,989537;-5,863927;0,345487;1,010495;1,011108;-1,137649;9,322051;1,001077;1,009823;-1,513119;0,990007;1,004689;2,696796;-2,204679;0,990826;-0,919732;1,115152;1,014977;30,767205;0,98216;0,983847;0,730575;-6,239198;1,074554;1,04406;1,019234;1,110759;1,02987;1,03507;1,025503;0,985572;1,012002;0,998187;0,983203;1,01343;0,957259;1,000836;1,013561;1,2514;1,024522;0,942578;3,635989;0,943104;1,446151;-1,570131;0,160604;1,03551;1,034351;1,005022;1,031633;6,262367;1,015673;1,028704;3,517039;7,837618;1,065077;1,001469;-1,894189;0,846897;-6,71733;0,949742;1,022764;0,99611;0,341198;1,046173;0,99592;0,983081;1,086994;0,537353;0,860536;-0,673135;0,970951;0,960151;1,223773;0,99456;1,041651;0,99586;1,005885;0,992145;0,992145;0,987255;0,987253;1,000531;-0,356001;0,328863;0,978694;-0,155095
2004-08-31;0,995185;0,986311;0,966218;-1,074802;-0,410212;0,953903;0,988006;-2,196377;0,952916;1,015356;1,605089;1,033052;1,013746;13,875191;0,943937;0,969961;0,975205;0,962219;0,305376;0,796987;0,972988;1,022199;-2,919399;0,973381;1,016548;-1,097011;-4,134058;0,784104;0,981812;12,06958;0,913626;0,912771;0,999025;-0,801379;1,01254;1,032735;1,073684;-1,365835;-46,507095;0,629903;0,737965;-2,608975;-0,518952;0,244629;0,713916;1,120215;0,934998;0,952496;0,615774;0,833125;1,292395;-19,528678;-1,690968;1,005188;0,978833;-1,514829;0,978039;1,008535;1,441986;0,994482;0,970661;0,969864;0,99896;0,973491;1,001145;0,959496;1,00074;0,972523;-0,663502;0,951273;12,719444;-2,355181;-0,064566;-6,507389;30,87371;0,95435;0,997456;1,724223;0,662752;1,307704;0,977575;0,970859;-3,566011;-45,096266;1,084739;0,96384;0,992571;-27,412899;0,980506;-0,620023;0,795577;-1,52352;1,867615;-3,377663;0,97893;0,970796;1,293524;0,864377;-124,569948;0,578964;0,592902;1,046613;0,997287;0,981306;0,934636;0,97162;-1,563885;1,017498;-1,511577;0,952966;0,890529;0,633195;0,982294;1,022116;-3,121617;1,015132;-12,937848;-20,588038;0,8323;0,280854;-19,066808;0,961577;1,004172;-3,784581;-8,880031;1,021268;1,188964;-4,870674;0,97787;0,993926;0,137961;0,71695;0,948607;0,944654;-1,732896;1,059503;0,973035;-9,559453;0,195455;1,024914;1,564084;1,157115;0,968945;-33,500928;0,983676;1,056707;0,965874;-6,776431;0,927653;1,005505;1,003791;1,019446;0,983043;0,998929;0,904513;1,004056;0,990258;0,987788;0,95874;1,01248;0,971029;0,988526;0,960417;1,006408;0,910349;1,016253;-4,392738;1,178711;-7,472344;0,235211;1,183081;0,857473;0,991596;0,93797;1,23476;-17,394276;1,013707;0,924762;-2,70999;-9,289397;0,947627;1,019929;3,775045;1,308239;-0,201827;0,991707;0,813543;1,001347;-0,558873;0,966341;0,979011;1,001875;0,977264;-1,100436;0,974309;1,80772;0,967194;0,98103;0,968186;0,987724;0,985721;0,976878;1,003477;0,995165;0,995165;0,964287;0,964289;0,989351;-1,262962;-1,357299;1,005972;-0,58709
2004-09-30;0,99145;1,037588;1,005534;1,393259;-2,728661;1,022811;0,989639;0,912488;1,021348;1,010042;2,091913;0,982884;1,015636;1,998468;0,977604;1,006201;1,016982;1,002583;1,734317;-0,81021;1,006258;0,96901;0,742605;1,036209;1,023474;1,156272;-0,993593;0,98483;1,004137;-0,185372;1,041732;1,041476;1,02966;1,287714;0,995324;1,019636;0,989164;11,895248;6,783056;1,032447;1,120247;-1,524233;3,701343;-0,489036;1,155781;0,887491;1,02997;0,935486;1,059118;0,986002;0,961414;2,603481;-1,76652;0,987339;1,009253;2,58099;1,022797;1,004833;-19,947337;1,007447;0,990341;1,005578;0,998218;1,011677;0,989654;1,019671;0,992402;1,020632;-2,534609;1,041669;-8,489751;5,843724;3,032941;1,958065;-3,151642;0,955434;0,986781;-1,401736;-1,301289;0,945192;1,008085;1,008421;0,238245;10,705225;1,002581;0,984314;0,993534;0,622166;1,008881;-4,179492;-1,458725;-1,230687;-1,23535;3,59369;1,021026;1,017141;1,011263;1,006694;48,943931;0,144659;-7,101683;0,982742;1,013438;1,023625;1,002481;1,037767;1,283389;1,122805;-0,035734;1,02708;1,049336;0,864047;1,031785;0,973752;-1,061834;0,963875;-22,320288;-6,855833;1,000903;14,696143;7,743961;1,008476;1,002816;5,392041;15,398622;0,970668;-0,323611;1,377663;1,001005;1,01008;-0,008447;-0,846919;0,980039;1,024862;2,354902;1,024895;0,992918;-10,161172;0,625959;0,993289;-1,510351;0,918666;0,722637;4,751187;0,942015;0,982287;0,98862;15,987314;1,015185;1,033903;0,995627;0,872593;0,868944;1,000102;1,015907;0,997558;0,994794;1,030725;1,049709;0,968411;1,096485;0,982493;1,024071;1,069288;0,966535;0,998743;2,3798;1,004968;7,068145;10,023781;0,40763;1,061245;1,040595;1,007714;0,798421;3,724685;1,157235;0,986714;0,988827;0,674051;0,9847;1,005604;-1,658474;0,986498;1,420716;1,000845;1,015564;0,985792;-2,730349;1,014189;1,02683;0,985565;1,017718;-0,606407;1,003928;-0,714511;0,981034;1,175196;1,016008;1,00512;0,987483;0,993763;0,995656;1,001266;1,001266;1,026239;1,026228;1,013795;2,457158;1,748868;0,996889;1,749638
2004-10-31;0,968349;1,032668;0,990998;0,075547;4,74289;0,998255;1,000835;-0,14367;0,984533;0,996786;-2,478028;1,007052;1,001004;0,992011;1,029109;0,99041;0,984089;1,01194;-0,480039;0,350666;1,021495;1,053736;-1,145913;1,014017;1,098479;-1,557939;1,87868;1,01531;0,998937;-10,034994;1,040476;0,784291;0,986436;1,209346;0,985947;0,921985;1,027465;0,347814;7,358734;0,98863;1,169319;5,522567;-3,264802;0,938458;1,005176;1,050712;1,041444;1,038395;0,956024;1,04979;0,947769;2,254346;8,69018;0,992559;0,98465;-0,023435;0,968073;0,996558;-9,049016;1,004858;1,001851;1,001431;1,008886;0,929178;1,019977;1,013006;1,014812;1,044644;0,320071;0,951379;-0,886224;13,265806;-0,289064;1,659436;-0,135458;1,067265;1,018848;-3,5;-0,194664;1,121872;1,002851;0,991641;4,194405;-8,885224;0,943289;1,026374;1,007696;1,806614;0,995147;2,83048;-4,384898;-0,043235;1,249573;1,239371;0,994949;1,016115;0,998741;0,97518;6,403191;-1,327274;-4,734186;0,988531;1,001072;0,997437;1,021079;0,958376;13,931488;0,960026;1,052445;0,972278;0,971543;1,137047;0,977537;1,003563;-0,293721;1,022121;84,360062;19,594644;1,044077;-9,246166;2,127357;1,006833;0,995306;-0,75475;24,74315;0,994873;2,430961;4,486292;1,003901;1,002118;1,529374;-12,011589;1,05723;0,968082;-3,414348;0,969005;1,062684;4,715926;4,027242;0,987184;1,028471;1,10567;1,245514;66,322382;1,062259;0,947204;0,808757;27,682782;1,018211;0,951474;1,042925;1,119417;1,12662;0,993852;1,093299;1,007223;1,010833;1,002172;1,032212;1,010468;0,98994;0,986774;1,007331;0,702478;1,018312;1,033716;-0,05099;0,996203;-3,512878;0,882729;1,17307;1,071152;0,939691;0,979134;1,268787;0,063655;0,98828;1,048832;-0,512997;7,997077;1,063045;1,047267;0,556825;1,017814;4,960673;0,999531;0,944581;1,030538;2,124078;0,9753;0,995463;1,027241;1,028782;1,481062;0,987678;-2,163186;0,936089;0,936459;1,002334;1,007857;1,061731;1,016558;1,002263;0,998644;0,998644;0,977526;0,977559;1,015319;-0,912462;-1,223002;1,011672;-1,107603
