;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2004-01-31;1,022188;1,068108;0,960151;-22,83114;3,768851;1,020986;0,998289;-2,427799;0,971221;0,876287;0,222612;0,890837;0,526919;3,488768;0,977038;1,056571;0,739358;0,989314;-1,30623;-0,148998;0,921995;1,020762;24,17818;0,870993;0,943356;0,691805;0,556162;0,980683;1,056556;11,535232;0,950723;0,682519;0,819517;3,832806;0,911475;1,075781;0,938255;15,151252;-10,65287;1,120245;1,028031;-3,944034;4,271596;-0,159913;1,021474;0,833708;1,139411;0,800222;1,169779;1,258742;1,104417;-0,093611;-0,171227;1,169029;1,048086;-4,334336;0,973861;1,007521;3,627537;1,024657;1,031815;1,032722;1,083581;1,033199;0,987027;0,974822;0,990336;1,056299;2,363974;1,105816;-15,007261;4,656245;11,194302;2,442815;0,00989;1,177153;0,948522;-3,548124;2,24222;0,700721;0,991191;1,045082;7,48474;13,084854;0,99716;1,004106;1,050625;-1,100978;1,025174;-0,154906;6,996124;2,503327;5,227347;4,23435;1,043414;1,039022;1,036873;1,063832;7,551388;-0,308689;17,135469;1,071741;0,743735;0,924269;1,078967;0,771273;0,516548;0,312654;1,192794;0,945569;1,118045;1,042539;1,07288;1,074298;3,545761;1,022968;20,067121;-1,602592;1,048757;2,695927;4,208928;1,071871;0,948598;2,103957;-8,824699;0,908578;-9,888204;-2,652512;0,957892;0,838239;-5,926935;-8,262867;1,03149;1,02304;3,919192;0,948767;0,974793;9,002869;-0,293317;0,893684;-9,468967;0,673516;0,590375;-0,676411;0,732761;1,063537;0,494501;-8,572234;0,96837;0,934306;1,007266;0,52031;0,984875;1,001974;0,983014;0,990693;0,979311;0,914935;1,009834;1,02158;0,877831;0,797142;1,002069;0,870207;0,936293;1,018416;-24,9196;0,865953;-1,691925;-14,900534;0,788261;0,876295;0,760448;0,801523;0,617063;-11,220031;0,926581;0,939315;3,786371;-1,007336;0,994288;1,197906;9,339627;1,061044;-6,807657;0,766919;0,820331;0,902977;-2,292098;0,961895;0,904487;0,982547;0,948587;-6,160818;0,994805;-16,430453;1,061114;0,834175;0,962225;0,856402;0,873689;1,215574;0,978263;1,318402;1,318402;1,709733;1,709764;0,891293;-6,328393;-12,021485;0,987042;-2,78838
2004-02-29;0,948603;0,979066;0,988686;-7,8095;5,586136;0,934813;0,937631;-10,914183;0,907577;0,925185;5,569456;0,874747;0,459496;1,038375;1,013129;0,984477;0,800686;0,918838;-4,864811;0,80213;0,958262;0,971167;-16,296733;0,966006;0,880145;-5,2931;-11,208215;0,933256;0,976003;1,974657;0,876565;0,586022;0,695192;-3,72499;0,844761;0,96491;0,891546;5,635238;-20,506686;0,849866;1,16571;-2,464068;6,161869;1,928725;0,987692;0,838532;1,215718;1,520077;1,499654;0,976958;1,162124;-6,102781;1,64696;1,32488;0,969017;-5,056551;0,863543;0,990448;-11,286919;0,959772;0,95793;0,967442;0,974474;1,186465;0,985554;0,950567;0,989251;0,908255;-4,819078;1,031143;-18,091604;6,304816;4,014194;-3,327416;-17,991704;1,4033;0,956964;-9,550907;1,871261;0,808478;0,910184;0,983929;-4,91385;12,35926;1,045083;0,94002;1,05662;-2,166658;0,97754;-2,596736;-6,087486;0,82256;-5,830605;-1,303717;1,005361;0,935997;1,014368;1,030495;2,420374;-3,654042;16,39917;1,105231;0,900473;0,936113;0,990771;0,943316;-13,235909;0,536018;4,102631;0,945068;1,018338;0,999794;0,967174;1,069925;0,913028;0,96343;9,094924;11,366779;1,041112;1,843703;-2,839664;1,056591;0,950453;-0,093405;-39,22345;0,960042;-1,650399;3,850373;1,000387;0,820984;-8,285057;-9,489359;0,977952;1,017722;-4,259181;0,919489;1,013445;9,243537;-3,902008;0,954156;-14,042288;0,77604;0,649762;-9,974725;0,854648;1,08201;0,667675;-6,869997;0,973477;1,008571;0,992016;0,756131;1,016817;0,983204;0,938095;0,98678;0,830796;0,990244;1,241379;1,055038;0,990684;0,944093;0,966304;0,47667;0,900117;0,801954;-15,010646;0,873352;14,580481;10,429712;0,75687;0,939897;0,923585;0,830904;0,765728;17,152621;0,921808;1,055826;0,785386;-0,736817;1,023724;1,114319;8,179488;1,047267;-4,315826;0,912511;0,903736;0,99748;0,404519;1,141549;1,064568;1,006367;0,970278;4,903848;0,943634;-8,733958;0,921518;0,883087;0,943313;1,143163;0,886201;1,077308;0,901152;1,174215;1,174215;1,547344;1,547366;0,857223;-8,99327;-9,934788;0,981368;-4,336103
2004-03-31;1,008353;1,078163;1,099715;8,62718;14,259964;1,121305;1,098651;9,034672;1,022059;1,154101;17,13632;1,09254;0,476092;6,882654;1,115357;1,080822;1,168213;1,062257;2,202652;-0,228485;1,079994;1,109429;30,052094;1,006306;0,967837;6,792558;4,299531;1,197552;1,070687;10,846455;1,08256;0,706344;1,031248;4,011588;1,069764;1,053281;1,159102;32,38826;41,994831;1,170948;1,077805;4,68394;21,275474;2,275569;1,061599;1,007086;1,083095;1,389872;1,238192;0,859932;1,077218;35,045809;19,261366;1,314378;1,06114;29,931188;0,912496;1,003478;0,092258;1,060206;1,059721;1,055146;1,080382;1,157327;1,019592;1,068752;1,014641;0,960579;8,039578;1,124286;0,274336;3,936399;15,609188;1,645206;10,481923;1,633202;1,165068;2,587614;9,477081;1,096191;1,091717;1,156721;6,590381;35,444578;1,054362;1,062413;1,146561;19,448119;1,097648;8,743846;12,19818;12,815831;1,134464;16,279256;1,056565;0,976689;1,154963;1,091749;55,186929;6,648703;21,602926;1,172423;1,064987;1,197114;1,113078;1,112661;17,695988;1,300294;13,532806;1,103182;1,103646;1,104432;1,109013;1,157256;12,98382;1,098509;52,976729;13,305971;1,176625;33,741734;29,883576;1,140715;1,127382;10,913183;-8,548406;1,011207;0,458815;14,931104;1,177812;1,087237;24,757246;-0,903191;1,095684;1,113097;16,907986;1,043034;1,219261;8,446604;20,636623;1,073315;7,858495;1,33131;1,33774;-2,485001;1,050591;1,029095;1,203054;19,402352;1,157206;1,081575;1,099768;0,913501;1,198369;1,106009;1,048804;1,015861;1,002041;1,125741;1,034536;1,162856;1,097085;1,148091;1,126229;0,887781;1,162656;0,939959;9,208083;1,177926;36,257966;9,273796;1,245432;1,159646;1,023065;1,06416;0,945417;15,133737;1,127178;1,175586;26,465852;10,672672;1,163058;1,288984;27,807867;1,175012;11,917652;1,334398;1,2182;1,077468;2,891435;1,013585;1,162683;1,027412;1,151796;3,091027;1,019542;8,699235;0,946108;0,947735;1,025769;1,10921;1,027432;1,094148;0,989004;1,180968;1,180968;1,447709;1,447731;0,940539;7,795493;3,526256;1,024249;6,311114
2004-04-30;0,955204;1,050241;1,099261;11,052102;-11,345712;1,069317;1,028336;0,567689;0,945039;1,004045;12,732448;1,157927;0,394873;5,372754;0,970212;1,056977;1,462911;0,999543;-3,842837;2,299761;1,042076;1,049124;-15,897298;0,903723;1,081264;13,827285;4,872603;1,033336;0,986422;-4,704559;0,959501;0,712854;1,184459;-1,742414;1,183821;1,030135;1,034748;26,194893;35,278412;1,181212;0,839393;3,157628;7,305894;1,77585;1,09681;0,935354;0,831671;0,901565;1,074956;0,733643;0,885306;17,598291;-3,935719;1,024796;1,031602;12,766059;0,832099;1,016754;1,868269;1,009645;1,025922;1,026541;1,011359;1,055222;1,022302;0,969271;1,01583;0,971643;1,71853;1,026917;2,664278;8,28786;-1,770807;-3,289458;1,508209;1,183618;1,118791;-2,921118;1,415689;0,83215;1,092828;1,073528;-3,120563;14,451158;1,034095;1,034727;1,062844;6,720579;1,018316;6,141662;10,874048;8,089482;-2,953528;6,392042;1,025269;0,959388;1,073128;1,025702;32,078267;7,076785;5,982472;0,993763;1,112467;1,13059;1,05953;1,073408;-1,832401;0,998088;6,265943;1,068297;1,041038;1,061037;1,09881;1,036516;6,423476;1,024068;11,0071;-0,529788;1,094319;17,065878;14,233677;1,060442;1,080812;1,355069;-22,504466;1,12673;-1,429328;7,218618;1,102567;0,925718;3,796216;-2,951423;1,06346;1,0088;3,138602;0,939656;1,08395;13,47563;2,421471;0,95363;-9,161756;0,668766;0,732636;2,918052;0,925855;1,022438;0,517072;6,634234;0,997727;0,980179;0,924056;0,780514;1,048979;1,0333;1,027172;1,010356;0,933833;0,939655;1,030769;1,063922;0,980882;0,996927;1,054298;0,792873;1,008525;0,948553;3,340427;1,065204;24,779279;3,957394;1,244704;1,158086;1,020694;0,88867;0,803721;-6,095945;0,982192;1,145916;12,938768;8,750137;1,114844;0,755928;9,513162;1,072538;-0,482597;1,363724;1,204879;0,976645;1,937469;0,899746;1,038587;1,029635;1,026787;5,252778;1,056208;-0,819621;1,045088;0,864787;1,401406;1,048186;0,928421;0,940148;0,994868;0,931573;0,931573;0,874897;0,874911;0,943479;7,245238;-0,306642;1,017471;1,435899
2004-05-31;0,991444;1,078671;0,962086;4,805012;2,801178;0,980502;0,989571;-1,244107;0,995174;0,936192;8,161637;1,0707;0,473567;6,284374;0,906909;1,037664;1,501136;0,937428;0,528626;-1,503724;1,028021;0,92252;-22,43252;0,865269;1,055686;-3,312238;7,298062;0,949999;0,921094;-7,700368;1,004372;0,792536;1,187893;1,97193;1,070188;0,930509;1,01625;7,951092;6,050655;0,972591;0,881416;-0,003992;-5,898325;-1,514047;1,014191;0,797792;0,785138;0,543441;0,998552;0,663433;0,774238;-7,761106;-3,40299;0,810028;0,971774;-2,474022;0,831799;0,98433;5,926847;1,027959;0,984621;0,996307;0,947;0,979691;0,986355;0,954968;0,989897;0,933666;2,569915;0,965468;7,037334;1,045162;-18,493623;3,998209;7,514058;0,877458;1,092284;1,531357;-5,746724;0,971142;1,065096;0,955559;3,996026;11,263525;1,015691;0,943271;0,996053;-1,483404;1,002883;0,788211;-0,911841;-0,041623;2,405176;-3,972735;1,038373;0,997141;1,060023;1,031597;-0,738747;7,59023;8,49731;0,980251;1,115363;1,02925;1,000113;1,046129;-12,054546;1,096153;9,893045;1,008634;1,046933;1,052103;0,959905;0,965326;5,218071;0,990543;-18,295161;0,660448;0,998025;-2,349597;16,835056;1,011522;0,996654;2,359665;-19,666765;1,001677;-10,366304;-10,255516;0,988729;0,952239;-6,972847;2,843493;1,003702;0,960838;0,238141;0,986259;0,987361;0,253856;-13,969544;0,950283;-7,419634;0,718651;0,691905;-16,466599;0,899007;0,985324;0,665567;-12,678679;0,934001;0,975407;0,863111;0,713643;0,923687;0,988231;0,861268;0,989439;0,836462;0,927296;0,971546;0,987637;0,942384;0,94511;1,014202;0,831588;0,941741;0,923856;-3,526306;0,942216;1,202133;-4,815384;0,916734;1,064452;1,027449;0,944175;0,789415;-3,844506;0,875637;1,036774;0,031095;0,438441;1,027767;0,926457;-8,329426;0,960543;-0,292506;1,190074;1,100743;0,915827;-1,142264;0,846932;0,89749;0,97995;0,985452;-0,702199;0,946327;-2,980982;0,962103;1,008762;1,028473;0,843163;0,918044;0,90786;1,040426;0,837138;0,837138;0,605383;0,605381;1,001863;10,38864;5,691236;0,985775;6,151384
2004-06-30;0,97771;0,987923;1,102465;23,787699;7,300085;1,144232;1,016673;3,877815;1,004;1,156637;10,957931;1,188467;1,267526;1,443189;1,01679;0,988622;1,664665;1,034198;0,150568;0,81033;1,022236;1,079496;37,428777;0,895994;0,949379;10,116398;3,010796;1,13893;0,950543;6,640845;1,024619;0,8438;1,586396;-2,363831;1,312001;1,157469;1,062314;22,788781;31,607984;1,159566;0,821042;2,341121;15,542671;1,464927;1,115587;1,419275;1,071754;0,796212;1,008745;1,001223;0,994928;27,616729;11,901322;1,145662;1,114561;51,139772;1,172616;1,013798;-1,354371;1,011617;1,123832;1,05123;1,138291;1,1022;1,021905;0,980696;1,016464;0,935779;3,932876;1,099102;3,848343;5,420249;-5,148031;1,436751;-5,855353;0,733313;1,285285;17,939709;6,583784;1,23737;1,296643;1,095818;22,945842;29,316859;1,032217;1,030964;1,077196;23,516678;1,1164;11,753128;13,155418;18,328572;-2,648772;23,074291;0,995956;0,966574;1,088252;1,124398;26,002067;2,919975;18,172253;1,119009;1,178706;1,21912;1,074825;1,215675;21,230803;1,305375;9,40565;1,097346;1,136971;1,19096;1,237658;1,101739;12,323605;1,103668;36,237278;-4,964793;1,182271;34,078344;39,640474;1,21989;1,170878;20,694054;30,63782;1,323081;-0,480141;17,908132;1,165949;1,752208;20,903751;13,936315;1,158458;1,103412;21,711558;1,235447;1,165957;25,029798;14,934346;1,098395;20,229563;1,337603;1,534106;-4,106484;1,410988;1,069554;1,584104;17,726434;1,17308;1,139565;1,109522;1,778032;1,194808;1,158723;1,074095;1,013904;1,059492;1,152247;1,083482;1,169234;1,189755;1,184244;1,168232;0,969131;1,182993;1,179855;18,418586;1,157473;16,378173;26,033453;1,234173;1,111806;1,189343;1,134535;1,306819;-4,537685;1,145056;1,240315;20,078285;13,450367;1,197737;1,105038;18,587978;1,124753;16,653441;1,435327;1,243875;1,140136;1,4086;1,015997;1,049313;1,029642;1,148235;11,747223;1,028779;16,729599;1,007381;1,174579;1,17794;1,100991;1,21906;0,886081;1,019798;0,810357;0,810357;0,465834;0,465831;1,15395;10,515395;16,135751;1,021641;11,67915
2004-07-31;1,013209;1,010456;1,045814;12,7759;-9,780283;1,071282;0,939831;-5,513763;1,000575;1,008326;-35,115352;1,070265;1,607724;-17,755081;0,745889;0,924003;1,327205;0,958566;-1,90123;1,808033;0,987853;0,765751;-1,495085;0,878755;0,922357;-13,134541;3,266371;0,994198;0,941073;-16,882099;0,678587;0,816576;1,267526;0,264097;1,356064;0,896322;0,972873;-6,938054;-39,967926;1,016644;0,794444;2,246265;-2,560482;2,975424;1,214379;1,550514;1,185169;1,093313;1,249873;1,025835;1,207594;-29,96841;-7,90812;1,104528;1,049825;36,753973;1,156434;1,020166;8,387582;1,028544;1,068151;0,993885;1,02959;1,008838;1,021801;0,826039;1,016393;1,088221;1,443874;1,014092;6,087233;9,412179;-20,040769;5,238065;0,903479;0,86908;1,089188;-5,750132;0,489698;0,736519;1,169647;1,023325;-2,076707;-16,562435;1,230322;1,008783;0,911316;18,818988;1,113115;5,635717;6,198881;5,029803;1,900062;12,684035;0,98541;1,042927;1,005059;1,064348;-38,310774;-1,73136;-13,575091;1,1478;1,173202;1,076434;1,053372;1,108594;45,704471;1,411312;3,036543;1,054217;1,09144;1,128114;1,106917;1,110847;5,766471;1,031077;37,522146;-21,533617;1,019564;-8,755761;7,904796;1,160618;1,085651;13,026662;2,544906;1,069333;15,030726;-18,771807;1,053525;0,899514;4,298195;10,637475;1,08691;0,987159;21,171707;1,051531;1,041837;12,393322;2,110453;1,008883;-3,444877;0,746472;0,71871;-32,760236;0,806723;0,887299;0,686705;-0,811501;0,981598;1,0177;0,905529;1,152274;0,960098;1,026174;1,044213;1,025777;0,907221;1,033002;0,992496;0,994474;1,005638;0,986701;1,038646;1,229858;1,080111;1,174509;5,952694;1,058113;-15,5032;-4,327059;0,883846;1,132465;1,14362;1,25753;1,182975;-1,82165;1,036139;1,028414;-2,320021;-2,639906;0,991887;0,806309;4,381489;1,003339;-9,253833;1,345687;0,940797;1,071275;0,315574;1,115116;0,985113;1,029369;1,006528;5,79149;1,079745;7,313554;1,069885;0,923324;0,922776;0,913631;1,02844;0,888265;1,035744;0,827008;0,827008;0,438836;0,43883;1,209251;5,034408;2,576091;1,039077;3,282086
2004-08-31;1,022058;1,002521;0,847006;-20,379371;-39,109417;0,761357;1,032901;-0,398177;1,054525;0,829902;-0,15356;0,933712;1,890087;-19,061772;1,08204;0,924193;0,824394;0,963622;-0,00286;-0,42782;1,008487;1,040784;-118,380177;1,036907;0,943653;-21,038647;3,670019;0,787569;0,999604;-11,766947;0,988809;0,782287;1,067074;1,672211;1,006094;0,728004;0,595942;-63,062817;-153,950036;0,325113;0,694379;3,908854;-21,948551;0,628155;0,425192;0,550066;0,633645;0,608403;0,674839;1,048957;0,661809;-86,552798;-38,154736;0,708054;0,610527;-120,532114;0,820397;0,999806;0,961909;0,869363;0,847394;0,956444;0,724841;0,590628;1,006932;0,905188;1,005399;1,091926;-6,585638;0,710141;2,252081;-3,773169;5,629649;-2,682036;-15,843845;0,491498;0,8293;-3,171556;-5,761208;1,05724;0,729701;0,906616;3,835081;-134,842643;0,692469;0,874285;0,707063;-77,645818;0,731002;-12,493608;-50,608471;-44,229975;-3,344415;-66,885514;0,938744;0,977498;0,591542;0,597918;-164,16089;-39,883055;-77,643106;0,794683;0,802387;0,611721;0,664698;0,679348;-46,287687;0,843405;-42,673891;0,671039;0,405126;0,334133;0,545843;0,438694;-45,508826;0,639425;-179,575439;-41,678058;0,353376;-146,058255;-120,247209;0,404589;0,722148;-71,555348;-60,274552;0,550619;-15,783292;-31,108192;0,517246;0,606706;-44,134801;-21,055825;0,588187;0,600189;-24,764849;1,063737;0,607563;-55,130245;-51,248664;0,85594;-13,145842;0,776564;0,757664;-32,66647;0,660371;0,804689;0,583388;-22,09488;0,726482;0,840584;0,69399;0,670039;0,71111;0,806513;0,686506;1,005352;0,715376;0,71144;0,79131;0,653982;0,633758;0,855307;0,695887;0,699195;0,55431;0,628483;-25,401458;0,716205;-86,059022;-35,030793;0,911221;0,668647;0,806395;0,52918;0,934606;-16,739497;0,778201;0,325673;-75,621966;-27,049984;0,530033;0,441779;-77,404727;0,534105;-15,480106;0,32749;0,73109;0,776921;1,041087;1,092955;0,717707;1,008156;0,697378;-46,249618;0,815418;-37,062135;0,754266;0,937526;0,715892;0,718687;0,814747;0,853786;0,932;0,760513;0,760512;0,389867;0,389855;1,217169;-40,227845;-13,348512;1,008586;-36,489923
2004-09-30;1,001902;0,928768;1,102587;13,605896;10,577823;1,098268;1,026545;2,29474;1,00003;1,089033;6,194345;0,993342;2,168237;-3,938899;1,080655;0,94743;0,785808;1,019793;5,612125;1,117011;1,041851;1,129135;28,04062;1,098063;1,099802;-3,934482;-0,350941;1,094803;1,020865;5,939533;1,222063;1,082125;0,921132;-2,658668;0,888076;1,193424;1,162021;-5,901956;39,175526;1,236529;0,978742;2,568976;5,835418;1,22467;1,036846;0,92048;1,333215;1,206325;0,706626;1,09961;1,118605;26,668643;21,30405;1,058631;1,155812;14,895183;1,304432;1,003182;-3,552575;0,994892;1,080098;1,020121;1,04746;1,046009;1,017746;1,094533;1,013207;1,006093;-0,436847;0,963742;7,527848;-5,852053;1,153115;1,466072;5,0634;0,779084;1,054355;10,259801;3,488074;1,010999;1,074;1,042613;1,777591;26,233214;0,966998;1,098641;1,077565;23,997385;1,091961;3,671287;5,890938;11,9501;-1,222095;16,547797;0,956648;0,990396;1,107736;1,019992;56,101651;2,149297;-18,266459;1,025949;1,043805;1,110016;1,073626;1,075144;12,344616;1,547927;5,440029;0,876002;1,06411;1,198318;1,073444;1,151595;8,189636;1,190229;56,001388;8,591461;1,11679;35,364791;35,985455;1,133166;1,067079;14,296018;55,216272;1,111366;8,272045;11,385096;1,146711;0,934974;17,63837;9,945716;1,180715;1,049817;5,932333;1,143199;1,142564;6,081644;14,30355;1,103836;18,82544;1,237359;1,590088;23,211032;1,063612;1,185938;1,724771;-6,680597;1,078233;1,090635;1,173557;0,989725;1,128472;1,019391;1,100449;1,009553;1,279981;1,054684;1,016582;1,09692;1,109986;1,128746;1,0495;1,469825;1,078854;1,110586;15,409964;1,08092;2,846613;13,787271;1,189699;1,0013;1,011858;1,081972;0,966961;3,915755;1,027984;1,187805;12,870787;15,102707;1,166429;1,245839;8,292565;1,034783;6,319507;1,0046;0,970015;1,097231;3,027776;1,202104;1,1593;1,02299;1,053027;10,746838;1,027006;14,159716;1,055447;1,184699;1,05111;0,920914;1,096234;0,888998;1,031629;0,815006;0,815006;0,51904;0,519028;1,062509;3,864208;10,165208;1,014584;4,327617
2004-10-31;1,043149;0,964922;1,003011;9,12233;-8,193168;1,008112;0,998088;0,934576;1,041633;0,968282;-0,05245;0,892361;1,312484;6,66302;1,158062;0,993904;0,592817;1,057162;5,098964;-0,107169;0,997478;1,071252;41,974494;1,244793;1,098383;9,790275;-4,557227;1,005846;1,030213;7,564697;1,100968;1,382188;0,803606;-0,479114;0,808234;1,092937;1,067846;10,673024;61,45907;1,270274;1,204838;-4,697588;-4,648956;-0,329677;1,183616;1,004715;0,957081;1,335854;0,76775;1,227453;1,003448;12,55959;1,575282;0,824436;1,155635;21,567519;1,130207;1,010199;0,577493;1,049196;1,036172;0,993345;1,001147;1,07586;0,986523;1,130258;0,990094;1,005012;1,569401;1,028487;6,476706;-1,394194;14,048004;8,758868;4,331588;0,908092;0,964564;5,202666;0,784422;1,315683;1,001028;0,993223;-1,43105;21,965035;1,06518;1,054704;1,088851;11,628717;1,067513;-1,631532;11,550872;4,410603;3,774671;13,318282;1,009181;1,051405;1,005817;1,029662;58,79397;7,053678;17,054419;1,022469;1,10078;1,068358;1,061282;1,10273;4,45245;1,010412;11,246211;1,01077;1,136198;1,146937;1,06221;1,0973;4,748563;1,094936;30,414475;32,342313;1,102394;36,576851;20,555389;1,043756;1,034781;18,548154;67,489437;0,890473;9,482965;9,99463;1,058347;0,94962;7,386293;12,885839;1,077386;1,072597;-4,658578;0,994693;1,032781;15,126589;10,323087;1,038048;-1,974705;0,87927;0,801556;47,017085;1,040696;1,043229;0,742628;-5,353211;1,025363;1,044715;1,100507;0,838775;1,030777;1,016255;1,147267;0,996821;1,314808;1,090416;1,050454;1,079515;1,097976;0,975512;1,039625;1,263941;1,03284;1,0865;1,563346;0,969791;7,716567;-3,79254;0,744971;1,008253;0,987704;1,057063;0,773942;-3,349525;0,98402;1,078457;10,495093;3,169531;1,044899;1,159318;6,624306;1,08543;8,283121;0,896432;1,019053;1,016786;-1,971295;1,042304;1,084754;0,979791;1,036642;26,420645;1,107475;6,079083;1,159982;0,98515;1,024539;1,312135;0,983728;0,971269;1,060597;0,929566;0,929566;0,884262;0,884206;0,927635;12,665675;5,98596;0,995716;10,974615
