;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2004-01-31;185,214691;1447,639537;202,650398;75,009703;121,246453;125,515508;100,240656;114,591032;107,487603;67,953241;92,516186;81,337972;56,711288;51,604441;180,104988;99,864297;66,284161;98,163782;69,50725;92,832691;91,338712;101,398735;262,788697;81,406616;100,450153;91,798098;67,771983;96,172651;121,093578;100,751648;78,498346;61,981075;82,230117;102,126417;80,590781;454,895575;429,975844;205,578364;324,491495;375,13496;183,248758;139,501801;97,949688;125,843842;421,626565;365,448783;803,126373;1710,692321;1515,725873;276,473538;273,192979;166,396848;110,354675;782,79173;152,489815;176,573302;119,929387;72,732701;153,943002;199,231024;118,285159;126,951522;433,790148;273,789383;119,76929;155,596848;97,163182;267,163809;109,692013;401,104086;101,419715;114,98163;165,629478;91,531498;167,259578;67,504575;120,551719;78,269397;57,282333;67,183239;88,090897;70,702367;73,847815;372,63951;85,290035;67,046135;384,693627;145,1622;106,90757;90,355753;109,583255;95,890991;107,126524;114,747224;129,003491;48,874367;332,066404;146,451223;409,896312;118,698257;311,171245;328,974117;86,543457;122,401958;110,991591;65,868158;157,027351;37,164885;136,661557;396,626532;310,592627;806,191575;141,493045;173,595197;131,38245;139,793941;491,511282;86,273722;182,191287;220,886879;253,346267;226,113622;128,547588;116,295523;154,54133;167,750999;80,576312;64,998904;149,579706;92,424685;130,795584;67,430583;272,451208;204,432304;132,062222;85,368855;141,345537;122,750201;123,162901;86,80801;67,093917;616,820209;288,827949;104,663837;52,258948;926,60514;29,542839;45,813384;93,451644;98,672313;153,641094;9,430082;121,121804;149,724638;341,410807;83,435517;127,777242;142,123748;119,915378;118,34292;106,336429;150,738625;144,467563;176,904549;96,575718;288,567929;61,164286;61,75509;119,905862;85,033899;133,324459;182,652559;99,707785;37,713189;69,320696;30,997702;156,051288;184,518043;114,833303;83,496878;185,77601;57,301837;96,010434;75,895659;81,025632;84,077619;229,227445;133,792318;55,392485;146,745576;203,626143;69,257456;74,22141;90,853818;54,489567;80,575899;52,050608;77,798472;103,838204;84,910103;79,189877;126,63547;142,95109;119,920822;119,920821;184,912287;184,912336;95,848468;113,615833;96,032291;68,631861;104,85754
2004-02-29;174,961251;1347,222337;224,579457;89,213816;148,69021;111,232174;90,156196;105,592284;100,464935;68,630344;94,941765;84,579177;47,630641;49,537041;172,651565;91,020383;71,18136;90,418602;67,133855;92,832691;92,435523;97,579712;227,509186;91,327616;91,477345;86,120682;58,723056;87,797954;109,884002;105,862299;71,00545;52,084094;62,487503;101,693975;71,700023;359,842797;421,109974;208,164436;307,790769;342,980271;203,301013;139,501801;100,532589;125,843842;402,31895;408,787484;895,727045;3518,158273;2080,422225;234,031728;303,797263;163,400276;115,772064;785,208064;140,422813;180,597798;102,758004;72,732701;145,507009;193,05767;110,868241;116,912287;393,552032;330,00323;119,76929;149,738523;97,163182;256,225208;104,350437;394,926008;95,753156;114,232072;180,289336;92,625041;176,195879;84,480387;123,448276;68,535875;57,806703;74,934795;88,104557;69,883855;65,038685;363,444706;96,994184;61,917685;384,44039;148,914492;102,520631;89,26015;95,784458;96,340823;94,800926;105,315551;123,466914;50,321372;321,290207;148,466922;415,206033;123,284524;297,979835;349,514762;107,598091;128,813114;99,771121;87,982033;136,328796;72,742813;136,213706;382,41503;294,343236;750,660669;131,037994;180,159124;135,952294;131,525282;466,391502;104,653531;181,939273;238,389855;255,666717;223,053088;136,1183;119,590582;122,079768;195,194868;88,452607;67,386132;156,336159;90,670812;130,939028;72,060795;269,324819;208,285054;132,59531;91,460126;147,582172;135,252023;120,584329;94,11295;61,632247;500,806834;424,477867;106,355082;64,335015;788,400914;32,294076;41,292883;95,478057;105,833464;150,618967;13,750217;125,728805;151,462046;327,258152;83,435517;119,385503;145,84931;124,738963;120,272722;105,110591;201,687717;141,506948;306,952633;126,329779;244,487982;75,885058;60,751958;147,639185;69,271984;43,847546;188,065304;123,310767;39,817847;103,319112;71,188547;148,220731;198,585237;110,885051;83,470233;192,972733;56,652778;97,867415;71,903645;78,726847;110,98702;219,965975;147,865272;55,392485;171,760146;227,858808;69,257456;78,264774;105,286603;53,078352;102,531437;43,834637;79,346654;102,076651;122,635552;87,840234;111,877446;134,691551;107,866865;107,866868;168,648725;168,648759;92,180126;117,135973;103,095096;68,631861;105,414436
2004-03-31;185,758055;1434,470068;230,688048;111,486249;142,558939;123,735573;107,077883;127,343124;115,045521;86,965492;109,328829;99,558559;46,561135;57,108719;202,05765;101,356382;104,410163;102,699888;73,410835;92,832691;105,648359;107,427193;287,738632;95,499838;97,720733;98,930969;69,842057;109,096733;122,286064;119,136246;82,546882;67,569761;89,549014;108,036469;96,9718;444,102017;521,838938;233,885748;377,155034;435,91702;183,580289;139,501801;114,328902;125,843842;477,585934;405,73028;850,50714;3085,236334;1827,271294;234,50229;293,44446;226,213533;132,082855;890,669271;152,774555;214,188606;107,051248;72,732701;159,300846;208,144668;125,843278;124,728884;431,601291;248,68183;119,76929;175,777691;97,163182;253,393208;119,394289;435,187102;111,705127;115,935599;177,538253;88,947044;177,765004;99,824154;143,172832;83,981147;64,16421;101,56379;105,484247;85,331826;71,058643;418,878269;97,096361;70,149321;421,604563;170,699846;117,816757;95,745315;119,820466;111,449135;99,599994;126,274537;133,012117;52,2121;358,467777;152,214544;476,889;131,861477;294,896225;408,279519;129,166718;164,232912;118,567106;106,199055;164,889052;166,248036;150,084958;510,06238;346,001263;810,143639;153,243335;205,401357;143,708796;154,783269;505,770002;122,724728;182,395559;275,197593;279,181493;240,762379;159,779069;126,507678;166,537248;191,74953;92,639526;82,162885;181,991062;125,712088;161,082084;83,042681;323,311643;231,43417;149,196379;110,128864;177,978941;130,81695;140,258925;107,296877;83,387009;790,722155;533,301682;123,379296;77,044826;833,035403;68,903819;69,193033;117,451116;121,739038;169,616581;15,465624;147,907605;169,805557;351,904076;83,435517;159,778701;151,220872;128,282075;136,672379;140,576694;229,109063;167,942223;610,191957;134,85027;328,018619;85,139828;84,288699;162,963324;77,450153;285,208665;261,724822;157,310935;59,339544;126,222842;67,093635;185,180673;233,116325;131,433372;96,22775;220,233381;68,177531;114,122145;77,382654;94,410678;176,434868;296,816315;166,838828;55,392485;175,012545;244,397922;69,257456;93,693991;100,281181;62,315455;110,787708;45,931843;102,570996;120,960937;110,303552;87,317634;114,364231;146,229195;109,794952;109,794955;163,230916;163,230959;101,423406;133,217131;116,514776;68,631861;117,976864
2004-04-30;178,668364;1401,045384;232,760761;107,819687;123,330467;118,427355;98,93614;115,793282;106,390015;75,336518;104,875765;100,901023;38,006055;54,761025;173,030059;101,365346;135,556831;96,482776;66,543047;92,832691;99,272111;105,140347;208,886133;85,368037;106,421806;107,283666;71,168828;93,78748;113,906271;91,120363;78,603231;68,67994;100,43513;100,180425;107,060746;436,964341;456,88757;226,70053;356,787728;447,439722;143,648236;139,501801;101,27045;125,843842;481,975474;399,667824;629,091345;1927,927748;1550,667377;213,981692;222,321775;196,217928;108,22672;656,113152;149,851901;193,813434;100,561006;72,732701;159,880036;199,367711;126,172719;120,792878;388,116747;272,523808;119,76929;154,298934;97,163182;266,278809;112,473152;386,742256;112,221322;105,860991;163,59393;85,728829;154,645416;73,888175;137,144521;75,239395;58,021669;87,304419;100,959774;75,926543;62,199282;365,344643;87,857754;67,139229;376,274855;154,972364;107,195638;95,493633;116,603967;103,544777;101,63078;115,834103;128,175167;51,849881;326,413508;141,902248;439,077236;136,75728;311,526249;348,601962;132,431978;154,189583;107,80025;98,885013;135,756648;134,23817;143,879805;477,951919;286,745631;813,864721;157,934897;188,598824;144,645624;139,305272;524,432884;99,223036;173,386105;264,221388;257,734581;225,552476;153,544211;118,011615;150,298869;218,392524;84,340009;69,650303;166,628335;106,995972;139,703002;74,343489;282,983354;207,356489;153,281231;108,604954;155,05827;137,59487;128,297187;95,941039;63,733834;458,199443;381,007738;124,463374;76,776258;717,245891;32,13113;56,928983;100,788213;109,36028;139,7953;14,825462;147,949922;158,272744;332,933107;83,435517;143,849656;125,144649;123,632191;127,094966;109,405603;201,249879;144,370422;294,320629;115,341051;289,60841;91,682604;68,37528;151,836789;66,667327;203,536478;284,663804;132,805006;42,652916;108,894711;80,448287;160,656887;225,197625;127,613679;93,907427;208,676396;35,193416;102,183804;70,332527;83,25037;204,754771;298,238604;148,769578;55,392485;141,252737;222,135168;69,257456;82,737206;101,761422;58,018343;100,404385;55,162788;99,853655;168,740049;103,093159;86,21596;99,906015;150,053651;88,804792;88,804791;105,723404;105,72342;102,135556;130,770889;110,73544;68,631861;112,690387
2004-05-31;192,057735;1415,861036;203,013658;98,680224;144,005838;107,017378;90,336046;107,128165;100,639735;69,766448;96,239132;94,343323;47,447861;57,823759;155,997822;97,681039;131,805627;86,536519;71,290691;92,832691;93,600171;89,449806;193,76917;78,575369;121,238226;84,240054;67,49099;92,397865;100,110467;93,727536;78,5413;72,296551;98,713008;103,063377;96,655632;343,478369;445,112342;194,708451;313,975938;335,557628;160,826429;139,501801;82,160302;125,843842;425,978581;314,991266;543,33819;1006,445066;1650,998433;196,937954;201,256387;160,706555;104,089311;520,796809;136,847729;177,8366;97,23411;72,732701;159,744851;198,640809;109,986735;108,614509;366,805679;242,665043;119,76929;143,383285;97,163182;239,941208;119,926476;354,985683;113,297028;114,362073;134,295049;94,407541;172,229614;53,24304;123,828251;77,465817;51,219435;121,548396;101,260016;66,946421;71,701962;355,079538;94,606627;61,716721;345,853635;142,856621;100,876542;87,002761;103,342266;95,837922;107,993563;103,752021;128,907966;54,008182;311,035991;144,236705;408,956427;128,540164;306,981904;317,186613;133,487112;128,793323;106,678943;91,24297;117,692655;132,962693;149,233175;478,873763;264,743764;760,317607;147,909892;164,814561;135,91941;130,716034;472,61717;120,05864;158,250556;241,678466;239,674216;215,712617;139,984563;111,910412;154,483708;198,095891;80,994016;47,889895;146,240024;105,274625;127,276526;82,353464;245,059884;178,022531;126,359426;103,722513;136,942303;121,392376;111,148128;93,691593;66,252677;415,490028;365,920726;103,739952;68,711549;689,432377;41,956018;36,375382;92,127492;103,177328;122,639152;12,801645;117,865697;149,21398;284,597318;83,435517;125,776721;125,668849;116,402458;113,952963;102,14531;194,236773;131,199786;403,895349;107,475913;291,204575;83,791987;71,705412;126,618314;52,272215;95,38786;218,540422;140,242138;46,825825;217,754543;18,015295;155,392659;202,734041;114,863712;80,745464;189,997513;42,666855;79,712649;61,909121;70,779559;175,44318;263,707026;132,996678;55,392485;122,28796;185,945948;69,257456;74,867528;95,013172;54,678723;99,505885;49,566209;107,051544;112,832079;83,858359;83,224763;94,999844;157,493664;78,730195;78,730203;75,373541;75,373563;106,265235;130,214742;114,369863;68,631861;113,990445
2004-06-30;173,509191;1203,073913;230,419377;121,179892;144,905718;131,406057;100,335279;122,895673;112,399258;90,321167;107,311401;106,43919;129,450979;53,022098;193,643433;94,652421;152,451176;99,65896;71,015225;92,832691;98,976054;110,856358;263,523697;85,516471;92,228504;103,321036;69,631073;107,214014;107,87949;107,590415;74,636843;81,181756;140,166367;98,738949;133,580874;498,2439;431,811693;219,977429;344,946593;409,930763;142,988957;139,501801;105,771114;125,843842;495,326204;595,129217;778,559295;1660,129893;2052,546231;261,967505;236,213387;208,012574;140,828862;757,357223;158,164235;230,506833;143,624208;72,732701;156,416918;197,0502;138,044642;120,704776;468,454013;264,660311;119,76929;152,483096;97,163182;233,746207;118,967629;464,557262;112,067811;121,695487;147,168761;95,69244;151,29433;47,116078;161,322336;99,235986;65,678437;100,621056;122,92707;74,790579;93,292472;371,879275;95,405174;68,72195;391,611474;176,061126;119,284244;98,576819;117,845989;117,143861;105,349528;132,36065;121,68148;50,318831;360,095506;153,095817;434,34295;134,341632;319,622854;388,920881;140,794159;164,074593;112,548819;113,427532;157,66944;171,501941;146,709797;540,42723;310,52512;852,283431;150,564364;199,616512;148,737313;144,337717;502,643237;99,809759;200,653139;265,196943;295,946752;269,01326;166,355441;134,605999;216,636704;255,89404;81,203149;77,912338;173,486758;203,263082;153,152406;93,50786;306,28479;226,830336;154,189605;137,07133;156,986259;145,82524;139,545737;112,170688;96,578016;741,894502;578,278074;132,946674;102,274563;749,446191;109,435348;93,10427;113,175127;131,718818;163,005172;30,350563;129,028581;173,691214;351,5601;83,435517;153,613234;160,386051;131,692458;142,971751;133,310037;273,403498;156,069316;324,755981;139,591121;295,258723;105,488269;87,303731;153,882696;77,138266;178,472437;237,761403;176,066142;58,687536;134,908995;49,224032;202,622108;252,615429;133,512304;95,548948;229,678213;49,238974;107,501979;71,617885;99,854454;203,159592;307,303275;177,363512;55,392485;162,02387;215,541959;69,257456;87,178338;108,501983;57,475305;121,23018;52,759192;136,931035;129,16136;107,315459;109,08558;91,067469;155,404675;74,692841;74,692837;52,069391;52,069388;121,090208;132,852076;127,253122;68,631861;121,580996
2004-07-31;177,436987;1331,476233;214,337695;110,456189;128,289837;128,553694;92,416191;107,731494;112,538307;78,993858;58,704695;92,269554;163,828864;32,834251;139,839033;88,533168;122,856362;94,201802;68,109894;92,832691;94,819233;61,748164;204,535788;85,503256;91,268642;79,791246;70,51062;108,148389;108,963288;75,262456;41,169171;81,322331;96,92946;101,621901;104,637297;371,332714;412,094193;157,050141;246,907019;351,002593;136,191774;139,501801;82,086636;125,843842;505,221855;573,713936;812,17371;2394,896131;1374,526811;251,965794;298,742081;145,771464;95,741624;663,963428;149,751989;228,217369;136,156072;72,732701;163,150209;199,776048;125,379593;114,349854;389,344157;221,705984;119,76929;128,370059;97,163182;267,093009;120,662996;481,451122;120,145663;122,615474;136,480577;100,72451;163,497164;54,346691;143,932199;74,491501;56,628052;73,437296;109,856423;68,722183;71,636486;316,476652;122,848732;61,282804;333,546417;184,148299;119,836494;94,039622;112,868432;103,707726;106,946472;124,853825;122,210871;56,222701;346,405304;163,214361;332,133695;129,240247;279,209978;223,274989;137,230365;146,116299;108,692338;106,85589;181,496164;197,478346;140,008043;524,93663;307,170098;727,355045;146,193474;184,978568;143,404417;138,615724;528,586128;88,224735;161,561866;238,124122;256,064008;266,279331;149,09145;131,668944;186,509986;204,698425;93,544756;42,550007;158,668376;103,112318;135,0742;99,428359;289,222808;199,231793;149,247209;114,522307;137,846037;135,679257;125,015578;101,471008;71,226717;519,665764;369,922385;137,553666;59,478658;629,626665;30,306628;44,857819;103,532028;127,356271;140,49025;23,463763;125,024379;162,053548;357,577906;83,435517;128,926651;142,806416;118,30441;122,947565;109,547496;199,675346;140,103891;662,402819;124,466306;343,732335;96,287077;72,87315;117,079373;64,287924;29,739808;254,162073;163,720405;61,333475;164,921111;49,10121;184,248418;219,799097;117,001013;88,154468;202,625153;37,709677;93,427904;54,248145;67,297437;171,37757;233,280971;164,343563;55,392485;187,414299;205,114785;69,257456;84,223472;102,816238;52,256893;108,595635;51,627525;103,529257;124,595882;90,930372;96,997447;91,443973;159,229131;76,28932;76,289326;48,650813;48,650833;126,917356;127,030325;112,704504;68,631861;113,009703
2004-08-31;173,142003;1307,284492;164,995009;74,94241;97,353811;85,55618;98,399672;108,604152;111,130112;65,072683;94,822607;86,783498;199,480711;46,532858;188,781239;85,723427;72,79283;91,004605;71,503481;92,832691;94,102139;106,13872;90,115731;96,244502;95,28045;69,328602;65,323773;58,255928;109,212116;100,868786;68,130914;68,146736;87,334875;103,063377;92,867756;287,073495;274,792487;122,362969;103,182069;71,573146;85,860181;139,501801;68,25795;125,843842;124,605797;253,844207;386,338353;1097,81158;469,449653;215,93178;197,161146;72,834231;63,805048;442,676271;82,572949;57,311171;94,484116;72,732701;156,337773;168,756055;95,159968;106,10932;275,925778;117,699963;119,76929;134,242068;97,163182;261,853808;109,164769;267,402685;127,133122;108,621282;158,621102;84,102733;177,697873;28,7411;101,594534;75,542397;51,469811;154,52707;66,008143;58,713438;71,761496;158,251502;71,171072;55,38907;254,301465;44,411266;74,604071;74,380981;51,940697;52,689053;104,891443;41,41625;115,103013;51,770856;258,575729;71,380254;92,282463;91,777903;213,399889;280,461066;95,587608;81,315834;64,478265;61,243688;89,888694;117,708672;91,733081;309,203952;101,433945;138,980747;68,140578;75,043645;84,449002;87,505241;265,879486;47,917182;46,419666;99,92111;114,04435;83,879826;100,544867;36,545059;108,253914;108,881199;68,94619;24,585715;75,991252;68,1869;87,45081;58,620929;148,46777;112,936423;103,75668;124,593865;76,614139;55,344097;74,410902;89,23104;64,669147;554,107149;366,831903;75,64607;49,10503;611,925258;33,909201;23,613392;65,837881;101,979803;107,749979;12,542116;88,604227;122,921358;208,021701;83,435517;94,787164;98,706604;92,199096;81,496236;70,291235;169,347322;89,899272;289,174951;56,525994;198,196115;56,133085;61,496456;38,393471;38,620072;247,721451;124,328846;110,617223;23,855467;154,098455;8,033681;136,494523;63,903973;38,053765;47,024915;97,348325;20,889766;18,173459;44,652593;68,423709;41,147216;143,955653;120,056908;55,392485;171,163621;148,737631;69,257456;52,679842;49,485886;44,783743;65,68401;36,177539;109,411962;75,901;72,513815;72,161772;86,472727;142,790399;70,330716;70,330712;41,254125;41,254136;125,51355;80,675024;94,940459;68,631861;72,816657
2004-09-30;166,588258;1283,880056;222,323761;111,264208;144,802968;134,365551;97,880034;113,57169;112,615721;84,98814;101,631987;89,075982;230,097797;49,842206;197,137225;91,162603;72,378127;100,59127;78,783884;92,832691;100,44434;108,954019;236,577371;108,444045;111,026011;88,626133;65,71373;101,769807;113,47669;106,168445;95,999566;107,818847;78,170881;101,621901;81,082737;452,980589;496,225513;190,17784;345,500963;441,578047;178,234297;139,501801;100,372696;125,843842;482,896795;341,49381;867,344817;2068,490771;763,31935;263,368351;241,337663;208,818188;121,886722;647,859243;159,886383;196,29748;157,323357;72,732701;130,128874;196,218593;123,387551;117,680576;399,928918;204,282053;119,76929;172,225506;97,163182;253,180808;113,361233;396,585644;112,792991;114,164745;156,598138;97,382218;165,243282;45,615388;127,155767;84,645947;58,60159;110,342284;99,56882;69,448998;73,514233;378,550301;88,843941;71,316389;390,522004;173,883587;114,316216;87,467382;105,522233;110,225346;102,838781;132,627399;123,640185;55,700197;376,368552;142,315673;484,277454;133,224898;260,944123;336,227026;127,077633;154,460227;111,701346;103,717124;153,019568;240,651732;140,632933;435,550357;316,120292;664,490312;136,03719;182,911489;139,311063;154,723587;481,084873;112,455573;173,094752;295,519552;298,10665;242,856211;147,976646;130,600117;245,111649;208,91433;90,676043;72,93479;174,651076;106,376047;148,998427;87,568884;307,817919;213,561244;140,310451;129,829961;146,233771;115,888351;140,699052;111,83135;94,158609;689,47841;569,079497;169,912628;76,374196;837,352079;102,082335;62,219545;106,91754;135,558056;182,571095;15,855915;124,691584;155,726111;373,682331;83,435517;163,803342;153,668267;129,977727;131,857457;139,473843;220,358852;147,267915;621,748486;117,677098;343,491514;103,067808;78,800793;143,085501;100,886506;121,796855;230,615342;145,509572;52,417848;101,447652;47,074262;201,93099;253,452648;130,697549;99,680112;225,153423;57,801675;99,235139;65,42769;92,83994;120,096069;239,235569;167,259653;55,392485;199,137374;255,180904;69,257456;83,692678;107,448833;58,236365;113,641243;51,274473;167,135262;116,117356;97,138936;96,757026;92,26438;156,047441;75,807299;75,807304;57,611809;57,611824;111,601005;128,398492;121,743219;68,631861;116,022474
2004-10-31;168,472413;1322,815876;198,542666;105,330706;133,507111;121,456199;96,164755;110,606138;112,671695;74,480843;90,655377;83,022622;136,58828;59,377363;224,185;94,136776;52,829365;104,983434;76,245739;92,832691;97,541625;112,034258;245,287994;119,941338;117,907257;99,559956;65,88647;96,482981;113,722561;97,534056;86,656387;103,706451;65,808713;104,504853;73,424417;365,761845;472,353524;192,577543;363,222915;429,124414;222,383744;139,501801;83,152147;125,843842;473,869923;440,918432;615,244001;2444,299165;683,527502;314,380067;211,963422;194,850532;111,729861;506,149835;155,329163;200,042467;129,77479;72,732701;145,056632;206,486941;119,814042;114,705534;388,272181;184,843023;119,76929;176,492515;97,163182;260,048408;118,194701;383,399266;120,975275;125,216567;165,84423;104,637502;166,723354;59,383418;119,537683;76,820052;57,119879;174,597308;91,780965;64,537405;73,443732;359,49538;87,730326;71,692456;402,153268;162,355767;109,83781;89,732805;107,827887;105,020686;108,902919;127,637889;128,381198;59,430494;328,882881;139,515765;447,275862;136,341218;295,181265;332,522297;133,177369;145,018167;112,412904;98,444795;158,789232;135,652714;147,153055;479,806769;312,465531;817,72599;124,597593;175,035731;135,734884;150,954657;552,734342;162,238833;174,039516;270,963086;277,011162;220,573333;142,531678;127,766126;263,600302;171,449286;93,940721;74,321752;163,894752;106,656138;140,552852;79,000885;302,364696;205,23589;126,405983;106,750412;141,962359;139,572891;140,394762;104,788939;76,336853;576,867241;493,267515;253,51328;85,012276;710,861896;35,743789;75,670671;102,452857;118,206419;178,531826;17,22334;148,344789;154,553026;415,172021;83,435517;166,470195;154,03686;132,322037;136,753585;124,810189;190,070324;146,105136;342,271456;121,016624;345,726036;86,186193;69,663897;138,606676;77,942902;237,170228;234,466309;128,073328;49,854386;126,453113;33,516477;162,318189;247,745872;127,572355;95,440107;219,792654;55,85656;100,46998;71,029387;99,474089;102,038203;235,842135;162,154038;55,392485;166,946829;233,878989;69,257456;84,235332;125,635452;61,88819;103,840992;53,716105;110,620484;110,968903;143,007272;93,243253;104,021994;160,048657;86,244264;86,244268;93,27264;93,272653;97,086696;133,882262;114,814467;68,631861;119,917435
