;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2004-01-31;183,863186;1451,757538;209,759179;76,840911;122,887987;127,737569;102,585465;116,84035;107,487603;69,447396;92,884117;84,44678;57,558824;51,928006;182,768168;100,482568;66,284161;99,27632;70,260938;93,513095;93,308232;102,7592;262,788697;81,406616;103,25447;91,798098;68,891121;96,172651;122,269491;101,996191;78,498346;61,981075;83,948145;102,333022;81,30544;454,895575;447,746891;205,578364;327,816331;375,13496;185,929786;143,119018;97,949688;127,490979;419,404392;382,807944;803,126373;1710,692321;1515,725873;276,473538;273,192979;166,396848;111,711063;795,30825;155,925218;179,718208;121,694889;72,938763;153,943002;199,231024;120,459476;128,708826;443,545056;273,789383;121,571186;155,596848;98,252536;263,801367;109,753987;401,104086;101,582269;115,525319;162,013989;91,531498;165,391874;67,504575;122,772916;80,169505;58,976721;67,060986;89,414292;72,200181;75,167929;370,53182;85,290035;68,639464;389,309355;147,075955;106,90757;91,894051;109,583255;97,596539;107,279676;116,756879;128,765106;48,874367;337,141733;146,451223;411,243149;118,698257;311,171245;328,974117;86,308038;124,732198;111,856224;65,868158;160,172007;37,164885;137,063538;396,626532;310,592627;817,511063;141,493045;173,595197;131,38245;145,139687;494,644595;86,273722;184,707394;220,886879;255,892933;230,365126;131,168602;116,295523;154,54133;171,066909;81,869999;66,321888;153,89044;92,424685;132,826864;67,430583;280,818731;204,432304;133,802709;85,368855;146,76088;124,912297;124,930978;86,80801;69,743355;616,820209;294,20456;107,068903;52,670596;951,754274;28,928708;47,205269;93,451644;98,672313;153,641094;10,022783;122,909577;151,723933;347,789231;84,551232;130,375862;142,398568;117,998645;120,043196;106,336429;153,703777;146,654579;176,904549;98,294063;285,425513;62,495217;62,382722;119,905862;85,033899;137,837475;182,652559;100,330965;37,713189;71,505622;31,916578;158,014041;189,488452;116,695476;85,034639;188,792714;58,315757;98,546131;77,098452;83,137507;85,913412;232,499953;137,332903;59,129007;146,745576;207,597067;70,727688;75,078768;92,368728;54,161581;81,749453;52,050608;77,798472;103,838204;86,100007;81,216926;125,660458;142,95109;119,920822;119,920821;184,912287;184,912336;96,247353;114,271775;96,871088;69,980596;105,37722
2004-02-29;169,492348;1347,91113;231,646443;88,693042;148,995251;114,533497;88,965943;108,201838;100,464935;67,00319;92,024425;87,37569;48,822922;50,076316;160,386819;89,947586;71,18136;92,132977;67,201944;92,536583;93,976398;99,918548;222,748865;91,327616;93,731264;86,120682;60,588285;87,797954;109,901569;107,935823;71,00545;51,385225;64,678534;102,038315;71,338668;359,842797;437,195562;208,164436;311,372426;359,034923;208,282489;143,681629;97,231463;124,898733;381,352478;417,957974;895,727045;3518,158273;2080,422225;234,031728;303,797263;163,400276;118,032711;732,515686;139,637393;183,213526;105,291553;74,224111;145,507009;193,05767;109,854484;117,845584;406,713083;309,458749;122,787485;149,738523;98,985548;258,375394;105,285246;394,926008;91,979361;108,789843;180,943056;92,625041;190,873728;84,480387;127,262456;69,551076;57,401318;75,664529;90,321585;72,368695;67,238874;355,593211;96,994184;63,267925;375,169293;151,25092;102,520631;91,543632;95,784458;96,24385;95,056181;105,450219;118,428584;50,321372;329,516209;148,466922;417,450762;123,284524;289,202737;329,749237;103,618256;132,92615;99,667136;87,982033;139,322532;72,742813;132,223152;382,41503;294,343236;720,61796;131,037994;180,159124;135,952294;134,7484;469,400845;104,653531;186,146233;238,389855;259,91116;216,281981;138,984038;118,858494;122,079768;201,667796;88,667478;69,591105;155,761784;90,670812;133,365823;72,060795;274,445916;208,285054;135,496122;91,460126;152,579254;134,353074;123,43731;94,11295;62,592554;500,806834;437,729039;110,363525;61,537813;747,103183;31,180317;44,806955;95,478057;100,146969;150,618967;14,031374;125,372209;154,847852;337,831637;85,303319;123,459466;143,028622;108,06368;117,035963;100,355068;208,34325;145,095262;448,103698;130,098205;256,22909;77,539522;62,686639;147,639185;52,161433;40,837725;188,065304;117,288459;39,817847;103,539562;72,720006;152,022111;189,057863;113,988673;82,124613;192,9121;58,333338;101,601607;72,124609;82,246639;115,055255;225,224657;142,752423;56,074175;162,874781;225,038929;69,727575;79,777342;107,811453;52,236627;103,929126;43,834637;76,768202;101,480099;125,54433;88,913828;112,402773;134,691551;107,866865;107,866868;168,648725;168,648759;91,307722;118,22921;104,493091;70,894446;103,715281
2004-03-31;185,277251;1427,033708;222,638488;106,955686;137,666924;118,478333;103,067009;123,205207;115,045521;83,770966;107,725446;95,30282;44,883272;56,308191;194,851368;99,971262;104,410163;99,87593;72,736976;91,676186;102,92549;103,891778;287,738632;95,499838;93,484309;98,930969;67,073216;109,096733;119,841095;117,185654;82,546882;67,569761;85,083049;107,525313;94,445311;444,102017;500,257983;233,885748;371,708187;435,91702;177,100463;133,260114;114,328902;121,768687;485,032375;395,590812;850,50714;3085,236334;1827,271294;234,50229;293,44446;226,213533;128,727037;891,595343;146,641566;209,316275;103,249844;71,266037;159,300846;208,144668;121,762682;120,557911;419,867266;248,68183;115,425188;175,777691;94,519652;253,57991;116,988511;435,187102;111,302955;116,763774;177,924523;88,947044;182,285786;99,824154;136,849494;80,35542;59,97215;102,646187;101,663642;81,018862;67,79257;421,09504;97,096361;68,27472;413,120159;167,701629;117,816757;92,385144;119,820466;109,267816;99,221081;121,661594;133,622186;52,2121;345,264478;152,214544;473,55681;131,861477;294,896225;408,279519;127,75425;156,746166;117,197387;106,199055;159,537179;166,248036;148,381562;510,06238;346,001263;782,673259;153,243335;205,401357;143,708796;146,871955;504,644169;122,724728;176,309996;275,197593;272,880826;229,918153;154,868027;126,507678;166,537248;182,684785;88,996525;78,889712;174,765225;125,712088;156,056524;83,042681;314,528024;231,43417;144,890266;110,128864;168,80313;125,467742;135,898338;107,296877;80,029156;790,722155;509,512776;117,428959;76,070279;831,682142;70,352117;61,446386;117,451116;121,739038;169,616581;14,200207;142,641841;164,323297;335,382953;80,738005;152,014943;148,548583;134,557373;131,400232;140,576694;218,329056;161,813891;610,191957;129,092782;312,115341;81,554556;83,019771;162,963324;77,450153;321,418968;261,724822;155,950441;59,339544;126,143887;64,82026;176,566988;223,403037;126,826199;92,423201;211,629128;65,28227;108,530774;74,660134;89,185722;167,253845;286,587123;161,393171;50,012505;175,012545;232,994506;65,74998;91,069125;96,533165;62,290043;109,54751;45,931843;102,570996;120,960937;108,080967;84,349669;114,613795;146,229195;109,794952;109,794955;163,230916;163,230959;100,142769;131,594275;114,439522;65,405632;116,691133
2004-04-30;179,830199;1406,908942;226,608509;106,225554;127,624386;116,631926;97,048994;114,693363;106,390015;74,777208;104,196217;98,735852;37,518412;54,47935;170,83311;100,612198;135,556831;95,540838;67,07986;91,292327;97,964498;103,671107;208,886133;85,368037;105,939936;107,283666;70,194578;93,78748;111,745317;90,295039;78,603231;68,67994;98,643406;100,000568;104,826354;436,964341;453,939086;226,70053;355,042248;447,439722;141,843362;137,347611;101,27045;124,40995;463,753296;391,987885;629,091345;1927,927748;1550,667377;213,981692;222,321775;196,217928;107,045935;638,011523;148,143736;193,433858;99,289781;71,267457;159,880036;199,367711;124,243672;119,355892;377,422128;272,523808;118,222432;154,298934;96,224698;263,593715;113,010472;386,742256;112,079813;104,98216;161,910865;85,728829;151,042491;73,888175;134,981994;74,836235;56,546642;85,831735;99,6577;74,553489;61,050075;363,350236;87,857754;66,054895;372,676258;153,277187;107,195638;94,27078;116,603967;100,349032;101,497455;115,23078;128,381715;51,849881;322,13165;141,902248;437,904765;136,75728;311,526249;348,601962;131,025307;151,678896;105,835098;98,885013;135,098145;134,23817;145,181161;477,951919;286,745631;804,045808;157,934897;188,598824;144,645624;139,841407;519,499089;99,223036;171,328174;264,221388;255,517615;221,924348;151,920363;118,011615;150,298869;214,702663;81,944118;68,498598;164,058304;106,995972;137,934698;74,343489;280,066877;207,356489;151,766074;108,604954;152,908866;135,712687;126,932514;95,941039;62,570924;458,199443;374,939019;122,369677;76,028044;698,065328;31,424542;57,633314;100,788213;109,36028;139,7953;14,516881;146,074758;156,455605;327,743628;82,47624;141,350431;123,194854;121,751437;125,518389;109,405603;197,865875;142,494378;294,320629;113,583741;277,06327;91,950606;65,181786;151,836789;66,667327;180,876693;284,663804;128,012642;42,652916;108,4837;79,648373;160,156323;221,838758;125,99259;92,56875;205,770638;34,660133;101,875176;68,117416;81,411906;200,9407;294,58092;147,330438;55,074153;141,252737;218,431637;68,00247;81,914102;100,442638;55,558638;98,834633;55,162788;99,853655;168,740049;102,280138;87,098799;100,000031;150,053651;88,804792;88,804791;105,723404;105,72342;102,546342;130,199868;110,005237;67,478919;112,237986
2004-05-31;195,66386;1411,911484;204,338121;99,305388;143,720043;107,660442;90,483388;108,275901;100,639735;70,382325;96,558189;95,590276;47,688761;57,934222;156,781517;98,454714;131,805627;86,870104;71,476618;93,775852;93,345514;89,865131;193,76917;78,575369;122,640219;84,240054;67,873057;92,397865;101,229925;96,065014;78,5413;72,296551;99,412312;103,13391;102,188017;343,478369;468,577266;194,708451;314,938607;335,557628;161,625883;138,736439;82,160302;126,406165;445,701382;318,345615;543,33819;1006,445066;1650,998433;196,937954;201,256387;160,706555;104,552374;530,363774;137,748966;178,457515;97,720432;73,613432;159,744851;198,640809;111,196562;109,125466;378,227619;242,665043;120,381424;143,383285;97,533716;242,778817;120,148416;354,985683;113,352523;115,422953;135,692588;94,407541;173,468806;53,24304;124,602487;75,292568;51,79789;133,520141;101,776808;67,427263;72,152641;356,124472;94,606627;61,929315;346,349406;143,398667;100,876542;87,699119;103,342266;97,183226;108,045849;106,445634;128,826594;54,008182;312,650845;144,236705;409,41623;128,540164;306,981904;317,186613;133,247061;129,6252;110,663918;91,24297;118,020385;132,962693;149,960369;478,873763;264,743764;763,945401;147,909892;164,814561;135,91941;130,784834;474,66689;120,05864;158,993298;241,678466;240,543633;217,088806;140,240676;111,910412;154,483708;199,424092;83,486533;48,341554;147,571332;105,274625;127,969994;82,353464;244,733719;178,022531;126,953619;103,722513;138,036864;122,130503;111,540023;93,691593;63,494211;415,490028;368,232096;104,561028;69,139583;703,320345;42,609989;33,242298;92,127492;103,177328;122,639152;12,025269;118,456761;149,891231;288,109555;83,814751;126,644201;127,660338;116,490638;113,750427;102,14531;195,532812;131,874498;403,895349;108,12497;303,859099;83,509068;73,110492;126,618314;52,272215;83,576892;218,540422;142,080064;46,825825;221,669194;18,328994;156,543939;204,675233;115,499447;81,270447;191,045219;42,923108;82,232798;62,886055;71,500541;176,741672;264,986293;133,026869;55,381496;122,28796;187,176026;69,755916;75,161657;95,530353;57,284754;100,17924;49,566209;107,051544;112,832079;83,882976;83,005363;96,507144;157,493664;78,730195;78,730203;75,373541;75,373563;106,353604;130,438676;114,656223;69,089363;114,16786
2004-06-30;173,009704;1201,502483;223,039891;116,912982;140,450129;126,141224;95,930751;118,169657;112,399258;86,688085;105,686932;101,337991;125,052926;52,268157;187,132307;92,733601;152,451176;97,076006;70,119511;90,910602;96,57648;107,460904;263,523697;85,516471;87,655833;103,321036;67,023364;107,214014;104,911896;105,139835;74,636843;81,181756;133,5731;98,257539;127,966409;498,2439;406,159115;219,977429;339,522177;409,930763;138,23065;135,813827;105,771114;122,005839;493,515248;577,123373;778,559295;1660,129893;2052,546231;261,967505;236,213387;208,012574;137,668334;743,861686;151,923311;225,757546;138,815865;70,642114;156,416918;197,0502;132,790829;116,899524;449,131809;264,660311;115,673617;152,483096;94,671501;233,222099;116,573049;464,557262;111,689043;121,137027;145,868424;95,69244;154,030965;47,116078;154,603282;96,199592;61,730331;98,635619;118,729319;71,22506;90,216466;372,656748;95,405174;67,11799;385,095201;173,198345;119,284244;95,111391;117,845989;114,161445;104,992666;128,047727;122,207032;50,318831;347,590538;153,095817;431,204675;134,341632;319,622854;388,920881;140,125041;157,020834;109,992612;113,427532;152,967005;171,501941;144,084433;540,42723;310,52512;825,038772;150,564364;199,616512;148,737313;138,081471;499,945755;99,809759;194,34182;265,196943;290,01275;257,586505;162,084279;134,605999;216,636704;244,484981;76,509177;74,829646;166,293401;203,263082;148,419306;93,50786;300,641675;226,830336;150,134084;137,07133;149,133643;140,787326;135,688181;112,170688;93,791833;741,894502;553,95201;127,342614;100,559881;732,778722;111,23564;90,761188;113,175127;131,718818;163,005172;27,946301;124,697729;168,404822;333,388586;80,892568;146,57332;155,198278;137,235396;137,788014;133,310037;261,27111;150,699887;324,755981;133,970973;269,812824;102,86394;84,772201;153,882696;77,138266;194,115262;237,761403;172,987612;58,687536;131,826458;47,082955;193,00529;241,547533;129,173243;91,965803;221,217413;47,267182;102,022696;68,506314;94,933561;193,187767;297,31886;172,887099;51,067194;162,02387;206,057127;65,949139;84,876246;104,972081;56,626709;119,614371;52,759192;136,931035;129,16136;105,658798;106,218436;91,023287;155,404675;74,692841;74,692837;52,069391;52,069388;119,604794;131,323661;125,298636;65,589154;120,370087
2004-07-31;176,719206;1326,481113;214,806801;112,287397;136,078807;130,829541;94,903526;110,231028;112,538307;81,488841;60,989093;93,963816;166,277246;33,157816;141,906808;89,426087;122,856362;95,269438;69,279045;92,986767;96,014998;63,104962;204,535788;85,503256;94,313565;79,791246;71,629758;108,148389;109,986521;75,944451;41,169171;81,322331;98,9546;101,828505;103,557555;371,332714;412,720817;157,050141;249,177965;351,002593;138,184334;138,597066;82,086636;127,490979;471,233094;543,537783;812,17371;2394,896131;1374,526811;251,965794;298,742081;145,771464;97,098012;650,823913;151,679741;231,027176;138,160449;73,044985;163,150209;199,776048;127,169599;115,932722;383,946493;221,705984;121,571186;128,370059;98,252536;257,903475;122,991337;481,451122;120,308217;121,169787;136,286876;100,72451;159,530036;54,346691;146,584187;78,812215;58,322441;70,555132;111,506802;70,178048;72,956599;311,732316;122,848732;60,9529;331,880975;184,143764;119,836494;96,140318;112,868432;102,863094;107,099625;125,358411;121,985038;56,222701;351,69979;163,214361;333,480533;129,240247;279,209978;223,274989;135,402506;148,898003;106,818795;106,85589;184,413846;197,478346;142,838779;524,93663;307,170098;737,567613;146,193474;184,978568;143,404417;145,448526;525,499285;88,224735;163,793075;238,124122;258,610674;271,286052;150,252628;131,668944;186,509986;208,74467;95,084015;43,872991;160,207322;103,112318;137,10548;99,428359;290,950644;199,231793;150,987696;114,522307;140,563249;137,841353;126,854644;101,471008;74,301754;519,665764;376,808592;139,958731;58,833692;628,12525;29,213614;44,122755;103,532028;127,356271;140,49025;26,518522;126,869754;164,217474;369,193476;84,551232;131,548646;144,650984;106,226205;125,948091;109,547496;203,603123;142,224848;662,402819;126,6809;366,081374;97,469193;71,763487;117,079373;64,287924;25,404258;254,162073;162,177032;61,333475;172,965065;50,020085;188,367695;217,965944;118,863185;89,692228;205,91546;38,376926;96,035826;54,513297;69,409312;175,119514;236,611348;164,407481;58,347502;187,414299;209,114739;70,727688;85,196367;104,331148;49,496391;108,563536;51,627525;103,529257;124,595882;90,768899;99,328154;90,700273;159,229131;76,28932;76,289326;48,650813;48,650833;128,8823;127,686268;113,543301;69,980596;113,529382
2004-08-31;173,194976;1292,406536;161,791943;72,500799;95,989026;83,577564;96,748922;106,519224;111,130112;64,334419;95,621529;84,905272;195,573964;46,101438;185,122444;85,320118;72,79283;89,647363;71,319411;92,348617;92,840393;105,307708;90,115731;96,244502;93,216147;69,328602;63,831589;58,255928;108,677008;100,580951;68,130914;68,146736;84,959922;102,787905;91,893325;287,073495;265,398789;122,362969;100,053153;71,573146;84,213405;133,79778;68,25795;123,64766;123,126521;236,024288;386,338353;1097,81158;469,449653;215,93178;197,161146;72,834231;61,996531;439,76953;80,223129;54,43906;92,660898;72,014237;156,337773;168,756055;93,478546;104,182068;268,892821;117,699963;117,408238;134,242068;95,729475;256,05851;108,084961;267,402685;126,916384;108,192626;159,296814;84,102733;181,209213;28,7411;99,151235;74,442209;49,210626;157,331537;64,708745;57,095042;70,001344;157,046878;71,171072;54,041605;249,004836;42,060614;74,604071;73,194895;51,940697;51,193503;104,68724;38,300384;115,387223;51,770856;253,398665;71,380254;90,486679;91,777903;213,399889;280,461066;94,084688;79,29665;64,014113;61,243688;87,004893;117,708672;90,981604;309,203952;101,433945;136,420865;68,140578;75,043645;84,449002;86,146405;264,424579;47,917182;45,578473;99,92111;110,648795;81,822142;98,540689;36,545059;108,253914;106,076302;67,865516;22,821738;73,782101;68,1869;84,742436;58,620929;146,180468;112,936423;101,43603;124,593865;74,017854;52,461303;72,133032;89,23104;62,784336;554,107149;357,92073;72,439316;48,071497;615,761934;34,309106;15,411721;65,837881;101,979803;107,749979;12,341101;86,890024;120,766437;204,260851;81,970765;92,276538;98,220792;88,596732;79,991286;70,291235;165,005472;88,116209;289,174951;55,212289;201,068291;53,138487;61,211788;38,393471;38,620072;237,238122;124,328846;110,99899;23,855467;160,206535;6,808514;131,765097;60,744077;35,570868;44,974568;95,279839;20,406902;15,355574;43,794885;65,607876;39,979102;141,260384;116,584104;52,463026;171,163621;144,956365;67,344576;51,879273;47,466006;44,384069;65,135551;36,177539;109,411962;75,901;71,18523;70,531397;86,64307;142,790399;70,330716;70,330712;41,254125;41,254136;125,096384;79,800434;93,822063;66,873895;72,12375
2004-09-30;166,690499;1294,314384;212,359001;108,822597;144,221178;131,258145;94,995985;110,797746;112,615721;82,254326;99,326891;84,887979;225,591427;49,410786;193,316482;90,07252;72,378127;99,091052;78,146176;91,293672;98,026394;105,823513;236,577371;108,444045;107,747749;88,626133;64,221546;101,769807;110,746907;103,138213;95,999566;107,818847;76,045131;101,346429;78,056373;452,980589;475,243592;190,17784;341,723388;441,578047;174,815809;137,408777;100,372696;123,64766;479,878316;342,92879;867,344817;2068,490771;763,31935;263,368351;241,337663;208,818188;120,078205;633,355901;156,79434;193,408957;154,287558;71,77895;130,128874;196,218593;120,403679;115,543157;388,375507;204,282053;117,408238;172,225506;95,729475;260,028977;113,444258;396,585644;112,576252;114,027012;158,884195;97,382218;164,061426;45,615388;124,097732;82,830825;56,342405;104,967536;97,608765;67,534683;71,754081;381,972582;88,843941;69,874089;388,269378;171,984056;114,316216;84,831688;105,522233;107,339862;102,634577;130,164639;123,945475;55,700197;368,833103;142,315673;482,481671;133,224898;260,944123;336,227026;128,068161;150,624768;108,838482;103,717124;149,764977;240,651732;140,778788;435,550357;316,120292;652,251084;136,03719;182,911489;139,311063;147,754672;476,397123;112,455573;169,958021;295,519552;294,711096;236,898624;144,918263;130,600117;245,111649;203,532471;87,064207;71,170812;170,029897;106,376047;146,290053;87,568884;297,658989;213,561244;137,989802;129,829961;141,003638;113,005556;138,355863;111,83135;92,433673;689,47841;555,255274;166,705874;76,543282;798,692445;102,426604;65,515258;106,91754;135,558056;182,571095;14,857466;122,279209;152,996094;361,890647;81,970765;159,464685;151,574302;139,704683;129,447974;139,473843;214,709131;144,347001;621,748486;114,942197;326,626875;103,07701;75,952024;143,085501;100,886506;132,081346;230,615342;140,887148;52,417848;94,396767;45,849095;201,414941;252,303179;128,214652;97,629765;220,369298;56,465598;95,783135;63,487277;90,024107;116,686705;234,756383;164,257128;51,748482;199,137374;248,693595;67,344576;82,420811;105,428953;57,098743;111,618458;51,274473;167,135262;116,117356;96,220807;95,357424;92,363767;156,047441;75,807299;75,807304;57,611809;57,611824;111,025833;127,523902;120,624823;66,873895;115,329568
2004-10-31;168,317583;1327,257039;211,974184;110,213927;135,453685;127,274981;100,774884;115,46501;112,671695;77,839402;92,161551;89,045785;142,099705;60,240203;233,134241;95,726417;52,829365;108,186353;77,067517;94,855785;101,30595;116,258738;245,287994;119,941338;124,185165;99,559956;68,870836;96,482981;117,099443;100,852122;86,656387;103,706451;69,539343;105,055797;77,079968;365,761845;510,66477;192,577543;370,129408;429,124414;231,16612;147,298847;83,152147;130,236206;482,579623;472,223616;615,244001;2444,299165;683,527502;314,380067;211,963422;194,850532;115,346895;521,162363;163,03179;205,803101;134,931991;74,434398;145,056632;206,486941;124,991834;118,988636;410,279972;184,843023;124,634789;176,492515;100,095334;258,930323;119,191484;383,399266;121,408752;125,782956;162,882461;104,637502;164,39387;59,383418;125,501601;79,735361;61,638249;180,26578;95,504031;68,247968;76,964035;357,277723;87,730326;74,996756;413,090352;166,60595;109,83781;93,554585;107,827887;109,401721;109,311326;133,216515;127,749544;59,430494;342,458649;139,515765;450,867429;136,341218;295,181265;332,522297;134,258261;152,497586;116,20631;98,444795;164,927624;135,652714;147,758678;479,806769;312,465531;848,702515;124,597593;175,035731;135,734884;160,5679;558,876998;162,238833;180,522916;270,963086;283,80227;231,8069;148,499765;127,766126;263,600302;180,636175;98,633232;77,849708;173,389821;106,656138;145,9696;79,000885;317,576832;205,23589;131,047282;106,750412;152,392293;145,33848;145,01582;104,788939;79,946598;576,867241;518,135093;259,926789;86,6482;740,626597;35,208422;80,576629;102,452857;118,206419;178,531826;18,680172;154,255741;160,117833;436,59302;86,44401;175,651947;156,937255;128,114744;141,919814;124,810189;200,204709;152,077944;342,271456;126,844005;358,383274;89,171589;72,612941;138,606676;77,942902;228,367289;234,466309;131,820394;49,854386;130,717118;35,966811;168,575058;261,82099;132,538149;99,540801;229,439456;58,531165;106,73987;74,63392;105,105755;108,088038;244,927798;170,036653;61,965949;166,946829;246,239858;73,24776;86,855125;129,675212;63,689635;106,412235;53,716105;110,620484;110,968903;147,066357;96,798832;103,705771;160,048657;86,244264;86,244268;93,27264;93,272653;97,915094;135,631441;117,051259;72,287645;121,303247
