;start;end;n;arima;mean;p;d;q;bp;bd;bq;m7;q;q-m2;mean;;mse;;nout;kurtosis;;;skewness;;;lb2;;;seas-sa-qs;;seas-sa-qs;seas-sa-f;;seas-i-qs;;seas-i-qs;seas-i-f;;td-sa-last;;td-i-last;;lb;;;dh;;;doornikhansen;;
RF0610;2012-01-01;2023-12-01;144;;;0;1;2;0;1;1;0,486101902;0,745505763;0,718407927;;;;;5;3,440712;0,3032;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,348451;0,1035;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;18,885787;0,5925;Chi2 with 21.0 degrees of freedom ;0;1;0;0,108514;0,9999;0;1;0;0,094649;0,9999;1,002338;0,4265;0,634631;0,7023;7,956706;0,9953;Chi2 with 21.0 degrees of freedom ;;;;3,41971;0,1809;Chi2 with 2.0 degrees of freedom 
RF0620;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;1,388175674;1,438374742;1,245364879;;;;;21;3,282821;0,5088;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,238099;0,2659;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;47,346948;0,0013;Chi2 with 22.0 degrees of freedom ;0;1;0;0,276122;0,9893;0;1;0;0,30645;0,9835;1,700059;0,1255;1,788415;0,1059;24,556832;0,3187;Chi2 with 22.0 degrees of freedom ;;;;2,011671;0,3657;Chi2 with 2.0 degrees of freedom 
RF0811;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,326026379;0,485264019;0,498036839;;;;;15;4,849221;0;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,385242;0,0718;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;30,375752;0,1096;Chi2 with 22.0 degrees of freedom ;5,070368;0,0792;5,070368;0,543493;0,8703;3,600091;0,1653;3,600091;0,577011;0,8447;0,243202;0,9613;0,298639;0,9366;28,764838;0,1517;Chi2 with 22.0 degrees of freedom ;;;;15,721707;0,0004;Chi2 with 2.0 degrees of freedom 
RF0812;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,114867479;0,424993571;0,46203928;;;;;4;3,791033;0,0646;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,174012;0,4162;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;18,617482;0,6688;Chi2 with 22.0 degrees of freedom ;0;1;0;0,364257;0,9675;0;1;0;0,524854;0,8837;1,162393;0,3301;1,389071;0,2233;19,727144;0,6001;Chi2 with 22.0 degrees of freedom ;;;;5,292361;0,0709;Chi2 with 2.0 degrees of freedom 
RF0893;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,442396203;1,19909649;1,174596968;;;;;1;2,403443;0,1634;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,055814;0,7943;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;24,02176;0,3461;Chi2 with 22.0 degrees of freedom ;1,209424;0,5462;1,209424;0,343088;0,9742;0,252437;0,8814;0,252437;0,412426;0,9485;0,640045;0,698;0,651069;0,6892;27,778816;0,1831;Chi2 with 22.0 degrees of freedom ;;;;1,72819;0,4214;Chi2 with 2.0 degrees of freedom 
RF0899;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,307122319;0,531615349;0,497760288;;;;;7;2,728573;0,526;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,018237;0,9321;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;29,685739;0,1263;Chi2 with 22.0 degrees of freedom ;0;1;0;0,64058;0,7912;0;1;0;0,788949;0,6507;0,978533;0,4423;1,062305;0,3883;18,624268;0,6684;Chi2 with 22.0 degrees of freedom ;;;;0,078046;0,9617;Chi2 with 2.0 degrees of freedom 
RF1011;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,453080185;0,918139293;0,972556306;;;;;9;3,907096;0,0341;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,45607;0,0331;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;19,265103;0,6289;Chi2 with 22.0 degrees of freedom ;0;1;0;0,156495;0,9992;0;1;0;0,154752;0,9992;1,630569;0,1433;1,729937;0,1186;29,424607;0,1331;Chi2 with 22.0 degrees of freedom ;;;;6,416696;0,0404;Chi2 with 2.0 degrees of freedom 
RF1012;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,352600099;0,509328476;0,511370633;;;;;2;2,635872;0,3931;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;0,101003;0,6357;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;39,740081;0,0116;Chi2 with 22.0 degrees of freedom ;0;1;0;0,258413;0,9919;0;1;0;0,335091;0,9764;1,21062;0,3046;1,40049;0,2188;16,411786;0,7949;Chi2 with 22.0 degrees of freedom ;;;;0,621372;0,7329;Chi2 with 2.0 degrees of freedom 
RF1013;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,212246444;0,658309889;0,687417184;;;;;2;2,923191;0,8576;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,154994;0,4689;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;21,380286;0,4974;Chi2 with 22.0 degrees of freedom ;0;1;0;0,212376;0,9966;0;1;0;0,336516;0,976;2,157632;0,0508;2,224342;0,0444;18,524535;0,6745;Chi2 with 22.0 degrees of freedom ;;;;0,586205;0,7459;Chi2 with 2.0 degrees of freedom 
RF1020;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,386149576;0,736310705;0,775328595;;;;;4;2,568868;0,3138;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,043598;0,8386;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;18,600802;0,6698;Chi2 with 22.0 degrees of freedom ;0;1;0;0,652134;0,7809;0;1;0;0,527742;0,8817;1,073738;0,3813;1,12905;0,3488;17,453894;0,7378;Chi2 with 22.0 degrees of freedom ;;;;0,608211;0,7378;Chi2 with 2.0 degrees of freedom 
RF1031;2012-01-01;2023-12-01;144;;;1;0;1;0;1;1;0,30708102;0,903960101;0,895120615;;;;;6;3,702577;0,0994;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,621827;0,0035;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;16,158484;0,7607;Chi2 with 21.0 degrees of freedom ;0;1;0;0,335462;0,9763;0;1;0;0,372635;0,9646;1,262815;0,2787;1,195999;0,3122;20,619363;0,4824;Chi2 with 21.0 degrees of freedom ;;;;8,197564;0,0166;Chi2 with 2.0 degrees of freedom 
RF1032;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,530272175;0,715277602;0,713885968;;;;;2;2,608941;0,3609;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,031872;0,8816;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;30,320591;0,1109;Chi2 with 22.0 degrees of freedom ;0;1;0;0,192416;0,9978;0;1;0;0,404028;0,9522;0,377149;0,8925;0,32393;0,9235;20,894481;0,5273;Chi2 with 22.0 degrees of freedom ;;;;0,410884;0,8143;Chi2 with 2.0 degrees of freedom 
RF1039;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,17843156;0,658110996;0,734485035;;;;;2;2,995445;0,9915;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,0562;0,7921;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;17,56796;0,7313;Chi2 with 22.0 degrees of freedom ;0;1;0;1,204105;0,2906;0;1;0;1,344453;0,2074;0,745531;0,614;0,778868;0,5879;14,492332;0,8831;Chi2 with 22.0 degrees of freedom ;;;;0,274658;0,8717;Chi2 with 2.0 degrees of freedom 
RF1041;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,51843515;1,373650459;1,203961589;;;;;6;3,565358;0,1849;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;0,700961;0,001;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;36,493327;0,0269;Chi2 with 22.0 degrees of freedom ;1,415769;0,4927;1,415769;0,763022;0,6761;0,066028;0,9675;0,066028;0,638184;0,7933;0,813794;0,561;0,839479;0,5415;12,68191;0,9417;Chi2 with 22.0 degrees of freedom ;;;;11,523511;0,0031;Chi2 with 2.0 degrees of freedom 
RF1042;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,349819705;1,121438362;1,143328178;;;;;7;2,797334;0,6359;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,060168;0,7786;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;20,052102;0,5798;Chi2 with 22.0 degrees of freedom ;0;1;0;0,791319;0,6483;0;1;0;0,642641;0,7894;1,202393;0,3088;1,362621;0,2341;30,473431;0,1074;Chi2 with 22.0 degrees of freedom ;;;;0,09569;0,9533;Chi2 with 2.0 degrees of freedom 
