;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;0,98997;1,03445;1,028675;-0,712703;-0,16407;1,016425;0,979517;-1,120561;0,994669;1,029147;-0,607189;0,978144;1,004804;4,238725;0,980263;0,992946;1,049544;0,978769;1,017002;-0,283553;1,001333;1,010445;-12,715631;0,997595;0,996407;0,999191;1,195276;0,990064;0,994515;-2,482104;1,030748;0,910917;1,013083;-0,014719;0,961283;1,085546;1,012914;-0,41412;0,33303;0,902565;0,976899;-2,923119;0,388849;2,621398;1,054856;1,029325;0,916082;1,01935;0,806278;1,001037;0,897822;2,598992;-0,990145;1,200626;0,994984;7,892974;1,007291;1,037029;3,770738;0,99615;1,002732;0,98707;1,035416;1,076133;0,938417;0,99645;1,039902;1,109426;-1,408308;1,016498;2,972697;5,602117;1,661298;-1,22782;2,902903;0,875213;1,004226;1,731055;-1,97933;1,070662;1,0037;1,004161;2,456816;1,676719;0,938228;0,945898;0,992309;-0,44886;1,000551;-0,087192;1,012669;0,600246;0,989907;5,820921;1,013271;0,994137;0,958293;0,957716;2,211169;4,287735;0,99118;0,98197;1,009829;0,963847;1,080126;1,016675;0,911116;-1,43843;-0,200833;0,987978;1,020105;0,99848;1,001618;0,967613;1,089376;1,056032;0,077308;0,285376;1,052932;7,973838;-8,177985;1,01604;1,002383;-0,29793;-3,027798;0,981882;0,056291;-2,63716;1,023244;0,161698;1,746886;3,241206;0,963788;1,034418;0,992398;0,971181;1,021014;1,35846;7,518662;1,175054;2,697507;1,033443;1,085471;-1,785023;0,999973;0,954068;1,00343;0,14508;0,982518;1,032597;0,958183;1,137614;1,020728;1,025875;1,111196;1,004495;1,679092;1,021122;1,0026;1,016289;0,964594;0,999005;1,014207;0,717805;1,023091;0,783476;1,483376;0,992861;-2,51069;-5,685379;1,021019;1,007486;1,059328;0,94216;1,088254;-4,813963;1,054609;1,040845;1,676166;3,909928;1,020221;0,961705;0,17455;1,003141;4,173547;1,030557;0,954682;1,000953;43,637014;0,921178;1,021364;1,00232;0,975956;0,450367;1,027608;-1,025697;1,036082;0,967663;0,968165;1,008669;0,980643;1,006156;1,001808;1,002856;1,002857;1,051984;1,053423;0,99083;1,395937;2,244213;1,321604;1,412414
2012-02-01;0,978828;1,005739;0,982376;-29,261937;-2,99318;0,947883;0,991397;1,192462;1,00505;1,003857;-1,897317;1,014823;0,945019;-4,116771;1,046501;1,006604;0,971198;1,020088;1,000656;4,346974;1,029023;1,033937;4,607563;0,942664;1,001767;0,949013;-0,731034;1,029773;1,00355;0,222726;0,993102;1,006409;1,004427;0,512245;1,02047;0,993895;0,96353;-1,792027;-0,10447;0,910154;0,942162;2,618669;-1,486289;0,474428;1,022018;1,067384;1,12805;0,878512;1,005647;1,01467;1,101945;4,416137;-0,110762;1,025944;0,968763;-0,259092;0,98331;1,02349;-8,582607;0,986095;1,001603;1,001507;0,988396;0,900771;1,001344;0,99068;1,029287;1,022361;-1,062235;0,943031;-6,947529;-7,546894;-2,168726;-2,058317;-1,39367;0,963385;0,928166;-0,921888;1,754791;0,944052;0,975898;1,001176;-4,733361;1,282984;0,945791;1,00005;0,989171;1,733276;0,990902;0,440436;-0,375881;-0,407407;1,026513;1,570743;0,995419;1,002693;0,900866;1,057783;-4,374351;-2,626528;1,002274;1,003109;0,652605;0,709981;0,945933;0,725043;-4,306936;-16,509078;-1,063247;1,047641;0,878676;1,025537;0,959598;1,060885;0,472988;0,956644;3,153134;-0,204609;0,970703;-4,047297;0,283365;0,967422;1,011439;4,686716;0,970606;1,01099;-0,145048;7,001897;0,990846;0,318189;0,250054;-5,188468;1,027045;0,988319;1,010802;1,0024;0,903425;-1,446391;-3,357482;1,001868;0,606646;1,055403;1,002544;-6,767366;0,994819;1,134644;1,007561;8,51864;0,990269;0,985116;1,036577;1,484717;0,989899;0,989469;0,992586;0,995904;1,072946;1,004615;1,019079;0,963931;0,993688;0,991539;0,993855;1,15911;0,978676;1,074041;1,140444;0,960515;-1,504944;6,284688;0,787359;0,882457;0,918791;1,045214;1,030629;11,201471;1,014451;0,982359;0,20122;-0,819697;0,985791;1,038541;2,219592;0,997604;-2,980446;1,062443;1,015217;1,009438;28,467349;1,015997;0,977405;1,040826;0,997841;3,449525;1,040347;0,88116;0,971827;1,003976;1,035635;0,997752;0,999576;1,079098;1,053088;1,24262;1,242622;1,400235;1,397024;1,000232;-17,074356;-16,158412;1,0946;-12,823625
2012-03-01;1,006427;0,983141;1,009116;1,734554;0,172265;0,833081;1,00571;-0,2969;1,012265;1,009967;4,42871;1,076311;1,032777;0,326444;1,012474;1,00109;1,017198;1,010224;1,053992;-2,17948;0,996226;0,99867;1,798819;1,028631;1,01868;0,987838;0,942983;0,993165;0,992885;2,56267;0,959332;1,023348;1,002668;1,28183;1,089649;1,0291;0,99849;-0,075089;1,260645;0,940015;1,045149;-2,613245;3,131138;-3,054327;0,978663;1,023589;1,048456;1,177481;1,197916;1,148188;1,011898;0,65466;2,087019;0,912691;1,002396;-0,865468;1,028206;0,969762;0,476699;1,015139;0,99936;0,996647;0,998543;1,04043;0,98462;1,019797;0,93984;0,991549;0,845632;1,064339;-1,352127;-3,568707;-1,560411;0,949643;-0,999683;1,094415;1,01088;-1,999356;-0,20267;0,987744;0,809212;0,965921;2,459868;2,480912;1,001552;0,951009;1,025479;0,28652;1,009779;0,017877;1,246939;1,10094;0,983982;-1,26859;0,992784;0,995724;1,002308;1,061436;3,281758;4,725329;1,004752;1,032267;1,018416;1,014713;1,010462;1,051569;0,566602;1,749839;2,215688;1,014476;0,975406;0,979623;1,03193;0,913575;-0,406287;1,023639;-4,110022;-8,262533;0,973041;6,252225;3,129784;1,011699;0,99185;-0,413987;1,787025;1,018492;0,048909;2,346916;1,007906;11,081103;0,80876;5,387533;0,949132;1,009881;1,010469;1,004595;1,01538;0,669807;0,715693;0,981951;-0,691967;0,892237;1,006315;4,367643;0,989221;1,020104;0,987848;-11,376538;0,997832;0,862904;1,041645;0,91884;0,992015;0,989772;0,982838;0,97718;0,97333;0,974344;0,643321;1,014488;1,013223;0,979416;0,917275;1,231906;1,064074;1,073217;-2,994156;1,009038;4,029685;5,351211;1,02104;0,951252;1,054628;1,003815;1,001989;25,545716;0,970828;1,009241;1,907566;0,754996;1,004821;1,065524;0,280391;0,931417;4,108801;0,934959;1,06329;0,998432;17,6632;1,010114;1,018232;0,976368;1,02039;2,571363;0,993013;1,007873;1,042168;1,091997;1,05338;1,044697;1,006564;0,993857;1,013417;0,961962;0,961964;0,962003;0,959959;1,012473;0,215133;2,076356;0,954923;0,670904
2012-04-01;1,022565;0,980717;0,983205;-8,855054;1,798134;1,037421;1,004155;-0,36991;0,987881;0,984279;-3,165471;0,997703;0,988693;2,056773;0,922972;0,995157;1,077963;1,008467;0,986582;0,985668;0,973804;0,96866;1,144997;0,997536;0,974146;1,003149;-3,548782;1,00373;1,003027;-1,17469;0,98209;0,964623;1,028105;1,15977;1,014049;0,983916;0,965942;-0,852418;-3,168802;1,087357;0,983192;0,244642;-1,162558;1,525483;0,966246;0,852412;0,97769;1,016553;0,962563;0,979034;0,944084;-2,689681;-1,091854;0,856275;1,009917;-3,757508;0,979838;0,986535;-23,281939;1,012773;0,968643;1,013484;0,897025;1,002079;1,023664;1,01148;0,975037;0,950387;2,194574;0,992097;-0,597319;6,553196;4,102291;1,097216;-6,041986;1,001364;1,000081;-0,109109;0,440249;1,014849;1,01634;1,01046;-3,598031;2,115829;1,022891;1,006581;1,005193;-6,45126;0,993037;-2,190521;-1,739209;-0,764513;1,016826;-0,641778;1,011332;0,676851;1,178796;0,963542;-2,014794;-1,427653;1,020991;1,001498;0,964191;1,018174;0,997407;0,919869;2,553434;-2,941252;1,161177;0,967077;1,062064;0,980435;1,087427;1,051574;-1,289172;1,012563;-1,32031;-3,312906;0,990367;-15,995636;-0,185923;0,899426;0,992411;-4,39117;-0,290833;0,960798;0,215182;-2,158242;0,984693;-4,374667;-1,746355;19,338109;1,063494;0,940911;0,99622;1,012439;0,980728;0,448974;-1,559327;0,970959;-2,425501;0,94359;0,960667;0,793719;1,026509;1,047016;0,995574;12,681726;1,02102;1,015936;0,966771;0,966533;0,904977;0,979329;0,999616;1,006361;0,981444;0,933195;1,024858;1,099301;1,166492;1,016113;1,000942;0,951954;0,964952;0,999187;-1,125732;1,014593;2,634725;2,703957;1,103127;0,997469;0,908604;0,982039;0,608453;13,897544;0,972149;0,975833;-0,548505;-0,340276;0,989031;0,815483;-4,854359;1,014726;-0,489605;0,968399;0,980162;0,988424;14,130174;0,976278;0,979997;1,024727;0,9977;-15,808607;0,973878;-0,582328;0,989253;1,011664;0,784085;0,992256;1,011376;1,079405;1,016073;1,080884;1,080885;1,22432;1,218007;0,976958;-1,323992;-6,413023;0,774946;-1,586225
2012-05-01;1,005187;0,985379;0,979739;-0,295397;6,260625;1,002924;1,018822;0,662177;1,004996;0,973822;2,938893;0,997087;1,017128;-1,285237;1,002399;1,001723;0,965654;0,985496;0,985195;0,368248;0,98797;0,982144;-3,809331;0,998719;1,006066;1,019678;0,360271;0,991609;1,007127;-1,73497;0,996515;1,115722;0,990971;0,781598;0,975475;0,879804;1,047654;5,527242;1,61328;1,114924;0,990853;3,005762;-2,219731;7,14532;0,971559;1,18476;1,064584;0,985754;0,836563;0,959439;1,049338;-0,199319;-6,720851;1,181467;0,971433;1,564657;1,000019;0,982585;-0,834522;0,987577;0,999851;0,999912;0,993554;0,974951;1,054774;0,989033;1,02864;0,958922;-1,132135;1,01788;1,28401;-0,733617;-2,225303;2,161909;8,150833;1,062276;0,997872;0,304577;-0,202405;0,974507;1,080004;1,025874;4,491179;-0,104229;1,06731;1,03112;0,997643;0,185127;1,013189;0,660395;0,614691;0,288145;0,981353;-1,034503;1,005737;0,718694;1,062163;0,885289;2,633999;-0,115072;1,007549;0,968326;0,93983;0,996979;0,904989;0,985763;1,819634;1,63325;-0,942548;1,235909;1,061624;1,024843;0,982621;0,975992;-0,756451;0,971708;4,443454;6,252335;1,049533;-5,707145;-0,041864;1,029057;1,016278;-1,076317;1,483961;1,043536;-1,174958;-4,856198;0,992884;0,069733;-0,932182;-1,699679;0,993708;1,004262;0,989057;1,022713;0,989974;-1,404935;-0,118956;1,047673;-1,613032;1,149289;0,960384;0,16376;1,026243;0,893874;1,041538;-5,737522;0,995008;0,992544;0,97236;0,931561;1,050085;1,009502;1,01214;1,200274;0,920367;1,010358;1,05935;1,028676;0,980021;1,042729;1,009329;1,012509;0,996511;0,91248;2,614014;1,032763;-1,96192;3,123522;1,094167;1,084984;1,122257;1,016688;1,600174;3,334235;0,973532;1,000024;-1,700919;-7,294964;1,003266;1,052216;-1,518814;0,983419;1,557304;0,978009;0,979404;0,990011;16,846972;1,033598;0,998862;1,042953;1,006707;-2,009309;0,997229;-1,317739;0,980079;0,989307;0,999261;0,972479;0,966579;1,002614;1,011363;1,002513;1,002514;0,961014;0,973981;1,016852;0,363326;-1,585895;0,947784;0,428239
2012-06-01;0,991606;1,042033;1,035014;0,901965;8,19345;0,991708;0,996808;0,432281;0,994449;1,005764;-1,507563;0,990389;0,951388;12,13128;0,992544;1,002424;0,980294;0,993688;1,044601;-0,503162;1,033637;1,01278;21,745435;1,003658;1,00577;1,008521;3,270417;0,968497;0,996618;2,569527;0,97342;0,99946;0,97994;-1,38725;0,992833;0,98167;1,032893;-0,940322;-0,900224;0,984817;1,051646;-1,728039;1,142721;-7,416358;0,897097;1,025817;0,903534;0,72422;1,028893;1,026253;0,988579;-6,687096;5,104179;0,966393;1,00762;0,850259;1,01549;0,935113;5,72592;1,059963;1,001873;0,979269;0,99173;0,993266;0,957542;0,980243;0,97716;1,050758;-0,527074;1,000074;1,276772;3,696329;-2,754664;-1,392731;-1,08466;1,08836;0,983606;2,444228;-5,732611;0,91123;0,95669;0,985549;3,233672;-5,191037;1,023863;1,021949;0,972087;-0,095784;0,997561;0,598489;-1,562732;-1,453155;0,992839;-0,557235;0,93431;0,840133;1,001269;1,071194;0,320835;1,129911;1,004471;1,012979;1,021618;0,997427;0,987896;0,996833;34,257087;-0,014882;-0,205972;0,932103;0,946263;1,023023;0,994483;0,956619;1,242449;0,953613;3,669026;-2,59907;0,957381;11,883356;-1,018899;0,983332;0,991795;0,921421;-4,005815;1,056711;3,02374;1,794965;0,997452;0,665286;0,151045;-4,617637;1,037756;1,003568;0,983618;1,006369;1,080192;-0,08738;1,382235;0,994892;2,337567;0,928214;0,981752;2,381429;0,947401;0,907615;0,982152;-3,139417;1,034484;0,985105;1,088736;1,035459;1,017903;1,014742;0,999907;1,033886;0,989481;1,007278;0,658356;0,940569;1,029195;0,965497;0,992663;0,791337;0,973764;1,136195;-11,363273;1,021786;1,446123;-9,283908;1,177822;1,010312;0,945279;1,020445;0,957301;-30,677299;1,043299;1,007202;-2,809614;-0,722723;0,994026;0,93065;1,899819;0,993487;-4,714402;1,043969;1,009213;0,997357;-4,166905;0,999085;1,012227;0,898703;0,989614;-2,295951;0,96973;3,707056;0,963736;0,97404;0,928941;1,018447;1,027644;1,000511;1,014289;1,007068;1,007068;1,048028;1,03895;0,985303;-1,018679;-0,41345;0,949176;-0,839838
2012-07-01;0,981868;0,96153;0,904492;0,131458;-11,510619;0,995645;0,959875;0,160384;0,99745;0,994773;1,007505;0,994596;0,844957;-22,803596;0,989126;0,998677;0,812502;0,981529;1,009182;0,591699;0,98576;1,014774;26,901607;1,163581;1,037195;1,020046;0,073352;1,006016;1,001228;-0,823184;1,040572;0,990258;0,928043;-1,498673;0,990617;1,039733;0,979961;-5,238886;2,214721;1,285837;0,974686;2,206559;0,531761;0,471058;1,115217;0,988186;0,940764;1,245806;0,959107;0,847633;0,784197;-0,928369;-0,621931;1,02272;1,034669;3,363085;0,994603;0,965815;-3,939855;0,9884;0,998154;0,99391;0,98866;0,792382;0,982398;1,005326;1,109255;1,117894;5,335213;0,935645;-3,22802;-6,557062;0,373166;-2,310279;3,126523;0,909557;0,999816;-8,012632;-0,165026;1,069927;1,016835;1,010246;0,326634;-13,512923;0,96052;1,031785;0,965354;-1,273442;0,996191;-0,807886;1,927622;0,082932;1,103479;0,818714;0,991944;0,871565;0,976846;1,030636;-4,463126;-1,650183;0,961626;1,008863;1,006955;0,987257;1,066463;1,00484;20,042678;1,704735;7,974026;0,956044;1,031771;1,184957;1,002304;1,025421;0,808784;1,035021;0,428454;1,589205;1,043759;2,074456;-0,831505;0,985021;0,989481;1,934946;0,616513;1,000364;-1,155658;2,394571;1,01696;-2,366085;-0,1994;2,872232;0,988994;0,973135;1,009392;0,97148;1,012322;1,380668;2,061279;0,998007;1,551161;1,042909;1,004035;2,47251;0,980863;1,022238;0,9676;3,353701;0,878832;1,018486;0,978321;1,036445;0,984079;1,012407;0,991712;1,022396;1,141746;0,987088;0,974098;1,009047;1,221471;0,957304;0,977073;1,758051;1,006956;0,890759;0,122963;0,986319;-2,516281;50,76475;0,940963;1,121768;1,020418;0,885287;0,89862;-29,689553;1,456771;1,136817;1,272797;2,721476;1,043907;0,990343;10,439868;1,032154;0,52675;0,985546;0,979126;1,037858;-6,990862;1,068104;1,013049;0,929222;0,967506;-8,847675;0,996249;0,215723;1,208339;0,951934;1,058472;0,996597;1,019075;0,969701;1,010181;0,990097;0,990097;1,028466;1,022081;0,995283;0,497022;-1,205099;0,994948;0,283019
2012-08-01;1,014707;0,968714;0,910899;-1,196102;-6,951903;0,907246;1,009064;-1,005722;1,007839;0,999253;-1,539159;0,981901;1,099809;0,525989;1,035956;1,002559;0,936133;1,037595;1,001333;-0,592437;0,966892;1,002972;-27,835197;1,021849;1,005867;0,883405;-5,941598;1,022948;1,001933;-0,045131;1,002469;1,008091;1,043002;4,199143;1,011724;0,999635;1,349283;10,722075;1,251463;1,003423;1,07005;51,88198;0,086191;42,65647;1,128928;0,843508;1,061663;1,068517;1,004516;1,090565;0,611122;0,105756;-0,889998;1,052159;1,029665;-16,012484;1,001804;1,107482;-1,39886;0,942426;1,002459;1,014731;1,030267;1,736198;1,291593;0,996923;1,196817;1,058731;-1,52741;1,102247;0,172692;-4,169851;1,034849;0,467588;4,34255;0,997914;1,071464;7,187265;-0,379752;1,267669;0,98682;0,982306;-0,52572;10,052793;0,975639;1,030409;1,072453;9,487153;0,992904;0,051353;-1,857254;0,272489;1,000737;0,199798;0,983854;0,80393;0,646013;1,013476;-23,288316;-1,003105;1,157856;1,398711;0,994042;1,013302;1,006242;1,025105;17,763379;3,286795;-2,573423;1,099265;0,941682;0,960031;0,998778;0,966218;0,140203;0,994755;-1,017417;4,477922;1,45375;-28,159249;-4,474494;1,016945;1,086174;-0,315219;-0,684149;0,912178;-1,599259;-0,774765;1,005142;6,254063;0,559522;-0,312489;1,620111;0,996;1,030704;0,984374;0,988205;-0,16505;-0,6177;1,036258;1,887687;1,010996;1,04391;-3,115951;1,054757;1,122178;1,024402;5,953209;0,947781;1,00242;1,004407;1,150797;1,014388;0,997769;1,000126;1,524905;1,209094;1,083589;1,581959;0,993063;0,965958;1,036218;1,027057;1,103267;1,193995;0,987844;1,837299;0,955979;-7,180126;26,404342;0,967525;1,36988;1,049538;1,095663;1,134683;12,425888;1,281697;0,961332;0,140097;-2,29289;0,983757;0,724583;13,726385;1,015338;10,568496;1,036679;1,008812;1,091239;76,99617;0,99695;0,979653;1,864909;1,042924;2,669084;1,007789;0,608276;1,017191;1,040393;1,021991;1,100257;0,986318;0,979914;1,007681;1,012932;1,012932;0,986852;0,995533;1,111755;1,269147;2,576795;1,643467;1,989439
2012-09-01;0,990048;1,057195;0,993804;-1,458546;-0,40486;0,986062;0,988778;-1,447585;0,992266;1,007759;-4,435882;1,034957;1,02721;2,538205;0,951743;0,983923;1,059134;0,998064;1,002591;0,667594;1,044164;1,007173;1,214525;0,913347;0,957677;0,975159;-1,81254;1,005853;0,990358;2,880592;1,046629;0,98972;0,97962;-1,183707;1,009082;1,020918;1,035445;-0,179505;-3,108978;0,926557;0,990302;7,368056;0,241761;0,405504;0,877535;0,920804;0,883049;0,926391;1,125835;0,973899;1,238874;1,743773;3,432905;0,964577;0,992559;-2,982986;0,998962;1,037381;1,632941;1,027534;0,993116;1,003695;1,005658;0,93565;1,02875;1,003768;0,984271;0,955032;6,502118;0,733042;0,58166;10,737961;-0,649981;2,902618;-11,396859;0,910356;0,998771;-0,152995;0,873053;1,046884;1,036519;1,031831;0,467671;-3,982554;1,098263;0,978064;1,015343;-0,957393;1,034995;-0,267781;1,804638;2,351623;0,993399;8,217804;1,009978;0,945043;1,019014;0,936988;3,307614;-6,048168;0,860438;0,966765;1,068716;1,007754;1,003699;1,009835;13,502817;-2,191456;2,423575;1,007615;1,040071;1,010459;1,033888;1,041142;-0,926885;1,00295;-6,115708;3,120995;1,145534;8,157096;9,097338;1,026103;0,989351;0,137113;2,259915;0,954582;-0,090312;-0,2081;1,017542;0,445434;7,429259;-3,701641;1,179945;1,027388;1,010902;1,006149;1,021905;0,639491;-2,459325;0,966286;-1,055862;0,923132;0,895222;-0,765847;1,031948;0,897791;0,987183;-12,83103;1,009977;1,003259;0,977418;0,941242;1,015315;1,011531;1,091213;0,974798;0,882663;1,036874;0,652574;0,996367;0,987683;1,054441;1,004733;0,905573;0,9909;1,481391;0,3769;1,005042;3,117318;18,756182;1,024033;0,920643;1,009553;0,988163;1,180844;7,30659;1,201744;1,040838;1,974318;2,508543;1,018477;1,007288;-1,856572;1,000673;-1,307824;1,022019;1,046404;0,999366;13,109127;0,960333;1,011403;1,076507;1,004921;4,797845;1,022915;-0,461859;0,963608;0,971068;0,979812;1,010883;1,089793;0,998803;0,998386;0,986311;0,986311;0,949428;0,951912;1,008076;-2,487818;-1,410899;1,052495;-1,667105
2012-10-01;1,001297;1,015937;1,025573;1,586181;-1,608392;1,013325;1,016444;1,390112;1,013197;1,017106;2,386702;1,022646;1,203051;-5,380497;0,890651;1,001196;1,052323;1,009314;0,999445;-8,454571;0,981939;0,973015;-3,602672;0,971395;0,969165;1,012096;0,181775;0,99604;1,014311;-1,383598;0,993375;1,028285;1,024625;-0,025051;1,011074;0,969186;0,999175;1,060209;1,665942;1,043697;0,965797;-7,189314;-0,331008;-10,479905;0,975483;0,939617;1,022367;1,059074;0,998268;0,966852;1,121857;3,234481;2,084267;0,971293;1,008252;1,947815;0,996147;1,034816;-0,210695;1,002904;1,037832;1,0525;1,00599;0,983624;0,989948;1,023024;0,95118;0,983206;0,643099;0,659578;3,248768;4,208418;3,10279;1,049567;-8,178502;1,04992;1,010569;-1,296352;0,046102;1,070162;0,993384;0,968507;-2,379779;4,283593;0,935183;0,892536;1,009602;0,855061;1,002576;0,948714;0,524567;0,32862;0,982557;-2,499957;1,005947;0,935181;1,059239;1,092415;-0,032061;0,739067;1,008404;1,025356;1,009246;0,992285;1,002837;0,983607;8,875919;0,603973;-1,775591;0,965723;0,991301;0,996441;0,977465;1,02168;1,053844;1,003229;1,233852;8,168228;0,907036;7,844532;0,506896;0,951823;1,027123;2,698497;2,23723;1,022795;1,35446;-2,124405;0,982376;0,007102;1,072387;0,949661;1,09026;0,992581;0,945146;0,992341;0,998406;-3,716021;2,313711;1,009784;-0,567005;1,053132;0,971136;-4,69471;0,881531;1,016781;1,02374;2,673449;1,010444;0,994847;0,951258;0,918741;0,989182;0,97303;1,002864;0,867432;1,007169;0,903079;1,033474;0,994887;1,006296;0,979556;1,018263;1,155553;1,093785;0,74913;0,308498;1,004321;16,465592;10,970504;0,791058;1,036729;0,983708;1,038461;0,776186;-19,310065;1,132549;0,968337;4,914041;2,338577;0,98933;0,865881;-2,556042;0,97482;-2,585563;0,766186;0,96663;0,979987;5,318269;0,996807;1,017051;0,908142;1,002284;-1,373967;0,978994;-6,016481;1,03064;1,203655;0,860576;0,992894;1,001;1,022699;0,998962;1,021566;1,021566;1,028306;1,024624;0,859947;0,130936;0,026083;0,949295;0,46377
