;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;0,968201;1,014146;1,019042;-14,494185;20,786367;1,042757;1,032236;1,74872;1,002091;0,915117;-1,181057;0,995887;0,655602;4,951031;0,992115;1,060338;0,875648;0,995425;1,03249;-1,011622;0,903228;1,017937;7,845946;0,885175;0,959261;1,177786;6,480188;0,989903;1,046915;10,42265;0,915472;0,652557;0,788847;2,828676;0,954055;0,97625;1,079356;7,464964;-0,526077;1,063355;1,006467;9,909043;2,982942;3,256517;1,141691;1,140795;1,078583;0,991283;1,157979;1,167361;1,302252;-5,628265;12,238564;1,188759;1,158752;-1,307164;0,966779;1,005462;7,513787;1,021392;1,06755;1,066618;1,141464;0,902624;1,083379;1,010361;0,973909;1,004582;0,669804;1,07397;-14,723243;9,043115;18,871352;3,469537;10,903927;1,423322;0,987641;0,80629;10,688446;0,946646;0,989828;1,087698;6,869904;0,458487;1,055102;0,94635;1,067853;7,084229;1,04716;2,574503;0,300221;4,06342;1,016421;8,226501;0,997726;1,04743;1,006976;1,028681;-8,559422;-1,357152;1,000234;0,978293;0,784713;0,907616;1,049997;0,830246;2,926753;-71,015761;3,53834;0,872858;1,066248;1,09103;1,069416;1,115885;4,401871;1,086124;12,113874;-0,141708;1,109596;-0,357706;12,318689;1,14446;0,949397;3,475505;8,481152;0,871109;2,650103;1,861047;1,087277;4,029065;4,429212;1,760427;1,230592;1,06348;0,99389;0,90929;1,038471;10,204122;-1,476216;0,920931;-5,270003;0,804213;0,704172;9,900256;0,832398;0,957455;0,553926;-25,976994;0,904453;1,021472;0,954673;0,881417;0,960449;1,016135;0,946621;0,940523;0,892878;0,987265;0,897829;1,035021;0,970197;0,889969;1,008835;0,563825;0,838241;1,099505;-13,223613;0,875055;2,54056;-12,017591;0,872185;0,967124;0,729713;0,921898;0,700023;-12,000434;0,997553;0,996533;2,23033;9,172767;1,067935;1,029911;19,322386;1,110615;-4,616197;0,993443;0,813514;0,96101;-20,617504;1,071442;1,045509;0,990458;1,020278;6,576272;0,91297;-8,565451;0,787262;0,807274;1,06132;1,03362;0,856669;1,268244;1,042392;1,348662;1,348663;1,734433;1,740804;0,950251;-3,250031;-9,969391;0,631058;-1,978432
2012-02-01;0,947665;0,954926;0,899547;-6,39134;9,893626;0,966803;0,978447;-7,226756;0,967494;0,985277;2,067693;0,934439;0,596013;-1,804157;1,099917;1,009919;1,11613;0,965742;0,953143;-5,641794;0,967227;1,027228;12,643282;1,105543;0,951705;1,002009;-10,057765;0,974373;0,993343;-0,982238;0,849649;0,590697;0,797198;-7,593998;0,955159;0,962099;1,105332;11,728668;1,87882;0,998299;1,255086;4,40564;3,324028;5,54438;1,010637;1,060551;1,281415;1,14062;1,145576;0,985256;1,171627;-0,47916;-3,355755;1,288178;1,053029;3,072346;0,882812;1,032608;-8,772886;0,965309;1,017898;0,968166;1,001432;1,093021;1,014123;1,033592;0,988421;0,95745;-6,682488;1,066471;-19,958866;2,058878;13,299292;-1,933642;-9,355286;1,55687;1,019485;-0,110884;10,182012;0,962098;0,943836;1,042287;9,493568;7,942398;1,125505;0,988159;1,081281;7,676014;1,030728;-0,131433;-4,7303;4,910367;0,950405;4,164789;0,97607;0,978813;1,022946;1,016428;1,848395;3,305598;1,134329;1,090437;0,922676;1,026427;1,062485;0,908153;5,567818;-44,176409;4,329137;0,997534;1,072968;1,112639;1,017198;1,147463;2,680545;0,961545;6,959482;-2,266551;1,10606;-6,147799;5,901164;1,106479;0,970353;0,266076;-3,465051;0,948307;0,311166;2,483412;1,079308;3,784637;1,671197;-3,821408;1,023821;1,102862;0,997983;0,90537;0,984124;6,969469;-1,580677;0,912998;-4,546208;0,817362;0,74268;15,394688;0,961958;0,949247;0,744121;-13,651236;0,909208;1,023347;0,997253;0,98173;1,018633;0,999994;0,975976;0,948278;0,825507;1,030661;0,855456;1,037318;0,930567;0,969247;1,045413;0,566159;0,981143;1,007535;-8,716183;0,952261;16,420119;16,312781;0,647401;0,950823;0,788901;1,024425;0,727229;3,51776;1,016244;1,13009;7,444065;6,772338;1,092464;1,062662;17,302302;1,132534;1,801141;1,245898;0,886241;1,076863;-5,902432;1,169897;1,130189;0,963568;1,036868;6,070742;0,973838;-4,383321;0,892195;0,863688;1,011974;1,023992;0,899364;1,133479;0,97141;1,16867;1,168669;1,552877;1,562836;0,90676;-5,110758;-6,334036;0,820107;-1,703668
2012-03-01;1,027291;1,010077;1,124601;8,520945;1,891989;1,098705;1,0378;1,718738;0,99499;1,053573;9,175196;1,073433;0,61142;7,348777;1,056544;1,07313;1,287187;1,032522;1,002035;0,975921;1,031754;1,128261;7,269636;0,990335;0,978665;1,100607;2,951307;1,05503;1,035727;3,336901;0,958659;0,69922;1,005593;2,214798;1,09902;1,055439;1,158136;19,170402;14,826492;0,993374;1,031522;9,618853;13,999835;9,177192;1,078784;0,951021;1,237822;1,146656;1,025886;0,767878;1,062488;16,957816;-0,952645;1,277704;1,08978;10,749304;0,945698;1,101408;0,827369;1,037856;1,053091;1,005922;1,046007;1,070725;1,031543;1,105655;1,084888;0,988053;-1,115132;1,062533;-1,233813;3,940895;21,392468;6,664149;8,049015;1,618109;1,18734;2,582183;10,663239;1,022895;1,090514;1,131799;8,307912;15,060969;1,225974;1,072884;1,12895;15,721107;1,143214;7,026587;5,692435;14,023535;1,020873;10,380482;1,046894;1,025463;1,141836;1,094462;20,473606;19,777363;1,129043;1,062293;1,106551;1,153279;1,155107;1,10429;11,855163;-13,021373;12,578599;1,181118;1,140226;1,217805;1,129046;1,140688;8,096561;1,08776;16,883391;11,303176;1,220746;11,373243;12,758262;1,051594;1,078683;8,30176;-5,254612;1,09853;4,45674;14,534435;1,134751;11,318844;11,363614;2,383;1,171017;1,076826;1,136714;0,972165;1,065246;9,581615;6,730506;1,087479;6,898522;1,214073;1,091641;11,951627;1,10817;0,935675;1,226908;3,386779;1,092191;1,189637;1,11374;1,296118;1,147632;1,065639;1,015132;0,970211;1,022961;1,118935;1,401504;1,107453;1,155998;1,106346;1,136789;1,320654;1,117775;1,096938;10,907274;1,124378;33,445681;18,567049;1,033836;1,110481;1,000626;1,041224;0,734623;-7,059434;1,083728;1,140772;19,641174;9,483895;1,12883;1,138605;24,13486;1,207072;15,203072;1,271469;1,27028;1,058593;4,673175;1,057239;1,083163;1,03409;1,160046;11,776136;1,107761;4,912866;1,056712;1,116278;1,104601;1,06989;1,002806;1,10817;1,021707;1,14589;1,14589;1,377429;1,383291;0,950056;3,860359;2,236987;1,023217;2,648225
2012-04-01;0,994665;1,015509;1,110769;10,421102;-16,182395;0,965116;0,987157;-3,149198;0,951684;0,977536;11,39936;1,04799;0,541816;4,675102;1,013834;1,036218;1,489148;1,00844;0,946323;-2,076953;1,050918;1,005961;10,050386;0,877136;0,977369;1,004627;-0,602983;0,982569;0,955659;-7,752405;0,956183;0,757027;1,157135;0,278231;1,072869;1,007456;1,051315;13,966031;5,721666;1,065616;0,95276;6,795345;4,396477;4,569409;0,948502;0,971829;0,819453;1,064925;0,821594;0,745195;0,960163;16,278267;-9,627526;0,9664;1,041414;7,03199;0,936564;1,088924;-2,089917;1,014299;0,993699;1,017669;0,984255;1,028661;0,993714;0,98678;1,042797;0,984484;-0,653454;1,029279;7,413018;2,478524;-8,358262;1,500414;-0,190068;1,174046;1,121231;-0,008921;0,307531;0,990159;1,112072;1,017522;1,850895;5,591232;1,150496;1,060055;1,042186;8,399142;1,107191;4,006026;1,837184;3,254983;1,000642;0,680941;1,029707;1,037478;1,064022;1,073471;12,148894;11,271016;1,015091;1,095288;1,108027;1,105772;1,038188;1,067752;2,108666;0,054769;4,407563;1,04914;1,017217;1,037015;1,040547;1,021868;3,854842;1,054916;2,222311;7,671691;1,047609;11,908156;5,16891;1,058903;0,999461;3,374701;-12,948324;1,06159;-3,901426;-1,45587;1,064892;4,01026;1,025702;-1,63853;0,945368;1,039395;1,035002;0,92873;1,057795;4,438046;-0,857249;1,080474;-3,57548;0,837043;0,825959;1,040705;0,921937;1,009738;0,636991;0,392685;1,020657;0,952941;0,99515;0,910962;1,025465;1,004351;0,930145;0,948139;0,956147;0,958641;0,859928;1,03552;0,897352;0,94433;1,039699;1,417954;0,986175;0,909102;-0,692236;0,937659;15,412992;-12,240636;1,028179;1,148602;0,950773;1,04088;1,035573;-26,508916;1,035175;1,069833;9,484209;2,02752;1,027388;1,125285;13,482861;0,944305;-0,895582;1,319111;1,07632;0,951831;7,956688;0,879896;0,967565;0,992403;1,002122;15,381358;1,020765;-4,520231;0,967863;0,941517;1,096216;1,007554;0,940133;0,929877;1,009263;0,938871;0,938872;0,891721;0,896319;0,940051;3,694473;1,608967;1,37873;0,423565
2012-05-01;1,027636;1,051257;1,014705;-0,670088;-2,111181;1,011595;1,00889;0,020702;0,999273;0,946579;8,111408;1,064727;0,55664;-3,594389;0,940701;1,056649;1,344968;0,986419;1,02228;-1,318597;1,030078;0,91321;-0,818595;0,843895;1,006693;0,862133;-0,976601;0,98057;0,971257;-9,676503;0,930639;0,780305;1,227312;2,385272;1,074717;1,029425;0,937964;5,732981;-2,275895;1,087577;0,914312;4,067084;-1,242788;-1,100058;0,964482;1,066149;0,96567;0,864229;0,860814;0,714568;0,846239;8,761246;-1,070126;0,774682;0,999541;-5,382305;0,914846;1,090053;3,910143;1,036548;0,961926;0,995752;0,996549;1,169281;0,9675;0,955034;0,980508;0,982293;0,473859;1,081961;11,421134;-1,151439;-13,836067;2,955273;3,870221;0,765587;1,047451;-1,05737;-9,04591;0,988354;1,082291;0,966625;0,966677;1,954751;0,920467;0,944505;0,978085;-2,29067;1,02361;2,261283;-3,551383;2,04479;1,014994;-4,248895;1,071535;1,045387;1,100309;1,063413;8,176418;12,375295;0,906788;1,05869;1,038724;1,024971;0,991733;0,988115;-4,442517;-2,339775;8,572426;1,003157;1,01572;1,000206;0,9583;0,99533;5,968597;0,985156;1,46375;-3,575956;0,947784;-7,100008;1,832281;0,970013;0,961659;-2,97153;-13,194619;1,024844;-8,056938;-15,695052;1,020373;-2,567273;-3,867393;-9,698072;1,049791;0,956594;0,979119;0,917575;0,984031;-1,362092;-10,504936;0,932469;-6,043847;0,83591;0,821306;-1,353382;0,891193;0,931984;0,756827;-13,600215;0,98667;0,910755;0,880404;1,076511;0,931565;0,944129;0,888623;0,804789;0,887053;0,915754;0,788486;0,973284;0,920718;0,893752;0,988663;1,194879;0,876074;1,053713;-9,86155;0,937653;1,365393;-2,419393;0,785645;1,042165;0,87312;0,911819;0,767454;-29,15917;0,915682;0,991962;-0,170607;3,216999;1,042211;0,824077;0,709024;0,846639;-7,672391;1,106551;1,029581;0,849969;4,924295;0,833819;0,915345;0,982171;0,977779;-8,715517;0,950348;-5,566941;0,914774;0,786284;0,899504;0,92344;0,900381;0,921454;1,001694;0,860136;0,860136;0,681818;0,671149;1,014897;3,84539;2,209504;1,219873;1,953305
2012-06-01;0,997948;1,010968;1,116553;16,541353;4,540554;1,010951;0,98104;-1,818275;0,985291;1,059189;9,211829;1,074716;1,006155;-13,449643;0,904022;0,963753;1,444556;1,025101;0,988045;-0,206129;1,040454;1,087622;8,840035;0,893694;0,941478;0,941452;-4,870291;1,08527;0,940499;0,912958;1,035827;0,813042;1,297476;-1,524516;1,241798;1,093523;1,114339;12,631492;13,338188;1,14487;0,99676;8,922947;8,155821;13,363959;1,075854;0,906948;1,11759;0,924827;1,134815;1,085195;1,207657;18,160065;17,733685;1,107366;1,048455;18,669528;1,121318;1,126493;-5,153282;0,985412;1,054515;1,00319;1,112774;1,151509;1,071146;0,995164;1,024164;1,018771;2,702634;1,048791;5,406618;-5,924554;-2,54706;-0,522072;-12,417732;0,648029;1,220193;10,151548;9,99059;1,14885;1,264272;1,083913;0,835812;10,107855;1,071343;1,029699;1,069767;10,935594;1,117221;7,433887;16,262709;10,972065;0,953738;12,979473;1,014212;1,027627;0,974625;1,094123;19,711276;15,635548;1,096433;1,187507;1,160179;1,224431;1,09637;1,192462;10,693397;30,244942;5,540438;1,196031;1,168018;1,175861;1,121862;1,114328;9,268072;1,043172;10,593912;9,38764;1,152571;17,099665;10,374956;1,10323;1,135226;19,545592;5,088937;1,19177;0,575522;10,83723;1,130274;14,160504;7,444862;3,826538;1,129889;1,070393;1,125563;1,142263;1,124892;7,332553;9,267351;1,130056;8,267441;1,149916;1,275253;2,438825;1,226086;1,075606;1,329589;23,430227;1,142652;1,103289;1,057844;1,194589;1,17141;1,07405;1,051233;0,957234;1,101053;1,149408;1,295365;1,117643;1,147938;1,150201;1,098658;0,68389;1,253832;1,08579;20,36883;1,128509;14,275356;5,255305;1,297589;1,207805;1,221531;1,226516;1,186537;-3,494705;1,099234;1,181691;14,486696;11,458125;1,127018;1,098412;15,053958;1,078173;13,984643;1,497365;1,160394;1,062314;25,641251;1,061049;1,061778;1,147715;1,099692;5,625785;1,072266;6,649908;1,16918;1,081938;1,047045;1,051084;1,115112;0,860167;0,980684;0,803768;0,803768;0,496846;0,498904;1,081564;5,675456;11,886484;1,277141;8,166184
2012-07-01;1,027446;1,041856;1,145704;22,212901;7,273274;1,074306;0,99435;-0,214413;1,015584;1,044549;-18,948204;1,084113;1,489777;-14,19685;0,86652;0,921851;1,324564;0,979026;1,023382;-0,969382;0,961425;0,988476;-16,638756;0,865835;0,954054;0,77764;3,325317;1,054612;0,968522;-11,266653;1,108366;0,908893;1,28264;1,970108;1,148783;0,875063;1,031905;9,669398;8,782974;1,044944;1,042056;5,199903;-2,191826;5,312601;1,313154;1,129478;1,211023;1,019644;1,401931;1,332601;1,240275;11,754493;13,059307;1,15869;1,04659;27,904231;1,195778;1,060177;7,377889;1,025116;1,05242;1,038849;1,001631;1,147174;1,051553;0,90078;0,901017;1,074647;6,745058;1,114603;8,012879;9,007042;-8,516702;7,320379;0,807815;0,881455;1,181219;3,680041;5,426161;1,018892;1,201519;1,074237;5,489439;-9,148323;0,935401;0,999658;0,935466;6,085034;1,11824;11,001967;23,059197;5,774228;0,997496;13,497475;0,976575;0,916856;0,95963;1,120672;11,680006;-3,785258;1,018402;1,164719;1,197118;1,19215;1,06149;1,222751;7,982199;55,563792;0,205359;1,070715;1,25123;1,080674;1,162065;1,153307;8,440792;1,118084;8,178562;6,861315;0,989628;5,081068;6,800966;1,162399;1,155033;28,591172;3,403347;1,253969;1,165999;4,858379;1,081296;13,114632;8,364924;8,833906;1,225983;1,025262;1,201516;1,131425;1,175624;3,841595;8,939301;1,069261;1,2327;0,904015;0,929902;2,000388;0,903956;1,032396;0,79023;-14,395731;1,095234;1,032416;0,976862;0,916127;1,028891;1,051201;1,01243;1,006652;1,066187;0,939014;0,896021;0,954129;0,957643;0,977894;1,090171;0,709311;1,176164;0,901191;13,714074;1,059116;0,544884;3,250734;1,358898;1,224034;1,232827;1,169242;0,869452;5,525753;1,018038;0,966986;-1,779649;-3,329787;0,995114;1,004399;0,216059;0,991388;-11,91461;1,419325;1,002641;1,062493;28,187073;1,15159;1,063091;1,115968;0,993513;13,451159;0,96695;3,317659;0,908428;0,998495;1,09643;1,01947;1,037992;0,897804;1,022169;0,833621;0,833621;0,459987;0,460011;1,176648;9,579989;6,48929;1,219056;8,653367
2012-08-01;1,022061;1,029786;0,727291;-22,971093;-45,645693;0,777786;1,013649;-0,26857;1,037224;0,830658;1,35486;0,972771;1,668596;-4,651386;0,957218;0,939274;0,784168;0,979383;0,99341;0,553379;1,010888;0,876388;-57,424209;0,899572;0,949462;0,938057;0,24779;0,830618;1,015053;1,516157;1,031584;0,871551;1,138588;1,609228;1,027712;0,788259;0,514662;-48,963499;-78,996563;0,651914;0,769775;-44,242782;-15,314501;-37,205482;0,338291;0,408806;0,492561;0,610585;0,676093;0,88192;0,613435;-75,957433;-37,648368;0,769384;0,62553;-69,574779;0,803165;0,896818;1,686649;0,872738;0,869992;1,000678;0,766261;0,320631;0,807128;0,909366;0,841386;1,100811;-6,215979;0,82549;6,674143;5,401868;-3,582911;-0,224083;3,665492;0,649201;0,77191;-15,394274;-15,490328;0,631748;0,737834;0,887896;-3,994697;-27,230921;0,794609;0,951488;0,745665;-44,072432;0,679125;-12,382604;-58,651245;-31,390081;1,020884;-55,43544;0,940814;0,846639;0,81381;0,551114;-82,842648;-66,287121;0,456167;0,609988;0,745088;0,510257;0,598357;0,690115;-37,406442;-18,459871;-38,40139;0,687034;0,411884;0,459801;0,582471;0,425256;-27,579889;0,697471;-34,288912;-45,975198;0,399071;-50,56427;-47,521293;0,482623;0,6542;-69,310239;-31,016984;0,630154;-1,684095;-39,314795;0,527943;-39,927156;-37,4189;-34,282968;0,483813;0,620134;0,843671;1,132058;0,586702;-28,367224;-37,210066;0,874289;-24,088337;0,692585;0,911475;-18,15465;0,735389;0,726458;0,732703;-36,108974;0,763335;0,835701;0,671831;0,7299;0,661007;0,827442;0,718068;0,710719;0,850252;0,637822;0,486788;0,94756;0,749416;0,817151;0,753309;0,818716;0,531392;0,888894;-24,128131;0,81383;-75,31994;-24,380802;0,748085;0,569991;0,866911;0,518198;0,94065;-3,378041;0,685004;0,394568;-56,107213;-28,967451;0,636925;0,528045;-85,369064;0,556496;-25,577733;0,305166;0,689657;0,76235;-56,035676;0,956001;0,759104;0,558165;0,696762;-37,45416;0,959053;-9,142338;0,960662;0,824485;0,649968;0,850769;0,835377;0,842603;0,899561;0,778741;0,778741;0,416608;0,410159;1,104549;-30,442223;-15,266859;0,708011;-33,40103
2012-09-01;1,005937;0,938258;1,029597;3,118197;9,260979;0,987891;0,945296;-5,485162;0,959454;1,009802;-6,727613;0,884013;1,846582;-0,846582;0,93301;0,92597;0,718813;0,976523;1,020167;-0,462132;0,998328;1,032001;0,75625;1,165688;0,991401;1,000502;-4,654242;1,043208;0,962126;0,615266;1,113367;1,000979;0,848808;-4,38485;0,887345;1,079891;1,024929;-3,180757;6,027959;1,14748;0,910884;0,376155;4,839393;4,581703;1,011228;1,017636;0,997536;1,31725;1,189925;1,047217;0,81004;1,150679;5,360836;0,980244;1,033812;3,492146;1,163152;0,93731;-3,256005;1,021516;0,984627;0,943767;0,951514;0,99306;1,023334;1,029238;1,036402;0,970694;0,308364;0,985381;7,149852;-9,887884;-4,955169;-0,645029;-4,703598;0,634814;0,95793;-5,555011;-7,751542;0,997056;1,013046;0,949755;-6,733431;8,101278;0,948789;0,987388;1,099228;4,759117;1,00432;-4,964117;4,950065;-0,267625;1,001838;7,10896;0,998645;1,006884;1,013939;1,01064;13,636665;5,082395;1,147851;0,940223;1,021955;1,047044;1,03979;1,00688;3,548632;29,361513;6,863073;0,786242;0,951114;1,057645;0,996594;1,022382;1,698683;1,099176;8,906378;7,300461;1,033219;14,324137;6,755424;1,03008;1,05406;4,425653;16,046285;0,975752;-1,405611;4,608783;1,032893;1,649922;-1,186492;-0,318965;1,000859;1,005668;0,977581;1,175418;1,058941;1,938153;4,37159;0,998933;6,577102;1,074656;1,053387;-8,20968;1,034858;0,965351;1,333611;10,908659;0,980316;1,013171;1,074737;0,961186;1,02846;0,983437;1,014975;1,175502;1,268161;1,092299;1,443414;0,965852;1,125194;1,037451;1,012204;1,031387;1,034937;0,854204;6,621478;0,95794;-9,773093;-5,161573;1,177809;0,980057;1,136133;1,067244;1,143688;7,316466;0,946226;1,125427;-1,759156;2,955424;1,042985;1,027774;-2,043509;1,038492;2,932018;0,605615;1,129067;1,122034;7,708102;0,996398;1,000408;0,968004;1,011849;-3,893951;1,009594;2,197945;1,041349;1,213659;0,956969;0,978158;1,018133;0,851188;0,988684;0,810496;0,810496;0,545313;0,540421;1,042318;1,665258;4,440413;1,042496;2,199722
2012-10-01;1,016493;0,968139;1,083369;19,6859;12,674767;1,163135;1,077974;8,5039;1,099217;1,115039;7,346228;1,007823;1,4434;8,262645;1,149336;1,028004;0,6645;1,072886;1,074229;8,699824;1,028718;1,13038;20,285204;1,409607;1,150157;1,144532;3,408274;1,067999;1,06692;10,641902;1,26552;1,442676;0,926899;1,404796;0,905315;1,238981;1,218966;7,003614;28,080231;1,082348;1,092487;14,81069;8,105761;14,913103;1,123763;1,2264;0,908401;1,136505;0,94191;1,263078;0,984195;18,147982;12,523618;0,838442;1,128945;21,274575;1,154362;0,931124;-4,145566;1,039133;1,081433;1,054429;1,05923;1,100763;1,074983;1,116155;1,081337;1,016278;5,978087;0,904757;11,041037;-8,522542;-4,476846;0,997622;-5,111004;0,670768;1,033482;10,94476;6,632134;1,0182;1,004912;1,077743;1,120923;9,266956;1,016895;1,117642;1,120865;9,329569;1,072607;4,158718;20,411164;5,722359;1,014876;20,334478;1,024739;1,032097;1,049611;1,042654;32,982825;22,93906;1,261692;1,18217;1,143975;1,190526;1,069607;1,203453;18,251661;51,832541;11,965245;1,016228;1,149253;1,122565;1,169568;1,13483;4,832729;1,181636;11,604498;11,761979;1,222563;28,011886;15,948647;1,161397;1,162286;19,115678;30,365945;1,079484;8,151914;22,083806;1,131229;12,977581;10,950633;20,130631;1,164263;1,116063;1,03118;1,137159;1,184627;11,988841;18,841911;1,035986;9,498654;1,122148;1,012076;7,239588;1,049456;1,333944;0,960527;7,362626;1,105643;1,040183;1,084064;0,973475;1,153588;1,074368;1,266546;1,38879;1,412727;1,091299;0,906482;1,084713;1,090802;1,04354;1,067271;1,098492;1,130541;1,144845;6,836917;1,026836;13,533926;2,330119;0,722451;0,994166;1,046054;1,067463;1,036573;17,141743;1,126269;1,151472;17,010784;12,126812;1,09319;1,266048;12,175565;1,175313;13,749773;0,884313;1,072744;1,113776;15,411373;1,072494;1,118783;1,146322;1,027129;8,008121;1,09225;7,705286;1,065997;1,000422;1,185991;1,072989;1,060205;0,923993;1,038787;0,923954;0,923954;0,862429;0,861273;0,993469;13,863062;11,487531;1,090526;14,080561
