;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;97,927154;654,916129;161,566069;102,538784;108,262027;102,761735;99,828075;98,78738;107,619612;118,434891;96,962352;89,147087;99,420809;94,495442;141,804775;96,517355;100,513796;100,371957;101,029321;101,024691;97,728145;97,874671;95,611788;93,551827;105,878297;106,825961;96,72089;101,73222;100,828699;105,041389;97,932279;90,53363;78,336982;100,158488;85,198373;349,290952;126,856549;91,00731;106,075678;124,034235;86,016322;98,95413;111,868429;109,788395;100,179585;134,669382;115,307345;148,660933;86,439751;109,455921;84,103509;119,299474;110,997397;127,576542;102,823567;134,468652;103,777469;89,797671;98,621227;117,671898;109,090296;98,673558;120,460321;101,499982;115,88667;106,044718;94,470301;101,182348;92,473749;138,866536;100,269172;107,954643;99,952598;96,896256;103,973883;82,684376;102,62504;121,075416;86,413594;146,654813;88,463944;78,559622;58,665094;112,602697;80,071002;83,201303;144,618624;95,600639;96,848671;90,682346;105,143071;96,409073;116,307365;105,528695;107,094213;97,95988;94,580731;127,162199;145,036196;128,840623;123,529407;241,665141;128,286223;108,827001;129,56895;128,732616;112,185428;114,045278;93,771715;183,721306;177,773767;198,197855;125,465791;90,642177;97,725392;116,225469;131,145394;92,821296;102,777761;180,321103;112,608218;95,00518;125,12699;118,434772;87,678104;100,456431;91,407099;94,917092;105,837436;87,658189;103,984341;80,134092;200,622335;111,845647;103,537184;96,603023;141,621684;91,21175;110,23633;110,770054;88,659889;194,250833;147,995641;65,189069;99,631097;157,103528;99,907139;78,144054;108,356336;110,741373;93,941941;100,5685;126,074957;92,927142;167,417644;106,079389;164,004334;131,481131;85,821461;126,649382;94,699446;114,721241;85,71188;56,964832;92,076806;80,30806;94,508506;99,788578;134,570321;65,24967;280,615303;188,944505;118,844549;70,48556;123,628156;70,318247;102,361446;114,762069;113,897804;108,926686;94,139029;110,905909;95,797077;100,880651;91,011025;54,754905;134,80636;103,612389;99,723014;95,687595;120,336343;140,202768;89,20113;87,123908;95,369858;102,889791;78,227142;138,253178;109,483971;105,225791;106,210413;99,819954;106,487801;97,05046;97,050427;104,026868;103,646131;99,664966;111,414417;111,836995;91,927997;109,495256
2012-02-01;96,820901;630,129715;119,299422;73,748092;104,671168;97,46401;101,089063;101,192165;108,408948;114,783671;96,038302;92,977226;93,688317;85,946189;150,247531;98,005567;92,70039;104,40075;98,760939;105,654863;100,343315;99,187505;113,88238;88,7373;106,078945;104,842332;95,294666;104,989881;102,118617;108,783981;95,487096;100,090342;78,272157;100,149424;90,417297;318,408032;123,340097;89,685806;105,99347;126,394765;83,351913;104,457534;109,791655;107,500532;95,46686;135,86125;140,077567;128,340688;106,960057;109,128908;102,024118;120,759536;112,027202;108,583526;100,341846;126,210915;100,873192;87,437004;87,010052;116,266468;108,566066;100,615047;112,412976;84,693008;123,800755;104,859172;93,083297;92,938966;93,681692;128,016094;89,493713;93,837618;97,164431;96,898408;99,677514;91,720472;94,078246;118,927259;90,394169;129,21885;86,103408;78,783442;52,832929;104,800097;85,282168;88,371062;143,249861;96,94891;95,81979;91,081033;103,383437;94,654798;119,958005;100,277639;104,036041;99,399728;93,221535;138,427286;137,90622;119,793275;123,662738;244,234954;81,961482;81,002562;112,442911;90,609465;106,761677;99,922546;92,442784;190,513067;149,870027;201,350873;119,246244;98,135115;96,963459;104,993086;132,082511;92,952224;94,750482;165,706297;118,241853;90,49087;125,262502;122,855939;92,532668;102,142816;91,126391;104,275675;101,605117;87,863906;101,285603;72,60513;212,258989;106,38737;104,853733;99,580286;123,496277;88,257647;99,577278;94,421067;85,716115;197,333593;129,298712;64,537023;98,742543;182,002959;99,701095;84,28663;110,470211;105,550746;101,221955;126,676693;121,54035;89,803185;149,325537;105,211851;102,457972;129,243214;86,645095;119,537039;97,519327;113,955335;83,629238;90,535032;86,714307;109,54266;94,314991;96,931575;134,362082;75,791441;206,695401;163,365449;102,147144;78,684628;114,57649;83,62656;96,258491;106,201075;110,187095;102,50088;90,744665;116,617916;97,023784;100,725493;84,049882;55,21991;142,261811;104,853156;85,007942;105,854751;114,784562;144,115352;91,39274;89,54224;96,052386;104,951434;71,73912;142,851032;115,984041;103,867787;110,023865;106,357965;111,8041;120,713297;120,713355;138,509595;137,626974;101,06472;91,980737;92,720846;70,736973;94,329977
2012-03-01;99,501915;609,706474;122,177754;104,303044;106,728919;87,361642;102,52962;99,680912;109,020161;114,568582;102,87024;99,02955;102,721613;90,30204;122,973585;97,654259;96,384559;103,052783;103,408972;99,037148;97,222371;94,897827;111,910325;97,201651;107,244148;113,138639;97,621652;100,540093;101,456765;112,155063;93,083985;101,860477;78,752401;100,49232;96,536635;328,419981;130,748038;91,372674;107,906548;132,003687;92,57884;99,24432;114,1562;103,86772;90,267332;127,106003;128,358427;173,508807;126,518184;121,250846;92,125431;116,662551;114,17403;96,805056;103,96212;125,591918;104,919331;81,975159;96,43982;119,327092;107,89093;100,502189;110,936137;98,022736;121,710129;107,134781;84,806485;90,754724;96,290723;142,761489;94,37351;96,751072;99,366272;100,76352;100,520171;104,838007;101,522708;118,528955;88,595482;134,232152;71,485787;76,543106;61,701491;98,130583;95,054442;84,729647;147,212411;94,669791;97,436137;90,536229;104,491719;95,320215;114,153068;96,469494;102,33449;99,38345;108,66365;136,340646;145,021079;124,929269;122,761053;247,492283;126,314512;116,903813;118,894024;129,649158;111,315835;119,308266;95,269101;181,658737;160,986383;188,998112;126,756305;82,858045;96,032559;111,483948;123,117096;85,581554;95,243081;173,053008;117,425329;94,79063;121,801291;117,228399;94,156401;101,913593;91,114039;99,013535;102,391093;98,674657;100,63908;83,853657;193,775321;108,226881;104,201411;99,20614;136,357225;90,202094;103,685721;92,79757;83,708052;166,469837;122,556597;80,223365;97,856432;159,639158;97,373232;62,278774;112,167411;92,48958;101,16575;76,47419;121,168111;90,103651;147,851614;102,833481;90,93967;125,498288;54,210213;124,920047;99,749921;112,935007;77,069949;95,567686;92,817119;109,34366;90,696265;102,257932;137,724804;72,749952;258,308885;173,384036;116,739121;76,855469;109,587566;93,556738;89,974234;106,438392;109,328778;102,155566;92,147395;116,861942;94,261065;94,56359;91,038598;47,611722;148,248441;104,106027;74,432335;105,913246;118,96352;134,287145;93,621581;87,722796;91,695843;105,287028;75,241314;154,708751;116,950931;108,492324;112,509755;97,166471;107,422222;94,076471;94,07646;95,485465;95,08084;102,886783;108,351693;110,106104;56,695562;106,966641
2012-04-01;100,780214;604,220062;118,922286;93,11069;107,237567;111,016975;102,331487;99,468231;106,157671;110,872744;95,689179;92,180314;98,756143;91,846359;111,281827;97,246192;101,820836;102,54464;96,395696;102,090022;95,012537;91,40937;112,038692;94,724386;101,797562;119,209217;93,96819;100,924055;102,890012;109,430668;96,291489;95,983555;81,504691;99,908467;89,754981;312,7795;129,557654;90,623425;104,122808;154,005272;87,056919;102,067828;109,626215;108,475502;88,669552;103,09464;117,005461;151,075733;101,027453;101,43601;84,430239;112,97469;110,665022;91,345579;104,880436;122,954972;99,383571;82,914962;73,192978;118,504;104,120516;102,537591;97,305488;94,915116;126,343384;105,280942;88,229582;88,211631;98,223396;131,906066;94,509438;105,871853;106,95398;101,62351;96,029586;96,392214;99,434023;121,27786;89,311663;137,43935;89,838082;80,669263;57,652659;88,971667;101,578931;90,263148;142,691047;87,044016;95,527841;88,186168;101,080435;92,549081;117,015885;96,309648;102,681295;68,059178;133,296186;121,082143;139,163441;116,670058;123,505302;235,350741;118,022904;118,125893;116,10959;111,979156;112,692224;115,708317;93,789482;170,827322;168,434303;185,321353;131,765781;93,172315;95,240079;109,584092;124,019137;91,364691;97,610626;147,69635;109,844079;84,470517;120,730079;112,967709;92,800323;95,310058;91,007099;93,947627;99,239538;83,297226;96,97792;98,585332;214,368912;100,359758;102,08974;98,877928;129,381982;89,88975;101,526491;92,042112;81,515498;176,068851;110,572508;81,295158;101,260844;159,375676;97,758168;84,529205;115,386556;109,087437;93,658929;78,322775;110,069241;89,667694;150,588515;105,227347;90,293783;120,707797;85,757968;134,161829;115,366917;117,529132;84,050801;73,479324;82,881154;101,237712;93,363152;103,141725;133,470963;67,993574;268,672142;178,949527;100,535064;76,374573;65,89345;78,102915;88,303179;100,403604;104,243067;99,372866;90,47276;87,217214;88,353315;103,728956;86,543154;48,504501;135,876861;103,616595;71,148821;102,849745;113,96113;139,927922;91,57543;68,582168;90,0833;103,924719;69,850479;142,55359;86,327435;102,884824;114,808163;104,590787;107,547093;106,288215;106,288195;122,453509;121,825252;99,868884;105,947275;100,854644;42,076333;103,891058
2012-05-01;98,43285;606,917132;118,696701;100,871253;110,550995;109,332911;103,737246;100,171563;107,767829;108,970964;102,200062;92,584248;102,308689;88,340735;119,933305;98,029378;90,949873;99,888729;96,175155;101,331665;96,401525;92,455533;107,726845;95,206998;104,03709;125,287947;98,774227;99,352417;103,619958;109,799175;98,727287;110,896783;79,368831;99,061636;86,340136;278,479261;143,572939;96,975897;109,609086;158,812923;87,685872;104,79609;108,38098;114,144969;89,744954;139,631946;123,718062;147,79965;87,450571;97,63462;92,17773;115,210905;104,690134;127,455078;100,972022;128,743699;100,753667;82,829091;96,104079;114,865942;106,991194;101,508703;105,536962;93,082071;129,766535;101,943474;93,83451;91,032913;95,248205;133,94133;95,947296;97,632015;102,950891;103,208164;110,427866;102,468225;98,282956;122,603321;88,659972;131,519857;95,490027;82,526362;67,853197;77,963064;109,417141;92,958376;139,866848;92,880968;97,047412;90,878662;103,197765;92,72317;111,994975;95,523069;100,530038;72,788644;124,056327;108,812151;143,294271;115,836306;120,590305;222,055593;113,531889;116,022209;104,334221;118,856614;110,972325;121,194474;91,226557;217,556633;160,468526;189,040172;117,344135;84,41329;96,040074;104,524915;127,847985;101,728541;104,5873;155,01828;105,318738;96,951838;122,482465;116,476314;95,264784;102,492784;89,224632;90,73777;99,565252;87,840736;97,007111;78,44012;197,456334;106,677725;100,879254;98,088839;128,562298;88,069322;103,070401;99,571781;82,218394;214,567227;105,514481;84,731963;100,974389;132,199755;101,840574;64,228189;112,424996;106,781356;93,899809;73,599937;127,378224;93,145146;152,933431;123,97054;84,401818;131,785111;87,887941;124,130427;97,279285;121,099638;84,91;77,427968;84,604404;92,069937;98,271752;105,267767;125,317955;66,329766;254,858179;190,996379;125,043799;80,400228;171,645272;63,841976;87,205466;100,580848;100,793791;91,288776;91,695613;109,518315;91,060845;101,361429;88,754636;48,579144;134,929857;104,500496;74,181214;109,285713;115,665726;141,38569;92,319863;81,65604;92,440584;103,467984;67,960165;138,647994;109,071031;100,784341;111,234858;96,236912;106,875283;99,167642;99,167617;97,073945;98,617063;104,623682;106,948604;104,917757;47,555675;105,250651
2012-06-01;96,191209;648,022195;126,040954;101,194786;111,250525;109,934702;101,359709;99,496845;106,399821;111,859108;98,203191;92,761456;96,832493;101,665494;117,832294;98,197486;92,209151;100,395931;102,292871;100,219198;100,934308;95,51271;133,699488;96,003438;102,17276;126,975291;102,489022;97,167725;102,740485;114,76746;97,445989;99,283615;79,361978;96,460339;88,150121;309,383206;143,557155;90,427104;107,736575;140,573003;92,877895;99,940226;111,635805;99,680953;84,445294;117,894216;102,57247;109,682134;107,562899;102,975447;85,331167;108,644022;116,20933;105,692094;104,744843;128,459945;101,516519;80,149744;103,150571;122,469405;106,764185;99,748958;103,718304;95,369789;117,210131;100,267108;89,834774;102,426101;95,944928;130,20674;95,937734;101,104255;105,363459;99,925831;100,185209;105,054492;96,246561;125,317662;83,092643;122,548619;84,572203;79,881537;68,369038;65,551147;106,072437;92,467685;134,712888;92,11226;95,05857;90,704088;101,119388;90,248897;112,317332;96,122635;92,206471;85,472286;119,157683;129,251923;140,850654;114,963496;118,916469;225,809648;121,7299;115,793572;113,067866;119,443548;142,008475;119,769368;91,504788;165,623673;135,138911;183,101608;116,922345;81,172032;98,419903;102,040509;125,062382;93,509583;96,399426;169,604021;99,779061;92,72937;118,704592;119,206342;90,703782;102,669675;92,977207;96,884845;99,670856;88,466914;97,820408;76,468778;203,038201;106,213944;99,911025;94,159347;138,549897;89,466595;104,660978;94,434164;86,155377;173,158863;105,168992;89,688881;92,924207;130,552822;95,644278;64,979526;116,337462;106,213017;104,683918;79,834466;123,147729;94,165905;151,753304;104,227499;92,229457;132,790372;54,170947;111,972803;102,496271;112,568958;83,90957;59,873084;82,459697;114,117026;85,670492;104,389024;125,080351;51,856975;260,676015;173,724519;106,572307;82,455716;101,88884;26,552124;92,761538;99,138382;98,140988;97,672297;90,778573;94,187421;93,85475;103,085634;82,743352;51,721877;138,099786;105,705221;53,464258;105,823181;116,753408;120,992571;90,739643;80,700272;90,206702;108,831577;66,405088;135,791325;100,523219;105,576072;119,316928;95,462993;102,805895;100,210701;100,210688;107,047284;106,605585;102,127542;105,164807;105,375153;45,423235;103,570598
2012-07-01;94,290734;609,001224;110,984294;99,698967;90,310499;112,235734;97,396036;98,826235;106,481919;110,024757;101,206168;94,228844;87,338712;66,643933;116,572027;97,878715;76,522821;98,841131;99,43562;100,982451;96,353879;96,200864;138,96605;111,564449;102,903011;129,962914;100,01646;101,499284;103,244518;111,489561;105,213052;98,285565;76,101784;95,976216;88,486753;326,178721;136,421498;85,987024;111,111554;182,966044;85,65007;103,66327;110,959287;107,73231;107,804065;110,792012;106,422949;189,76416;100,725833;84,762192;66,500971;114,477456;109,985967;113,468759;107,417302;131,125999;98,495757;85,163224;93,912396;113,441736;106,026964;101,52366;102,17212;75,9174;119,39403;102,391132;102,113007;111,803838;101,670381;120,495142;91,8164;89,95135;111,860296;98,879461;102,770901;87,608767;97,579054;114,881775;88,664644;143,260969;89,772643;82,518398;66,595015;52,344797;97,932769;93,465663;132,334203;90,928145;94,469453;89,220474;105,012141;91,289058;123,871955;98,05643;97,257847;88,600738;116,271833;122,071644;136,419267;110,181345;112,571576;217,942928;118,270514;113,688325;121,43889;119,898604;125,958055;120,420605;99,193991;173,961101;138,356752;204,703185;115,87578;85,98167;98,260228;110,196693;119,789357;98,106496;105,547407;156,547825;96,067473;92,645767;118,040074;121,11244;96,338001;96,206635;88,442347;97,003246;101,066182;85,302375;97,595026;85,09063;190,269272;102,679307;101,787586;88,460925;128,556709;90,931744;105,416883;93,7778;84,986686;193,019635;108,172463;91,227021;95,903189;142,862914;93,892575;69,960362;98,217404;110,13058;93,698138;77,95067;118,388521;93,931221;151,259172;99,110822;110,068688;131,220922;79,506182;118,563037;121,934475;111,647512;83,014804;131,34529;85,8113;89,033199;98,303263;100,943936;118,173219;109,911038;196,467563;187,318371;116,015014;73,216717;95,382639;25,086372;129,167859;109,529005;101,412768;101,669093;95,091981;97,540366;101,579587;107,356887;88,384366;48,527069;133,013772;109,564952;50,918436;113,175542;116,093062;124,434535;89,043069;73,578503;93,214198;105,695174;84,127633;132,098439;113,638951;103,375299;118,356999;92,670238;102,196432;99,066474;99,066476;106,192156;106,186675;103,869443;106,591252;103,917156;47,587553;104,526292
2012-08-01;96,582078;625,551387;112,437238;97,942489;93,818407;104,002056;102,093466;97,532926;107,370865;110,011632;99,188409;94,065088;115,445028;89,825007;121,303174;98,313367;88,474747;104,143936;99,263806;99,459689;94,647383;95,63777;84,183756;98,106787;97,483768;92,829154;94,81594;103,998241;103,177617;111,931077;102,207105;99,9379;86,742925;101,377937;91,152019;311,925828;184,90943;101,754711;110,031193;141,484884;93,298034;153,105956;110,220113;150,250393;111,948489;92,64108;122,607536;162,733942;106,270587;110,527684;50,836957;115,57767;108,825617;118,31912;106,593887;111,441367;98,279664;100,676095;96,894291;107,516291;106,270294;103,863263;105,495553;164,376761;155,550508;101,341653;109,349899;107,654474;94,465791;140,596354;95,421681;91,640247;115,544782;101,101851;102,575983;95,715083;104,599851;129,480653;88,597669;168,702731;86,87693;80,870616;66,195614;127,457744;96,00542;93,196765;145,536522;102,289555;93,847092;89,982803;101,664372;91,209332;111,747349;98,070916;96,468796;81,222922;75,710577;117,644886;118,400247;109,042033;134,056599;291,739386;115,068419;115,075983;114,091601;121,696897;121,460547;119,370221;88,161905;207,260299;118,610523;160,031947;113,453091;80,866699;97,608834;105,336564;116,440149;101,144815;146,179787;122,959108;89,62663;95,176602;129,645084;119,359717;95,872196;86,97498;87,94748;93,428665;98,889052;93,601105;98,533086;83,178397;306,560734;104,813748;102,627899;87,649995;124,275203;89,20042;102,786985;95,72388;84,205096;183,882637;116,215778;86,733921;102,834491;152,598448;99,037118;71,082063;105,494195;108,790181;96,072509;84,622768;120,478682;91,777974;152,987591;140,379143;121,781973;144,090358;127,96032;115,645416;96,707481;120,111146;87,408083;81,389491;103,044967;98,193613;100,717771;97,980975;111,781425;83,722456;189,70496;220,785338;119,375429;92,812116;120,319005;65,78251;113,09532;90,52358;99,628184;97,270163;89,145422;69,546642;103,849846;105,378279;99,025632;146,762382;136,185328;113,685021;135,141186;105,612729;110,967357;248,788553;96,729061;84,591911;95,076446;106,495866;72,62586;143,793871;109,003051;114,104536;113,535954;94,519248;101,739092;101,910963;101,910968;102,572458;104,185105;116,539814;107,40196;107,095952;81,936447;106,177257
2012-09-01;93,701058;690,854182;122,752997;97,44763;99,577214;114,857543;99,669792;97,328672;105,527527;110,532861;96,748731;99,84592;109,218602;91,703662;110,821589;96,603979;100,657359;99,85245;99,639706;100,4752;102,343141;96,412094;112,90866;87,727214;91,196329;102,011517;99,937973;102,812477;101,729855;114,34368;107,337411;97,987674;82,679297;95,820089;91,718451;316,979296;137,555734;90,680721;105,317224;128,859559;85,521166;108,487018;109,733403;108,463209;88,401338;100,235169;105,943743;141,073063;119,637352;101,619494;100,903332;117,137541;111,806084;109,783812;102,355346;123,599342;97,36719;96,326887;100,191525;116,605956;105,212246;102,81331;102,357808;87,328195;122,686395;101,993256;88,773932;97,368134;102,199488;92,653276;95,488131;106,118947;115,887821;102,665511;86,323362;86,991954;97,486015;121,176721;90,159337;138,148246;90,884326;85,6598;67,405395;112,825659;104,463231;88,139235;136,652952;92,779979;97,796785;89,57671;105,512661;93,151332;110,643463;106,35097;99,546283;94,584819;116,819439;106,307008;146,296549;102,473404;98,541373;193,651536;121,923437;112,435773;113,228993;118,85322;114,924953;110,205976;92,772731;196,38359;124,037103;163,085759;115,41108;87,730879;96,255727;105,618033;109,645989;99,722846;113,66941;155,9084;101,473444;95,330326;118,318858;119,447947;99,105769;90,545071;89,806682;93,695066;98,661552;87,321394;105,310119;81,261009;219,543952;107,930322;98,912275;88,431688;127,068291;89,663828;100,908486;87,649753;79,642345;163,670656;103,64569;91,259683;100,47185;118,666926;95,104108;51,196961;112,421823;109,506386;93,780927;67,884991;118,225714;91,768331;166,73361;84,874507;93,004889;136,523399;52,168843;115,662435;99,318293;120,794384;85,144376;66,151509;86,656805;146,360693;99,40989;103,1236;121,595719;74,706723;189,151718;142,363754;113,844704;85,696585;125,148517;61,125732;104,741301;95,504999;100,37232;102,176946;91,529705;94,469092;87,140722;103,256646;88,076037;138,604435;140,486458;102,256913;71,397408;101,59851;112,798087;143,454911;94,13747;86,292762;97,443773;105,909537;71,000627;133,715086;104,00265;104,696875;123,693956;97,652508;100,583734;99,717299;99,717316;98,957767;99,85364;105,861524;103,68191;102,577886;55,647126;102,423246
2012-10-01;94,57899;663,84791;125,625248;100,160535;98,067774;119,401965;102,038561;100,682875;107,596483;111,233968;103,843711;98,722604;129,030406;83,693984;103,247745;98,451029;100,549985;100,658565;99,148232;91,313245;96,29752;93,227796;107,687076;93,284707;91,833707;105,390809;102,963882;101,808477;103,878649;109,470675;102,1611;101,428345;87,79704;96,961598;92,326504;299,628268;127,377255;91,817326;109,813682;142,693371;82,605579;94,052484;108,240663;98,131809;98,752521;102,917707;127,416309;161,668798;105,542354;104,77362;89,484288;118,450602;108,796898;111,774023;103,514617;127,313866;96,916875;96,966785;98,307131;113,312725;110,004475;107,716562;102,727669;91,094198;116,79178;103,791433;85,084959;99,301828;96,283337;82,715593;97,373862;99,455455;120,195506;99,626509;90,134162;100,076458;98,156066;119,049754;89,752758;139,824822;86,699038;81,089806;65,176691;120,9888;87,29069;80,019416;134,982418;95,367885;95,03361;90,745499;103,950684;91,000249;109,375484;95,369879;99,906494;92,648572;118,697305;120,169753;144,751381;108,030361;114,270758;195,337919;113,520285;108,343911;112,452404;114,368087;108,587649;108,978061;88,345813;191,686411;113,920292;156,417501;107,410629;87,140452;97,714445;105,022784;115,653032;104,328711;88,738789;152,273573;91,951678;87,489146;122,864865;120,479868;98,398756;96,795327;91,988072;91,649962;93,691454;86,426022;98,397067;87,625593;199,715284;104,196332;90,624478;86,697233;122,668954;85,011367;105,582397;90,518089;78,628968;181,387567;116,319356;90,870405;85,897641;130,756725;98,322044;65,91272;112,431561;109,41028;92,126259;65,54753;112,560409;87,089946;152,490436;71,839593;110,67055;116,825948;81,357945;115,828463;101,752338;110,67416;85,543879;83,781092;96,802285;73,859927;98,966725;103,123253;135,281588;66,16018;139,329637;153,232055;109,177689;91,427793;82,21076;36,744585;97,056288;86,600074;101,566566;101,473333;88,058442;79,688306;85,334303;99,911608;88,072575;97,470007;129,179619;98,521759;63,694137;105,185618;111,603581;121,139609;94,674936;79,861309;94,305722;100,756684;78,167443;165,226999;91,11993;102,608792;111,970047;101,427113;100,422378;103,683622;103,68364;107,85985;108,004515;90,162685;106,29776;103,615397;53,196244;104,341002
