;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;98,91931;633,105656;157,062233;103,251487;108,426097;101,10114;101,915651;99,907942;108,196446;115,080655;97,569542;91,139054;98,945492;90,256717;144,659968;97,202983;95,769019;102,549224;99,340301;101,308243;97,598082;96,862948;108,32742;93,777404;106,260039;106,912444;95,525614;102,753135;101,384838;107,523493;95,010902;99,387334;77,325339;100,173207;88,629826;321,765337;125,239164;91,421431;105,742648;137,424189;88,050358;101,877249;111,47958;107,166996;94,969892;130,832682;125,87012;145,83893;107,208314;109,342519;93,675002;116,700482;111,987542;106,258345;103,341957;126,575678;103,026318;86,591251;94,850489;118,126683;108,793035;99,966152;116,340004;94,319141;123,491663;106,422506;90,845394;91,202437;93,882057;136,612665;97,296475;102,352526;98,2913;98,124076;101,07098;94,473391;102,19319;119,344361;88,392924;136,975849;88,137866;78,234118;56,208278;110,925978;85,34281;87,960117;145,739455;96,049499;96,795377;90,769538;104,130402;95,808827;117,493276;99,707774;105,691579;98,537605;98,697133;132,776502;142,825027;124,552888;124,628599;246,102456;127,037597;112,908952;119,957252;126,621238;111,274312;115,483708;93,972548;185,95692;174,270013;198,499568;125,263096;93,676028;96,636016;110,058703;131,068086;92,53592;97,611042;172,347266;120,786203;93,505334;124,8295;118,732702;90,705902;102,310116;91,350808;97,554251;103,433238;87,496492;102,237455;76,892886;208,160331;108,124259;104,330253;99,469607;138,706933;89,85329;102,717667;94,26806;85,962382;187,96464;136,34227;66,974092;99,633832;164,666978;99,565676;77,998973;110,284305;107,245509;98,041741;88,402996;123,514789;90,583277;150,664315;105,604654;97,674441;128,761384;85,598924;124,619432;98,175398;114,835485;84,511251;79,359774;89,998683;102,502195;93,02513;100,50607;137,081011;70,935048;274,838371;187,540545;112,188583;74,81269;113,602345;75,13221;97,061017;110,258562;112,221638;105,016758;92,273155;115,322216;95,622527;100,564814;86,837478;53,131377;141,205546;103,513718;56,086;103,875246;117,8192;139,878275;91,398679;86,673541;92,807631;103,915488;75,502883;142,873316;113,083984;104,321395;108,306873;99,209214;106,295644;96,774091;96,773898;98,886401;98,389896;100,587372;110,01848;109,592782;69,557899;108,082841
2012-02-01;98,915117;626,533833;121,439696;103,010029;107,664347;102,822875;101,966259;99,999703;107,864245;114,342707;97,935619;91,619173;99,139031;90,06296;143,571371;97,362604;95,449569;102,344863;98,696155;101,307889;97,513165;95,931901;109,274817;94,134557;105,891841;110,475087;96,025699;101,954364;101,757404;108,561254;96,150304;99,452945;77,927137;99,637179;88,603618;320,363729;128,008536;91,477833;106,09794;138,871835;88,468743;101,838865;111,277944;107,026104;93,410128;127,284343;124,176705;146,088701;106,359453;107,551142;92,585517;116,343399;112,137964;105,837664;103,57727;126,470007;102,585347;85,43024;95,592659;117,905906;108,392291;100,463651;113,732764;94,022798;123,634557;105,845669;90,434768;90,906189;94,743926;135,749563;96,441242;101,384511;99,333156;98,956726;101,071184;95,206461;101,359243;119,849147;88,639378;136,876833;88,229943;78,690913;57,56629;103,517113;90,170173;88,366637;144,818111;95,215634;96,699598;90,640598;103,759319;95,062204;116,85975;98,706896;104,514786;99,132811;103,479922;130,865502;142,280571;122,419803;123,382109;243,477945;125,591204;114,091173;118,869839;124,971241;111,068613;116,431624;93,506032;181,849616;170,56351;196,337106;124,266894;92,503076;96,490471;109,751504;128,929377;93,156834;97,610157;169,753594;117,958488;93,538162;123,845786;118,169224;91,562062;101,032502;91,271439;97,273778;102,543799;87,545716;101,035549;77,793598;206,66957;107,644787;103,73325;99,341888;136,697848;89,704039;102,93476;94,245008;85,10947;186,974614;128,970612;71,304389;99,256837;160,405305;98,952912;75,76799;111,555737;107,14553;97,65022;85,320441;122,780608;90,758922;150,440831;105,644551;95,492185;128,649454;85,022954;124,009898;98,138817;114,927702;84,146351;78,107387;88,603671;101,991119;93,174546;100,916207;135,867026;69,506753;262,517318;185,125577;111,175658;75,280849;111,171389;72,42509;94,887308;108,10821;109,985875;103,320577;92,052641;112,290166;94,804192;100,967396;87,030328;51,97447;140,129413;103,872806;56,540593;104,188088;117,438111;138,462525;91,590507;86,092715;92,327264;104,070274;73,818839;142,285343;111,993111;104,101829;110,070531;98,561939;106,167854;97,144201;97,144037;98,918847;98,514365;101,041302;109,055093;108,879258;64,62357;107,153602
2012-03-01;98,86649;620,161859;121,073987;102,56849;106,556654;104,865666;101,947467;99,977812;107,69927;113,437989;98,44153;92,008286;99,461574;89,975596;121,458549;97,547912;94,754987;102,009876;98,111744;101,216628;97,590635;95,024237;110,111506;94,496168;105,277593;114,531628;96,678669;101,232015;102,183814;109,592393;97,030018;99,53653;78,542824;99,21049;88,594225;319,133347;130,945793;91,447763;106,645903;140,427245;88,579596;101,857565;111,025062;106,922047;92,235353;124,176787;122,4262;147,35598;105,615252;105,601943;91,042241;116,007891;112,087011;106,065526;103,713653;126,457385;102,041165;84,531173;95,963121;117,547558;107,960011;100,840331;111,098061;94,21365;123,611233;105,055019;90,23505;91,528227;95,445091;134,131603;95,725637;100,31978;100,926682;99,813877;101,519854;95,793609;100,430063;120,528311;88,798152;135,897724;88,340002;79,243684;59,241622;95,649671;94,907133;89,09447;143,554781;94,383271;96,492524;90,518352;103,24478;94,219275;116,011365;97,738085;103,078282;99,810236;108,413413;128,449193;141,739321;120,20394;122,180442;239,75597;124,030325;115,208798;117,663019;123,291124;110,749234;117,558427;93,053413;179,066624;165,045489;192,929453;122,834259;90,696487;96,438846;108,909395;127,227118;93,844086;97,881903;166,800783;114,295545;93,694518;122,802159;117,642386;92,369376;100,063235;91,06513;96,666619;101,587962;87,593554;99,83032;78,466124;204,160458;107,167917;103,121857;98,752384;134,291774;89,532287;102,970028;94,503271;84,400019;186,575727;121,78751;75,855722;98,922711;156,493098;98,571026;73,655311;112,411064;107,184064;97,121162;83,229074;122,143465;91,034775;150,433394;105,234943;93,431529;128,802791;84,266253;123,136062;98,448148;115,308565;84,020516;77,577069;87,228109;101,883994;93,69042;101,341997;133,695119;67,398741;252,986033;182,269388;110,692218;76,563384;109,370004;68,011022;92,677839;105,4638;107,421212;101,40057;91,705261;109,675582;93,980674;101,526554;86,929797;50,92388;139,424315;104,269508;56,769134;104,852795;116,833361;137,537457;91,750781;85,151433;92,341034;104,279156;72,196891;141,675112;111,024451;103,850494;111,776036;97,767075;106,000067;97,796416;97,796272;99,25689;99,04675;101,619331;108,13656;108,029748;59,371893;106,295737
2012-04-01;98,556293;616,100203;120,953735;101,965744;105,439433;107,012422;101,908019;99,838141;107,459935;112,643613;98,85465;92,392565;99,885531;89,789586;120,569079;97,719409;94,456748;101,683639;97,706743;101,104354;97,568457;94,366849;110,893695;94,958335;104,499283;118,834958;97,516973;100,549038;102,579506;110,605358;98,04752;99,503732;79,276591;98,748696;88,511451;317,892601;134,125755;91,475844;107,29161;141,632696;88,545181;101,823187;110,788773;106,950019;91,767072;120,944613;119,67544;148,615703;104,956746;103,608258;89,430883;115,664372;111,756876;106,67791;103,850552;126,71248;101,428552;84,046625;96,474917;117,009411;107,491149;101,173326;108,475835;94,718224;123,422738;104,085985;90,488409;92,816579;96,028822;132,956798;95,106758;99,318657;102,851688;100,526294;102,071572;96,260895;99,425927;121,386969;88,871413;135,428344;88,393768;79,834235;61,25069;86,855838;99,305738;89,672989;141,953918;93,495276;96,197626;90,376689;102,819644;93,313594;115,079597;96,951425;101,530705;100,552663;113,07826;125,66353;141,178235;118,097711;120,966108;234,998702;122,406175;116,017373;116,411447;121,733823;110,13879;118,649569;92,628304;176,642858;158,59152;189,019602;121,17205;88,602728;96,529251;108,224456;125,339447;94,677597;98,560017;163,691986;110,030003;93,916072;121,653269;117,358879;93,091156;99,198858;90,791917;96,105869;100,782201;87,671892;98,724275;79,247222;201,570395;106,662301;102,477142;97,663127;131,924469;89,440776;103,085818;94,795095;83,940999;186,594637;115,099674;80,501439;98,64585;152,21898;98,192736;71,847479;113,011036;107,376279;96,87808;81,034754;121,62661;91,560358;150,646414;104,56224;92,000978;129,349011;83,677872;122,042854;98,900744;115,665398;83,971669;77,187864;85,891439;101,320039;94,488884;101,658263;130,836238;65,289617;243,55504;179,403577;110,647837;77,77139;108,296773;64,205371;90,83295;102,890186;104,791573;99,713142;91,476123;106,951546;93,207674;102,223566;87,032759;50,087294;138,626909;104,830073;57,018647;105,348877;116,287176;136,551473;91,786555;84,390775;92,49953;104,507047;70,60932;140,910071;110,099531;103,687794;113,516831;96,896679;105,845801;98,334533;98,334418;100,017579;100,020183;102,224292;107,271266;107,267667;54,295817;105,477283
2012-05-01;97,924886;615,922483;121,151332;101,166651;104,290369;109,014129;101,820728;99,509386;107,232048;111,900288;99,261169;92,854742;100,585872;89,625972;119,646322;97,860797;94,184778;101,358885;97,620434;100,963417;97,575355;94,136455;111,536177;95,329114;103,409768;122,870156;98,413956;100,193102;102,886672;111,534146;99,072526;99,394677;80,092003;98,280038;88,510846;316,524234;137,042357;91,448655;107,995806;142,442764;88,495368;101,790328;110,600711;106,999649;92,372118;117,85672;116,212614;149,935633;104,535548;101,762237;87,843709;115,410224;111,410984;107,878707;103,941299;127,179042;100,751721;84,297137;96,938601;116,310869;107,007169;101,517608;106,22162;95,473574;123,027864;103,073876;91,221943;94,932579;96,38034;131,588509;94,663286;98,365632;105,176194;101,046255;102,277034;96,460975;98,492527;122,298744;88,862377;134,960427;88,416366;80,444922;63,362018;78,067293;102,516738;90,15282;140,197262;92,695841;95,784086;90,218267;102,583074;92,435025;114,123069;96,557572;99,956567;101,279098;116,795905;122,911439;140,660273;115,951378;119,686836;229,319127;120,800509;116,373748;115,287861;120,573161;109,152691;119,561224;92,169105;176,029625;151,153886;184,457774;119,419582;86,489726;96,796525;107,568183;123,404531;95,476206;99,651287;160,725425;105,360601;94,214238;120,520673;117,552632;93,780823;98,216778;90,39959;95,593968;100,278876;87,771003;97,939292;80,139799;198,706695;106,224973;101,995426;95,910438;129,864312;89,474257;103,189357;95,040894;83,831426;186,695617;109,866983;84,568203;98,392306;147,895309;97,779075;69,965711;112,989041;107,583532;96,568961;79,007092;121,302773;92,268419;151,099053;103,285229;91,704502;130,434123;82,963992;120,67014;99,262498;116,137266;84,125212;76,471375;84,900614;100,900742;95,657739;101,928309;127,279875;63,206244;232,924338;176,036059;111,421709;79,080561;107,266635;60,507741;89,576377;100,578414;102,49471;98,58374;91,397099;104,083507;92,579658;103,070449;87,197332;49,671451;137,767282;105,554868;57,334243;105,733296;115,797456;135,562825;91,704812;83,665349;92,697458;104,785723;69,341552;140,146557;109,151692;103,636471;115,081024;95,986024;105,674461;98,919053;98,918966;101,012009;101,251487;102,88978;106,585278;106,503652;50,175624;104,822412
2012-06-01;97,005478;621,882372;121,777006;100,292822;103,057075;110,853955;101,684319;99,064564;106,993701;111,218032;99,710754;93,661614;101,780252;89,534214;118,717465;97,960044;94,062744;101,033665;97,925348;100,722361;97,649693;94,307443;111,954052;95,653571;101,586618;125,902427;99,218606;100,328384;103,089146;112,197933;100,106868;99,337298;80,986605;97,847589;88,78646;315,160251;138,985448;91,367426;108,636799;142,740281;88,316695;101,668265;110,493084;107,09731;94,131779;114,927122;113,523694;151,448594;104,542307;100,34121;86,316951;115,331118;111,105151;109,367619;103,952694;127,609686;99,968041;85,711299;97,424651;115,541211;106,56457;101,860637;104,583187;96,016365;122,407253;102,287991;91,934559;97,478304;96,472001;130,197121;94,660962;97,407926;108,118123;101,318562;101,269869;96,525489;97,850725;122,873433;88,825254;134,487091;88,400846;81,052818;65,135366;70,742185;103,600233;90,481744;138,581128;92,208044;95,290991;90,105599;102,68212;91,702051;113,127493;96,67987;98,689406;101,736586;119,006663;120,661549;140,529819;113,833586;118,38712;222,916524;119,154068;116,092275;114,453196;119,823084;107,751388;119,78425;91,71076;177,688225;142,813296;178,980945;117,571026;84,853048;97,177454;107,004073;121,393357;96,108654;100,690757;157,720665;100,79796;94,301225;119,686634;118,284921;94,709598;97,159651;89,953466;95,08988;99,925437;87,801628;97,669364;81,086416;195,651269;105,836282;101,574983;93,56348;128,264167;89,553975;103,278744;94,918978;83,81781;186,550487;107,123794;87,307452;98,083243;143,841558;97,382402;68,118942;112,459407;107,818951;96,15179;77,10058;120,981769;92,797872;151,76745;100,811421;93,209957;131,830924;82,282107;119,047903;99,588793;116,591665;84,529744;75,660639;84,681365;100,437845;97,033766;102,163319;123,634228;61,140883;221,320337;171,951418;112,741608;80,803686;106,433418;57,229423;88,911783;98,429498;100,950602;98,395021;91,324131;101,206012;91,954932;103,7614;87,457754;49,543498;136,839061;105,985288;57,631163;105,920059;115,343101;134,630201;91,691985;82,996223;93,022537;105,124521;68,903808;139,410369;108,212706;103,66382;116,107286;95,414205;101,35757;99,50739;99,507329;102,141613;102,608955;103,650911;106,183486;105,788603;47,855428;104,410435
2012-07-01;96,031954;633,366632;122,703456;99,56751;101,821118;112,72661;101,467451;98,665851;106,754114;110,602838;100,198663;94,740837;103,364651;89,447529;117,853565;98,008408;94,18172;100,701201;98,530914;100,390752;97,745808;94,800278;112,064443;95,880229;99,212826;127,408836;99,943108;100,892298;103,117882;112,312745;101,110744;99,252503;82,002464;97,474889;89,324849;313,714067;139,211218;91,22591;108,896833;142,293347;87,874482;101,456711;110,427526;107,261252;96,666405;112,116534;113,124001;152,322453;105,020383;99,998716;84,801373;115,405824;110,607898;110,948008;103,818044;127,762913;99,030207;88,177586;97,85225;114,773156;106,223041;102,145678;103,344062;95,809066;121,533317;101,848676;92,055455;100,012957;96,335167;128,782935;95,044421;96,508412;111,48713;101,189741;99,644377;96,320306;97,597035;122,894407;88,82967;133,897952;88,286338;81,681522;66,268381;65,85772;101,958032;90,586375;137,083644;92,201587;94,83064;90,02836;103,08452;91,206126;112,255784;97,237716;98,047671;101,657084;119,0278;118,443005;140,882393;111,831527;117,063776;216,028183;117,453675;115,155713;113,870738;119,321091;105,915377;118,71587;91,219965;181,959394;134,096374;172,751502;115,609413;83,850139;97,451444;106,468088;119,360902;96,517291;101,122351;154,47337;96,898977;94,054612;119,29497;119,177494;95,721488;96,171604;89,598005;94,608674;99,38064;87,668459;97,794426;82,218398;192,386724;105,513899;100,840537;91,057886;126,991907;89,551076;103,355604;93,965052;83,435525;185,078086;107,737753;88,754511;97,77425;139,755069;97,03652;66,606661;111,759006;108,131672;95,774478;75,209684;120,303826;92,780117;152,523211;96,939803;96,403863;132,937477;81,620346;117,500043;99,825912;116,62697;84,96272;74,710734;85,218514;99,952049;98,1803;102,34409;120,6895;59,146288;208,794243;166,985012;113,693571;82,703922;106,143426;54,775925;88,667211;96,347068;100,139972;98,947617;91,09241;98,491479;91,139719;104,012423;87,857616;49,238761;135,849451;105,568295;57,909298;105,959254;114,597694;133,912665;92,033593;82,426178;93,565133;105,479452;69,622517;138,768466;107,36127;103,728271;116,141586;95,56577;101,16648;100,057385;100,05735;103,252968;103,892652;104,361709;106,09423;105,122254;47,829209;104,243273
2012-08-01;95,182191;645,754593;123,435413;99,138591;100,77031;114,634904;101,17642;98,538647;106,535701;110,093915;100,727568;95,798942;104,968261;89,299018;117,092927;98,062467;94,510883;100,370509;99,13165;100,052126;97,888298;95,354381;112,018953;96,00909;96,915166;105,081028;100,757538;101,665202;102,978517;111,976208;101,955338;99,13584;83,166577;97,178794;90,095709;312,039686;137,042697;91,032636;108,77973;141,002296;87,190313;101,223976;110,133921;107,593923;99,163574;109,828384;115,486265;152,298846;105,792863;101,349003;83,186306;115,471913;109,715614;112,453642;103,522896;127,453851;98,102725;90,90538;98,293151;114,084629;106,009586;102,355463;102,396348;94,676294;120,433054;101,654434;91,367237;101,682562;95,993201;127,554263;95,248989;95,810098;114,509933;100,634263;98,233434;95,91514;97,62329;122,293388;88,977421;133,081095;88,037266;82,327352;66,721334;117,404952;98,4026;90,446344;135,704319;92,802402;94,517778;89,93145;103,521626;90,936843;111,665052;97,871118;98,051933;101,032351;117,196622;116,080607;141,688563;110,045137;115,780002;208,577353;115,758054;113,565319;113,383881;118,716553;103,697168;116,083426;90,735327;188,544429;125,956016;166,69462;113,591914;83,694023;97,46863;105,891974;117,457566;96,666893;100,553593;151,118356;94,101124;93,590751;119,35942;119,674935;96,556345;95,348721;89,546739;94,20343;98,383119;87,347042;97,973564;83,490887;189,222034;105,234718;99,570689;89,0414;125,758545;89,365471;103,404686;92,374596;82,317409;181,882582;111,32737;89,849872;97,495904;135,984196;96,677971;65,128855;111,306529;108,527541;95,651016;73,534038;118,769871;91,983203;152,968243;92,057642;100,721703;132,975118;80,887271;116,453199;100,115568;115,913016;85,105428;73,771337;86,302671;99,401921;98,880472;102,492778;118,96155;57,318114;196,07234;161,171315;113,740977;84,708639;106,037565;53,356622;88,238742;94,164706;99,488087;99,563053;90,617299;95,981579;90,123461;103,786394;88,457136;141,569769;134,995708;104,179736;58,145016;105,935785;113,272116;133,405229;92,747934;81,922827;94,341616;105,887589;71,398444;138,211131;106,657539;103,707175;115,110907;96,456685;100,963605;100,609903;100,609893;103,939023;104,6526;104,825067;106,132813;104,519157;49,855859;104,187818
2012-09-01;94,64297;653,47852;123,518282;98,906177;99,982074;116,481031;100,801024;98,776257;106,350036;109,681815;101,184613;96,473482;106,325507;89,165457;116,440702;98,182412;95,037404;100,046172;99,382199;99,807606;98,014454;95,725454;111,694136;96,050249;95,226574;104,610162;101,750512;102,214214;102,720236;111,463088;102,555356;99,005443;84,399356;97,003796;90,892928;310,484535;132,846913;90,860226;108,426202;139,073569;86,358711;101,118962;109,491641;108,057705;100,738209;108,85614;119,974875;152,282435;106,265442;104,342958;81,447584;115,393768;108,373179;113,815536;103,122632;126,582328;97,468364;92,85582;98,558584;113,481316;105,941498;102,434861;101,781958;93,334296;119,257705;101,610361;90,192579;101,952715;95,69737;126,395553;94,90647;95,380986;116,537802;99,762893;97,72022;95,558205;97,605948;121,329715;89,286284;131,961316;87,682221;83,017277;66,937724;116,808213;95,11675;90,11604;134,587917;93,737372;94,490131;89,844491;103,708023;90,799709;111,378658;98,133166;98,562858;100,085221;114,639722;113,456053;142,988935;108,521572;114,524633;200,308877;114,08405;111,570622;112,811728;117,695698;101,422136;112,397433;90,349156;194,899445;119,258339;161,397666;111,628271;84,26411;97,182612;105,307428;115,761697;96,60185;99,228355;147,751305;92,376106;92,905184;119,592419;119,310834;96,845854;94,853108;89,896994;93,903165;96,960711;86,87596;97,880861;84,96265;186,062875;105,053163;97,84555;87,891224;124,344546;89,024336;103,367812;90,707842;80,698206;177,299366;115,776582;92,02553;97,361364;132,176603;96,33885;64,027991;111,311293;109,150671;95,947579;72,122771;116,442415;90,722236;152,796571;87,06878;105,368541;131,668224;79,943135;116,084145;100,556823;114,55772;84,743244;73,049303;87,452604;98,799532;99,03299;102,606243;118,478401;55,950541;184,712505;154,635179;112,767472;86,723097;105,982242;53,819142;87,157763;91,757802;98,398002;99,668403;89,869173;93,785612;88,997295;103,187191;89,383861;135,618233;134,256363;102,321833;58,288281;105,795064;111,526366;133,259588;93,676469;81,494917;95,260908;106,371396;73,682058;137,699031;106,145498;103,569774;113,502198;97,769534;100,74634;101,101291;101,101306;104,228795;104,897979;105,013474;106,169728;103,988785;52,871638;104,090351
2012-10-01;94,456501;653,433909;122,492792;98,574354;99,676166;117,831815;100,387771;99,292763;106,19504;109,363152;101,457009;96,536441;107,252686;89,074482;115,923937;98,333436;95,550514;99,729636;99,203266;99,767816;98,068777;95,813365;111,289748;96,031676;94,755519;104,131274;102,782107;102,213282;102,412972;110,854274;102,842391;98,63832;85,687019;96,986649;91,31526;309,154668;127,482392;90,757118;108,14774;136,719156;85,531027;101,241798;108,571671;108,611714;101,234521;109,531543;124,628694;152,6511;105,725516;108,365768;79,764432;115,216122;106,712631;115,077586;102,667392;125,366052;97,291747;93,704343;98,517826;112,984593;105,994501;102,343546;102,115961;92,610829;117,977732;101,45554;89,451985;100,997968;95,640238;125,406877;94,125094;95,247038;117,092717;98,576942;98,312664;95,318177;97,129462;120,346106;89,706656;130,65759;87,276435;83,726624;67,55647;116,705206;93,340801;89,653956;133,698621;94,512824;94,789451;89,796785;103,426117;90,671628;111,317194;97,869836;99,315815;99,070234;112,059013;110,003792;144,783443;107,291294;113,318398;190,507356;112,480288;109,186258;112,134254;116,274187;99,71173;108,374088;90,121404;198,49013;114,920016;156,976233;109,886894;85,291318;96,660601;104,684744;114,41918;96,160483;97,833852;144,429041;91,444782;91,917439;119,620424;117,781371;96,161526;94,638024;90,633612;93,774367;95,372301;86,41892;97,32468;86,675932;183,181295;104,975195;95,884146;87,366339;122,864763;88,727388;103,268686;89,641001;79,195973;172,236296;119,776609;95,565115;97,441453;128,598738;96,042048;63,239271;111,269442;109,976983;96,846741;71,344952;113,791416;89,503908;152,054885;82,818691;109,882775;129,364007;78,722769;116,423795;101,115759;112,983952;84,009592;72,503022;88,502143;98,594271;98,658227;102,679603;118,815997;55,189676;176,130691;147,803366;110,985821;88,04163;105,916246;56,05465;85,69723;89,431739;96,652525;99,134756;89,008145;92,031525;87,890346;102,492414;90,658138;127,214539;133,639179;100,533694;58,375868;105,522591;109,73257;133,392829;94,459164;81,235276;96,329211;106,773165;75,843609;137,27104;105,882537;103,343135;111,858152;99,175928;100,526691;101,49478;101,494817;104,890798;105,408933;104,846753;106,166825;103,589315;56,037653;103,877232
