;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;122,524624;652,318142;173,91845;77,800834;132,469372;100,799097;92,699322;104,776283;117,126807;89,609393;87,832354;111,846905;62,479865;124,690618;167,6269;102,404815;80,507052;105,490844;86,808202;92,291691;84,48537;102,953478;140,307443;75,415885;92,299792;121,730577;89,229982;107,726559;110,456143;103,198833;75,136;56,205762;64,110411;105,930267;89,360277;385,765269;109,145587;106,606173;118,800535;145,872864;84,767919;133,74343;95,360104;123,848841;241,857339;110,873454;190,115344;401,621125;121,235702;161,172386;93,014746;136,396936;88,723377;320,108792;131,24436;122,427765;105,075048;71,621506;127,328431;145,062223;110,184419;103,183817;186,014613;95,133724;117,902166;112,903452;95,630939;173,070606;90,409407;175,37967;82,56832;112,5863;135,141848;97,597378;175,394403;106,15721;91,017912;93,499307;86,517994;136,846616;76,066669;60,539101;75,44558;113,096242;70,731203;63,192653;230,599971;113,339887;100,56462;91,72552;89,405624;92,586828;102,004622;107,053575;103,725738;79,6701;126,800446;130,607942;154,184437;117,682731;187,10184;228,328566;90,854201;80,298834;134,762404;86,988876;120,72868;41,714634;110,151371;346,827072;226,521528;246,407956;106,855708;150,025891;112,10048;119,296457;162,348154;107,580926;132,216842;249,985576;215,254195;157,675748;101,310887;104,499244;90,177827;109,880008;156,591132;73,332098;112,493944;91,631435;130,574983;74,834707;244,976628;152,600508;107,689999;81,444857;144,002085;145,488224;106,917752;78,734636;75,858407;202,124513;158,151004;89,372668;71,931004;177,619285;55,01628;71,405282;96,259187;112,407459;79,317565;34,530579;135,039645;110,942458;293,823339;81,85644;114,546186;149,690964;111,68485;176,117741;79,498879;155,789821;109,417264;72,376167;73,747413;119,534527;66,540231;65,804402;124,880804;56,439471;224,75772;118,615199;117,019545;37,984036;86,717925;42,112803;115,506725;131,558522;104,442519;114,979903;133,246738;69,659591;95,258575;91,089909;119,455085;23,953991;156,875636;112,563026;52,497506;138,919931;134,187899;67,321305;75,298639;79,318354;87,539251;86,242861;64,83139;129,594768;110,425582;117,834309;86,390872;131,753142;120,407369;130,871245;130,871247;171,876515;171,876547;102,012895;116,896738;94,759101;67,201241;104,858651
2012-02-01;114,797199;590,97991;121,666799;57,305773;115,446266;92,124254;85,851544;98,45405;109,409299;88,764256;86,491059;110,481632;54,0643;105,655504;182,960801;96,166567;92,300585;106,280742;78,138243;89,815762;93,341917;104,133322;173,068188;89,95856;91,988769;102,146829;74,672355;110,49318;103,653269;95,413381;68,660914;56,90343;65,568535;95,312584;91,101786;346,560279;110,058708;106,346821;123,348449;139,140055;103,359756;140,443604;89,253565;122,911755;202,652121;117,854533;274,387963;398,957987;138,884312;135,6235;101,516113;144,327442;79,085913;277,231729;115,393643;117,131303;94,145697;72,174965;93,859842;134,152408;102,143469;94,475019;154,173027;87,729889;117,806982;110,875348;96,399058;151,512005;85,227983;160,547298;62,574525;90,814704;112,954397;92,738654;151,607599;130,232444;87,083838;90,187809;87,760691;117,100812;71,213934;58,985447;66,977289;107,255762;82,147085;70,672429;227,224093;117,967511;98,089634;88,947743;84,476538;90,964825;98,373307;97,744714;93,569783;75,545214;128,094078;140,484766;159,090316;113,635215;195,168691;240,74839;65,482857;64,823668;114,40585;67,907619;118,602542;54,626859;104,424455;422,122644;194,809715;242,777816;97,518146;171,451775;109,993335;94,513806;159,410572;105,266423;122,481339;223,224446;215,430267;140,660509;104,586043;106,622155;84,549998;123,095043;149,492165;81,847417;106,183403;92,729577;125,485125;63,324582;213,754353;145,182619;110,681748;82,161609;122,064761;134,554661;97,023029;66,535771;74,831491;210,609563;147,629777;96,158161;79,048899;205,668257;70,869063;97,846898;99,709003;103,571486;89,276062;46,530028;135,096043;106,475714;268,968688;82,642207;66,938636;145,4712;105,455171;160,037263;79,178346;170,81761;111,77174;164,010404;82,267687;152,138551;73,540259;69,562632;138,834385;86,259235;149,40561;100,828647;102,430387;47,118149;83,492224;62,929171;111,844529;137,816208;106,576864;105,335046;129,22557;74,069289;95,633555;91,382341;119,979296;30,732907;182,196317;126,352724;53,266478;169,966338;135,308013;68,282518;76,500654;81,914877;92,423104;92,182997;67,378992;138,120118;112,008897;117,730864;95,511774;125,465515;117,810097;141,055612;141,055617;204,894562;204,894609;96,539575;94,129248;80,744617;64,134138;88,737358
2012-03-01;131,224407;604,850796;146,445432;103,968906;116,602119;91,948136;97,936651;108,279202;119,057564;101,398052;103,445564;136,406175;61,286382;122,829982;158,173221;105,492326;112,278393;112,709123;87,054272;92,680897;97,336774;111,555586;163,766606;88,74957;98,78392;121,813432;88,979983;115,44453;109,804962;102,254312;76,105479;69,17817;84,05995;105,893081;114,985328;392,136951;123,469697;121,51997;140,349457;145,028646;95,02505;138,215257;106,149992;125,629482;202,730043;93,230713;242,878763;542,221435;159,656952;117,441976;83,127807;160,334432;83,319902;259,291305;128,42213;128,135866;105,924549;72,61459;116,689846;150,906242;109,606407;100,673335;160,465949;108,984932;119,898296;127,307091;97,009357;152,680205;94,348263;178,378703;89,89777;96,583356;135,648487;105,314958;165,762453;156,061562;110,404527;95,645395;90,412749;130,583123;68,782993;62,91096;82,124183;115,268758;101,141056;74,056608;252,098873;123,633513;113,209413;97,015808;95,351148;101,382623;100,553789;102,340961;103,862294;79,132772;167,839496;148,989911;189,52286;133,581801;209,882981;258,140166;127,227252;112,688359;133,817228;119,450029;132,694405;105,040022;123,457679;459,952895;224,783162;267,333067;114,058275;144,410176;115,486511;117,323155;157,340849;112,462185;136,747425;259,467519;227,207659;153,975976;113,84623;109,567021;83,825722;143,628913;159,983591;87,725218;115,891504;112,416243;136,768088;79,860731;223,769781;151,787963;126,328333;89,885271;148,224292;145,634096;110,316735;77,888547;86,345478;265,815949;207,796674;115,469821;95,111019;178,959202;115,422046;92,894416;122,641939;112,214232;99,648888;41,08568;158,096744;114,666395;285,372952;83,267396;74,306694;161,531943;109,65924;190,551925;101,272037;195,295774;112,919895;284,409628;101,268539;167,7147;87,902869;85,559158;158,76412;99,88085;267,03036;124,981079;155,802444;46,777524;80,668744;62,461944;112,429073;146,728044;118,087696;110,443953;140,486359;77,858966;100,60352;93,672223;149,802297;27,349344;274,331056;128,151031;56,329917;155,245176;139,9573;69,050467;89,420795;86,022997;98,566544;100,718129;83,699311;200,529654;123,686814;127,462896;111,364764;112,063348;119,053656;107,787241;107,787239;125,291072;125,291092;105,862021;122,027607;105,609755;68,479413;107,473938
2012-04-01;130,119553;602,632027;145,199153;97,98378;93,96794;104,639267;95,004208;105,561419;113,017253;92,951173;99,655791;128,893288;53,476828;121,945536;141,379648;103,119313;139,80433;113,203018;76,544821;94,766871;98,605438;97,782551;170,225404;77,876248;94,762734;118,970098;85,269028;110,460983;106,447066;93,508537;80,394156;72,569697;103,235071;103,632088;112,140025;356,483389;114,495554;118,124632;130,044987;181,506119;84,341759;141,228599;96,498698;128,023736;186,360331;80,188895;146,567241;438,465647;104,247974;95,347293;68,84709;155,093868;77,000263;192,239994;126,467732;125,23764;102,087923;73,971632;85,301174;145,537355;102,676536;106,113567;136,407989;101,38398;123,326329;113,799589;98,89415;147,865805;97,058337;159,656839;98,374828;104,608934;113,560789;102,152301;146,326911;106,902573;104,859577;94,35198;84,199051;139,931322;90,015139;61,619837;71,683501;97,25612;104,80595;79,532164;229,642873;109,466597;108,923474;94,032739;91,863637;93,388564;101,032817;97,039245;102,318658;54,826148;196,002522;129,777988;176,473432;118,105154;189,843958;254,593373;120,111372;111,468554;124,451767;103,137427;125,204739;117,40236;112,640434;417,696981;216,810916;229,026743;113,958368;149,803061;111,460623;112,442652;148,75938;114,959788;122,615164;228,42329;204,411561;135,643706;106,820042;104,088303;79,052942;133,609608;149,158351;73,325772;108,300311;91,917752;123,491461;91,403817;207,224778;138,643752;115,397468;88,505289;142,300168;141,060599;102,76967;76,756839;73,518303;198,151809;146,345064;107,449643;83,116915;196,6061;62,042779;112,575956;120,95708;107,433634;82,431373;28,65599;131,697492;109,932169;273,697497;85,202982;70,926814;139,528582;110,30632;193,888612;92,759497;179,183189;115,447914;234,785684;82,10301;134,416747;79,925183;76,354242;141,070051;63,190599;256,329464;133,421018;133,236847;46,46947;68,375763;37,257363;108,142824;134,255886;107,513282;102,805514;128,758095;61,812574;90,118053;84,593662;123,820019;29,918265;218,324063;116,096714;56,897493;129,393986;123,032198;71,445718;78,895488;74,819261;97,729095;93,2132;71,169185;155,846704;91,52036;115,844801;105,494182;101,218534;117,740341;99,777969;99,777969;104,019222;104,019228;101,745649;120,206756;97,646092;70,236449;103,022933
2012-05-01;130,751954;626,63052;126,912164;93,46833;112,653038;104,890703;95,574454;106,993641;117,290344;85,173526;102,081065;125,258699;55,966461;106,753422;138,548485;104,357694;105,949669;104,512093;81,755272;92,593279;95,669509;86,603122;147,620185;74,442727;97,290928;106,192011;87,398441;106,772049;105,270492;87,711766;78,9165;84,75596;104,357661;104,695145;102,219991;324,31162;110,815724;112,892518;123,501552;191,029628;80,297271;142,357376;87,545506;126,349373;192,149338;126,121732;182,628481;348,116349;93,180451;88,002242;66,246276;148,757296;77,037664;209,486166;115,222028;116,846055;99,206137;73,019979;119,985417;143,63422;99,795002;101,290167;146,734728;113,017769;119,386491;103,717886;97,572257;152,255405;96,000815;170,418142;103,631242;91,453316;102,142408;104,393262;174,509287;72,745829;95,044502;93,372952;73,252248;124,885785;91,762619;58,510897;81,29974;86,321052;88,386069;71,960263;212,314831;103,279071;100,090945;92,010142;86,976417;89,842034;98,084621;89,735461;104,376749;59,083037;185,837007;115,534091;174,417368;118,354883;165,586163;223,211343;110,095201;99,130697;102,88096;98,972931;113,855318;118,377323;114,808966;488,523041;201,573359;221,317568;91,020518;127,757142;113,602252;96,31532;147,397142;113,93389;117,265586;209,178764;188,069673;141,414635;102,722019;99,818212;78,386074;135,931614;135,717713;58,491212;102,161846;87,9206;114,965977;64,003825;201,811477;133,722568;106,125843;83,169266;129,222973;127,533848;92,469014;71,661654;71,44153;237,465411;135,866815;111,900781;79,282214;148,483212;76,61591;66,63581;111,90583;98,835623;73,114171;30,24072;135,964428;105,715226;257,429851;83,844708;60,309924;141,174918;110,360358;166,473294;79,137292;170,827989;109,003171;208,480825;72,974563;137,441922;78,64756;74,120097;118,33819;70,53145;227,659907;129,206904;145,04107;42,853276;131,996896;25,045353;92,786795;127,832498;92,158928;94,214972;130,057129;56,247565;78,456838;71,839276;115,197199;24,538173;203,868467;104,772564;54,929857;127,512893;115,941981;69,76209;75,184572;63,687774;90,189162;89,521893;65,445068;126,585625;94,218732;103,941884;98,153979;92,290373;116,127417;85,28655;85,28655;63,049968;63,049973;114,435036;120,777958;101,102196;69,003036;105,333846
2012-06-01;122,615898;643,42875;153,498856;108,834134;120,988174;106,945472;92,253771;105,027402;115,736877;100,025042;99,238591;131,352457;95,073939;111,004949;130,018369;95,527981;123,570816;109,905987;85,28913;93,466687;103,035291;108,470211;196,128037;79,219094;91,055941;117,098706;87,529054;115,009681;102,020661;103,804507;86,267192;78,600652;109,600897;97,908852;120,721739;382,736109;130,796303;114,936246;140,510137;177,997056;92,298674;139,540726;98,643814;125,844456;193,210409;86,073982;175,234683;276,451037;150,430072;140,95725;87,517315;152,155407;98,851811;252,217702;125,628539;139,019934;121,802826;72,735411;117,565737;146,54441;109,436244;99,835259;160,025275;114,035451;120,671317;107,331275;97,177109;177,672606;97,109425;160,587622;97,816845;92,576771;113,709407;97,537089;134,002591;62,778392;107,819536;106,149353;85,005929;137,551191;94,518012;63,064735;81,349822;76,599781;98,924769;77,706948;220,681915;116,47246;107,992916;97,875584;102,081408;95,179575;92,430388;105,329406;90,647061;68,199778;157,39813;141,199748;184,175523;120,558783;197,437671;260,368145;127,809025;118,511058;123,157112;119,1902;164,779005;148,599121;110,650575;437,26726;193,86238;250,649802;105,398576;141,482857;119,578653;103,864478;156,22379;119,441388;130,90486;263,075691;192,534009;160,350465;116,992318;121,360673;91,322034;157,383409;156,300936;83,386197;112,640799;105,117552;129,505118;74,478509;230,072215;148,344641;120,17166;99,782495;161,17293;141,574986;114,458209;82,365537;90,142245;262,403992;208,89243;118,918566;100,062286;168,535035;122,699407;123,1411;133,384662;118,826141;97,93923;39,425328;164,391044;121,019861;301,695719;83,439375;81,31859;175,32838;102,572727;170,842559;103,520655;202,967868;119,081161;92,270308;101,179292;173,93585;91,183346;89,452771;129,476533;62,598523;361,457119;136,201495;176,730731;59,116963;121,139856;16,65036;117,842232;142,756417;103,808401;108,182303;138,491948;60,124792;93,08121;92,528159;136,642553;35,097075;233,958249;131,521379;56,725148;156,103531;134,934778;69,262208;82,460972;74,810772;95,556572;106,719724;81,731866;170,59483;100,864233;122,612029;131,380737;85,459216;109,362694;80,535667;80,535665;50,665306;50,66534;119,299829;120,622431;110,358406;68,63536;109,622924
2012-07-01;127,018835;623,15922;133,778448;109,895344;99,849832;111,88529;86,174298;102,729275;116,930892;95,020381;75,338618;128,696004;124,394664;65,549987;120,354807;90,284941;92,713454;103,191108;84,685163;91,978907;88,42696;98,264118;166,270461;87,971656;89,345193;97,483348;90,043124;114,505694;104,63348;91,281858;97,730444;84,987415;101,267067;100,731603;114,925973;322,901494;112,215017;102,455626;134,946357;211,455107;87,39167;133,74343;90,713939;123,848841;304,683144;90,310342;197,012819;527,332661;171,034501;142,478165;70,04685;151,468883;88,582654;277,508492;123,83639;147,716174;123,745189;71,621506;121,516289;140,357379;105,572664;103,400202;138,446219;90,434163;118,589203;97,301845;95,630939;204,576607;105,433994;157,935377;96,354508;95,23389;117,669638;103,321744;158,143047;69,657939;103,505011;88,903533;83,768228;150,756086;93,700668;62,802818;83,144057;41,897307;76,931695;74,987327;184,851699;106,956064;104,429491;98,659037;109,883473;89,937858;106,616202;106,9102;92,218923;63,075468;148,551653;136,591678;167,314939;98,216513;173,601698;245,155317;127,781375;111,907523;130,96176;119,321976;140,917681;170,606717;112,522327;402,843075;206,881187;252,080066;107,953375;149,176359;117,179129;116,436678;144,879768;121,844892;121,099472;224,517277;176,700538;152,496861;116,27363;128,807914;94,898956;151,481827;149,372023;77,266975;106,831727;98,524115;127,564339;85,827662;231,464347;135,058258;128,41457;93,526698;147,981661;135,773563;112,519385;77,392681;76,327106;225,767953;152,650594;110,960943;75,192049;174,161281;74,168641;76,16297;105,656756;110,816327;80,950471;25,826867;135,843001;116,011152;283,919892;81,85644;91,797381;144,458876;103,257962;151,493682;101,037792;166,594659;114,518277;209,940044;96,436156;108,619086;92,299501;80,515241;107,792722;122,121219;212,420255;148,832482;192,993898;50,04178;83,098696;22,105808;148,748813;122,724923;90,329975;95,392346;125,417697;61,85593;85,776361;86,531097;105,4351;30,330376;190,775485;131,599442;52,497506;176,600034;131,57609;67,321305;74,247228;73,537987;93,792021;99,761677;80,452214;153,156337;118,407999;114,177432;116,644892;86,588985;113,313212;82,573126;82,57313;46,532022;46,532041;131,646253;125,610093;102,795063;67,201241;110,414279
2012-08-01;128,032815;632,678456;85,134903;67,834508;53,874924;75,262778;92,521677;101,767497;120,081162;75,427311;92,231776;114,537251;184,060056;106,730308;138,348334;92,064795;62,151023;107,202582;82,645176;91,259251;91,33971;85,907762;34,77681;80,374167;85,3955;83,784161;83,113275;92,40574;107,575563;100,488369;88,361379;82,865734;102,463557;105,930267;101,275646;278,160453;75,859367;55,023807;34,725953;102,012886;70,321409;135,646402;77,837085;123,848841;78,938669;28,621934;92,317511;270,79854;87,023391;122,95508;26,484414;47,541317;50,305411;188,558868;74,208123;38,047871;82,182965;71,621506;118,265933;114,340853;87,480433;101,896303;109,35831;54,727745;118,202113;97,476829;95,630939;201,780006;86,889675;136,481932;98,54216;92,826862;124,835288;98,099728;162,208526;56,050857;72,505691;87,659357;64,60678;103,78131;55,684107;50,872269;71,526576;101,637296;63,596715;71,168613;162,898557;63,353659;63,532863;75,471914;36,061057;53,218567;98,435697;39,652052;88,128074;53,394845;82,031148;64,735956;40,171146;39,467977;92,60159;172,152282;77,594865;47,826745;66,775414;68,354777;88,756223;97,826761;57,237511;295,422657;58,382419;83,848579;51,922177;52,000405;76,458872;70,068264;88,62928;64,039975;67,633253;100,563033;70,499155;68,58796;72,330843;41,648191;60,407627;68,819227;142,499305;40,30778;51,037019;52,697821;71,919402;44,680342;143,625685;83,388057;90,250705;91,140908;72,839886;86,136322;63,70238;64,593893;54,859955;164,778024;160,751278;83,984003;65,591631;130,9021;70,128355;51,482915;79,094351;89,627071;57,084004;23,504424;88,812527;89,223586;203,913598;81,85644;80,996033;105,177578;89,797796;148,031227;62,709947;149,763575;83,320006;150,157118;52,32022;118,159963;65,041868;57,868701;31,370999;63,135443;129,159155;81,688742;135,380215;28,113751;113,407409;45,063883;87,633914;42,458914;38,175937;65,618099;75,253967;21,753067;14,743977;46,893728;101,166476;19,722528;134,35183;99,47688;54,602744;136,809021;88,933925;67,321305;55,136744;38,969475;88,870975;87,771108;73,446431;137,662188;67,329192;105,424937;92,898712;82,886585;99,275225;79,351909;79,351911;40,707238;40,707267;138,988835;82,938687;85,311789;67,201241;70,775752
2012-09-01;121,349718;636,622139;144,461536;97,902438;113,538557;113,043309;91,172381;103,07807;114,924945;97,512643;84,809015;121,342898;206,395831;115,44326;134,017139;91,908267;67,501818;107,559335;85,206637;95,64696;103,278741;108,6758;161,499433;97,712736;87,697638;103,756731;87,336087;122,751863;107,354724;105,529954;107,251954;101,194154;79,624789;95,001302;94,415901;387,245031;122,798912;101,905259;136,240004;163,53719;81,2394;148,128004;98,425274;130,81663;194,048421;83,591076;161,551302;506,447183;183,188059;134,233122;69,415201;141,937004;92,019947;233,074889;125,987857;124,551929;126,864922;75,586699;116,291949;142,753449;104,955319;101,115544;143,577077;90,051672;125,33254;116,943312;101,13908;160,928405;102,367341;107,362929;99,065448;93,16015;126,451381;102,306297;124,616319;53,801105;90,594627;93,49026;80,633678;135,959199;85,005345;63,485682;75,282907;124,023814;93,291436;74,05295;236,162947;113,991268;104,278148;88,678909;99,986213;92,108158;95,645063;114,830133;95,976639;73,947442;167,823714;107,272646;190,542132;99,287069;171,281402;184,295482;116,41625;103,768551;120,502239;107,320376;132,96091;145,87897;113,051148;368,173595;155,112718;211,810455;97,75192;146,526219;112,018652;116,201619;141,382497;124,230877;144,035035;248,548238;196,892506;155,847884;113,197682;113,658094;117,318766;120,664388;153,078134;80,039968;107,782797;96,814285;134,195261;77,927622;229,844933;147,718662;108,998494;102,329428;145,056529;141,046903;110,345873;67,577721;85,408851;242,64342;181,433712;110,404993;94,203487;143,175595;126,156865;87,168868;116,623805;117,244194;89,139855;28,477189;146,22582;113,017891;341,515027;87,517768;100,127516;178,025493;110,458994;160,484778;102,497468;210,105453;117,186767;153,74661;93,153125;192,103232;94,363435;79,644677;110,150658;80,974666;216,061619;90,567953;184,081027;53,462042;143,420899;49,423883;120,822313;137,57229;96,334922;109,434216;136,205044;61,081435;77,860549;94,934721;135,018311;40,858344;243,650905;138,848132;60,854351;150,042121;129,714087;74,344964;82,699001;76,097933;103,923605;102,275485;77,833601;188,437908;97,386496;116,767004;125,953162;86,506738;107,871654;80,80992;80,809927;51,405487;51,405519;120,063905;116,672029;103,488627;72,343076;104,199027
2012-10-01;123,91944;631,218363;142,38221;105,912344;110,167935;128,361734;97,36595;112,474243;126,772579;100,356679;101,739537;123,699927;176,334564;115,042794;139,699765;100,524585;59,996145;112,775044;88,150669;91,591863;93,928572;106,733386;173,016412;118,93545;94,051692;115,885421;91,463313;115,19529;114,81052;106,202368;107,295893;137,610251;83,354223;101,024163;90,897225;419,973887;122,211679;106,046238;154,03666;170,814796;87,572052;134,696674;94,51614;122,853443;240,814661;95,817166;176,933213;500,748507;119,370266;166,927643;74,79463;163,90807;86,199061;199,207564;127,828925;135,80429;116,292832;71,072291;112,96408;140,996783;111,359403;110,386406;145,408103;104,122915;115,97045;119,771985;94,868941;171,831605;99,017194;88,00533;104,641287;87,396249;130,89581;97,410096;129,81259;59,889326;90,095098;97,827852;84,786829;139,373912;75,029214;61,068277;75,548627;132,459367;73,055235;71,179327;227,670962;115,811127;99,353578;91,78224;104,771398;88,854429;95,77936;108,456963;99,467338;74,247428;164,402064;125,102542;199,276926;120,900686;218,320523;215,486445;117,912321;103,785046;119,164297;110,480138;131,45713;154,229391;113,082155;423,832556;154,338591;197,959893;99,469095;145,315779;111,916508;114,530336;144,641343;134,756144;124,772973;248,656844;183,94909;145,329066;120,706936;118,904077;119,567453;129,635499;164,650528;85,667064;102,450766;98,396805;130,856243;97,735459;227,593447;147,938647;96,452557;89,101103;140,869258;137,614425;121,52654;72,377821;79,159206;260,954856;176,35021;120,174657;77,70147;204,297571;94,716626;99,898388;120,80392;110,974975;88,327013;23,577945;143,256268;108,93489;349,263383;81,078144;120,877728;145,087971;112,6045;165,877504;95,242113;173,873137;114,347473;207,389721;103,328496;112,417507;87,741825;79,136254;134,503126;72,211263;105,815024;98,885505;152,533881;57,049146;85,390186;38,912713;122,336995;116,241471;105,141382;109,475874;126,251287;62,115194;78,577776;94,895992;139,955354;37,417546;196,223745;124,156279;50,720362;150,912943;131,775898;66,373622;79,624081;73,326716;104,629624;98,87802;87,718401;191,935527;102,271742;119,606362;111,766775;97,535684;113,156409;95,786403;95,786402;88,61282;88,612836;95,871916;129,545833;106,660359;66,497153;115,245596
