;start;end;n;arima;mean;p;d;q;bp;bd;bq;m7;q;q-m2;mean;;mse;;nout;kurtosis;;;skewness;;;lb2;;;seas-sa-qs;;seas-sa-qs;seas-sa-f;;seas-i-qs;;seas-i-qs;seas-i-f;;td-sa-last;;td-i-last;;lb;;;dh;;;doornikhansen;;
RF0610;2012-01-01;2023-12-01;144;;;0;1;2;0;1;1;0,486101902;0,745505763;0,718407927;;;;;5;3,440712;0,3032;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,348451;0,1035;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;18,885787;0,5925;Chi2 with 21.0 degrees of freedom ;0;1;0;0,108514;0,9999;0;1;0;0,094649;0,9999;1,002338;0,4265;0,634631;0,7023;7,956706;0,9953;Chi2 with 21.0 degrees of freedom ;;;;3,41971;0,1809;Chi2 with 2.0 degrees of freedom 
RF0620;2012-01-01;2023-12-01;144;;;0;1;1;1;0;0;1,560069243;1,139585197;1,271050952;;;;;21;3,513503;0,21;Normal with Mean = 3.0 and Stdev = 0.40967324519935133;-0,468554;0,0222;Normal with Mean = 0.0 and Stdev = 0.20483662259967567;20,14124;0,5742;Chi2 with 22.0 degrees of freedom ;0;1;0;0,454377;0,9276;0;1;0;0,390283;0,9579;1,3358;0,2455;1,642199;0,1401;20,806199;0,5327;Chi2 with 22.0 degrees of freedom ;;;;5,363833;0,0684;Chi2 with 2.0 degrees of freedom 
RF0811;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,280872896;0,416090284;0,43852813;;;;;17;2,784367;0,6144;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,134298;0,5303;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;19,305091;0,6264;Chi2 with 22.0 degrees of freedom ;1,345048;0,5104;1,345048;0,435631;0,9374;1,099892;0,577;1,099892;0,522128;0,8856;0,418689;0,8656;0,348295;0,9099;23,143235;0,3937;Chi2 with 22.0 degrees of freedom ;;;;0,48424;0,785;Chi2 with 2.0 degrees of freedom 
RF0812;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,11026669;0,365113178;0,399556425;;;;;5;3,539979;0,2071;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,197743;0,3555;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;11,670844;0,9638;Chi2 with 22.0 degrees of freedom ;0;1;0;0,669068;0,7655;0;1;0;0,738288;0,7001;0,921602;0,4816;1,130689;0,3478;19,156829;0,6356;Chi2 with 22.0 degrees of freedom ;;;;3,289506;0,1931;Chi2 with 2.0 degrees of freedom 
RF0893;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,442396203;1,19909649;1,174596968;;;;;1;2,403443;0,1634;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,055814;0,7943;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;24,02176;0,3461;Chi2 with 22.0 degrees of freedom ;1,209424;0,5462;1,209424;0,343088;0,9742;0,252437;0,8814;0,252437;0,412426;0,9485;0,640045;0,698;0,651069;0,6892;27,778816;0,1831;Chi2 with 22.0 degrees of freedom ;;;;1,72819;0,4214;Chi2 with 2.0 degrees of freedom 
RF0899;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,310270723;0,53941062;0,510468518;;;;;7;3,181707;0,6712;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,246051;0,2503;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;35,946089;0,0308;Chi2 with 22.0 degrees of freedom ;0;1;0;0,409268;0,9499;0;1;0;0,416798;0,9465;1,239657;0,2899;1,319799;0,2524;14,581574;0,8796;Chi2 with 22.0 degrees of freedom ;;;;1,721961;0,4227;Chi2 with 2.0 degrees of freedom 
RF1011;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,453080185;0,918139291;0,972556303;;;;;9;3,907096;0,0341;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,45607;0,0331;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;19,265103;0,6289;Chi2 with 22.0 degrees of freedom ;0;1;0;0,156495;0,9992;0;1;0;0,154752;0,9992;1,630569;0,1433;1,729937;0,1186;29,424607;0,1331;Chi2 with 22.0 degrees of freedom ;;;;6,416696;0,0404;Chi2 with 2.0 degrees of freedom 
RF1012;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,352600099;0,509328476;0,511370633;;;;;2;2,635872;0,3931;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;0,101003;0,6357;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;39,740081;0,0116;Chi2 with 22.0 degrees of freedom ;0;1;0;0,258413;0,9919;0;1;0;0,335091;0,9764;1,21062;0,3046;1,40049;0,2188;16,411786;0,7949;Chi2 with 22.0 degrees of freedom ;;;;0,621372;0,7329;Chi2 with 2.0 degrees of freedom 
RF1013;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,211981706;0,660208257;0,689477653;;;;;2;2,920034;0,8518;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,157549;0,4616;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;21,91083;0,4652;Chi2 with 22.0 degrees of freedom ;0;1;0;0,198405;0,9975;0;1;0;0,324906;0,9791;2,190286;0,0476;2,275081;0,04;18,415873;0,6811;Chi2 with 22.0 degrees of freedom ;;;;0,602076;0,74;Chi2 with 2.0 degrees of freedom 
RF1020;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,386149576;0,736310704;0,775328594;;;;;4;2,568868;0,3138;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,043598;0,8386;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;18,600802;0,6698;Chi2 with 22.0 degrees of freedom ;0;1;0;0,652134;0,7809;0;1;0;0,527742;0,8817;1,073738;0,3813;1,12905;0,3488;17,453894;0,7378;Chi2 with 22.0 degrees of freedom ;;;;0,608211;0,7378;Chi2 with 2.0 degrees of freedom 
RF1031;2012-01-01;2023-12-01;144;;;1;0;1;0;1;1;0,300074181;0,867488456;0,863093932;;;;;7;2,773809;0,5958;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,379676;0,0749;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;24,308125;0,2784;Chi2 with 21.0 degrees of freedom ;0;1;0;0,286403;0,9875;0;1;0;0,274855;0,9895;1,079159;0,3781;1,111001;0,3592;20,526583;0,4882;Chi2 with 21.0 degrees of freedom ;;;;4,643281;0,0981;Chi2 with 2.0 degrees of freedom 
RF1032;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,530272175;0,715277602;0,713885968;;;;;2;2,608941;0,3609;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,031872;0,8816;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;30,320591;0,1109;Chi2 with 22.0 degrees of freedom ;0;1;0;0,192416;0,9978;0;1;0;0,404028;0,9522;0,377149;0,8925;0,32393;0,9235;20,894481;0,5273;Chi2 with 22.0 degrees of freedom ;;;;0,410884;0,8143;Chi2 with 2.0 degrees of freedom 
RF1039;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,17843156;0,658110996;0,734485035;;;;;2;2,995445;0,9915;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,0562;0,7921;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;17,56796;0,7313;Chi2 with 22.0 degrees of freedom ;0;1;0;1,204105;0,2906;0;1;0;1,344453;0,2074;0,745531;0,614;0,778868;0,5879;14,492332;0,8831;Chi2 with 22.0 degrees of freedom ;;;;0,274658;0,8717;Chi2 with 2.0 degrees of freedom 
