;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;0,98997;39,780965;1,025108;-0,989876;-0,16407;1,015469;0,979517;-1,120561;0,994655;1,029147;-0,314407;0,978144;1,004804;2,068881;0,968694;0,992813;1,049544;0,978769;1,017002;;1,000294;2,086469;-12,715645;0,997595;0,99935;-0,997842;1,252595;0,990064;0,995972;-2,482104;1,030748;0,911297;1,011403;-0,014719;0,961283;1,015829;1,012035;-0,41412;1,007661;0,902565;0,976899;;1,008743;;1,05147;1,029325;0,916082;1,01935;0,811042;1,000358;0,82431;2,598992;-0,990145;1,211779;0,994984;7,892974;0,606708;;1,953597;0,99647;1,002732;0,986966;1,035368;1,059004;;0,99645;;1,064364;-1,552874;1,856211;0,924831;5,602117;1,321183;-1,22782;1,024782;0,875213;1,004226;1,958996;-2,0318;8,605082;0,997406;1,004161;0,682893;1,67672;-6,004638;0,945898;0,992309;-0,44886;0,216851;-0,050425;1,012669;0,281987;0,989198;5,820921;1,323696;0,994558;0,930798;0,957693;1,032954;4,287735;-2,821284;0,98197;1,009829;-12,210049;1,080126;1,014158;0,911116;0,939806;-0,554548;0,987978;1,018343;0,99848;1,00263;0,967613;1,089376;1,056032;0,077308;0,29619;1,052932;1,051862;0,968727;1,01604;0,987628;-0,745795;0,972807;0,981875;-0,172122;-2,700685;1,023244;0,161698;1,746886;1,029616;0,973257;1,019796;-0,980639;0,971181;1,021014;1,35846;7,820546;1,175054;2,545353;1,033443;1,085471;0,988642;0,999973;0,954068;1,016627;-0,601557;0,982518;1,026054;0,958183;1,137614;1,021003;1,02574;1,111196;;1,68881;1,021122;0,998616;1,016289;0,965874;0,9969;1,014207;0,717805;1,023091;0,782603;1,142178;0,99653;-2,51069;-5,685379;1,021019;1,007486;1,059328;0,94216;10,160863;-2,595;1,054609;1,040845;1,676166;3,909929;1,020221;0,961705;0,17455;1,003141;4,173547;1,030557;0,954682;1,000953;;0,921178;2,328931;;0,975956;0,760053;1,026119;-1,025697;1,019556;0,968934;0,968165;1,008669;0,980643;1,006156;0,98177;1,006167;1,006167;1,051984;1,058803;1,002361;1,395937;2,244213;;1,412414
2012-02-01;0,978828;-1,835147;0,981741;-29,078581;-2,99318;0,951718;0,991397;1,192462;1,005394;1,003857;-1,947377;1,014823;0,945019;-3,249277;1,028009;1,006921;0,971198;1,020088;1,000656;;1,030681;3,338624;4,607779;0,942664;1,007037;-8,416782;-0,797717;1,029773;1,005822;0,222726;0,993102;1,006456;1,004346;0,512245;1,02047;0,927463;0,96299;-1,792027;1,001584;0,910154;0,942162;;0,982218;;1,020906;1,067384;1,12805;0,878512;1,006348;1,014231;1,060565;4,416137;-0,110762;1,024084;0,968763;-0,259092;-1,691623;;-4,98249;0,985833;1,001603;1,001619;0,988668;0,901966;;0,99068;;1,014285;-0,729103;-4,210758;-13,162592;-7,546894;-1,753435;-2,058317;0,99233;0,963385;0,928166;-0,056513;1,870113;-8,582038;0,969404;1,001176;-8,178852;1,282984;-5,533939;1,00005;0,989171;1,733276;-0,878593;0,483727;-0,375881;-0,41452;1,026046;1,570743;-0,44249;1,003706;0,86601;1,057728;0,972224;-2,626528;2,640812;1,003109;0,652605;-35,490165;0,945933;0,723635;-4,306936;0,84741;-0,745982;1,047641;0,877196;1,025537;0,967156;1,060885;0,472988;0,956644;3,153134;-0,19521;0,970703;0,986087;1,022199;0,967422;1,011253;4,770557;1,010385;1,011367;-0,320894;6,951518;0,990846;0,318189;0,250054;0,883005;1,025727;0,987807;0,599654;1,0024;0,903425;-1,446391;-2,704258;1,001868;0,744598;1,055403;1,002544;0,949179;0,994819;1,134644;1,015965;8,600586;0,990269;0,991177;1,036577;1,484717;0,989366;0,989552;0,992586;;1,07497;1,004615;1,003678;0,963931;0,994973;0,994772;0,993855;1,15911;0,978676;1,073401;0,922453;0,960466;-1,504944;6,284688;0,787359;0,882457;0,918791;1,045214;3,437878;9,23892;1,014451;0,982359;0,20122;-0,819697;0,985791;1,038541;2,219592;0,997604;-2,980446;1,062443;1,015217;1,009438;;1,015997;-2,145945;;0,997841;3,511335;1,04043;0,88116;0,978577;1,006725;1,035635;0,997752;0,999576;1,079098;1,028159;1,247297;1,247297;1,400235;1,412154;0,998567;-17,074356;-16,158412;;-12,823625
2012-03-01;1,006427;-1,439543;1,014558;1,967362;0,172265;0,826937;1,00571;-0,2969;1,012223;1,009967;4,365407;1,076311;1,032777;1,006186;1,026223;1,001023;1,017198;1,010224;1,053992;;0,98684;-0,431638;1,79574;1,028631;1,014723;-0,735205;0,973938;0,993165;0,992101;2,56267;0,959332;1,023968;1,002635;1,28183;1,089649;0,996211;0,998649;-0,075089;1,003637;0,940015;1,045149;;1,026167;;0,980874;1,023589;1,048456;1,177481;1,200795;1,145795;0,986513;0,65466;2,087019;0,922009;1,002396;-0,865468;2,552119;;0,241242;1,013682;0,99936;0,997003;0,999332;1,037341;;1,019797;;0,986612;0,788611;8,014552;-1,682027;-3,568707;-1,709529;0,949643;0,998662;1,094415;1,01088;-2,278646;-0,19512;-2,009526;0,791474;0,965921;1,160577;2,480912;1,283044;0,951009;1,025479;0,28652;1,277287;0,008559;1,246939;1,09779;0,983934;-1,26859;-0,78024;0,99673;0,987272;1,061357;1,009188;4,725329;1,735035;1,032267;1,018416;2,18665;1,010462;1,050928;0,566602;1,044294;2,266897;1,014476;0,973307;0,979623;1,034441;0,913575;-0,406287;1,023639;-4,110022;-8,296144;0,973041;1,017601;1,021326;1,011699;0,998728;0,724512;1,022026;1,018459;0,802703;2,332117;1,007906;11,081103;0,80876;1,061329;0,923351;1,004024;1,90133;1,004595;1,01538;0,669807;0,76054;0,981951;-0,756956;0,892237;1,006315;1,034701;0,989221;1,020104;0,974333;-12,00437;0,997832;0,883659;1,041645;0,91884;0,992233;0,990348;0,982838;;0,975029;0,974344;0,616638;1,014488;1,01733;0,979612;0,917275;1,231906;1,064074;1,073994;-3,682724;1,011552;4,029685;5,351211;1,02104;0,951252;1,054628;1,003815;-2,282575;24,721794;0,970828;1,009241;1,907566;0,754996;1,004821;1,065524;0,280391;0,931417;4,108801;0,934959;1,06329;0,998432;;1,010114;3,298031;;1,02039;2,5918;0,996265;1,007873;1,046463;1,090639;1,05338;1,044697;1,006564;0,993857;0,9889;0,971615;0,971615;0,962003;0,963802;1,009;0,215133;2,076356;;0,670904
2012-04-01;1,022565;-7,718105;0,985292;-8,755908;1,798134;1,033208;1,004155;-0,36991;0,987714;0,984279;-3,39296;0,997703;0,988693;2,581205;0,954811;0,995345;1,077963;1,008467;0,986582;;0,977417;-4,367602;1,148071;0,997536;0,977629;1,124057;-3,621406;1,00373;1,002294;-1,17469;0,98209;0,962419;1,025728;1,15977;1,014049;1,075963;0,966267;-0,852418;0,974362;1,087357;0,983192;;0,994226;;0,961508;0,852412;0,97769;1,016553;0,963462;0,978563;0,938972;-2,689681;-1,091854;0,862872;1,009917;-3,757508;-1,431601;;-22,398166;1,013464;0,968643;1,012835;0,892856;1,009309;;1,01148;;0,946395;2,069646;-2,627237;-0,131618;6,553196;4,071334;1,097216;0,938596;1,001364;1,000081;-0,286805;0,348076;1,106665;1,010761;1,01046;-5,360081;2,115829;3,127029;1,006581;1,005193;-6,45126;-1,026924;-2,054907;-1,739209;-0,697014;1,017486;-0,641778;1,234553;0,679686;1,168302;0,963725;0,990514;-1,427653;1,900258;1,001498;0,964191;1,313288;0,997407;0,917532;2,553434;0,983059;1,226935;0,967077;1,043638;0,980435;1,083295;1,051574;-1,289172;1,012563;-1,32031;-3,309448;0,990367;0,92894;1,006133;0,899426;0,997784;-4,986045;0,985981;0,958646;-0,072148;-1,845419;0,984693;-4,374667;-1,746355;1,235125;1,032571;0,93432;-0,655089;1,012439;0,980728;0,448974;-1,510965;0,970959;-2,426941;0,94359;0,960667;0,985308;1,026509;1,047016;0,984032;14,568853;1,02102;1,01707;0,966771;0,966533;0,905248;0,978689;0,999616;;0,980409;0,933195;1,040983;1,099301;1,174487;1,015631;1,000942;0,951954;0,964952;0,999491;-1,599947;1,014643;2,634725;2,703957;1,103127;0,997469;0,908604;0,982039;-39,401972;14,660573;0,972149;0,975833;-0,548505;-0,340276;0,989031;0,815483;-4,854359;1,014726;-0,489605;0,968399;0,980162;0,988424;;0,976278;-3,022999;;0,9977;-15,590572;0,971086;-0,582328;0,991152;1,011488;0,784085;0,992256;1,011376;1,079405;0,996454;1,086032;1,086031;1,22432;1,222926;0,977592;-1,323992;-6,413023;;-1,586225
2012-05-01;1,005187;3,822775;0,979124;0,000051;6,260625;1,001191;1,018822;0,662177;1,004981;0,973822;2,990139;0,997087;1,017128;-0,807084;1,021517;1,00134;0,965654;0,985496;0,985195;;0,98412;-2,308194;-3,810071;0,998719;0,99697;0,794464;0,32939;0,991609;1,003266;-1,73497;0,996515;1,115982;0,99113;0,781598;0,975475;0,952176;1,049298;5,527242;1,013493;1,114924;0,990853;;0,976211;;0,97235;1,18476;1,064584;0,985754;0,836869;0,959041;1,070437;-0,199319;-6,720851;1,198469;0,971433;1,564657;0,092768;;-1,390021;0,988619;0,999851;1,000265;0,993869;0,999943;;0,989033;;0,953674;-1,267064;1,103917;2,593571;-0,733617;-2,141407;2,161909;1,067902;1,062276;0,997872;1,48476;-0,173042;-4,081423;1,06829;1,025874;2,510634;-0,104229;5,324014;1,03112;0,997643;0,185127;0,928403;0,798192;0,614691;0,531273;0,982866;-1,034503;0,587208;0,721127;1,059181;0,885302;1,016452;-0,115072;0,016857;0,968326;0,93983;-0,753002;0,904989;0,985682;1,819634;1,027955;-1,027877;1,235909;1,040374;1,024843;0,984088;0,975992;-0,756451;0,971708;4,443454;6,256784;1,049533;0,973816;0,996179;1,029057;1,016744;-0,993343;1,014005;1,041368;-0,032547;-4,827934;0,992884;0,069733;-0,932182;0,960457;0,987996;1,006901;-1,231916;1,022713;0,989974;-1,404935;-0,807964;1,047673;-1,445078;1,149289;0,960384;1,006223;1,026243;0,893874;1,049121;-1,541496;0,995008;0,992675;0,97236;0,931561;1,050194;1,010087;1,01214;;0,922289;1,010358;1,062556;1,028676;0,981672;1,041707;1,009329;1,012509;0,996511;0,91215;2,566483;1,029959;-1,96192;3,123522;1,094167;1,084984;1,122257;1,016688;47,353646;-4,557104;0,973532;1,000024;-1,700919;-7,294964;1,003266;1,052216;-1,518814;0,983419;1,557304;0,978009;0,979404;0,990011;;1,033598;-1,43008;;1,006707;-1,880379;0,997658;-1,317739;0,980596;0,993;0,999261;0,972479;0,966579;1,002614;0,994009;1,004858;1,004858;0,961014;0,972564;1,0185;0,363326;-1,585895;;0,428239
2012-06-01;0,991606;22,071406;1,048246;0,829152;8,19345;0,99389;0,996808;0,432281;0,994499;1,005764;-1,456386;0,990389;0,951388;12,471903;1,016576;1,002438;0,980294;0,993688;1,044601;;1,042647;0,071345;21,743761;1,003658;1,004913;1,900091;3,47674;0,968497;0,993753;2,569527;0,97342;0,999604;0,977712;-1,38725;0,992833;0,955172;1,033043;-0,940322;0,994004;0,984817;1,051646;;1,008787;;0,88658;1,025817;0,903534;0,72422;1,02886;1,025963;1,021016;-6,687096;5,104179;0,964321;1,00762;0,850259;0,614904;;10,351536;1,057581;1,001873;0,978567;0,992512;1,032716;;0,980243;;1,045973;-0,860311;-1,872237;1,218317;3,696329;-2,659301;-1,392731;0,986367;1,08836;0,983606;0,850404;-5,641145;-10,429417;0,944451;0,985549;2,435667;-5,191038;3,739113;1,021949;0,972087;-0,095784;-0,049182;0,605924;-1,562732;-2,23687;0,994688;-0,557235;-6,622344;0,843397;1,002306;1,071158;0,989415;1,129911;0,581244;1,012979;1,021618;1,85931;0,987896;0,99949;34,257086;0,998375;-0,188729;0,932103;0,946278;1,023023;0,99668;0,956619;1,242449;0,953613;3,669026;-2,598582;0,957381;1,036167;0,983416;0,983332;0,990149;0,813548;0,965841;1,05547;5,540804;1,875403;0,997452;0,665286;0,151045;0,956511;1,041937;1,007399;-1,113558;1,006369;1,080192;-0,08738;2,102231;0,994892;2,422923;0,928214;0,981752;1,040829;0,947401;0,907615;0,97951;-6,385431;1,034484;0,982903;1,088736;1,035459;1,017908;1,013864;0,999907;;0,990231;1,007278;0,638292;0,940569;1,027735;0,966786;0,992663;0,791337;0,973764;1,135836;-10,198286;1,016469;1,446123;-9,283908;1,177822;1,010312;0,945279;1,020445;-3,254655;-28,182304;1,043299;1,007202;-2,809614;-0,722723;0,994026;0,93065;1,899819;0,993487;-4,714402;1,043969;1,009213;0,997357;;0,999085;1,794463;;0,989614;-2,182092;0,967122;3,707056;0,964607;0,969809;0,928941;1,018447;1,027644;1,000511;1,008511;1,008852;1,008852;1,048028;1,040052;0,990846;-1,018679;-0,41345;;-0,839838
2012-07-01;0,981868;-5,364534;0,903038;-0,24147;-11,510619;1,004433;0,959875;0,160384;0,997297;0,994773;1,01144;0,994596;0,844957;-22,757059;1,014169;0,998676;0,812502;0,981529;1,009182;;0,989007;0,995392;26,903812;1,163581;1,04198;0,2309;0,198105;1,006016;1,007534;-0,823184;1,040572;0,989696;0,934747;-1,498673;0,990617;1,08054;0,97987;-5,238886;1,026187;1,285837;0,974686;;1,009057;;1,058394;0,988186;0,940764;1,245806;0,958902;0,847519;0,825088;-0,928369;-0,621931;1,023384;1,034669;3,363085;-0,139694;;-2,455659;0,990202;0,998154;0,994048;0,98836;0,874563;;1,005326;;1,093675;3,924516;-8,876979;-3,729205;-6,557062;0,227102;-2,310279;1,043349;0,909557;0,999816;-3,690874;-0,095876;8,923258;1,011941;1,010246;-0,121726;-13,512923;-3,602471;1,031785;0,965354;-1,273442;-0,633913;-0,804273;1,927622;-0,920062;1,113497;0,818714;-0,892715;0,874613;0,977462;1,030638;0,965347;-1,650183;-4,917874;1,008863;1,006955;-0,816203;1,066463;1,009126;20,042678;0,99471;7,665368;0,956044;1,02891;1,184957;0,997958;1,025421;0,808784;1,035021;0,428454;1,588734;1,043759;1,014779;0,9817;0,985021;0,987978;1,704696;0,996207;0,997999;-1,524068;2,271096;1,01696;-2,366085;-0,1994;1,045689;0,997684;0,976543;1,772258;0,97148;1,012322;1,380668;2,080989;0,998007;1,190371;1,042909;1,004035;1,031032;0,980863;1,022238;0,952968;3,274118;0,878832;1,020996;0,978321;1,036445;0,984051;1,012385;0,991712;;1,148908;0,987088;0,981309;1,009047;1,224979;0,953636;0,977073;1,758051;1,006956;0,890942;1,114656;0,986991;-2,516281;50,76475;0,940963;1,121768;1,020418;0,885287;-11,209698;-31,870026;1,456771;1,136817;1,272797;2,721476;1,043907;0,990343;10,439868;1,032154;0,52675;0,985546;0,979126;1,037858;;1,068104;1,602325;;0,967506;-8,119606;0,997369;0,215723;1,213998;0,953831;1,058472;0,996597;1,019075;0,969701;1,006226;0,991431;0,991431;1,028466;1,022304;0,995108;0,497022;-1,205099;;0,283019
2012-08-01;1,014707;1,195564;0,916832;-0,956623;-6,951903;0,917139;1,009064;-1,005722;1,007761;0,999253;-1,509339;0,981901;1,099809;0,532805;1,102312;1,002369;0,936133;1,037595;1,001333;;0,969592;2,205221;-27,840721;1,021849;1,003512;-11,145756;-5,461169;1,022948;1,004556;-0,045131;1,002469;1,009239;1,047141;4,199143;1,011724;1,094757;1,354048;10,722075;1,243569;1,003423;1,07005;;1,002781;;1,112332;0,843508;1,061663;1,068517;1,004414;1,08988;0,596766;0,105756;-0,889998;1,054836;1,029665;-16,012484;0,381988;;-1,344141;0,943078;1,002459;1,016177;1,030846;1,889823;;0,996923;;1,050916;-2,903293;5,557629;0,467774;-4,169851;1,060604;0,467588;1,039629;0,997914;1,071464;5,23712;-0,494925;12,520252;0,990894;0,982306;-0,731204;10,052793;-3,266395;1,030409;1,072453;9,487153;-0,259845;0,026455;-1,857254;0,618134;1,002903;0,199798;-1,42608;0,80823;0,633648;1,013413;1,034848;-1,003105;-0,892852;1,398711;0,994042;-2,257705;1,006242;1,038303;17,763379;1,16204;-2,574685;1,099265;0,886931;0,960031;0,999574;0,966218;0,140203;0,994755;-1,017417;4,478491;1,45375;0,967642;0,804169;1,016945;1,08514;-0,458534;1,00964;0,906676;-0,838111;-0,678255;1,005142;6,254063;0,559522;0,946531;1,291263;0,996938;5,935214;0,984374;0,988205;-0,16505;-0,512135;1,036258;1,813836;1,010996;1,04391;0,944693;1,054757;1,122178;1,033351;1,12721;0,947781;1,000012;1,004407;1,150797;1,014479;0,998215;1,000126;;1,210644;1,083589;1,550077;0,993063;0,965509;1,037697;1,027057;1,103267;1,193995;0,987044;3,37365;0,956401;-7,180126;26,404342;0,967525;1,36988;1,049538;1,095663;10,944558;15,303013;1,281697;0,961332;0,140097;-2,29289;0,983757;0,724583;13,726385;1,015338;10,568496;1,036679;1,008812;1,091239;;0,99695;-8,709115;;1,042924;2,645244;1,012668;0,608276;1,021367;1,038485;1,021991;1,100257;0,986318;0,979914;1,00532;1,014006;1,014006;0,986852;0,995333;1,125437;1,269147;2,576795;;1,989439
2012-09-01;0,990048;5,373397;0,998896;-1,336776;-0,40486;0,986289;0,988778;-1,447585;0,992315;1,007759;-4,51734;1,034957;1,02721;2,465196;0,986761;0,983585;1,059134;0,998064;1,002591;;1,038837;0,123895;1,219703;0,913347;0,959197;-2,310997;-1,681191;1,005853;0,988974;2,880592;1,046629;0,988504;0,981951;-1,183707;1,009082;0,899476;1,037033;-0,179505;0,982641;0,926557;0,990302;;1,001332;;0,875593;0,920804;0,883049;0,926391;1,125462;0,973778;1,214489;1,743773;3,432905;0,961231;0,99256;-2,982986;-0,19256;;-0,3483;1,03306;0,993116;1,003416;1,004607;0,997816;;1,003768;;0,946919;5,997794;-40,291444;0,206197;10,737961;-0,766763;2,902618;0,879878;0,910356;0,998771;-1,29806;0,869062;3,947161;1,033639;1,031831;0,652479;-3,982554;11,931633;0,978064;1,015343;-0,957393;2,815247;-0,289475;1,804638;1,375752;0,994906;8,217804;0,958737;0,947091;1,009224;0,937009;1,007437;-6,048168;-14,863137;0,966765;1,068716;1,830224;1,003699;1,012037;13,502817;1,003275;2,509228;1,007615;1,038462;1,010459;1,033705;1,041142;-0,926885;1,00295;-6,115708;3,128907;1,145534;1,064057;1,085197;1,026103;0,990169;0,870355;1,027937;0,952657;-0,283631;-0,584333;1,017542;0,445434;7,429259;0,953099;1,136893;1,022006;2,098308;1,006149;1,021905;0,639491;-3,153355;0,966286;-0,912668;0,923132;0,895222;0,981443;1,031948;0,897791;0,987765;-8,354902;1,009977;0,99778;0,977418;0,941242;1,015325;1,010638;1,091213;;0,879008;1,036874;0,63399;0,996367;0,989127;1,051783;1,004733;0,905573;0,9909;1,483336;1,355842;1,0089;3,117318;18,756182;1,024033;0,920643;1,009553;0,988163;19,763293;14,494319;1,201744;1,040838;1,974318;2,508543;1,018477;1,007288;-1,856572;1,000673;-1,307824;1,022019;1,046404;0,999366;;0,960333;0,140211;;1,004921;5,245963;1,022921;-0,461859;0,961381;0,976352;0,979812;1,010883;1,089793;0,998803;0,994924;0,987275;0,987275;0,949428;0,951553;1,017244;-2,487818;-1,410899;;-1,667105
2012-10-01;1,001297;3,817368;1,020885;1,342188;-1,608392;1,027919;1,016444;1,390112;1,013284;1,017106;2,516691;1,022646;1,203051;-5,70506;0,966154;1,001247;1,052323;1,009314;0,999445;;0,971718;-3,362183;-3,60337;0,971395;0,971732;1,391847;0,278475;0,99604;1,013845;-1,383598;0,993375;1,028144;1,030394;-0,025051;1,011074;0,997029;1,002169;1,060209;1,021804;1,043697;0,965797;;0,992389;;0,969204;0,939617;1,022367;1,059074;0,998094;0,966687;1,084209;3,234481;2,084267;0,971342;1,008252;1,947815;0,086747;;0,674252;1,004636;1,037832;1,053419;1,005605;0,997973;;1,023024;;0,980554;0,646229;-43,617825;4,287949;4,208418;3,086027;1,049567;0,917643;1,04992;1,010569;-0,865806;0,074137;5,627585;0,989465;0,968507;-2,307485;4,283593;-5,133984;0,892536;1,009602;0,855061;-0,035504;0,990475;0,524567;-0,316844;0,983208;-2,499957;0,532012;0,936527;1,030772;1,092366;0,941656;0,739067;3,420513;1,025356;1,009246;-0,660594;1,002837;0,986162;8,875919;1,012028;-1,733402;0,965723;0,988561;0,996441;0,976567;1,02168;1,053844;1,003229;1,233852;8,172351;0,907036;1,033459;0,994616;0,951823;1,030386;2,25835;1,013928;1,019982;0,593614;-2,083722;0,982376;0,007102;1,072387;1,030517;1,069265;0,995102;-4,869963;0,992341;0,998406;-3,716021;2,631345;1,009784;-0,409004;1,053132;0,971136;0,965548;0,881531;1,016781;1,027281;3,504669;1,010444;0,997317;0,951258;0,918741;0,989163;0,973102;1,002864;;1,000953;0,903079;1,049668;0,994887;1,006529;0,979161;1,018263;1,155553;1,093785;0,748605;0,116576;1,003598;16,465592;10,970504;0,791058;1,036729;0,983708;1,038461;-30,968288;-19,772932;1,132549;0,968337;4,914042;2,338577;0,98933;0,865881;-2,556042;0,97482;-2,585563;0,766186;0,96663;0,979987;;0,996807;2,100539;;1,002284;-1,233182;0,975331;-6,016481;1,020162;1,200445;0,860576;0,992894;1,001;1,022699;0,998211;1,022528;1,022528;1,028306;1,025888;0,909347;0,130936;0,026083;;0,46377
