;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;0,968201;-0,217327;1,024084;-13,847736;20,786367;1,041818;1,032236;1,74872;1,002034;0,915117;-1,722024;0,995887;0,655602;6,249706;0,985491;1,060171;0,875648;0,995425;1,03249;;0,906491;1,685768;7,846847;0,885175;0,951949;16,848834;6,430183;0,989903;1,049342;10,42265;0,915472;0,652236;0,787804;2,828676;0,954055;1,068207;1,079006;7,464964;0,989471;1,063355;1,006467;;1,025189;;1,149279;1,140795;1,078583;0,991283;1,156581;1,167303;1,319138;-5,628265;12,238564;1,188801;1,158752;-1,307164;-3,023243;;10,170453;1,021283;1,06755;1,066886;1,141009;0,904856;;1,010361;;1,025417;0,876168;7,836385;-10,106137;9,043115;18,995986;3,469537;1,102455;1,423322;0,987641;-0,208614;10,638041;-6,955632;0,987652;1,087698;5,993646;0,458487;5,159646;0,94635;1,067853;7,084229;4,474482;2,594164;0,300221;4,332725;1,01663;8,226501;-0,155881;1,048043;0,997009;1,028703;0,975426;-1,357152;1,096385;0,978293;0,784713;-6,11264;1,049997;0,831782;2,926753;0,41771;3,682438;0,872858;1,061778;1,09103;1,072466;1,115885;4,401871;1,086124;12,113874;-0,143765;1,109596;1,011856;1,112553;1,14446;0,965874;1,453603;1,089673;0,870756;3,122944;1,847554;1,087277;4,029065;4,429212;1,01362;1,176948;1,059202;-0,498154;0,90929;1,038471;10,204122;-1,573231;0,920931;-5,273761;0,804213;0,704172;1,041559;0,832398;0,957455;0,547728;-25,964954;0,904453;1,021224;0,954673;0,881417;0,960588;1,016842;0,946621;;0,890191;0,987265;0,885883;1,035021;0,97082;0,888727;1,008835;0,563825;0,838241;1,099952;-13,190786;0,872752;2,54056;-12,017591;0,872185;0,967124;0,729713;0,921898;-33,429738;-7,760859;0,997553;0,996533;2,23033;9,172767;1,067935;1,029911;19,322386;1,110615;-4,616197;0,993443;0,813514;0,96101;;1,071442;4,250005;;1,020278;6,328665;0,91484;-8,565451;0,808438;0,811099;1,06132;1,03362;0,856669;1,268244;1,04155;1,350336;1,350336;1,734433;1,74415;0,929612;-3,250031;-9,969391;;-1,978432
2012-02-01;0,947665;-21,056675;0,900991;-6,309009;9,893626;0,960976;0,978447;-7,226756;0,967116;0,985277;1,876005;0,934439;0,596013;-3,455032;1,102371;1,009386;1,11613;0,965742;0,953143;;0,967299;2,941869;12,643701;1,105543;0,944931;0,982393;-9,978082;0,974373;0,99484;-0,982238;0,849649;0,590558;0,795699;-7,593998;0,955159;1,044744;1,104336;11,728668;1,015718;0,998299;1,255086;;1,039088;;1,009567;1,060551;1,281415;1,14062;1,14882;0,984974;1,152321;-0,47916;-3,355755;1,301839;1,053029;3,072346;-11,575797;;-11,478483;0,965531;1,017898;0,968368;1,000799;1,082712;;1,033592;;0,949777;-7,023262;2,243391;-12,379236;2,058878;12,658954;-1,933642;0,897125;1,55687;1,019485;-0,685094;9,977184;-4,366963;0,941949;1,042287;10,272798;7,942398;11,154767;0,988159;1,081281;7,676014;3,127331;-0,114573;-4,7303;4,775944;0,950846;4,164789;-2,527505;0,979294;1,031232;1,016449;1,075097;3,305598;13,520684;1,090437;0,922676;0,926092;1,062485;0,908539;5,567818;0,585646;3,850766;0,997534;1,069041;1,112639;1,012261;1,147463;2,680545;0,961545;6,959482;-2,268475;1,10606;0,971789;1,064575;1,106479;0,968605;-1,92886;0,964917;0,947309;0,973942;2,472016;1,079308;3,784637;1,671197;0,985929;0,993718;1,08932;0,043715;0,90537;0,984124;6,969469;-2,066576;0,912998;-4,815051;0,817362;0,74268;1,109878;0,961958;0,949247;0,738294;-14,177723;0,909208;1,012261;0,997253;0,98173;1,019553;1,000565;0,975976;;0,825416;1,030661;0,853704;1,037318;0,931225;0,963618;1,045413;0,566159;0,981143;1,00753;-9,168498;0,95346;16,420119;16,312781;0,647401;0,950823;0,788901;1,024425;-28,943782;10,467247;1,016244;1,13009;7,444065;6,772338;1,092464;1,062662;17,302302;1,132534;1,801141;1,245898;0,886241;1,076863;;1,169897;13,314858;;1,036868;6,086942;0,974613;-4,383321;0,891477;0,866104;1,011974;1,023992;0,899364;1,133479;0,974305;1,168933;1,168933;1,552877;1,555824;0,903345;-5,110758;-6,334036;;-1,703668
2012-03-01;1,027291;-8,099106;1,120361;8,434177;1,891989;1,10566;1,0378;1,718738;0,994996;1,053573;9,074639;1,073433;0,61142;6,049914;1,069142;1,073087;1,287187;1,032522;1,002035;;1,042688;12,139761;7,273103;0,990335;0,983625;9,927274;2,971706;1,05503;1,040042;3,336901;0,958659;0,698555;1,004344;2,214798;1,09902;1,095192;1,156385;19,170402;1,150142;0,993374;1,031522;;1,129363;;1,068404;0,951021;1,237822;1,146656;1,025815;0,768945;1,051415;16,957816;-0,952645;1,274152;1,08978;10,749304;-5,115351;;1,582366;1,038983;1,053091;1,00586;1,044846;1,075764;;1,105655;;0,982485;-1,172447;6,793742;-0,828956;3,940895;21,315995;6,664149;1,070091;1,618109;1,18734;3,981126;10,592185;2,619308;1,10515;1,131799;7,063308;15,060969;20,072676;1,072884;1,12895;15,721107;13,881882;7,096123;5,692435;13,767935;1,021352;10,380482;4,812454;1,026711;1,132177;1,094484;1,238745;19,777363;13,963611;1,062293;1,106551;14,699686;1,155107;1,103446;11,855164;0,885586;12,404796;1,181118;1,136569;1,217805;1,128453;1,140688;8,096561;1,08776;16,883391;11,342937;1,220746;1,107813;1,141097;1,051594;1,06495;5,551189;0,944498;1,097518;4,403527;14,493033;1,134751;11,318844;11,363614;1,023203;1,167277;1,075758;13,158045;0,972165;1,065246;9,581615;6,820612;1,087479;6,87021;1,214073;1,091641;1,130075;1,10817;0,935675;1,243298;3,724867;1,092191;1,158042;1,11374;1,296118;1,147715;1,065752;1,015132;;1,022046;1,118935;1,435822;1,107453;1,153714;1,104394;1,136789;1,320654;1,117775;1,095645;10,81123;1,123105;33,445681;18,567049;1,033836;1,110481;1,000626;1,041224;-25,261323;-2,574984;1,083728;1,140772;19,641174;9,483895;1,12883;1,138605;24,13486;1,207072;15,203072;1,271469;1,27028;1,058593;;1,057239;7,831682;;1,160046;11,884944;1,105156;4,912866;1,05419;1,122575;1,104601;1,06989;1,002806;1,10817;1,025317;1,138082;1,138082;1,377429;1,385;0,953474;3,860359;2,236987;;2,648225
2012-04-01;0,994665;-5,579163;1,111192;10,368072;-16,182395;0,968989;0,987157;-3,149198;0,951833;0,977536;11,521839;1,04799;0,541816;3,652018;1,007989;1,036021;1,489148;1,00844;0,946323;;1,047502;1,126804;10,04746;0,877136;0,977731;0,389501;-0,436964;0,982569;0,958727;-7,752405;0,956183;0,758446;1,159316;0,278231;1,072869;0,92171;1,049875;13,966031;1,056195;1,065616;0,95276;;1,038905;;0,941022;0,971829;0,819453;1,064925;0,821841;0,745101;0,954209;16,278267;-9,627526;0,964319;1,041414;7,03199;-6,649768;;-2,647364;1,013027;0,993699;1,018786;0,988549;1,037242;;0,98678;;0,981604;-0,776386;2,837935;5,818192;2,478524;-8,533452;1,500414;1,002824;1,174046;1,121231;2,146728;0,364931;-1,549437;1,108438;1,017522;1,352254;5,591232;14,211319;1,060055;1,042186;8,399142;10,900406;3,924803;1,837184;2,817479;1,001037;0,680941;2,926313;1,03615;1,056193;1,073188;1,163711;11,271016;1,842439;1,095288;1,108027;11,439189;1,038188;1,069519;2,108666;1,005823;4,257691;1,04914;1,029667;1,037015;1,045447;1,021868;3,854842;1,054916;2,222311;7,672302;1,047609;1,070517;1,051255;1,058903;0,985467;2,948878;0,872348;1,062609;-2,659941;-1,817963;1,064892;4,01026;1,025702;0,983106;0,943855;1,045417;3,616376;0,92873;1,057795;4,438046;-0,806807;1,080474;-3,610448;0,837043;0,825959;1,020532;0,921937;1,009738;0,643344;-1,588289;1,020657;0,950378;0,99515;0,910962;1,025366;1,005733;0,930145;;0,957311;0,958641;0,830944;1,03552;0,893148;0,94437;1,039699;1,417954;0,986175;0,908552;-0,791603;0,938938;15,412992;-12,240636;1,028179;1,148602;0,950773;1,04088;-0,038614;-24,819926;1,035175;1,069833;9,484209;2,02752;1,027388;1,125285;13,482861;0,944305;-0,895582;1,319111;1,07632;0,951831;;0,879896;-3,68112;;1,002122;15,333189;1,024657;-4,520231;0,96412;0,945005;1,096216;1,007554;0,940133;0,929877;1,00791;0,936914;0,936914;0,891721;0,896254;0,944466;3,694473;1,608967;;0,423565
2012-05-01;1,027636;4,759915;1,018791;-0,988335;-2,111181;1,014465;1,00889;0,020702;0,999293;0,946579;8,008706;1,064727;0,55664;-4,423139;0,952794;1,057139;1,344968;0,986419;1,02228;;1,034077;-8,327704;-0,817951;0,843895;1,021843;-13,656514;-0,799331;0,98057;0,975814;-9,676503;0,930639;0,779838;1,227701;2,385272;1,074717;0,946154;0,936084;5,732981;0,987337;1,087577;0,914312;;0,995077;;0,947367;1,066149;0,96567;0,864229;0,860828;0,714525;0,843834;8,761246;-1,070126;0,766248;0,999541;-5,382305;-8,373161;;4,790746;1,034908;0,961926;0,995981;0,995934;1,178967;;0,955034;;0,981571;0,192154;9,675271;8,027042;-1,151439;-14,081107;2,955273;1,052027;0,765587;1,047451;0,422868;-9,078842;-2,268104;1,08474;0,966625;1,167421;1,954751;-7,095792;0,944505;0,978085;-2,29067;2,895756;2,166321;-3,551383;1,317855;1,015282;-4,248895;7,121593;1,045488;1,092712;1,06331;1,14083;12,375295;-10,974465;1,05869;1,038724;2,360124;0,991733;0,98852;-4,442517;0,97686;8,61083;1,003157;1,03048;1,000206;0,957022;0,99533;5,968597;0,985156;1,46375;-3,577986;0,947784;0,964197;1,020536;0,970013;0,951935;-3,424995;0,863793;1,02532;-7,983711;-15,760202;1,020373;-2,567273;-3,867393;0,890012;1,022882;0,957369;-2,062217;0,917575;0,984031;-1,362092;-9,755449;0,932469;-6,176095;0,83591;0,821306;0,981124;0,891193;0,931984;0,748941;-17,673889;0,98667;0,910431;0,880404;1,076511;0,931569;0,944276;0,888623;;0,885103;0,915754;0,771292;0,973284;0,921111;0,895206;0,988663;1,194879;0,876074;1,053907;-9,830302;0,941551;1,365393;-2,419393;0,785645;1,042165;0,87312;0,911819;-22,99832;-20,117617;0,915682;0,991962;-0,170607;3,216999;1,042211;0,824077;0,709024;0,846639;-7,672391;1,106551;1,029581;0,849969;;0,833819;-9,048206;;0,977779;-8,642784;0,950884;-5,566941;0,910442;0,785281;0,899504;0,92344;0,900381;0,921454;0,998295;0,859961;0,859961;0,681818;0,673875;1,023188;3,84539;2,209504;;1,953305
2012-06-01;0,997948;0,04771;1,106846;16,568868;4,540554;1,010857;0,98104;-1,818275;0,98526;1,059189;9,164661;1,074716;1,006155;-13,950074;0,91518;0,96384;1,444556;1,025101;0,988045;;1,031017;8,796467;8,841386;0,893694;0,948161;-5,140599;-4,884365;1,08527;0,941969;0,912958;1,035827;0,812745;1,302378;-1,524516;1,241798;1,113077;1,114583;12,631492;1,129211;1,14487;0,99676;;1,076998;;1,069075;0,906948;1,11759;0,924827;1,134726;1,085134;1,214577;18,160065;17,733685;1,111305;1,048455;18,669528;13,54161;;-9,096252;0,987612;1,054515;1,004631;1,111583;1,164649;;0,995164;;1,015721;2,433358;5,705753;2,824379;-5,924554;-2,737557;-0,522072;0,884743;0,648029;1,220193;14,573817;9,922389;15,125687;1,270241;1,083913;0,512877;10,107855;6,779369;1,029699;1,069767;10,935594;11,113685;7,4529;16,262709;11,181951;0,954347;12,979473;1,385946;1,027529;0,968629;1,094085;1,243921;15,635548;10,818169;1,187507;1,160179;23,74005;1,09637;1,191762;10,693397;1,268558;5,519751;1,196031;1,160055;1,175861;1,119239;1,114328;9,268072;1,043172;10,593912;9,387598;1,152571;1,166107;1,098111;1,10323;1,127702;19,906898;1,045388;1,190875;-0,613819;10,736758;1,130274;14,160504;7,444862;1,035222;1,089361;1,072211;12,164127;1,142263;1,124892;7,332553;8,574746;1,130056;8,281825;1,149916;1,275253;1,027943;1,226086;1,075606;1,326286;27,015;1,142652;1,107032;1,057844;1,194589;1,171432;1,075687;1,051233;;1,101027;1,149408;1,310999;1,117643;1,15193;1,15023;1,098658;0,68389;1,253832;1,086079;19,960549;1,135885;14,275356;5,255305;1,297589;1,207805;1,221531;1,226516;16,790302;-6,179805;1,099234;1,181691;14,486696;11,458125;1,127018;1,098412;15,053957;1,078173;13,984643;1,497365;1,160394;1,062314;;1,061049;6,26487;;1,099692;5,736793;1,076293;6,649908;1,163224;1,088176;1,047045;1,051084;1,115112;0,860167;0,981239;0,803709;0,803709;0,496846;0,499027;1,0906;5,675456;11,886484;;8,166184
2012-07-01;1,027446;3,327645;1,152206;22,553842;7,273274;1,068935;0,99435;-0,214413;1,015765;1,044549;-18,890241;1,084113;1,489777;-14,187952;0,881024;0,921905;1,324564;0,979026;1,023382;;0,957565;-0,899845;-16,641511;0,865835;0,954354;-22,915351;3,414495;1,054612;0,959283;-11,266653;1,108366;0,909345;1,276912;1,970108;1,148783;0,830747;1,033396;9,669398;1,079859;1,044944;1,042056;;0,977888;;1,362168;1,129478;1,211023;1,019644;1,401909;1,332477;1,222716;11,754493;13,059307;1,158219;1,04659;27,904231;19,187738;;7,031249;1,024146;1,05242;1,039636;1,001622;1,10294;;0,90078;;1,088436;7,429971;11,934105;5,886487;9,007042;-8,404299;7,320379;1,002725;0,881455;1,181219;1,509183;5,393614;1,381502;1,198367;1,074237;5,558139;-9,148323;-5,754488;0,999658;0,935466;6,085034;11,444974;11,007527;23,059197;6,17646;0,991306;13,497475;-2,243964;0,917034;0,953965;1,120619;1,169664;-3,785258;1,927578;1,164719;1,197118;21,765139;1,06149;1,222251;7,982199;1,512921;0,559296;1,070715;1,244604;1,080674;1,167059;1,153307;8,440792;1,118084;8,178562;6,86047;0,989628;1,052754;1,059548;1,162399;1,15135;29,623486;1,042815;1,254214;2,651733;4,98457;1,081296;13,114632;8,364924;1,095438;1,175556;1,02618;20,102041;1,131425;1,175624;3,841595;8,905642;1,069261;1,732036;0,904015;0,929902;1,03896;0,903956;1,032396;0,796459;-13,78674;1,095234;1,032041;0,976862;0,916127;1,028891;1,051592;1,01243;;1,061046;0,939014;0,873022;0,954129;0,956708;0,983147;1,090171;0,709311;1,176164;0,901053;14,10635;1,059513;0,544884;3,250734;1,358898;1,224034;1,232827;1,169242;-13,77231;6,187053;1,018038;0,966986;-1,779649;-3,329787;0,995114;1,004399;0,216059;0,991388;-11,91461;1,419325;1,002641;1,062493;;1,15159;6,50313;;0,993513;12,958601;0,967063;3,317659;0,902666;0,996641;1,09643;1,01947;1,037992;0,897804;1,021213;0,833672;0,833672;0,459987;0,460044;1,199023;9,579989;6,48929;;8,653367
2012-08-01;1,022061;4,526026;0,725369;-23,225436;-45,645693;0,774262;1,013649;-0,26857;1,037331;0,830658;1,443981;0,972771;1,668596;-4,401094;0,94322;0,939413;0,784168;0,979383;0,99341;;1,007359;-13,515246;-57,419379;0,899572;0,953826;-6,210532;-0,019198;0,830618;1,007957;1,516157;1,031584;0,870586;1,13879;1,609228;1,027712;0,708128;0,513979;-48,963499;0,230724;0,651914;0,769775;;0,86091;;0,339374;0,408806;0,492561;0,610585;0,676056;0,882302;0,636889;-75,957433;-37,648368;0,767278;0,62553;-69,574779;-19,176168;;3,159114;0,873664;0,869992;1,000339;0,765527;0,31186;;0,909366;;1,098184;-5,547817;-19,352864;4,248846;5,401868;-3,618674;-0,224083;1,044518;0,649201;0,77191;-12,678971;-15,344749;-40,777456;0,729955;0,887896;-3,547419;-27,23092;-17,493956;0,951488;0,745665;-44,072432;-30,632863;-12,36155;-58,651245;-32,298989;1,02137;-55,43544;-5,945828;0,844821;0,821242;0,551129;0,258278;-66,287121;-54,27646;0,609988;0,745088;-51,765781;0,598357;0,684597;-37,406442;0,762036;-38,309755;0,687034;0,433347;0,459801;0,582122;0,425256;-27,579889;0,697471;-34,288912;-45,978311;0,399071;0,505583;0,542485;0,482623;0,654995;-67,970765;0,663952;0,632515;-1,776645;-39,389414;0,527943;-39,927156;-37,4189;0,621613;0,587211;0,619868;-18,347663;1,132058;0,586702;-28,367224;-37,3658;0,874289;-23,897267;0,692585;0,911475;0,823059;0,735389;0,726458;0,719553;-30,642178;0,763335;0,839802;0,671831;0,7299;0,660924;0,826943;0,718068;;0,849246;0,637822;0,4879;0,94756;0,750951;0,817019;0,753309;0,818716;0,531392;0,889723;-24,069452;0,814027;-75,31994;-24,380802;0,748085;0,569991;0,866911;0,518198;-6,382973;-8,756737;0,685004;0,394568;-56,107213;-28,967451;0,636925;0,528045;-85,369064;0,556496;-25,577733;0,305166;0,689657;0,76235;;0,956001;-21,247628;;0,696762;-37,195146;0,95579;-9,142338;0,956678;0,825163;0,649968;0,850769;0,835377;0,842603;0,897688;0,778936;0,778936;0,416608;0,410179;1,119034;-30,442223;-15,266859;;-33,40103
2012-09-01;1,005937;5,4416;1,028081;2,973209;9,260979;0,9969;0,945296;-5,485162;0,959432;1,009802;-6,479653;0,884013;1,846582;-0,365003;0,948548;0,926152;0,718813;0,976523;1,020167;;1,002986;3,993886;0,750261;1,165688;0,990375;-0,143493;-4,591513;1,043208;0,95943;0,615266;1,113367;1,002238;0,851468;-4,38485;0,887345;1,204778;1,02604;-3,180757;1,050631;1,14748;0,910884;;1,04714;;1,005288;1,017636;0,997536;1,31725;1,190147;1,04705;0,812359;1,150679;5,360836;0,98326;1,033812;3,492146;16,475585;;0,069971;1,018277;0,984627;0,945252;0,95203;0,973531;;1,029238;;0,970161;0,262889;3,202133;6,279769;-9,887884;-4,863729;-0,645029;0,950603;0,634814;0,95793;-5,206887;-7,736974;0,109614;1,010124;0,949755;-6,331819;8,101278;-6,56694;0,987388;1,099228;4,759117;0,774232;-4,951712;4,950065;0,22949;1,002393;7,10896;-0,206475;1,007151;1,006356;1,010569;1,168267;5,082395;12,947322;0,940223;1,021955;4,917416;1,03979;1,009123;3,548632;1,259198;6,899828;0,786242;0,943709;1,057645;0,997035;1,022382;1,698683;1,099176;8,906378;7,289487;1,033219;1,1058;1,050745;1,03008;1,058569;5,045771;1,158028;0,975498;-1,074567;5,023439;1,032893;1,649922;-1,186492;1,005158;1,005706;1,008206;-2,669457;1,175418;1,058941;1,938153;4,992538;0,998933;6,467806;1,074656;1,053387;0,932536;1,034858;0,965351;1,318253;7,07139;0,980316;1,02108;1,074737;0,961186;1,028432;0,98362;1,014975;;1,26953;1,092299;1,459742;0,965852;1,124847;1,040778;1,012204;1,031387;1,034937;0,853194;6,976928;0,954478;-9,773093;-5,161573;1,177809;0,980057;1,136133;1,067244;14,074869;-2,901245;0,946226;1,125427;-1,759156;2,955424;1,042985;1,027774;-2,043509;1,038492;2,932018;0,605615;1,129067;1,122034;;0,996398;0,114575;;1,011849;-4,118168;1,011088;2,197945;1,042018;1,204233;0,956969;0,978158;1,018133;0,851188;0,98831;0,810849;0,810849;0,545313;0,540497;1,068886;1,665258;4,440413;;2,199722
2012-10-01;1,016493;6,249815;1,092302;19,874428;12,674767;1,160252;1,077974;8,5039;1,099151;1,115039;7,420117;1,007823;1,4434;9,060246;1,121376;1,027732;0,6645;1,072886;1,074229;;1,039422;13,003529;20,285062;1,409607;1,148753;14,582657;3,475228;1,067999;1,064386;10,641902;1,26552;1,442855;0,928043;1,404796;0,905315;1,18434;1,218329;7,003614;1,254544;1,082348;1,092487;;1,081979;;1,124158;1,2264;0,908401;1,136505;0,941889;1,262831;0,979651;18,147982;12,523618;0,837699;1,128945;21,274575;15,117196;;-4,705412;1,039453;1,081433;1,055084;1,059131;1,11421;;1,116155;;1,01065;5,685516;-8,558304;9,982232;-8,522542;-4,516097;0,997622;0,942181;0,670768;1,033482;8,45035;6,594985;4,418735;1,004254;1,077743;1,689815;9,266956;1,614301;1,117642;1,120865;9,329569;7,100346;4,111388;20,411164;5,995754;1,015566;20,334477;2,426137;1,03232;1,054529;1,042629;1,354219;22,93906;26,930163;1,18217;1,143975;20,35806;1,069607;1,203904;18,251661;1,484364;12,064769;1,016228;1,142189;1,122565;1,170493;1,13483;4,832729;1,181636;11,604498;11,7551;1,222563;1,234195;1,156739;1,161397;1,169079;20,735441;1,327287;1,080178;8,637083;22,088533;1,131229;12,977581;10,950633;1,212984;1,151523;1,108648;2,907936;1,137159;1,184627;11,988841;18,450271;1,035986;9,26274;1,122148;1,012076;1,072464;1,049456;1,333944;0,945891;6,990001;1,105643;1,039232;1,084064;0,973475;1,153599;1,073174;1,266546;;1,411987;1,091299;0,876916;1,084713;1,091272;1,043906;1,067271;1,098492;1,130541;1,145747;7,574777;1,027354;13,533926;2,330119;0,722451;0,994166;1,046054;1,067463;6,370425;14,659673;1,126269;1,151472;17,010784;12,126812;1,09319;1,266048;12,175565;1,175313;13,749773;0,884313;1,072744;1,113776;;1,072494;11,966124;;1,027129;8,067712;1,097916;7,705286;1,070829;0,999224;1,185991;1,072989;1,060205;0,923993;1,036299;0,924645;0,924645;0,862429;0,859914;0,981624;13,863062;11,487531;;14,080561
