;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;97,927154;664,398154;160,770582;101,892335;108,262027;102,85431;99,828075;98,78738;107,625788;118,434891;97,503319;89,147087;99,420809;93,196768;142,757938;96,532554;100,513796;100,371957;101,029321;;97,376384;97,944432;95,610888;93,551827;106,691506;108,969282;96,770896;101,73222;100,595558;105,041389;97,932279;90,578281;78,440784;100,158488;85,198373;319,222054;126,897731;91,00731;106,672744;124,034235;86,016322;;112,029407;;99,518144;134,669382;115,307345;148,660933;86,544274;109,461326;83,026921;119,299474;110,997397;127,572086;102,823576;134,468652;103,353085;;95,964562;117,684423;109,090296;98,648794;120,508329;101,249525;;106,044718;;99,126412;92,267386;141,3021;95,652066;107,954643;99,827964;96,896256;104,201783;82,684376;102,62504;122,09032;86,464;145,785765;88,658851;78,559622;59,541352;112,602697;79,323435;83,201303;144,618624;95,600639;96,941525;90,662686;105,143071;96,139768;116,283414;105,528695;107,006521;97,902607;95,526205;127,159531;139,915087;128,840623;122,461956;241,665141;128,286223;104,885809;129,56895;128,494994;112,185428;103,012952;93,627617;183,721306;178,522287;198,197855;125,108949;90,642177;97,725392;116,225469;131,145394;92,823352;102,777761;177,854767;112,288547;95,00518;122,992421;120,456674;88,245961;100,497065;90,934258;94,930585;105,837436;87,658189;103,984341;80,794138;209,76664;112,297303;103,402697;96,603023;141,621684;91,21175;110,333345;110,770054;88,663647;194,250833;147,995641;72,093215;99,631097;157,103528;101,037714;78,132013;108,356336;110,768262;93,941941;100,5685;126,056702;92,86248;167,417644;;164,49931;131,481131;86,978823;126,649382;94,638701;114,881511;85,71188;56,964832;92,076806;80,275437;94,475679;100,051956;134,570321;65,24967;280,615303;188,944505;118,844549;70,48556;119,97227;66,078671;102,361446;114,762069;113,897804;108,926686;94,139029;110,905909;95,797077;100,880651;91,011025;54,754905;134,80636;103,612389;;95,687595;121,562726;;89,20113;87,371515;95,175005;102,889791;76,178068;137,601282;109,483971;105,225791;106,210413;99,819954;106,573806;96,930185;96,930187;104,026868;103,447312;101,87764;111,414417;111,836995;;109,495256
2012-02-01;96,820901;622,783807;119,108312;73,665761;104,671168;98,054946;101,089063;101,192165;108,451351;114,783671;96,22999;92,977226;93,688317;87,597064;149,913011;98,057364;92,70039;104,40075;98,760939;;100,335795;98,946268;113,881961;88,7373;106,839454;104,070579;95,214983;104,989881;101,964894;108,783981;95,487096;100,113892;78,419584;100,149424;90,417297;293,220163;123,451249;89,685806;106,202943;126,394765;83,351913;;108,860547;;95,568036;135,861251;140,077567;128,340688;106,65803;109,160149;103,733451;120,759536;112,027202;107,444082;100,341841;126,210915;100,62789;;89,71565;116,239694;108,566066;100,594082;112,484074;85,499451;;104,859172;;93,689759;94,022466;134,282016;81,914083;93,837618;97,804769;96,898408;100,679701;91,720472;94,078246;119,501468;90,598997;128,68821;86,275903;78,783442;52,053699;104,800097;84,830742;88,371062;143,249861;96,94891;95,636811;91,064174;103,383437;94,789221;119,902455;100,277639;104,073925;99,350834;92,472444;138,424433;129,992521;119,793275;126,75349;244,234954;81,961482;82,217138;112,442911;90,570961;106,761677;95,187498;92,921155;190,513067;150,420533;201,350873;119,827764;98,135115;96,963459;104,993086;132,082511;92,954148;94,750482;164,190473;116,612732;90,49087;125,488554;125,050875;92,305997;102,250382;90,463615;104,287071;101,605117;87,863906;101,285603;69,765415;218,689041;107,709891;104,598579;99,580286;123,496277;88,257647;100,063177;94,421067;85,984959;197,333593;129,298712;72,018478;98,742543;182,002959;100,48804;84,813116;110,470211;106,706735;101,221955;126,676693;121,430708;89,751902;149,325537;;102,4692;129,243214;86,822924;119,537039;97,450411;114,620934;83,629238;90,535032;86,714307;109,543184;94,767306;96,809645;134,362082;75,791441;206,695401;163,365449;102,147144;78,684628;112,267138;76,677073;96,258491;106,201074;110,187095;102,50088;90,744665;116,617916;97,023784;100,725493;84,049882;55,21991;142,261811;104,853156;;105,854751;116,413348;;91,39274;89,526041;95,97597;104,951434;71,796892;142,452525;115,984041;103,867787;110,023865;106,357965;111,471858;120,686115;120,686109;138,509595;138,247225;101,446769;91,980737;92,720846;;94,329977
2012-03-01;99,501915;623,949372;122,640202;104,389813;106,728919;86,812123;102,52962;99,680912;109,019513;114,568582;102,970797;99,02955;102,721613;91,600903;121,524637;97,658191;96,384559;103,052783;103,408972;;96,202855;94,929734;111,906858;97,201651;106,70334;114,593898;97,601254;100,540093;101,035881;112,155063;93,083985;101,957461;78,850336;100,49232;96,536635;316,499167;130,946002;91,372674;106,711248;132,003687;92,57884;;113,476345;;91,144254;127,106003;128,358427;173,508807;126,526852;121,08259;93,09572;116,662551;114,17403;97,074909;103,962116;125,591918;104,337334;;95,684822;119,197631;107,89093;100,508391;111,059467;97,563594;;107,134781;;91,269028;96,348037;144,895047;93,968653;96,751072;99,442745;100,76352;101,4579;104,838007;101,522708;117,130013;88,666536;134,68615;70,539102;76,543106;62,946094;98,130583;96,461634;84,729647;147,212411;94,669791;97,508493;90,466693;104,491719;95,575815;114,099567;96,469494;102,320945;99,262625;109,590726;136,337946;133,598714;124,929269;124,638944;247,492283;126,314512;120,123064;118,894024;129,748284;111,315835;120,018744;95,442904;181,658737;161,504327;188,998112;126,822962;82,858045;96,032559;111,483948;123,117096;85,541793;95,243081;166,477723;114,086305;94,79063;123,372015;119,978971;94,125921;102,007603;91,167252;99,054938;102,391093;98,674657;100,63908;84,281097;194,396102;108,334374;105,289111;99,20614;136,357225;90,202094;103,595615;92,79757;83,736365;166,469837;122,556597;81,565371;97,856432;159,639158;96,089568;61,940686;112,167411;95,012952;101,16575;76,47419;121,15945;90,09409;147,851614;;91,02102;125,498288;52,914535;124,920047;99,947406;113,134626;77,069949;95,567686;92,817119;109,472659;90,792308;102,373875;137,724804;72,749952;258,308885;173,384036;116,739121;76,855469;105,766909;89,072289;89,974234;106,438392;109,328778;102,155566;92,147395;116,861942;94,261065;94,56359;91,038598;47,611722;148,248441;104,106027;;105,913246;121,02523;;93,621581;87,613988;91,912043;105,287028;75,421332;153,840881;116,950931;108,492324;112,509755;97,166471;107,044017;94,721849;94,721852;95,485465;94,963471;102,517966;108,351693;110,106104;;106,966641
2012-04-01;100,780214;619,170311;118,876995;93,16372;107,237567;110,57331;102,331487;99,468231;106,141051;110,872744;95,566701;92,180314;98,756143;92,869442;111,92711;97,264657;101,820836;102,54464;96,395696;;95,322441;90,827497;112,041618;94,724386;101,759877;119,371331;93,802172;100,924055;102,560733;109,430668;96,291489;95,803918;81,351352;99,908467;89,754981;341,87704;129,735426;90,623425;104,000232;154,005272;87,056919;;109,752726;;89,374388;103,094639;117,005461;151,075733;100,997023;101,448815;84,957102;112,97469;110,665022;91,542686;104,880435;122,954972;99,728852;;73,750426;118,652883;104,120516;102,425206;96,88279;94,12983;;105,280942;;88,47045;98,346328;132,930249;96,104264;105,871853;107,129169;101,62351;95,569632;96,392214;99,434023;119,122211;89,254263;137,636181;90,132639;80,669263;58,1513;88,971667;102,654798;90,263148;142,691047;87,044016;94,867183;88,267391;101,080435;92,986584;116,969696;96,309648;102,805356;68,146401;134,284255;121,114037;130,025715;116,670058;123,526742;235,350741;118,022904;119,181058;116,10959;111,794225;112,692224;115,092952;93,939354;170,827322;166,397757;185,321353;131,148203;93,172315;95,240079;109,584092;124,019137;91,36408;97,610626;149,091111;109,405378;84,470517;122,444508;113,393532;91,536813;95,218678;89,765615;94,30972;99,239538;83,297226;96,97792;98,612807;214,712594;99,781668;102,046699;98,877928;129,381982;89,88975;101,476049;92,042112;81,550465;176,068851;110,572508;80,679354;101,260844;159,375676;96,792805;86,51018;115,386556;109,381652;93,658929;78,322775;110,079835;89,544445;150,588515;;90,184003;120,707797;88,749292;134,161829;115,909953;117,524185;84,050801;73,479324;82,881154;101,298993;93,462518;103,001208;133,470963;67,993574;268,672142;178,949527;100,535065;76,374573;68,276082;76,413925;88,303179;100,403604;104,243067;99,372866;90,47276;87,217214;88,353315;103,728956;86,543154;48,504501;135,876861;103,616595;;102,849745;113,945966;;91,57543;68,630336;89,741175;103,924719;70,121669;142,027442;86,327435;102,884824;114,808163;104,590787;107,691441;106,510276;106,510276;122,453509;121,834086;99,402029;105,947275;100,854644;;103,891058
2012-05-01;98,43285;633,26615;118,220567;101,1895;110,550995;109,023605;103,737246;100,171563;107,765643;108,970964;102,302764;92,584248;102,308689;89,169486;118,411035;97,983879;90,949873;99,888729;96,175155;;96,0287;92,759065;107,726202;95,206998;102,494614;121,671397;98,596958;99,352417;103,136093;109,799175;98,727287;110,96315;79,343735;99,061636;86,340136;302,988206;143,861274;96,975897;108,70981;158,812923;87,685872;;107,668225;;91,366275;139,631947;123,718062;147,79965;87,449197;97,640575;92,44038;115,210905;104,690134;128,857992;100,972009;128,743699;100,547212;;95,223477;115,048008;106,991195;101,485413;105,602129;92,317327;;101,943474;;91,09987;95,52991;135,244056;99,341388;97,632015;103,195931;103,208164;108,645629;102,468225;98,282956;121,123083;88,692904;132,256247;95,274436;82,526362;67,652454;77,963064;107,810616;92,958376;139,866848;92,880968;96,442905;90,973624;103,197765;93,450105;111,963171;95,523069;100,599906;72,781581;124,91882;108,822686;132,772312;115,836306;120,32428;222,055593;113,531889;116,559319;104,334221;118,807893;110,972325;121,670163;91,188152;217,556633;158,170091;189,040172;117,500823;84,41329;96,040074;104,524915;127,847985;101,730571;104,5873;153,410854;104,994835;96,951838;123,733557;116,92978;95,011353;102,445194;89,151404;90,80292;99,565252;87,840736;97,007111;77,237199;202,650744;106,591293;100,835014;98,088839;128,562298;88,069322;102,320914;99,571781;82,350642;214,567227;105,514481;84,982684;100,974389;132,199755;102,912881;68,301862;112,424996;106,819375;93,899809;73,599937;127,377679;93,130638;152,933431;;84,587757;131,785111;89,847094;124,130427;97,237778;120,90298;84,91;77,427968;84,604404;92,052979;98,240505;104,831976;125,317955;66,329766;254,858179;190,996379;125,043799;80,400228;154,728243;54,800423;87,205466;100,580848;100,793791;91,288776;91,695613;109,518315;91,060845;101,361429;88,754636;48,579144;134,929857;104,500496;;109,285713;114,922282;;92,319863;81,583306;92,388435;103,467984;68,283492;138,825083;109,071031;100,784341;111,234858;96,236912;107,239204;99,187868;99,187867;97,073945;98,218215;103,775854;106,948604;104,917757;;105,250651
2012-06-01;96,191209;655,082067;127,146262;101,167271;111,250525;109,944929;101,359709;99,496845;106,40319;111,859108;98,250358;92,761456;96,832493;102,165925;116,395665;98,188669;92,209151;100,395931;102,292871;;101,858155;95,085219;133,698136;96,003438;101,452602;124,681765;102,503097;97,167725;102,580169;114,76746;97,445989;99,319891;79,063243;96,460339;88,150121;303,947868;143,52574;90,427104;107,22067;140,573003;92,877895;;111,227351;;84,980722;117,894216;102,57247;109,682134;107,571324;102,981152;84,844984;108,644022;116,20933;105,317441;104,744831;128,459945;100,290676;;107,093542;122,196598;106,764185;99,605921;103,829473;94,293778;;100,267108;;102,733695;96,214204;130,853946;98,519973;101,104255;105,553955;99,925831;99,201138;105,054492;96,246561;120,895393;83,160844;125,664241;84,174754;79,881537;68,691973;65,551148;106,86056;92,467685;134,712888;92,11226;95,087777;90,685075;101,119388;90,03901;112,245647;96,122635;92,131009;85,48039;119,895358;129,256406;129,077304;114,963496;119,56575;225,809648;121,7299;118,041148;113,067866;119,513788;142,008475;118,255751;91,525474;165,623673;136,066607;183,101608;117,196316;81,172032;98,419903;102,040509;125,062382;93,509625;96,399426;160,108534;100,31231;92,72937;119,496574;118,845036;91,633678;102,746905;94,166547;96,985318;99,670856;88,466914;97,820408;77,563357;210,592105;106,033852;100,292009;94,159347;138,549897;89,466595;105,353584;94,434164;86,140993;173,158863;105,168992;89,623327;92,924207;130,552822;95,882447;61,394753;116,337462;105,853934;104,683918;79,834466;123,145459;94,022626;151,753304;;92,231567;132,790372;53,524915;111,972803;102,141048;112,56607;83,90957;59,873084;82,459697;114,086652;86,078773;103,711134;125,080351;51,856975;260,676015;173,724519;106,572307;82,455716;104,10454;29,237224;92,761538;99,138382;98,140988;97,672297;90,778573;94,187421;93,85475;103,085634;82,743352;51,721877;138,099786;105,705221;;105,823181;117,701306;;90,739643;80,589265;89,869205;108,831577;66,745058;135,012902;100,523219;105,576072;119,316928;95,462993;102,747693;100,218119;100,218117;107,047284;106,579479;101,281397;105,164807;105,375153;;103,570598
2012-07-01;94,290734;631,163992;110,357981;99,358026;90,310499;112,799641;97,396036;98,826235;106,462929;110,024757;101,148204;94,228844;87,338712;66,635035;114,652863;97,872951;76,522821;98,841131;99,43562;;96,742299;95,992055;138,968804;111,564449;102,870661;123,979712;99,927283;101,499284;104,238834;111,489561;105,213052;98,236684;76,443138;95,976216;88,486753;343,578769;136,224675;85,987024;111,027942;182,966044;85,65007;;111,226885;;103,925027;110,792011;106,422949;189,76416;100,727411;84,770057;67,455973;114,477456;109,985967;113,514879;107,417322;131,125999;98,591296;;94,259036;113,549216;106,026964;101,446734;102,173055;78,962093;;102,391132;;110,387491;100,985468;122,37019;93,942793;89,95135;111,747894;98,879461;103,297217;87,608767;97,579054;117,052633;88,697192;144,585891;90,008725;82,518398;66,526315;52,344797;97,36088;93,465663;132,334203;90,928145;94,194518;89,214915;105,012141;90,886826;124,645489;98,05643;97,223531;88,583479;116,962282;122,077432;126,616888;110,181345;112,715537;217,942928;118,270514;113,768433;121,43889;119,947691;125,958055;116,320929;98,840053;173,961101;139,093316;204,703185;115,379873;85,98167;98,260228;110,196693;119,789357;98,107341;105,547407;153,529559;97,087121;92,645767;118,417691;120,080126;95,646291;96,187902;86,956612;96,877055;101,066182;85,302375;97,595026;85,741541;198,431045;102,58742;102,197355;88,460925;128,556709;90,931744;105,450542;93,7778;84,48735;193,019635;108,172463;89,731485;95,903189;142,862914;93,158241;69,351372;98,217404;110,17062;93,698138;77,95067;118,388564;93,896337;151,259172;;110,601922;131,220922;81,600691;118,563037;122,05367;111,050948;83,014804;131,34529;85,8113;89,04688;97,910988;100,90615;118,173219;109,911038;196,467563;187,318371;116,015014;73,216717;96,702933;24,425072;129,167859;109,529005;101,412768;101,669093;95,091981;97,540366;101,579587;107,356887;88,384366;48,527069;133,013772;109,564952;;113,175542;116,914328;;89,043069;74,071061;93,203315;105,695174;84,664658;132,34419;113,638951;103,375299;118,356999;92,670238;102,29205;99,060376;99,06038;106,192156;106,179025;101,931112;106,591252;103,917156;;104,526292
2012-08-01;96,582078;639,657958;112,735116;98,196832;93,818407;104,475379;102,093466;97,532926;107,359697;110,011632;99,099288;94,065088;115,445028;89,574714;123,103501;98,298804;88,474747;104,143936;99,263806;;94,978905;97,331081;84,178926;98,106787;97,037766;93,28953;95,082929;103,998241;103,90395;111,931077;102,207105;100,048673;86,727521;101,377937;91,152019;347,223006;185,155009;101,754711;134,510027;141,484884;93,298034;;110,238717;;111,591224;92,64108;122,607536;162,733942;106,276388;110,479879;48,964769;115,57767;108,825617;118,643792;106,593883;111,441367;98,110973;;95,421826;107,402329;106,270294;103,898535;105,596692;168,999496;;101,341653;;107,911978;93,797629;135,413686;97,846977;91,640247;115,580545;101,101851;101,713391;95,715083;104,599851;126,76535;88,45209;147,355057;87,814627;80,870616;65,748336;127,457744;93,780725;93,196765;145,536522;102,289555;94,366751;89,961749;101,664372;92,118241;111,694188;98,070916;96,705046;81,397761;75,025439;117,641804;137,671542;109,042033;115,428712;291,739386;115,068419;110,48415;114,091601;122,677766;121,460547;132,422106;88,07027;207,260299;112,735924;160,031947;113,521086;80,866699;97,608834;105,336564;116,440149;101,147928;146,179787;143,190715;77,615674;95,176602;129,487569;118,020243;97,680518;86,650372;88,04003;93,503284;98,889052;93,601105;98,533086;78,659003;252,580449;104,858768;104,931842;87,649995;124,275203;89,20042;102,942719;95,72388;84,014026;183,882637;116,215778;83,322427;102,834491;152,598448;100,846994;65,615267;105,494195;108,258944;96,072509;84,622768;120,493824;91,833347;152,987591;;121,926196;144,090358;127,668773;115,645416;96,50975;120,130644;87,408083;81,389491;103,044967;98,102169;100,659092;97,957237;111,781425;83,722456;189,70496;220,785338;119,375429;92,812116;119,561008;71,161205;113,09532;90,52358;99,628184;97,270163;89,145422;69,546642;103,849846;105,378279;99,025632;146,762382;136,185328;113,685021;;105,612729;105,483361;;96,729061;84,332897;95,400991;106,495866;72,928289;143,675753;109,003051;114,104536;113,535954;94,519248;101,951415;101,885452;101,885452;102,572458;104,180092;115,031277;107,40196;107,095952;;106,177257
2012-09-01;93,701058;642,757785;122,934065;97,592618;99,577214;113,819484;99,669792;97,328672;105,529937;110,532861;96,500771;99,84592;109,218602;91,222083;109,006317;96,584923;100,657359;99,85245;99,639706;;101,86787;95,503501;112,914649;87,727214;91,290778;102,206252;99,875244;102,812477;102,015729;114,34368;107,337411;97,864562;82,421018;95,820089;91,718451;284,121357;137,406839;90,680721;105,979296;128,859559;85,521166;;109,414931;;88,923649;100,235169;105,943743;141,073063;119,614984;101,635626;100,615276;117,137541;111,806084;109,447142;102,355352;123,599342;96,777249;;96,865549;116,976919;105,212246;102,651823;102,302307;89,080007;;101,993256;;97,421683;102,244963;88,096617;96,358214;106,118947;115,79638;102,665511;85,86104;86,991954;97,486015;120,828597;90,144769;137,631898;91,147254;85,6598;67,003784;112,825659;105,680536;88,139235;136,652952;92,779979;97,445005;89,564305;105,512661;92,654217;110,582232;106,35097;99,617898;94,559756;117,699601;106,314454;136,897773;102,473404;100,163516;193,651536;121,923437;112,807834;113,228993;118,589016;114,924953;110,838438;92,735976;196,38359;125,01047;163,085759;115,359958;87,730879;96,255727;105,618033;109,645989;99,73382;113,66941;153,945106;103,001987;95,330326;117,814939;118,82783;99,438033;90,568637;89,475637;93,28041;98,661552;87,321394;105,310119;80,526716;218,48594;107,658657;99,364242;88,431688;127,068291;89,663828;100,287539;87,649753;79,751641;163,670656;103,64569;89,058185;100,47185;118,666926;96,212131;55,03423;112,421823;108,658169;93,780927;67,884991;118,228924;91,751255;166,73361;;92,904615;136,523399;51,585307;115,662435;99,348927;120,408283;85,144376;66,151509;86,656805;146,534035;99,054441;103,497651;121,595719;74,706723;189,151718;142,363754;113,844704;85,696585;129,055951;71,343443;104,741301;95,504999;100,37232;102,176946;91,529705;94,469092;87,140722;103,256646;88,076037;138,604435;140,486458;102,256913;;101,59851;112,729521;;94,13747;86,516979;97,299783;105,909537;70,955018;134,761674;104,00265;104,696875;123,693956;97,652508;100,621797;99,673846;99,673853;98,957767;99,839526;103,23029;103,68191;102,577886;;102,423246
2012-10-01;94,57899;636,447523;124,597776;99,972007;98,067774;119,698647;102,038561;100,682875;107,602916;111,233968;103,769822;98,722604;129,030406;82,896383;105,822109;98,477112;100,549985;100,658565;99,148232;;95,305827;92,379353;107,687218;93,284707;91,945982;106,040488;102,896928;101,808477;104,125946;109,470675;102,1611;101,415792;87,688794;96,961598;92,326504;313,451959;127,443808;91,817326;109,915523;142,693371;82,605579;;107,531107;;98,717761;102,917707;127,416309;161,668798;105,544689;104,794072;89,899347;118,450602;108,796898;111,873174;103,514612;127,313866;96,759965;;98,866976;113,277884;110,004475;107,649633;102,73725;89,994804;;103,791433;;99,854785;96,575907;83,395836;98,432667;99,455455;120,234757;99,626509;90,24076;100,076458;98,156066;121,544164;89,789907;137,950878;86,755853;81,089806;64,607799;120,9888;87,151177;80,019416;134,982418;95,367885;94,833359;90,792829;103,950684;90,726854;109,301113;95,369879;99,951987;92,628542;118,143783;120,172618;131,244851;108,030361;117,244377;195,337919;113,520285;108,628161;112,452404;114,325212;108,587649;108,336335;88,246289;191,686411;114,624853;156,417501;107,32579;87,140452;97,714445;105,022784;115,653032;104,33559;88,738789;146,075343;93,27978;87,489146;122,150994;118,860106;97,013429;96,733143;91,502903;91,645236;93,691454;86,426022;98,397067;88,835644;201,924849;104,893233;90,542217;86,697233;122,668954;85,011367;105,974037;90,518089;78,864881;181,387567;116,319356;91,480878;85,897641;130,756725;99,84337;66,285344;112,431561;109,510387;92,126259;65,54753;112,559345;87,186763;152,490436;;110,728537;116,825948;84,10092;115,828463;101,708446;110,635338;85,543879;83,781092;96,802285;73,801759;98,228865;103,071263;135,281588;66,16018;139,329637;153,232055;109,177689;91,427793;78,847054;39,226655;97,056288;86,600074;101,566566;101,473333;88,058442;79,688306;85,334303;99,911608;88,072575;97,470007;129,179619;98,521759;;105,185618;112,894108;;94,674936;79,801717;93,819007;100,756684;77,814752;165,425022;91,11993;102,608792;111,970047;101,427113;100,663483;103,606109;103,606112;107,85985;108,175229;91,250648;106,29776;103,615397;;104,341002
