;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;98,91931;624,617188;156,832894;102,882211;108,426097;101,287465;101,915651;99,907942;108,204163;115,080655;97,817726;91,139054;98,945492;91,127886;147,37148;97,231342;95,769019;102,549224;99,340301;;97,347791;95,857963;108,326533;93,777404;106,760944;109,967124;95,518301;102,753135;101,002438;107,523493;95,010902;99,394904;77,556431;100,173207;88,629826;314,247716;125,388707;91,421431;105,861759;137,424189;88,050358;;111,058477;;94,646707;130,832682;125,87012;145,83893;106,707452;109,42219;100,722875;116,700482;111,987542;105,276725;103,341954;126,575678;102,746377;;94,010964;118,101269;108,793035;99,951528;116,391817;95,608227;;106,422506;;93,132033;93,82026;139,445889;94,727235;102,352526;98,506781;98,124076;101,681918;94,473391;102,19319;120,131323;88,4958;137,180683;88,889406;78,234118;58,858459;110,925978;85,328074;87,960117;145,739455;96,049499;96,724674;90,71311;104,130402;95,857781;117,553176;99,707774;105,682826;98,438296;102,628276;132,776867;135,451432;124,552888;125,28324;246,102456;127,037597;117,095858;119,957252;126,701102;111,274312;109,610839;94,182165;185,95692;175,306553;198,499568;124,780721;93,676028;96,636016;110,058703;131,068086;92,527162;97,611042;169,085706;115,913466;93,505334;124,533168;121,202468;90,712686;102,352208;91,10638;97,631271;103,433238;87,496492;102,237455;78,470137;215,530614;110,117381;104,383335;99,469607;138,706933;89,85329;102,512798;94,26806;86,118294;187,96464;136,34227;72,921456;99,633832;164,666978;99,385283;78,733569;110,284305;107,955612;98,041741;88,402996;123,463625;90,532197;150,664315;;97,405431;128,761384;87,099403;124,619432;97,982483;115,238733;84,511251;79,359774;89,998683;102,574937;93,333501;100,400333;137,081011;70,935048;274,838371;187,540545;112,188583;74,81269;109,811407;68,673671;97,061017;110,258562;112,221638;105,016758;92,273155;115,322216;95,622527;100,564814;86,837478;53,131377;141,205546;103,513718;;103,875246;119,233795;;91,398679;86,611462;92,752428;103,915488;74,716926;142,013046;113,083984;104,321395;108,306873;99,209214;108,552682;96,336065;96,336068;98,886401;97,702164;101,637692;110,01848;109,592782;;108,082841
2012-02-01;98,915117;624,618954;121,32352;102,744342;107,664347;103,02938;101,966259;99,999703;107,869552;114,342707;98,177367;91,619173;99,139031;90,84634;145,828477;97,383394;95,449569;102,344863;98,696155;;97,349074;95,607644;109,274182;94,134557;106,092901;112,48736;96,0127;101,954364;101,374741;108,561254;96,150304;99,471713;78,080216;99,637179;88,603618;316,152781;128,195739;91,477833;106,034976;138,871835;88,468743;;110,831372;;93,611029;127,284343;124,176705;146,088701;105,985259;107,628515;97,809627;116,343399;112,137964;104,917306;103,577266;126,470007;102,319514;;94,698139;117,91013;108,392291;100,43148;113,773355;94,792322;;105,845669;;92,370262;94,751569;138,492774;95,076674;101,384511;99,558204;98,956726;101,457892;95,206461;101,359243;119,557981;88,728884;137,270248;88,998884;78,690913;60,232552;103,517113;90,364681;88,366637;144,818111;95,215634;96,515405;90,580447;103,759319;95,20374;116,858698;98,706896;104,516415;98,98404;106,779873;130,869557;133,706325;122,419803;124,112679;243,477945;125,591204;117,707303;118,869839;125,16111;111,068613;112,327621;93,667137;181,849616;171,478743;196,337106;123,897052;92,503076;96,490471;109,751504;128,929377;93,149358;97,610157;166,50701;114,080228;93,538162;124,092124;120,280318;91,35721;101,101198;90,78451;97,335553;102,543799;87,545716;101,035549;79,009125;213,203974;109,039443;103,998926;99,341888;136,697848;89,704039;102,767435;94,245008;85,240361;186,974614;128,970612;75,874472;99,256837;160,405305;98,908968;76,21253;111,555737;107,656551;97,65022;85,320441;122,735827;90,699535;150,440831;;95,322871;128,649454;86,504744;124,009898;97,9428;115,223265;84,146351;78,107387;88,603671;102,052447;93,844853;100,794419;135,867026;69,506753;262,517318;185,125577;111,175658;75,280849;108,829259;67,438154;94,887308;108,10821;109,985875;103,320577;92,052641;112,290166;94,804192;100,967396;87,030328;51,97447;140,129413;103,872806;;104,188088;118,559292;;91,590507;86,014706;92,246438;104,070274;73,368691;141,500972;111,993111;104,101829;110,070531;98,561939;108,41891;96,758135;96,758138;98,918847;97,898124;101,59235;109,055093;108,879258;;107,153602
2012-03-01;98,86649;625,388915;120,880437;102,422451;106,556654;104,980334;101,947467;99,977812;107,703035;113,437989;98,605391;92,008286;99,461574;90,594717;118,419294;97,558422;94,754987;102,009876;98,111744;;97,485738;95,361371;110,111118;94,496168;105,155151;115,329103;96,627316;101,232015;101,840267;109,592393;97,030018;99,570982;78,643141;99,21049;88,594225;317,702805;131,123114;91,447763;106,324515;140,427245;88,579596;;110,582695;;92,921492;124,176787;122,4262;147,35598;105,369243;105,675585;94,368459;116,007891;112,087011;105,286284;103,713649;126,457385;101,785215;;95,44358;117,588729;107,960011;100,810531;111,133754;94,051626;;105,055019;;92,507547;95,559427;136,880495;95,65068;100,31978;101,152274;99,813877;101,593782;95,793609;100,430063;119,408659;88,861656;136,695676;89,123745;79,243684;61,785517;95,649671;95,17859;89,09447;143,554781;94,383271;96,231206;90,458134;103,24478;94,478025;115,962606;97,738085;103,101185;99,588234;111,00363;128,456272;132,382407;120,20394;122,903908;239,75597;124,030325;117,936414;117,663019;123,460724;110,749234;114,928152;93,176007;179,066624;165,93361;192,929453;122,600531;90,696486;96,438846;108,909395;127,227118;93,837936;97,881903;163,598188;111,704128;93,694518;123,529103;119,254459;92,097397;100,158812;90,364549;96,722821;101,587962;87,593554;99,83032;79,410903;210,533219;107,900196;103,387781;98,752384;134,291774;89,532287;102,835075;94,503271;84,49332;186,575727;121,78751;78,829883;98,922711;156,493098;98,620894;73,945056;112,411064;107,52222;97,121162;83,229074;122,10792;90,972132;150,433394;;93,352108;128,802791;85,811293;123,136062;98,244853;115,489237;84,020516;77,577069;87,228109;101,930382;94,475032;101,204799;133,695119;67,398741;252,986033;182,269388;110,692218;76,563384;108,049485;64,350494;92,677839;105,4638;107,421212;101,40057;91,705261;109,675582;93,980674;101,526554;86,929797;50,92388;139,424315;104,269508;;104,852795;117,727199;;91,750781;85,022188;92,256604;104,279156;72,07261;141,055666;111,024451;103,850494;111,776036;97,767075;108,245566;97,489078;97,489081;99,25689;98,530028;101,603536;108,13656;108,029748;;106,295737
2012-04-01;98,556293;626,888416;120,651541;101,919628;105,439433;107,019456;101,908019;99,838141;107,461277;112,643613;98,959661;92,392565;99,885531;90,288237;117,224401;97,719497;94,456748;101,683639;97,706743;;97,524817;95,195099;110,893547;94,958335;104,088444;118,247274;97,423578;100,549038;102,325998;110,605358;98,04752;99,544948;79,310814;98,748696;88,511451;317,740475;134,264528;91,475844;106,736754;141,632696;88,545181;;110,390171;;92,952307;120,944613;119,67544;148,615703;104,827247;103,671209;90,478871;115,664372;111,756876;106,090734;103,850547;126,71248;101,160454;;96,148592;117,076572;107,491149;101,127244;108,508884;93,261663;;104,085985;;93,481502;96,276682;135,557485;96,235882;99,318657;103,057835;100,526294;101,821924;96,260895;99,425927;119,409016;88,906187;136,529516;89,17303;79,834235;63,511381;86,855838;99,527768;89,672989;141,953918;93,495276;95,894107;90,322298;102,819644;93,683598;114,959478;96,951425;101,570803;100,26153;114,939651;125,672866;131,270967;118,097711;121,626484;234,998702;122,406175;117,86777;116,411447;121,842345;110,13879;117,076367;92,71242;176,642858;159,440048;189,019602;121,06416;88,602728;96,529251;108,224456;125,339447;94,673528;98,560017;160,495941;108,738534;93,916072;122,716449;118,379577;92,838269;99,326186;89,837763;96,155139;100,782201;87,671892;98,724275;79,840315;207,939773;106,796;102,701788;97,663127;131,924469;89,440776;102,987014;94,795095;83,977407;186,594637;115,099674;81,882343;98,64585;152,21898;98,363501;71,941327;113,011036;107,5458;96,87808;81,034754;121,601887;91,494286;150,646413;;91,986076;129,349011;85,255312;122,042854;98,68987;115,715487;83,971669;77,187864;85,891439;101,350616;95,062465;101,514681;130,836238;65,289617;243,55504;179,403577;110,647837;77,77139;107,678054;61,753353;90,83295;102,890186;104,791572;99,713142;91,476123;106,951546;93,207674;102,223566;87,032759;50,087294;138,626909;104,830073;;105,348877;116,968964;;91,786555;84,220908;92,413222;104,507047;70,747672;140,414377;110,099531;103,687794;113,516831;96,896679;108,074655;98,072916;98,072918;100,017579;99,625079;101,680512;107,271266;107,267667;;105,477283
2012-05-01;97,924886;629,443375;120,741189;101,18945;104,290369;108,893966;101,820728;99,509386;107,231508;111,900288;99,312625;92,854742;100,585872;89,97657;115,916807;97,85274;94,184778;101,358885;97,620434;;97,578243;95,067259;111,536273;95,329114;102,80612;120,876934;98,267568;100,193102;102,800338;111,534146;99,072526;99,430959;80,053828;98,280038;88,510846;318,206049;137,102423;91,448655;107,262505;142,442764;88,495368;;110,291917;;93,964392;117,85672;116,212614;149,935633;104,495676;101,810621;86,357618;115,410224;111,410984;107,518826;103,941294;127,179042;100,454445;;96,613498;116,372445;107,007169;101,458576;106,253565;92,32259;;103,073876;;95,525157;96,796973;134,140139;96,747817;98,365632;105,337338;101,046255;101,737494;96,460975;98,492527;119,638323;88,865945;136,33767;89,184073;80,444922;65,14182;78,067293;102,486601;90,15282;140,197262;92,695841;95,514502;90,175433;102,583074;92,918831;113,914967;96,557572;100,012698;100,927534;117,939026;122,921567;130,623323;115,951378;120,307423;229,319127;120,800509;117,312321;115,287861;120,533739;109,152691;118,361346;92,21603;176,029625;152,031957;184,457775;119,400781;86,489726;96,796525;107,568183;123,404531;95,473787;99,651287;157,535706;105,397612;94,214238;121,69586;117,923122;93,699063;98,375615;89,183951;95,630854;100,278876;87,771003;97,939292;80,417116;205,112858;105,860696;102,06693;95,910438;129,864312;89,474257;103,128878;95,040894;83,79572;186,695617;109,866983;84,457097;98,392306;147,895309;98,094395;69,843359;112,989041;107,607564;96,568961;79,007092;121,289627;92,200655;151,099053;;91,714974;130,434123;84,557526;120,67014;99,053262;116,062374;84,125212;76,471375;84,900614;100,918713;95,674022;101,782702;127,279875;63,206244;232,924338;176,036059;111,421709;79,080561;107,374597;59,357526;89,576377;100,578414;102,49471;98,58374;91,397099;104,083507;92,579658;103,070449;87,197332;49,671451;137,767282;105,554868;;105,733296;116,352362;;91,704812;83,463685;92,605337;104,785723;69,634664;139,803655;109,151692;103,636471;115,081024;95,986024;107,885511;98,708358;98,708361;101,012009;100,988898;101,890914;106,585278;106,503652;;104,822412
2012-06-01;97,005478;633,010661;121,294265;100,338119;103,057075;110,620827;101,684319;99,064564;106,991769;111,218032;99,706745;93,661614;101,780252;89,694022;114,497767;97,94987;94,062744;101,033665;97,925348;;97,691852;95,013874;111,954375;95,653571;100,956599;122,781674;99,026357;100,328384;103,225048;112,197933;100,106868;99,359272;80,86559;97,847589;88,78646;318,212756;138,934893;91,367426;107,867448;142,740281;88,316695;;110,258461;;95,852334;114,927122;113,523694;151,448594;104,553895;100,375117;83,098582;115,331118;111,105151;109,214039;103,952689;127,609686;99,675772;;96,742006;115,543479;106,56457;101,787519;104,612839;91,306617;;102,287991;;98,218292;97,074515;132,726182;97,301656;97,407926;108,213257;101,318562;100,572216;96,525489;97,850725;120,044989;88,801989;136,093658;89,125549;81,052818;66,256306;70,742185;103,121448;90,481744;138,581128;92,208044;95,136959;90,079151;102,68212;92,275881;112,845106;96,67987;98,753353;101,352502;119,619541;120,669834;130,458266;113,833586;118,984507;222,916524;119,154068;116,181838;114,453196;119,574778;107,751388;118,448189;91,714203;177,688225;143,791387;178,980945;117,586715;84,853048;97,177454;107,004073;121,393357;96,108207;100,690757;154,519989;102,003898;94,301225;120,685496;118,031488;94,874543;97,34709;88,625744;95,109915;99,925437;87,801628;97,669364;81,08986;202,116044;105,255079;101,405567;93,56348;128,264167;89,553975;103,251353;94,918978;83,71807;186,550487;107,123794;86,107619;98,083243;143,841558;97,888164;67,780184;112,459407;107,695184;96,15179;77,10058;120,978931;92,736902;151,767449;;93,141513;131,830924;83,856463;119,047903;99,3846;116,433271;84,529744;75,660639;84,681365;100,442857;96,277059;102,030835;123,634228;61,140883;221,320337;171,951418;112,741608;80,803686;107,359195;57,419529;88,911783;98,429498;100,950602;98,395021;91,324131;101,206012;91,954932;103,7614;87,457754;49,543498;136,839061;105,985288;;105,920059;115,906843;;91,691985;82,771357;92,924357;105,124521;69,194048;139,215924;108,212706;103,66382;116,107286;95,414205;101,880607;99,338744;99,338747;102,141613;102,475167;102,217076;106,183486;105,788603;;104,410435
2012-07-01;96,031954;636,528526;122,207448;99,599496;101,821118;112,301779;101,467451;98,665851;106,751499;110,602838;100,136764;94,740837;103,364651;89,392094;113,051091;98,002714;94,18172;100,701201;98,530914;;97,817637;94,996663;112,064993;95,880229;98,726128;123,748813;99,729178;100,892298;103,459334;112,312745;101,110744;99,259477;81,779491;97,474889;89,324849;317,969502;139,023156;91,22591;108,194663;142,293347;87,874482;;110,228561;;98,191264;112,116534;113,124001;152,322453;105,044479;100,021444;81,756099;115,405824;110,607898;110,921066;103,818039;127,762913;98,73099;;96,714695;114,672799;106,223041;102,054193;103,376389;90,287535;;101,848676;;100,932596;97,060952;131,247169;97,671997;96,508412;111,520792;101,189741;99,005414;96,320306;97,597035;120,743507;88,793067;135,662633;88,946624;81,681522;66,648041;65,857721;100,963351;90,586375;137,083644;92,201587;94,828431;90,019188;103,08452;91,806888;111,940616;97,237716;98,116245;101,28306;119,659105;118,448358;131,16199;111,831527;117,633411;216,028183;117,453675;114,584635;113,870738;118,862895;105,915377;116,939517;91,174685;181,959394;135,185129;172,751502;115,615904;83,850139;97,451444;106,468088;119,360902;96,518607;101,122351;151,293567;98,89698;94,054612;119,858624;118,37543;96,010451;96,380714;88,48068;94,605958;99,38064;87,668459;97,794426;81,995261;198,89165;105,051607;100,425097;91,057886;126,991907;89,551076;103,369553;93,965052;83,296978;185,078086;107,737753;87,030777;97,77425;139,755069;97,755847;66,077254;111,759006;107,905097;95,774478;75,209684;120,307299;92,747617;152,523211;;96,266961;132,937477;83,154916;117,500043;99,637376;116,450091;84,96272;74,710734;85,218514;99,946928;96,796332;102,236144;120,6895;59,146288;208,794243;166,985012;113,693571;82,703922;107,912631;56,295098;88,667211;96,347068;100,139972;98,947617;91,09241;98,491479;91,139719;104,012423;87,857616;49,238761;135,849451;105,568295;;105,959254;115,312003;;92,033593;82,190667;93,449149;105,479452;69,740376;138,75014;107,36127;103,728271;116,141586;95,56577;101,659167;99,916548;99,91655;103,252968;103,862445;102,4322;106,09423;105,122254;;104,243273
2012-08-01;95,182191;638,462394;122,961609;99,153455;100,77031;113,914446;101,17642;98,538647;106,532874;110,093915;100,608626;95,798942;104,968261;89,04191;111,677592;98,066505;94,510883;100,370509;99,13165;;97,95762;95,12586;112,019647;96,00909;96,698166;104,435286;100,544098;101,665202;103,432747;111,976208;101,955338;99,132795;82,823145;97,178794;90,095709;317,168984;136,741791;91,032636;108,164528;141,002296;87,190313;;109,932967;;100,321891;109,828384;115,486265;152,298846;105,809375;101,368849;82,050153;115,471913;109,715614;112,476106;103,522891;127,453851;97,728985;;96,765967;113,88484;106,009586;102,244539;102,436952;89,42611;;101,654434;;102,683781;96,700922;129,856058;97,379203;95,810098;114,519941;100,634263;97,83628;95,91514;97,62329;121,52823;88,947015;134,834805;88,621641;82,327352;66,47954;117,404951;97,04712;90,446344;135,704319;92,802402;94,626597;89,935294;103,521626;91,500107;111,370918;97,871118;98,131126;100,711147;118,40238;116,084777;133,035553;110,045137;116,321564;208,577353;115,758054;112,741855;113,383881;118,152236;103,697168;113,956559;90,644955;188,544429;127,107948;166,69462;113,569469;83,694023;97,46863;105,891974;117,457566;96,669437;100,553593;147,979001;96,51658;93,590751;119,327932;118,478777;96,747888;95,569265;88,878141;94,181539;98,383119;87,347042;97,973564;83,102416;195,607248;105,180801;98,996628;89,0414;125,758545;89,365471;103,454854;92,374596;82,20019;181,882582;111,32737;88,200502;97,495904;135,984196;97,592229;64,488057;111,306529;108,2576;95,651016;73,534038;118,774038;91,99755;152,968243;;100,711843;132,975118;82,362851;116,453199;99,957381;115,76656;85,105428;73,771337;86,302671;99,389895;97,285442;102,422726;118,96155;57,318114;196,07234;161,171315;113,740977;84,708639;108,61645;55,858192;88,238742;94,164706;99,488087;99,563053;90,617299;95,981579;90,123461;103,786394;88,457136;141,569769;134,995708;104,179736;;105,935785;114,192476;;92,747934;81,687653;94,207615;105,887589;71,402609;138,351314;106,657539;103,707175;115,110907;96,456685;101,411938;100,478133;100,478135;103,939023;104,668632;102,210312;106,132813;104,519157;;104,187818
2012-09-01;94,64297;637,384388;123,069995;98,929394;99,982074;115,401729;100,801024;98,776257;106,347201;109,681815;101,018111;96,473482;106,325507;88,756887;110,468762;98,196841;95,037404;100,046172;99,382199;;98,059579;95,379606;111,694946;96,050249;95,174185;104,517249;101,556435;102,214214;103,153046;111,463088;102,555356;99,002648;83,935963;97,003796;90,892928;315,8744;132,500006;90,860226;107,85152;139,073569;86,358711;;109,269341;;101,558249;108,85614;119,974875;152,282435;106,280791;104,372489;82,845793;115,393768;108,373179;113,861391;103,122628;126,582328;96,96981;;97,213849;113,233431;105,941498;102,302363;101,833161;89,274976;;101,610361;;102,882784;96,247169;128,388062;96,152016;95,380986;116,563144;99,762893;97,582874;95,558205;97,605948;122,126657;89,275707;133,684738;88,180893;83,017277;66,351304;116,808213;93,748903;90,11604;134,587917;93,737372;94,629758;89,85378;103,708023;91,278465;111,148427;98,133166;98,659161;99,842289;116,623889;113,461531;135,887189;108,521572;115,026653;200,308877;114,08405;110,97761;112,811728;117,178525;101,422136;110,476596;90,226748;194,899445;120,380352;161,397666;111,598521;84,26411;97,182612;105,307428;115,761697;96,604912;99,228355;144,677542;94,915505;92,905184;118,984665;117,957475;96,735506;95,069512;89,759269;93,864743;96,960711;86,87596;97,880861;84,489348;192,178083;105,340508;97,265934;87,891224;124,344546;89,024336;103,440894;90,707842;80,664309;177,299366;115,776582;90,742052;97,361364;132,176603;97,403911;63,389132;111,311293;108,899905;95,947579;72,122771;116,444398;90,78544;152,796571;;105,692595;131,668224;81,366103;116,084145;100,441056;114,480182;84,743244;73,049303;87,452604;98,786812;97,698599;102,58461;118,478401;55,950541;184,712505;154,635179;112,767472;86,723097;109,292658;56,849123;87,157763;91,757802;98,398002;99,668403;89,869173;93,785612;88,997295;103,187191;89,383861;135,618233;134,256363;102,321833;;105,795064;112,589309;;93,676469;81,271016;95,119513;106,371396;73,805286;138,02567;106,145498;103,569774;113,502198;97,769534;101,135163;100,958541;100,958543;104,228795;104,922715;101,480332;106,169728;103,988785;;104,090351
2012-10-01;94,456501;632,630155;122,048755;98,629819;99,676166;116,447515;100,387771;99,292763;106,192292;109,363152;101,253131;96,536441;107,252686;88,601443;109,529203;98,354446;95,550514;99,729636;99,203266;;98,079711;95,741536;111,290588;96,031676;94,620689;104,648642;102,618453;102,213282;102,703982;110,854274;102,842391;98,639679;85,102175;96,986649;91,31526;314,386146;127,167989;90,757118;107,570032;136,719156;85,531027;;108,355824;;101,854473;109,531543;124,628694;152,6511;105,746238;108,405348;82,917003;115,216122;106,712631;115,173803;102,66739;125,366052;96,673217;;98,192724;112,755156;105,994501;102,190713;102,164641;90,17757;;101,45554;;101,835096;95,929678;127,013661;94,144718;95,247038;117,148731;98,576942;98,339755;95,318177;97,129462;122,40997;89,71577;132,323293;87,679561;83,726624;66,915283;116,705206;92,285162;89,653956;133,698621;94,512824;94,868863;89,802354;103,426117;91,043699;111,167796;97,869836;99,419975;98,906464;114,616844;110,011351;139,376686;107,291294;113,823864;190,507356;112,480288;109,288754;112,134254;115,929473;99,71173;107,048748;89,979691;198,49013;115,951257;156,976233;109,901049;85,291318;96,660601;104,684744;114,41918;96,163239;97,833852;141,345997;93,784676;91,917439;118,548715;116,601755;95,680817;94,838107;90,909289;93,728958;95,372301;86,41892;97,32468;86,204936;188,844507;105,409525;95,41218;87,366339;122,864763;88,727388;103,342692;89,641001;79,273886;172,236296;119,776609;94,745046;97,441453;128,598738;97,191884;62,780675;111,269442;109,805005;96,846741;71,344952;113,7925;89,596754;152,054885;;110,623118;129,364007;80,121414;116,423795;101,048651;112,989986;84,009592;72,503022;88,502143;98,585745;98,112288;102,70175;118,815997;55,189677;176,130691;147,803366;110,985821;88,04163;109,815341;58,999588;85,69723;89,431739;96,652525;99,134757;89,008145;92,031525;87,890346;102,492414;90,658138;127,214539;133,639179;100,533694;;105,522591;110,793569;;94,459164;81,034899;96,191985;106,773165;76,276828;137,803058;105,882537;103,343135;111,858152;99,175928;100,843897;101,323512;101,323514;104,890798;105,44549;100,347459;106,166825;103,589315;;103,877232
