;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;94,851859;664,180827;160,893861;84,619784;127,720902;106,28001;101,306536;98,590438;106,992946;107,116075;94,911508;86,873344;63,980273;99,055186;137,869028;101,907926;88,608755;99,108752;104,044487;;87,150137;98,736916;102,13905;81,894223;99,517087;124,460145;100,810046;98,702226;105,016406;115,177938;87,791701;57,712963;60,216084;102,75018;80,311306;340,995127;133,536823;96,882839;103,09;131,892383;85,109123;;115,082147;;112,647042;142,496492;124,368496;147,365091;98,499054;127,774589;109,523977;113,671209;120,626008;150,840725;116,411726;130,162165;98,297885;;106,135014;120,498863;114,381149;103,407815;134,199974;91,616284;;105,658402;;101,645934;91,736659;149,138486;85,545929;116,7281;119,098544;99,502411;114,877811;115,148845;99,195471;120,534057;94,690876;140,154613;85,984656;83,108951;64,159758;111,777493;81,298795;77,3854;151,195925;100,660977;99,895154;92,130551;103,21614;98,86574;118,217219;110,47664;107,081184;102,606095;93,463713;130,809342;134,401558;127,483471;123,558341;234,54446;99,136213;96,001959;135,107241;104,107233;112,458656;42,213957;96,738372;158,039423;184,790198;212,481594;132,360373;97,784246;100,955987;124,083131;142,31463;92,679587;112,004821;176,862809;122,024971;104,126247;116,83753;119,482348;94,033121;85,295344;93,403219;94,738038;112,454575;89,459384;106,430035;80,757357;246,036468;117,090886;100,821218;87,034975;142,115927;99,470832;106,584584;102,011593;81,355121;153,466944;102,06739;70,814441;81,993762;147,908301;56,030474;50,816792;95,906551;111,829642;89,683874;87,531182;118,763706;92,776022;155,591646;;142,815385;129,355124;74,43623;128,781343;90,301634;99,531085;84,750758;32,118205;75,350917;85,310766;77,920867;86,905042;134,509893;51,566749;232,445379;182,732747;86,744851;64,980471;86,542532;58,317812;100,140116;108,648051;113,753215;115,862105;98,342754;113,976215;111,775064;109,815157;84,48672;52,862128;107,535311;96,708204;;99,831642;123,29395;;90,393981;91,590546;86,120551;93,778424;61,585225;111,608209;115,346467;106,837981;88,83357;126,596015;111,001993;130,888289;130,88829;180,427599;180,427581;94,462203;107,380162;100,708734;;106,834441
2012-02-01;88,174137;601,727132;113,522803;62,095353;111,326525;97,662486;93,725082;92,529374;100,005248;105,082846;92,810143;85,68233;55,322959;83,946388;148,314338;95,99407;100,960497;99,592593;93,634104;;96,217697;100,177652;125,86632;97,559126;98,789846;104,373986;84,756903;101,276901;98,420742;106,340259;80,283334;58,43581;61,595607;92,436934;82,019991;306,340087;134,635179;96,159771;106,961962;128,443411;103,725844;;108,102561;;91,77715;151,864166;179,497444;146,387918;113,549253;107,519888;119,534256;120,280376;107,366471;127,618999;102,734506;125,501571;88,036116;;78,237166;111,281949;105,805974;94,777768;111,214374;88,022802;;103,451639;;88,984372;86,365871;136,525408;64,387177;92,848464;101,09209;94,533076;101,32916;141,248946;94,883286;116,048878;95,908422;120,603228;80,531202;80,982751;55,803584;108,283622;94,393365;86,571576;149,887955;104,566946;97,126905;89,327032;97,250279;96,670145;114,008744;100,44128;98,026142;97,293707;94,46688;140,701397;138,688016;123,098873;133,203572;246,612154;72,68499;76,824044;116,297094;81,212915;110,880082;55,215317;91,805351;192,214955;158,773466;208,20141;120,399086;111,472967;99,058366;97,956119;139,946689;90,685673;103,859572;158,178009;122,692682;94,533971;120,543111;121,908051;87,338524;95,630059;87,647108;105,739037;105,75663;90,534607;102,159354;68,304498;214,612143;113,700153;103,600632;87,648064;120,139505;91,173847;97,150315;86,206279;80,00377;159,865902;95,033296;74,703536;89,540049;171,317448;71,651628;70,635393;99,360181;102,789895;100,943884;116,278538;119,244455;89,014328;142,135448;;83,527651;127,433733;71,590209;116,075299;89,966795;109,053364;86,554009;74,703681;84,063492;108,484372;85,609214;91,953968;149,481707;73,456328;154,549298;155,331659;74,865326;80,606482;83,323355;87,144321;96,873495;112,959655;115,661426;105,352724;95,498153;120,083828;112,283188;109,892877;84,896969;67,821518;124,847018;107,045145;;122,202473;123,5593;;92,643074;94,558166;91,675915;100,039882;64,005267;119,317512;116,942233;106,68424;98,571246;120,5545;108,607602;141,073982;141,073986;215,088337;215,088326;89,085015;86,477867;85,807375;;89,701513
2012-03-01;101,527855;615,850267;136,491313;113,091142;112,710377;96,785664;106,988407;101,847375;108,733661;121,221394;111,953618;105,871076;62,682929;97,609512;129,64985;104,948227;124,039763;105,830726;104,380198;;100,067519;106,691162;119,040756;96,149256;105,691007;124,37782;101,089411;105,848087;104,318601;114,35762;89,038252;71,04731;78,976677;102,682101;103,470769;346,62734;151,024228;110,354989;121,93744;131,129076;95,325406;;127,778083;;94,44604;120,010524;158,884947;198,954951;129,573085;93,1059;97,882201;133,620367;112,945869;121,834024;113,357881;136,337179;99,007483;;97,267188;125,313556;113,597071;100,909412;115,742731;104,955363;;119,306736;;89,670467;96,06799;151,688789;93,139697;100,430404;120,455356;107,336527;108,569186;169,249428;120,267986;123,434078;99,004189;132,856037;77,806606;86,377814;69,864227;111,732059;116,198165;90,738989;165,382193;109,896044;111,742717;97,506444;110,052929;107,89576;116,535791;105,867978;107,157736;101,914077;123,829683;149,219657;165,227216;144,706632;138,602554;266,40132;138,625099;134,645389;134,430821;142,773575;123,651611;106,07241;109,060638;206,845125;183,068599;229,737229;141,289844;93,961687;104,005475;123,081958;137,370145;96,88473;116,046579;184,088212;129,860996;102,082474;131,154777;125,273859;88,364852;111,652806;95,574053;113,33261;115,906267;109,758319;111,483269;86,109457;223,982604;116,348382;118,227233;96,379513;145,798795;99,578384;110,183494;100,915368;92,282395;201,72774;133,494146;91,132237;108,311257;149,105071;116,584258;64,910868;122,228856;111,387122;112,672374;104,582326;138,772173;95,839395;150,886439;;92,782184;139,576702;74,497825;139,010248;115,100384;124,609792;87,42683;126,211808;103,48595;119,50807;102,898008;112,172684;170,895915;91,141203;270,62426;192,539709;114,813151;80,023765;80,505586;86,497305;97,307204;121,101173;128,504986;111,403279;103,776973;127,215048;118,418732;112,880264;106,040244;60,354338;187,92722;109,965522;;111,661524;128,59102;;106,944351;99,276232;96,774606;109,518722;79,508413;172,697987;129,083898;115,523908;113,900173;107,676926;109,754023;107,801279;107,801276;131,524468;131,524452;98,097025;112,129266;112,220757;;109,542831
2012-04-01;100,914816;613,591148;134,312001;106,736388;90,732114;110,517877;104,021494;99,204161;103,139415;111,092312;108,042781;100,094212;54,609863;96,950742;115,353466;102,445378;153,783498;106,299954;91,630145;;101,48076;93,911706;123,535805;84,105734;102,707799;121,250659;96,410263;101,374638;100,939289;104,483788;94,217557;74,550329;97,030021;100,446693;101,38295;315,111567;140,000252;107,674664;112,942211;164,110541;84,510425;;116,119557;;87,228757;102,621143;95,880464;160,884291;84,480504;75,58963;81,066793;129,252957;103,90087;91,126701;111,662265;133,09267;95,30834;;71,103062;120,778032;106,452718;106,387252;98,361136;97,635445;;106,44361;;86,842926;98,6149;135,768184;101,922457;108,660747;100,614201;104,071138;95,839518;115,908005;114,156303;121,855648;92,264477;142,894141;101,9216;84,621862;61,012326;95,818096;120,359591;97,519731;150,322072;97,267619;107,711045;94,54305;106,047477;99,386776;117,090956;100,171885;105,47874;70,609889;144,790919;129,978109;153,877424;127,941074;125,369181;260,430288;131,387523;133,261674;124,86545;123,063934;116,878437;118,219041;99,302604;189,303273;176,182985;195,913458;141,043172;97,588536;100,379925;117,40462;130,1347;99,036382;104,299839;162,676821;118,017189;90,541682;122,88493;119,006084;82,229983;104,064028;89,36273;94,729946;108,383656;89,751678;100,707504;98,445501;208,00651;106,127518;107,948687;94,609017;140,731333;96,461695;102,619032;99,449084;78,395231;150,279089;93,438106;85,560779;94,529577;163,927805;62,602065;80,661482;120,597702;107,209762;93,204637;72,875952;115,298454;91,817056;145,008729;;88,738225;120,132192;74,375762;141,713634;105,507977;114,130879;89,333359;104,190304;83,917677;95,578294;92,984645;101,19902;151,737493;57,579968;263,893383;205,541865;98,145292;79,496767;68,237469;51,593999;93,384871;110,919882;117,011746;103,854976;95,225608;100,918535;105,744756;101,986991;87,740953;66,022355;149,430291;99,90043;;93,177891;113,028195;;94,527776;86,277999;96,334747;101,200955;67,605681;134,216618;95,3998;104,965352;108,211334;97,256603;108,543295;99,790964;99,790963;109,194315;109,194292;94,213175;110,502118;103,735006;;105,063262
2012-05-01;101,392637;638,026065;118,881801;101,652761;108,347765;110,592486;104,546468;100,651532;107,113723;101,927288;110,534175;97,210387;57,220763;84,846534;113,407273;103,655735;116,43485;98,12083;98,073706;;98,424892;83,19764;107,245895;80,573699;103,684875;108,362586;99,700152;97,924358;99,837287;98,136266;92,374694;87,052971;98,058427;101,507587;92,475325;286,673506;135,532583;102,690741;107,207066;172,721315;80,523034;;105,345951;;89,717456;162,17793;119,470786;127,732817;75,589229;69,766605;78,004359;123,972151;104,288275;99,125073;100,603002;124,222385;92,694326;;100,014222;119,323483;103,40048;101,534822;105,829204;108,839091;;97,203887;;89,420978;97,627436;144,919327;107,36843;95,409573;91,914845;106,384502;114,298087;78,887372;103,516258;120,421567;80,23143;127,45723;103,830768;80,341244;69,171998;85,360746;101,530147;88,18992;139,182969;91,466296;98,98272;92,443546;100,040736;95,509475;113,674174;92,731423;107,662469;76,092281;137,160131;115,712247;152,066112;128,211601;109,349815;228,76827;120,593589;118,438467;103,236167;118,236994;106,563382;119,438462;101,044539;221,4484;164,0561;189,929773;112,746284;83,110339;102,308571;100,527414;128,584164;98,152585;99,584635;148,577954;107,797784;96,32225;118,288552;114,126445;81,796457;105,730274;80,672141;75,565077;102,194582;85,843899;93,575067;68,988605;202,350092;102,45868;99,306223;88,965389;127,080939;87,20525;92,771625;92,847568;76,420997;180,177076;87,122818;88,819279;90,250379;123,740288;77,267676;48,391982;111,542267;98,154396;82,669735;76,128987;119,251529;88,338992;136,171774;;75,350321;121,54835;76,556664;121,445591;89,96437;108,941116;84,379942;92,517057;74,576959;97,874293;91,586384;98,525238;127,34932;64,336774;234,274438;199,049807;106,731992;73,310431;131,729923;34,682806;80,251939;105,516678;99,835486;95,078639;96,107009;91,729588;92,568489;86,566736;81,570808;54,150404;139,621151;90,025862;;91,747426;106,518999;;90,069005;73,480685;88,83677;97,034684;62,168176;109,016707;98,294654;94,24687;100,945999;88,677911;107,056361;85,297657;85,297656;66,186788;66,186774;105,978911;110,994791;107,423985;;107,378678
2012-06-01;94,976953;655,129778;142,61509;118,283493;117,459849;112,977498;100,689508;98,663072;105,701329;119,706182;107,417125;101,862561;97,432847;88,216798;106,528208;94,922187;135,629637;102,987517;102,128879;;105,918244;103,599622;142,542713;85,800044;98,072114;119,544452;99,145931;105,458341;96,871824;115,818105;100,942348;80,72631;102,976713;94,936396;108,869757;338,317517;159,981071;104,595838;122,02727;160,937787;92,580786;;118,526812;;90,446047;110,813772;114,633956;101,436976;122,068705;111,74839;103,050805;126,804087;133,949331;118,57836;110,713462;147,989875;113,837204;;97,99729;121,446235;113,398322;100,071471;115,421843;109,819145;;100,614623;;104,34873;98,517486;136,559698;101,344352;96,442269;101,004161;99,405849;87,767477;68,081942;117,445465;136,80444;93,089069;139,459641;106,926972;86,590492;69,208179;74,450265;113,647636;95,217914;144,370654;103,484675;106,576045;98,406184;117,830595;101,363718;107,121258;109,006763;93,516397;87,833615;116,13937;141,417481;160,567884;130,599044;130,383919;269,002757;139,523322;141,545293;123,625792;142,441011;153,718418;150,021258;97,728864;197,004322;157,85443;215,311106;130,147932;91,992071;107,69081;108,333073;137,132379;102,897223;111,112035;186,711539;110,160282;106,359459;134,761916;138,757809;95,129235;122,366266;93,586974;107,727013;112,661641;102,632809;105,595822;80,298033;230,544636;113,694974;112,461179;106,668254;158,649045;96,803855;114,318954;106,715927;96,102902;199,12671;134,123818;95,239073;113,93623;140,429083;124,139207;86,312317;132,940151;118,347913;110,739274;99,198166;144,263294;101,14322;159,612201;;101,555638;151,516394;69,338426;125,129268;117,664306;129,484853;92,192412;40,946583;103,396619;123,917483;106,439346;117,127937;139,362002;57,11631;367,754232;209,825328;130,1104;101,133227;120,894842;23,057419;101,97146;118,276412;112,950908;109,135837;102,314543;98,441146;109,181037;111,356925;96,732612;77,451865;160,257796;113,29513;;112,290821;123,972271;;98,611681;86,331163;94,192044;116,042333;77,639479;146,91784;105,25416;111,104596;134,642111;82,114141;100,82005;80,546155;80,546153;53,185972;53,185993;110,583426;110,842161;117,264442;;111,738433
2012-07-01;98,54787;634,491638;123,243163;119,626173;96,256281;117,630734;94,361791;96,66616;106,7998;113,58419;81,388176;99,960318;127,719305;52,055794;98,988887;89,847726;102,043529;96,98477;101,499907;;91,370534;94,198926;121,008609;95,528554;96,195573;99,70639;101,209355;104,913468;99,480497;101,740518;114,191891;87,266418;95,115694;97,70934;103,579094;285,427033;137,292192;93,289199;117,10065;191,189213;87,743435;;109,474121;;140,972538;116,068423;128,880644;193,491878;138,958543;112,954144;82,479498;126,231948;120,435321;130,766737;109,84097;157,188454;115,747077;;101,290285;116,59069;109,593741;103,624669;99,881824;87,090483;;90,902552;;120,149693;107,008545;134,304295;99,829279;98,688734;103,618189;105,336458;103,578716;75,558044;112,804481;114,662793;91,679641;155,041824;105,917872;86,216615;70,709215;41,912783;88,422106;91,829097;121,200465;94,989287;104,000347;99,096142;126,926539;95,885059;123,561763;110,242511;95,210111;81,234083;109,496374;136,802306;145,847331;106,396087;114,643115;251,829293;139,429564;133,815586;130,916033;142,803097;131,286728;172,648874;98,827667;183,564355;168,768134;217,372747;133,24662;97,259861;105,529744;121,108605;127,02328;104,967811;102,586966;158,844189;100,478901;100,150735;134,093424;147,275684;98,36301;117,589129;89,022754;99,821524;106,794341;96,189136;103,976433;92,620329;232,465729;103,631672;120,216071;100,017378;146,043379;92,828299;112,180655;100,272905;81,531754;171,418682;98,51754;87,919913;85,710755;145,02873;75,628179;54,214364;105,269693;110,418151;91,530191;66,700254;119,470236;97,014735;150,34736;;114,452334;124,599186;68,819841;110,497027;114,767376;106,434086;88,701823;93,164612;98,532986;77,52051;107,804982;106,402682;116,117114;111,496441;219,211172;229,284008;143,063509;85,608029;82,930623;30,612125;128,959713;101,163727;98,572165;96,101957;92,56453;101,34291;100,725109;104,319196;74,561648;66,933659;130,773023;113,063287;;126,909589;120,898677;;89,140268;84,920029;92,230164;108,466917;76,4239;131,899649;123,684604;103,522364;119,945856;83,199689;104,461982;82,583879;82,583883;48,847052;48,847058;121,902188;115,387017;109,247575;;112,497276
2012-08-01;99,2168;644,183985;79,173948;73,811783;52,220049;78,988164;101,165827;95,779696;109,696286;90,191766;99,673482;88,88569;189,084059;84,782332;113,788123;91,627918;68,628799;100,69809;99,164914;;94,095686;81,803514;25,440862;87,27843;91,158742;85,721027;94,040572;84,664844;102,288847;112,226831;103,244727;85,087842;96,239504;102,75018;91,215929;245,87843;92,811988;49,943811;30,162704;92,235953;70,604464;;93,751828;;36,467878;36,931922;60,391706;99,36293;70,702949;97,476591;31,185146;39,620237;68,567295;88,348568;65,438815;40,614903;76,902849;;98,58094;94,97473;90,690172;102,117505;78,896394;52,704261;;91,261258;;118,507225;88,416607;116,060822;102,095824;96,550863;110,954224;100,014387;106,241476;60,798428;79,020008;113,076877;70,696177;106,212374;62,944504;69,838186;60,825678;98,465489;73,102481;87,152719;106,913114;56,26399;62,396311;75,834247;41,679304;56,53703;114,08105;40,996347;90,989762;68,766533;60,46458;64,83578;35,016923;42,754911;61,152252;177,993149;84,491101;57,034205;66,886475;81,806169;82,650576;98,997744;50,575625;133,01309;47,626814;72,303995;64,10841;33,841;68,857668;73,39689;77,327961;55,169617;57,294141;71,147547;41,127269;45,188867;83,41608;47,62155;63,368639;53,421543;84,853395;52,073769;51,019159;51,446078;58,603545;48,216482;143,750682;63,985061;84,500853;97,782273;71,509802;58,888156;63,623009;83,690308;58,488506;125,1109;103,745554;66,226096;74,767215;109,005659;71,146061;34,973089;78,804597;88,957615;64,544526;60,684468;78,108209;74,613538;107,805722;;100,985288;90,84173;61,039192;107,744687;71,231327;95,681034;64,536741;66,63488;53,457829;84,329751;76,259686;75,783483;33,860496;57,676323;130,686479;125,845662;99,923031;48,095068;113,178034;62,404469;75,975408;34,985777;41,690483;66,065363;55,54119;35,626937;17,707096;56,49763;71,539791;43,524054;92,095664;85,31139;;98,314685;81,716952;;65,973939;45,028118;87,147925;95,490931;69,768904;118,555945;70,329577;95,595642;95,095647;79,64221;91,520544;79,362244;79,362245;42,732477;42,732496;128,80495;76,175514;90,670222;;72,093844
2012-09-01;93,880639;648,199385;134,451154;106,539284;109,356618;119,021382;99,704807;96,709867;104,938728;116,755194;92,195587;94,15929;211,27294;91,835301;108,761847;91,298557;74,457217;100,798249;101,879982;;106,141368;104,113478;116,961623;105,144459;95,74228;105,457688;99,177921;112,778849;101,779646;117,926934;125,94576;103,988335;74,872865;92,0277;85,34476;342,303155;150,09435;92,723966;118,29553;147,863757;81,291974;;118,36862;;91,664837;106,997988;105,682645;185,82846;148,197779;106,417622;81,735737;118,28822;123,691802;110,584966;111,8637;132,492516;118,332726;;96,93552;118,384363;108,691122;101,403966;103,495286;86,722134;;109,476283;;94,514709;104,381284;91,29875;102,637982;96,835613;111,713743;104,178936;81,619764;58,316685;98,554779;120,746358;88,435705;137,83052;96,356567;87,204379;64,110063;120,853097;107,074314;90,879273;154,721146;101,574097;102,714906;89,127413;115,426561;97,936939;110,846873;118,863799;98,835062;95,235957;124,157648;107,438063;166,178477;107,555799;113,110838;189,939221;127,256127;124,345707;121,112962;127,798343;123,980051;146,406481;100,111234;165,830646;125,719289;180,215333;121,082711;95,239519;100,882601;121,842737;123,415584;107,023306;122,858368;177,791805;114,778698;104,343548;130,005187;129,94342;122,904113;94,192491;92,019452;103,4041;107,946542;94,540993;109,415231;83,821613;230,360749;112,891476;101,903098;109,500816;143,629821;96,46458;110,255801;87,556269;91,048602;183,88134;115,011276;87,805982;106,976302;119,479861;126,335303;63,455887;116,331342;116,851886;100,789876;71,932344;127,628549;94,315902;180,102763;;125,562845;153,469388;74,829863;117,445076;116,690711;133,556292;90,618815;68,22778;95,234412;136,25961;109,714942;104,838108;118,325098;73,708476;220,557082;139,524537;135,281625;91,459176;143,13082;68,442197;104,057652;113,749072;104,788305;110,72574;100,871872;99,276644;91,258199;114,355825;95,778325;90,162765;166,595978;119,645235;;108,195897;119,14105;;98,897527;87,672894;102,692804;111,044227;73,936404;162,284464;101,373201;105,548849;129,14661;83,120661;99,44548;80,820444;80,820451;53,962978;53,962996;111,259561;107,307728;109,915474;;106,328924
2012-10-01;96,034381;642,697339;132,136885;115,032591;106,17678;135,589227;106,326076;105,805078;115,851713;120,136017;109,885258;96,013827;181,122163;91,369697;115,119319;99,935578;65,63769;105,817577;105,671573;;96,961733;102,779113;125,994253;129,320325;101,273043;118,586189;103,501125;105,503803;109,124829;118,364993;125,278941;141,284727;78,278274;98,010918;81,858764;371,23365;149,543758;96,444339;133,544038;154,443876;87,966885;;114,001382;;112,389565;123,389407;115,74509;183,73747;97,042723;132,337254;88,069964;136,598585;117,405586;93,969911;112,637351;144,439097;108,829226;;94,161564;117,050094;115,590134;110,615295;104,917231;100,273112;;112,174353;;100,918258;100,221197;74,837532;108,414899;90,819614;115,945216;99,329058;85,023159;64,968611;98,215256;125,879368;92,768146;142,645832;84,778223;83,828499;64,234754;132,090931;83,989048;87,139178;149,098251;102,615585;98,775613;92,155349;120,731837;94,951597;111,002515;111,939617;102,72394;95,622306;121,115923;125,295453;173,695814;130,969421;144,17454;221,317966;129,027656;124,049928;119,338635;132,315885;122,736372;156,260445;99,020518;194,16876;126,021926;171,031281;123,007597;94,640251;100,79026;118,358848;127,217588;116,090689;105,595107;175,646379;104,162608;97,202728;139,288757;135,953654;123,473169;100,550299;97,931594;110,673618;102,387584;96,061796;106,566737;105,519629;228,840313;113,580446;90,325165;94,96637;138,808942;94,082648;121,402493;93,775462;84,926719;198,188907;114,104894;96,093166;88,619219;170,07236;96,702857;71,925078;120,341435;110,436341;99,8708;58,912993;126,126785;91,124166;184,927717;;150,584961;125,331206;75,734297;121,54514;108,148974;111,164311;88,590443;92,03286;105,566341;80,302117;102,450023;104,987033;144,914032;65,992303;110,411661;152,338148;113,087525;97,595748;85,217479;53,886328;106,162012;96,196427;114,232698;110,244124;93,13407;101,707723;92,12257;114,291859;98,960187;82,574312;134,556342;106,901572;;108,396865;121,082061;;95,680085;84,70498;103,247471;107,387823;83,326263;165,296645;106,88235;108,478867;115,456081;93,717908;104,317427;95,798878;95,798876;93,021425;93,021415;88,778731;118,984486;113,364623;;117,397989
