;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;0,989215;38,808352;1,023465;-0,950089;0,196952;1,011407;0,979724;-1,17456;0,994214;1,029568;-0,201348;0,978536;0,990261;2,538588;0,961842;0,994049;1,049891;0,975033;1,017768;-0,129487;1,004471;1,011114;-13,805867;0,997804;1,003359;-1,149068;1,475749;0,98423;0,995753;-2,197144;1,030747;0,912101;1,011573;-0,075549;0,965756;1,012706;1,011948;-0,737309;1,007835;0,973519;0,990884;-3,015999;1,005647;2,50289;1,035637;1,032449;0,916694;1,007671;0,809133;1,000351;0,904719;3,188981;-0,820874;1,180511;1,002233;9,181479;0,540913;1,036891;2,748991;0,99621;1,00116;0,987227;1,035493;1,035641;0,932395;0,995932;1,03363;1,061896;-1,362625;2,132407;2,408657;6,135696;2,534413;-1,216647;1,028267;0,875332;1,00416;1,485122;-1,915507;8,766189;0,998327;1,004183;2,323743;9,39707;-5,217897;0,947145;0,994411;-0,634373;1,00055;-0,085077;0,92232;0,030416;0,97962;5,643042;1,759498;0,99501;0,931782;0,946677;1,033109;3,962479;0,991283;0,983183;1,010625;-9,545928;1,088692;1,010006;1,325733;0,956924;-0,426009;1,014432;1,02208;0,997563;1,004585;0,966135;1,197048;1,059047;0,063176;-0,329079;1,051512;1,051533;-14,463358;1,022263;0,98664;-0,657583;0,973138;0,982035;-1,220291;-2,07753;1,022214;0,161757;2,047868;1,030115;0,973513;1,039536;-1,052183;0,972086;1,017698;1,596798;8,004661;1,175467;2,29811;1,033525;1,085778;0,987769;0,998748;0,954683;1,003517;0,087723;0,982962;1,028884;0,958185;1,15952;1,02103;1,025844;1,108167;1,008648;1,685191;1,030956;1,015187;1,014768;0,965184;0,99673;1,014063;0,722759;1,02334;0,78064;1,234003;1,004176;-2,330141;-7,235667;1,012865;1,074352;1,053951;0,94219;1,088361;-3,243542;1,056534;1,037591;1,203332;3,745965;1,022221;0,959704;0,366211;1,002623;5,862114;1,030528;0,954785;0,996275;34,904071;0,921593;2,366882;0,990125;0,98217;-1,098106;1,027584;-0,990606;1,019536;0,968818;0,96836;1,008945;0,979246;1,006755;0,980244;1,006659;1,00666;1,054393;1,05732;1,002921;1,530444;2,160284;1,296794;1,305772
2012-02-01;0,988246;-1,805899;0,981794;-26,459259;-2,671241;0,950928;0,992478;1,127412;1,005013;1,011567;-1,526328;1,016572;0,917858;-4,112134;1,034104;1,00433;0,975396;1,021123;1,000905;3,855144;1,027809;1,029615;7,940348;0,942315;0,993325;-8,452999;-0,645851;1,045232;1,005599;0,314662;0,992591;1,006642;1,004323;0,519741;1,024513;0,8934;0,96293;-1,619894;1,002043;0,950591;0,961965;3,576871;0,974586;1,869944;1,039296;1,068296;1,129233;0,868146;1,001485;1,014217;1,107991;5,369002;-0,018835;1,031203;0,963746;-0,200671;-1,793118;1,023452;-9,07961;0,986568;1,001555;1,001021;0,988742;0,818475;1,002032;0,991649;1,032721;1,013765;-0,523744;-5,200642;-8,629197;-4,487013;-2,640378;-2,016327;0,98172;0,963451;0,928017;0,061362;1,803634;-9,307327;0,970347;1,000026;-5,4647;7,011369;-4,841898;0,999922;0,984965;1,996235;0,991014;0,446038;-0,329264;-0,18909;1,033805;1,698252;-1,095364;1,004732;0,864667;1,055788;0,972008;-2,413979;0,998419;1,001693;0,639661;-29,016187;0,932896;0,702043;-4,540534;0,836559;-0,805339;1,04412;0,881997;1,027312;0,973312;1,064147;0,514052;0,960117;3,215957;-0,812565;0,972669;0,9888;0,371517;0,966219;1,011182;4,177355;1,017083;1,012094;0,787417;5,402987;0,993455;0,323316;0,37588;0,883906;1,026652;0,9831;0,652331;1,004098;0,904051;-1,306129;-3,232072;1,002013;0,743858;1,055423;1,001354;0,960007;0,997737;1,134642;1,010991;11,738336;0,990513;0,995785;1,036578;1,486683;0,983679;0,989459;0,991427;0,9947;1,074768;1,001396;1,001949;0,963575;0,994303;0,993752;0,993657;1,138431;0,978976;1,072143;1,194143;0,957032;-1,396642;11,002297;0,780833;0,922784;0,925821;1,045242;1,031008;8,044068;1,014279;0,986657;0,195632;-0,14557;0,984524;1,044764;1,931801;0,998989;-4,211317;1,062904;1,012002;1,016941;25,296386;1,019587;-1,706956;1,052065;0,990656;1,983256;1,034227;0,845945;0,978629;1,003509;1,035753;0,998382;0,993777;1,080458;1,029282;1,251489;1,25149;1,406878;1,407772;0,999755;-18,554355;-15,209216;1,090852;-11,812714
2012-03-01;1,006233;-1,541255;1,012458;1,851704;1,352382;0,833104;1,006352;-0,417188;1,012502;1,007411;3,810828;1,079863;1,022623;1,262347;1,020147;1,000973;1,014222;1,007757;1,051123;-1,873599;0,996457;1,00308;2,457935;1,025973;1,028657;-0,993977;0,693954;0,989303;0,990011;2,265041;0,959958;1,017267;1,002835;1,273234;1,099104;1,00818;0,998449;-0,058268;1,003301;0,950054;1,019191;-3,420669;1,021405;-3,655599;0,97913;1,022274;1,04871;1,170303;1,200045;1,145739;1,015843;0,8323;1,26976;0,917758;1,00557;-0,502711;2,552076;0,970028;-0,319816;1,012967;1,001549;0,99737;0,999259;1,023928;0,983684;1,019733;0,921526;0,986503;0,588144;9,543792;-1,702548;-3,249584;-1,915016;0,909564;0,995555;1,094274;1,010448;-1,743092;-0,16915;-1,04448;0,79301;0,965885;2,587622;7,377452;1,092788;0,951289;1,025968;0,126822;1,0087;-0,080282;0,937568;1,434334;0,974909;-1,179256;-0,503288;0,997813;0,98706;1,059583;1,009349;4,387332;1,007191;1,026188;1,020138;1,725568;1,012824;1,038679;0,295359;1,036479;2,420806;0,996867;0,976525;0,976365;1,036966;0,907938;-0,454631;1,019867;-4,484236;-7,563363;0,976381;1,032764;5,6118;1,011716;0,999654;0,634443;1,014225;1,020647;1,029543;1,803204;1,007349;11,348848;1,032296;1,060937;0,929274;1,014093;2,005496;1,002659;1,01854;0,729219;0,639855;0,982011;-0,792007;0,89171;1,001779;1,035661;0,987188;1,020295;0,988325;-14,041026;0,99713;0,894575;1,041644;0,904633;0,98759;0,989771;0,982804;0,973068;0,974894;0,983212;0,61171;1,013151;1,014371;0,977585;0,916344;1,237228;1,064778;1,074157;-2,933495;1,017037;3,693313;5,175758;1,004617;0,972342;1,048443;1,003797;1,001979;18,418465;0,969865;1,009186;1,573941;0,263595;1,005642;1,063555;0,052092;0,931354;5,682364;0,934668;1,060104;0,997614;15,990817;1,008087;3,029927;0,981831;1,02879;1,787614;0,999298;0,823348;1,046496;1,089909;1,053211;1,046006;1,003375;0,994077;0,985081;0,972354;0,972354;0,963496;0,962734;1,007581;0,276269;1,921848;0,955686;0,664081
2012-04-01;1,020791;-7,866594;0,990978;-8,165488;1,252838;1,035781;1,00298;-0,019436;0,989559;0,983406;-3,148699;0,998747;0,984374;3,135654;0,95751;0,996989;1,078064;1,00767;0,984264;1,25508;0,970871;0,96871;2,925057;1,002614;0,966327;1,247446;-2,846556;0,996075;1,002829;-1,129411;0,982758;0,964875;1,025436;1,237314;1,01097;1,013181;0,96673;-1,223808;0,973911;1,06764;1,002697;0,483491;0,994833;1,31898;0,961515;0,850807;0,977721;1,013223;0,965821;0,978551;0,946793;-3,202485;-0,310093;0,84726;1,009763;-3,211294;-1,481697;0,986328;-27,472314;1,014257;0,968465;1,01279;0,893154;1,001944;1,02237;1,012031;0,979845;0,946895;1,993944;-2,884378;-0,748741;5,73979;4,746494;1,107914;0,942335;1,001451;1,000825;-0,368197;0,253129;1,38877;1,010382;1,011534;-4,54282;2,317556;2,767543;1,005499;1,009222;-7,530426;0,990437;-2,381982;-1,534723;-1,032747;1,030725;-0,660931;1,995417;0,682629;1,164976;0,96784;0,990319;-1,301478;1,021987;1,006397;0,962535;0,982717;0,996221;0,926941;2,696152;0,983684;1,053477;0,933602;1,05895;0,985097;1,084783;1,052636;-1,421074;1,009759;-1,466206;-3,855233;0,989998;0,921362;-0,863312;0,890927;0,99877;-4,360773;0,987283;0,957548;-1,531638;-1,468942;0,983216;-4,497688;-2,281118;1,237832;1,032479;0,950534;-0,638078;1,013234;0,977426;0,534178;-1,626971;0,971015;-2,254555;0,944495;0,967404;0,980508;1,026845;1,046226;0,999659;17,960692;1,020446;1,01412;0,966766;0,957825;0,904009;0,979296;0,997387;1,007474;0,977098;0,957953;1,042282;1,092446;1,169404;1,016624;1,001357;0,955427;0,964895;1,000719;-0,711145;1,011233;2,576992;2,259696;1,102781;0,995707;0,903346;0,981994;0,610083;10,018626;0,975137;0,974437;0,03262;-0,611714;0,987999;0,81507;-3,959458;1,013901;-0,498774;0,968465;0,979247;0,986062;12,662464;0,963983;-3,341658;1,038622;0,998841;-12,939018;0,973066;-0,506721;0,99116;1,01139;0,78421;0,993754;1,008236;1,078972;0,996341;1,086783;1,086784;1,226022;1,221567;0,977373;-1,513273;-6,024817;0,790323;-1,674468
2012-05-01;1,004483;3,597032;0,971877;0,146741;7,177862;1,005069;1,015625;0,530907;1,005256;0,971815;2,636586;0,998522;1,014198;-0,779528;1,014775;1,001204;0,967714;0,986655;0,983561;0,228372;0,988047;0,974607;-8,772015;0,996402;1,00489;0,622365;-0,102968;0,991371;1,004971;-1,603548;0,9968;1,121904;0,991168;0,836079;0,974701;0,986054;1,049302;5,793881;1,013708;1,076932;0,980999;3,183898;0,975939;7,6222;0,976811;1,181973;1,064412;0,986219;0,837346;0,959035;1,054138;-0,78844;-5,05884;1,176971;0,980174;1,589528;-0,05452;0,982817;-0,541825;0,987638;0,999358;1,000593;0,99405;1,000362;1,056214;0,98873;1,023663;0,954775;-1,371114;1,597782;1,15312;-0,839483;-3,006602;2,114372;1,082302;1,062261;0,997983;1,269988;-0,094072;-4,41495;1,070465;1,025868;5,356311;-5,027939;4,608078;1,031188;0,996825;0,485913;1,015268;0,654643;0,653147;0,676613;0,990636;-0,976881;0,836502;0,72365;1,058625;0,883015;1,016449;-0,103682;1,00608;0,973155;0,933802;-0,180073;0,903302;0,995583;1,816806;1,025733;-0,822822;1,113191;1,046039;1,023261;0,983371;0,975918;-0,809309;0,972519;5,14735;6,986367;1,057568;0,991819;0,366581;1,014238;1,015434;-0,868484;1,017431;1,042274;-0,516346;-3,7297;0,993273;0,076874;-0,977395;0,961396;0,988265;1,007326;-1,35097;1,021008;0,992339;-2,127168;-1,311179;1,047929;-1,277923;1,149472;0,96192;1,003888;1,024589;0,894117;1,042391;-5,532159;0,995433;0,995813;0,972332;0,936791;1,018369;1,00949;1,012561;1,20077;0,920945;1,01988;1,04568;1,028531;0,98063;1,04581;1,008938;1,015032;0,996697;0,911319;2,401217;1,018137;-1,888976;2,800499;1,126252;1,05783;1,109667;1,016739;1,600162;2,395814;0,975472;1,00105;-1,478291;-7,451113;1,002732;1,052232;-1,34873;0,982779;2,248238;0,978091;0,977247;0,990541;15,102397;1,038641;-1,57538;1,052719;1,004021;-0,683;0,997369;-1,002909;0,980607;0,991767;1,000063;0,975114;0,944647;1,002515;0,993979;1,005197;1,005197;0,961387;0,972997;1,019145;0,434402;-1,556473;0,952457;0,492995
2012-06-01;0,992222;22,02892;1,043387;0,987293;8,525861;0,996948;0,998995;0,472135;0,994296;1,003848;-1,46093;0,989169;0,953145;15,680837;1,008052;1,002575;0,982891;0,998503;1,045435;-0,517997;1,032433;1,010229;24,273576;1,003862;1,004165;1,847786;2,806539;0,96846;0,995684;2,585884;0,973945;1,003968;0,977166;-1,481376;0,993343;0,951758;1,032995;-1,234372;0,994244;0,944934;1,032641;-2,723634;1,013627;-8,371027;0,87774;1,022021;0,902983;0,727849;1,027225;1,025963;0,998029;-8,03713;3,617154;0,966103;1,000464;0,545538;1,144961;0,936009;8,967617;1,060185;1,002048;0,97747;0,9924;1,039452;0,96047;0,978994;0,973672;1,046295;-0,968747;-1,809758;1,192682;3,331853;-3,179963;-1,368302;0,976701;1,088263;0,982852;0,63326;-4,985529;-10,548427;0,945174;0,985595;3,917199;-11,117054;3,328559;1,022021;0,974645;-0,15393;1,000557;0,566601;-1,507834;-1,872082;0,976574;-0,735982;-6,236252;0,846476;1,004497;1,06737;0,989501;0,973517;1,003889;1,012876;1,018745;1,448869;0,985169;0,993411;36,865818;0,995762;-0,278237;0,892195;0,948462;1,021429;0,999416;0,958892;1,430118;0,954834;4,186296;-2,875931;0,959727;1,036934;-1,225299;0,987724;0,989864;0,709182;0,960596;1,058177;5,253273;1,457187;0,997521;0,671186;0,179241;0,95621;1,044419;1,005885;-1,259473;1,007351;1,08412;-0,136186;2,367869;0,993762;2,345167;0,928051;0,980875;1,037263;0,945413;0,907068;0,975605;-7,287368;1,034504;0,983236;1,088734;1,040614;1,010547;1,014853;1,000596;1,033692;0,98835;1,00948;0,640616;0,924905;1,027389;0,965083;0,992589;0,792306;0,973979;1,134666;-9,573358;1,02323;1,273118;-11,544659;1,18324;0,978703;0,942157;1,020244;0,95736;-22,16683;1,028856;1,006299;-2,609551;-0,700822;0,996231;0,927499;1,732208;0,99448;-6,581875;1,043808;1,0072;0,996806;-0,261915;1,004294;1,96756;0,901389;0,988512;-0,802483;0,966454;3,376575;0,964664;0,968019;0,929341;1,020747;1,021903;1,000338;1,009761;1,009038;1,009038;1,047856;1,03973;0,990728;-1,121998;-0,459626;0,95742;-0,819186
2012-07-01;0,981014;-5,615214;0,916983;-0,292679;-10,589369;1,000948;0,958272;0,143442;0,996229;0,99501;0,74643;0,995538;0,844823;-28,597289;1,009634;0,998291;0,852241;0,981303;1,010269;0,337966;0,988322;1,015132;32,364965;1,162511;1,034135;0,267702;0,74788;1,005499;1,007294;-0,773779;1,038263;0,974726;0,936378;-1,498425;0,992153;1,019918;0,979089;-6,664701;1,025987;1,245363;0,979366;2,796088;1,014865;0,41984;1,075095;0,991416;0,940336;1,253324;0,960644;0,847527;0,800009;-0,722743;-0,24818;1,019841;1,013788;3,05113;-0,379063;0,966108;-5,265437;0,991532;0,997488;0,994278;0,988608;0,890179;0,981222;1,004995;1,106754;1,098057;3,127057;-10,343871;-3,132891;-5,46722;1,035723;-2,207067;1,042415;0,909674;1,000075;-2,924022;0,015815;7,991839;1,011475;1,010363;0,454872;-23,449433;-3,160678;1,03108;0,969528;-1,664501;0,998426;-0,855416;1,958098;-0,487426;1,107057;0,929035;-0,88209;0,876691;0,977524;1,049871;0,965272;-1,527456;0,960866;1,004894;1,005274;-0,654206;1,061155;1,000776;21,564225;0,994205;8,386318;0,922319;1,031512;1,187114;0,998524;1,023468;0,795718;1,034003;0,183963;1,679516;1,045183;1,013396;-1,063476;0,992485;0,988121;1,490953;1,000768;0,998799;-3,877394;1,761562;1,017111;-2,423278;-0,349358;1,04649;0,998848;0,975347;1,852772;0,972683;1,008833;2,035612;2,296996;0,998869;1,075381;1,043136;1,009305;1,024925;0,980359;1,022513;0,965725;3,426808;0,879801;1,018393;0,978322;1,021261;0,980274;1,012402;0,989666;1,021782;1,145737;0,98966;1,000493;1,003092;1,222345;0,954304;0,977313;1,75728;1,007051;0,891869;0,259604;0,9852;-2,380015;55,092409;0,933178;1,072774;1,017069;0,885112;0,898669;-21,462461;1,451835;1,13577;0,849696;2,715489;1,047466;0,988691;9,106289;1,030683;0,666741;0,985196;0,978484;1,039164;-3,752306;1,062646;1,709378;0,936954;0,963726;-6,275204;0,997627;0,207495;1,214255;0,951907;1,061473;0,99512;1,016884;0,969979;1,010964;0,991506;0,991506;1,028441;1,022266;0,994958;0,395449;-1,166976;0,996727;0,226839
2012-08-01;1,014318;1,794182;0,914987;-1,396434;-7,891111;0,918564;1,008786;-1,185302;1,007061;1,000196;-1,529064;0,979684;1,097816;0,739695;1,06656;1,000756;0,933527;1,029261;0,999281;-0,320874;0,966116;1,00336;-40,683437;1,019144;1,009417;-11,504451;-4,858556;1,034019;1,001707;0,010636;1,004525;1,016965;1,048097;4,346668;1,009458;1,024227;1,347002;11,854834;1,243323;0,992586;1,066636;65,092388;1,011165;47,724398;1,137236;0,846449;1,061316;1,070939;1,003372;1,089904;0,612036;0,084348;-1,10762;1,059121;1,016887;-14,888219;0,215303;1,104565;-2,089558;0,943562;1,001815;1,016882;1,030518;1,922606;1,292587;0,997698;1,203969;1,052683;-3,929431;7,056695;0,331716;-4,135692;0,850218;0,459951;1,043402;0,997562;1,06883;4,312446;-0,748391;10,962747;0,993608;0,982678;-0,521195;10,211439;-2,913059;1,039595;1,070555;10,762017;0,992491;0,066102;-1,88469;0,860137;1,005237;0,249938;-1,46101;0,811428;0,637029;1,026816;1,035161;-0,937319;1,164945;1,396705;0,995517;-1,925498;1,0083;1,018313;19,126671;1,151537;-2,927601;1,125095;0,887417;0,956968;0,999834;0,965604;0,114263;0,994233;-0,842942;5,059201;1,462568;0,959845;-3,782613;1,027179;1,081838;-0,403913;1,007246;0,917013;-1,466488;-0,519766;1,005887;6,422345;0,72056;0,945154;1,294756;0,995842;6,071984;0,98308;0,992901;-0,223654;-0,491474;1,036087;1,575544;1,010469;1,04175;0,95445;1,048478;1,123148;1,017637;5,150407;0,947715;0,996467;1,004444;1,142804;1,012707;0,99751;1,003733;1,527331;1,209957;1,080836;1,561639;0,993325;0,965835;1,035664;1,026088;1,103073;1,193611;0,984328;1,290274;0,96051;-6,952721;28,62377;0,969262;1,26796;1,044917;1,096342;1,134733;8,93291;1,29269;0,966924;0,01368;-2,142768;0,986456;0,718718;11,564496;1,014509;15,183548;1,036366;1,008151;1,098053;56,936535;1,003255;-9,663771;2,165654;1,037736;2,300816;1,016522;0,408492;1,02133;1,036859;1,022053;1,101856;0,982836;0,979777;1,005182;1,014029;1,014029;0,987191;0,995467;1,124057;1,504362;2,135458;1,651035;2,048951
2012-09-01;0,991209;4,992445;0,995896;-1,08054;0,10431;0,993721;0,989256;-1,380382;0,992193;1,006425;-4,971797;1,036428;1,029391;3,015262;0,988425;0,982422;1,057089;0,993698;1,003889;1,100649;1,044938;1,014613;0,564844;0,923003;0,952023;-2,240075;-1,826472;1,008644;0,990049;2,808933;1,043519;0,982073;0,981825;-1,155673;1,00876;0,995243;1,03746;-0,073125;0,982652;0,927695;0,997866;8,48521;1,004474;0,351367;0,868188;0,924655;0,883419;0,927072;1,131898;0,973784;1,241119;2,037167;3,015854;0,957221;0,980938;-2,923781;-0,010961;1,036019;0,662882;1,037347;0,994223;1,003429;1,004888;1,002948;1,033362;1,003679;0,985315;0,949724;3,723934;-45,72757;0,584715;8,813951;-0,712351;3,079978;0,87667;0,910727;0,999764;-1,083168;0,960272;4,613807;1,031787;1,031679;0,514382;-3,525073;10,252839;0,976409;1,015523;-1,376593;1,042995;-0,307009;1,319503;2,292824;1,001418;7,68041;1,160485;0,948853;1,008442;0,93765;1,007355;-5,560312;0,866166;0,970286;1,064905;1,284214;1,003647;1,009171;14,441509;1,0057;2,138459;1,020785;1,041964;1,011745;1,03185;1,041518;-0,982253;1,000432;-6,469736;2,965385;1,136465;1,031348;15,715839;1,014242;0,992603;0,76822;1,021227;0,957337;-1,003342;-0,450828;1,016202;0,441905;9,159124;0,954399;1,138108;1,024557;2,2478;1,004502;1,018989;0,872643;-3,227653;0,965814;-0,628688;0,924041;0,919345;0,984753;1,033098;0,896149;0,986529;-12,086637;1,008751;0,998185;0,97742;0,961057;1,017357;1,011346;1,095999;0,976253;0,87144;1,033855;0,635185;0,995183;0,987723;1,057385;1,005212;0,904839;0,991257;1,491048;0,432063;1,010665;3,075988;20,083906;1,026728;0,922117;1,012028;0,987938;1,180868;5,249448;1,200444;1,044514;1,721492;2,076432;1,017083;1,014692;-1,334414;1,000774;-2,049939;1,022402;1,055399;0,998007;10,252515;0,950704;0,149785;1,367725;1,005108;4,20467;1,019863;-0,24108;0,961661;0,976095;0,983102;1,014299;1,096056;0,9987;0,994464;0,987316;0,987316;0,949433;0,951766;1,015943;-3,076281;-1,367262;0,997596;-1,859747
2012-10-01;1,000995;3,600819;1,026481;1,406443;-2,024974;1,025333;1,016593;1,514645;1,013212;1,016876;2,349319;1,022449;1,205162;-7,141566;0,959926;1,001599;1,056322;1,003533;0,999933;-7,395803;0,979848;0,969473;-4,61973;0,97182;0,9671;1,716896;0,446291;0,978924;1,014149;-1,092671;0,993573;1,029712;1,031282;0,045192;1,012018;0,965675;1,002074;0,971297;1,022671;1,058279;0,972445;-9,070521;0,985534;-11,506812;0,96743;0,94044;1,022248;1,062114;0,99983;0,96669;1,119299;4,078052;1,516347;0,972082;1,011423;1,839284;0,078046;1,034606;-0,146081;0,999251;1,036227;1,053418;1,005524;1,000843;0,99201;1,023577;0,945254;0,981043;0,096552;-50,482523;3,22762;3,933012;3,916065;1,011434;0,912206;1,049839;1,010431;-0,554797;0,136346;5,325008;0,989408;0,967415;-2,858644;7,113289;-4,622093;0,892252;1,010389;1,35979;1,00143;1,065382;0,315568;-0,127593;0,985871;-2,146653;0,664381;0,937646;1,031856;1,080902;0,941967;0,666492;1,012902;1,02839;1,006206;-0,500719;1,005641;0,982317;9,743442;1,009925;-1,707861;0,989271;0,988596;0,996509;0,977152;1,019921;1,190412;1,007812;0,986797;9,403822;0,899879;1,01645;1,282714;0,943602;1,03037;1,975413;1,020087;1,021375;1,108428;-1,611227;0,982263;0,001678;1,366357;1,030363;1,06792;0,995422;-5,322386;0,992196;0,994735;-5,474282;2,738998;1,009095;-0,591243;1,052736;0,975098;0,964663;0,880421;1,017152;1,013368;1,390167;1,010323;0,992573;0,951261;0,950615;0,990558;0,973026;1,001687;0,858483;0,99876;0,901117;1,05873;0,99212;1,006349;0,979974;1,018167;1,154348;1,095323;0,74661;0,244524;0,995293;15,197433;11,398731;0,777047;1,067381;0,980793;1,038247;0,776119;-14,01251;1,125486;0,967741;4,247531;2,231126;0,990364;0,866368;-1,068337;0,974673;-3,674621;0,767033;0,971284;0,97749;3,90713;1,005486;2,233706;1,039969;0,999852;-1,687853;0,971815;-5,248988;1,019569;1,210549;0,863494;0,993112;0,999235;1,023031;0,998495;1,022591;1,022591;1,0282;1,025376;0,909882;0,061439;-0,05954;0,820575;0,445809
