;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;0,966971;-0,049632;1,017658;-12,62181;21,151314;1,050963;1,032154;1,903143;1,001853;0,910477;-2,192973;0,996206;0,653876;7,939529;0,986099;1,060986;0,8796;0,997693;1,031153;-0,49844;0,902683;1,01146;12,787771;0,885447;0,962699;16,604894;5,319167;0,995038;1,050522;9,272689;0,914333;0,651738;0,787478;2,941981;0,947834;1,039089;1,078829;8,261169;0,98907;1,06494;0,982682;12,007922;1,026008;3,44035;1,146632;1,138238;1,078761;0,990547;1,15893;1,167295;1,307346;-6,685113;9,117005;1,191525;1,166104;-1,718809;-3,035986;1,004928;11,444437;1,020842;1,068704;1,067389;1,141067;0,895835;1,088383;1,008965;0,9742;1,02619;0,4902;9,215695;-14,437316;8,325814;20,577598;3,434982;1,110568;1,423364;0,988045;-0,204976;9,644207;-6,925266;0,987658;1,087486;7,849673;2,01607;4,472221;0,945577;1,067268;8,058441;1,053054;2,54027;0,621499;4,316006;1,021728;7,747433;0,166065;1,048263;0,994519;1,044155;0,975802;-1,278949;1,007672;0,974911;0,782682;-5,628131;1,048552;0,838398;3,026502;0,402845;3,852485;0,883629;1,064109;1,090446;1,075282;1,117992;4,873336;1,080241;14,108923;-0,008475;1,112499;1,004595;21,708652;1,132614;0,966449;1,272815;1,085412;0,87094;5,399445;1,42759;1,086668;4,12071;5,522586;1,014172;1,180699;1,065224;-0,519762;0,906376;1,042484;14,827523;-1,929524;0,920541;-4,749031;0,80421;0,705145;1,020468;0,831704;0,956743;0,552424;-36,535494;0,905354;1,02401;0,95467;0,849667;0,962493;1,017005;0,949584;0,945088;0,890657;0,990349;0,86608;1,037727;0,970156;0,889786;1,008878;0,564649;0,83842;1,101164;-11,396496;0,870593;2,355532;-13,755068;0,884357;0,966662;0,732255;0,921999;0,700088;-8,971943;0,993008;0,99637;2,237947;8,992289;1,063821;1,030499;16,238873;1,111223;-6,536607;0,993443;0,814214;0,960596;-14,460315;1,07737;4,54452;1,014094;1,019977;4,700069;0,914028;-7,875298;0,80797;0,811227;1,061794;1,033513;0,858538;1,268614;1,043912;1,350995;1,350995;1,736479;1,743126;0,926218;-3,530902;-9,419029;0,657387;-1,975702
2012-02-01;0,937522;-20,70589;0,905609;-6,076335;9,94884;0,964463;0,977503;-7,518234;0,966921;0,974154;0,96915;0,933705;0,605579;-4,325359;1,087839;1,013595;1,116873;0,964414;0,952546;-4,610176;0,970388;1,028368;18,69446;1,106692;0,970861;1,112507;-8,770871;0,960558;0,995046;-0,980745;0,849319;0,591142;0,795673;-7,834878;0,950456;1,065488;1,104183;12,337313;1,015072;0,999071;1,221876;5,438252;1,043892;4,34737;0,977703;1,060291;1,281031;1,143266;1,154598;0,984974;1,176334;-0,535791;-2,552223;1,267019;1,070546;3,763543;-12,380137;1,031972;-11,175859;0,964209;1,017335;0,969651;1,000904;1,16131;1,012702;1,031127;0,979554;0,949435;-7,267965;2,936628;-17,895994;-0,507365;15,270335;-1,89062;0,914076;1,556963;1,019903;-0,675897;8,892064;-3,227153;0,94185;1,043317;10,420372;9,519034;9,71875;0,988793;1,087955;8,51377;1,034777;-0,155573;-3,808746;4,296177;0,939059;3,667389;-1,052748;0,979634;1,031672;1,025174;1,075893;3,029688;1,145672;1,089155;0,939737;0,178927;1,082373;0,936905;6,185689;0,586271;4,214503;1,004604;1,070117;1,109195;1,010006;1,143579;2,965057;0,956184;8,554431;-2,518439;1,105517;0,969066;10,382002;1,104927;0,968155;-1,695552;0,956125;0,947427;-0,774002;1,900504;1,075141;3,870418;1,96686;0,985745;0,995838;1,115264;0,047264;0,902384;0,983837;8,988087;-1,695808;0,912942;-4,507125;0,817386;0,744035;1,08146;0,957229;0,949251;0,738806;-19,026684;0,910085;1,0121;0,997251;0,963822;1,024282;1,000728;0,978411;0,958941;0,824498;1,048142;0,851089;1,036371;0,930535;0,964784;1,045449;0,580449;0,981289;1,00747;-7,770934;0,961631;15,258818;12,41553;0,655241;0,950147;0,77981;1,024567;0,727132;2,512209;1,015399;1,121898;6,613691;5,863956;1,093064;1,055205;14,747314;1,130977;2,512125;1,24525;0,884326;1,064242;-5,434082;1,170782;13,686202;0,965565;1,049241;4,864291;0,980334;-4,123156;0,89098;0,868928;1,012807;1,024139;0,902079;1,132799;0,973453;1,166018;1,166017;1,55026;1,557864;0,900045;-5,567466;-5,957969;0,839877;-2,539674
2012-03-01;1,027231;-7,82909;1,126759;7,694014;1,030477;1,099355;1,037251;1,935301;0,994237;1,05302;8,194476;1,071267;0,612123;7,610988;1,071839;1,074405;1,297578;1,03447;1,004668;1,055327;1,033104;1,123182;10,097409;0,993756;0,979892;9,956101;2,946383;1,060655;1,041428;3,080882;0,957345;0,704162;1,004231;2,334798;1,089782;1,072115;1,156395;20,852862;1,15053;0,995016;1,054335;12,390505;1,131503;10,070571;1,05966;0,952762;1,238302;1,147143;1,02715;0,768975;1,066897;20,390457;-0,436005;1,259667;1,093147;10,340321;-5,327738;1,100542;2,219817;1,039205;1,050192;1,006149;1,045134;1,068584;1,032546;1,104749;1,100572;0,98236;-1,093161;8,0153;-1,202885;3,833316;24,501699;6,563872;1,078347;1,618495;1,188069;3,06599;9,577427;1,781215;1,103917;1,131622;9,610656;14,775322;17,481497;1,073081;1,130768;17,768736;1,147064;7,076675;5,253127;12,530173;1,026017;9,837695;5,051625;1,027809;1,131568;1,101037;1,23912;18,224636;1,132008;1,065683;1,102804;12,36629;1,154259;1,111837;13,341032;0,886595;14,106801;1,176188;1,140842;1,220694;1,12946;1,146812;8,979747;1,090188;19,236991;10,703488;1,218946;1,10183;22,192062;1,049611;1,063392;4,851686;0,950398;1,096481;6,27208;11,228488;1,134339;11,586488;13,881548;1,024334;1,162914;1,078094;14,090155;0,973201;1,061897;13,977692;6,821815;1,087671;6,511375;1,214867;1,09633;1,119466;1,108303;0,935525;1,220759;2,840222;1,093947;1,14804;1,113738;1,300896;1,148021;1,066288;1,017029;0,984348;1,021225;1,12399;1,443638;1,104508;1,155401;1,106121;1,137734;1,3226;1,117513;1,094472;9,669737;1,122042;31,134483;19,858859;1,052956;1,109535;1,000689;1,041364;0,734829;-5,121076;1,084906;1,138379;17,968068;9,734582;1,128108;1,1398;20,850292;1,207213;21,572635;1,271692;1,266822;1,055996;3,351179;1,062868;8,9753;1,041302;1,153939;10,098226;1,101539;4,573628;1,053759;1,12344;1,105982;1,070174;0,999804;1,108377;1,029072;1,138049;1,138049;1,378655;1,384422;0,953079;4,170757;2,124773;1,039999;2,515652
2012-04-01;0,997045;-5,158622;1,107192;9,614055;-15,784784;0,967667;0,9884;-3,736103;0,949691;0,976186;10,313924;1,048561;0,542232;4,696968;1,00049;1,035032;1,496959;1,010086;0,948631;-2,115984;1,055267;1,008675;10,027093;0,873632;0,995139;0,212981;-0,554874;0,9919;0,956788;-6,762009;0,955027;0,758019;1,159871;0,256238;1,077643;0,974859;1,049193;15,452085;1,056876;1,067552;0,933177;8,501537;1,03586;5,167474;0,936831;0,974034;0,819792;1,064476;0,820713;0,745106;0,963858;19,577428;-7,601677;0,970916;1,042234;6,517615;-7,247865;1,088784;-2,81684;1,011846;0,993476;1,019487;0,988424;1,033484;0,995635;0,985968;1,032923;0,981611;-0,864564;3,363579;7,0715;3,105247;-9,260545;1,438744;1,000118;1,174049;1,120531;1,859892;0,354782;-1,735217;1,109711;1,016257;2,231754;5,940482;12,310864;1,061666;1,040438;9,583106;1,110494;4,178644;1,668923;3,042402;0,984754;0,576087;2,553933;1,034655;1,058763;1,068534;1,164392;10,384841;1,018228;1,087052;1,107973;9,569035;1,037536;1,049708;2,603889;1,003105;5,043795;1,041581;1,021988;1,031687;1,046355;1,019728;4,268775;1,056802;2,607322;8,639365;1,050464;1,095797;9,731198;1,067134;0,984022;2,577488;0,870904;1,065495;-4,787598;-1,360148;1,065883;4,119898;1,373405;0,981565;0,94608;1,033642;3,795262;0,927849;1,061063;6,449546;-0,795531;1,080802;-3,445762;0,836294;0,819613;1,022647;0,919851;1,010562;0,631107;0,420232;1,021756;0,955899;0,995152;0,912314;1,01921;1,004867;0,934152;0,95676;0,959477;0,94539;0,829462;1,035018;0,89569;0,942435;1,03907;1,418858;0,986578;0,906877;-0,846001;0,946054;14,204474;-13,642603;1,028933;1,146984;0,94967;1,040982;1,033101;-19,158452;1,033001;1,070125;7,912358;2,155848;1,029556;1,125348;11,457751;0,945121;-1,467197;1,318797;1,073002;0,952251;6,153725;0,893099;-3,997704;0,992672;1,002206;13,125187;1,022126;-4,233279;0,963884;0,945151;1,097394;1,008273;0,934634;0,930407;1,007335;0,936835;0,936835;0,892008;0,896178;0,943574;4,088633;1,47787;1,370651;0,483006
2012-05-01;1,029763;4,899303;1,027358;-1,064951;-2,374732;1,01205;1,01211;0,175191;0,998741;0,947078;7,239948;1,065254;0,558387;-5,816044;0,953497;1,057571;1,349451;0,988155;1,024123;-1,097319;1,030661;0,924612;-1,961264;0,84693;1,015272;-13,22929;-0,163398;0,981933;0,972278;-8,473599;0,930064;0,778007;1,228022;2,450485;1,078382;0,915731;0,935927;6,411179;0,98751;1,086973;0,924382;5,797511;0,994355;-1,09616;0,944647;1,068823;0,965991;0,863994;0,861499;0,714529;0,846836;11,106646;-0,687732;0,774949;0,984948;-5,183339;-8,917274;1,089671;4,238812;1,035674;0,962269;0,996272;0,995938;1,176725;0,967242;0,955606;0,981766;0,981771;0,058971;11,408716;10,985475;-0,895578;-14,817648;2,90544;1,036698;0,765648;1,047364;0,307921;-8,348638;-1,760694;1,083284;0,966475;0,990428;3,304699;-6,160177;0,944832;0,981345;-2,975887;1,020009;2,251906;-3,268222;1,110737;1,005696;-4,221942;7,002562;1,045416;1,093205;1,062384;1,141181;11,421652;0,910842;1,051138;1,043529;1,360974;0,989353;0,96682;-4,397026;0,979203;9,300079;1,054379;1,031372;1,002;0,958692;0,99449;6,614092;0,983772;1,670334;-4,05735;0,942973;0,962158;3,142352;0,981855;0,952754;-2,996102;0,861472;1,026408;-14,873557;-12,201768;1,019717;-2,636204;-4,927106;0,889596;1,024501;0,957412;-2,197029;0,919485;0,981415;-1,96747;-9,343007;0,932648;-5,943088;0,835811;0,819821;0,984786;0,890906;0,931816;0,751701;-21,375805;0,986338;0,909365;0,880425;1,066553;0,951824;0,944474;0,889893;0,812;0,88469;0,915814;0,784744;0,964748;0,920726;0,89054;0,988861;1,195399;0,876111;1,054452;-8,560475;0,956325;1,340036;-2,751853;0,762497;1,040206;0,877099;0,911731;0,767693;-21,061455;0,9146;0,990951;-0,443165;3,294042;1,044629;0,823969;0,821308;0,847213;-10,883157;1,10625;1,029966;0,849134;3,125879;0,830682;-9,816326;0,9878;0,980011;-7,204655;0,950616;-5,356344;0,910348;0,786319;0,90003;0,923453;0,911822;0,921534;0,997212;0,860107;0,860107;0,682191;0,673004;1,021999;4,109507;2,103503;1,227473;1,817098
2012-06-01;0,998977;-0,222865;1,111838;15,054793;5,263812;1,010708;0,978862;-1,967496;0,985298;1,060253;8,36197;1,078369;1,005222;-17,559298;0,916502;0,963539;1,448731;1,024118;0,987242;-0,251371;1,041739;1,095811;12,626713;0,89479;0,947608;-5,043056;-3,992912;1,085856;0,938376;0,695601;1,035084;0,812467;1,303645;-1,487178;1,245379;1,124368;1,114438;13,932802;1,129543;1,146411;1,01776;11,786993;1,073343;14,877126;1,087116;0,910152;1,118065;0,924829;1,138224;1,085139;1,200613;21,824341;13,246707;1,105914;1,043523;17,671356;13,894408;1,125531;-8,401248;0,98538;1,054494;1,006361;1,111867;1,16478;1,069233;0,997095;1,025618;1,017453;2,052854;6,75267;5,206622;-5,496845;-2,584596;-0,497795;0,891473;0,648113;1,221037;11,457867;8,942807;15,150799;1,269996;1,083732;0,929002;9,625204;5,83319;1,030026;1,069606;12,272225;1,111031;7,430011;14,11587;10,387621;0,972336;12,702034;1,357322;1,027497;0,966818;1,096198;1,244072;14,506238;1,099162;1,185993;1,161285;19,799123;1,094679;1,182109;11,439223;1,272513;6,193292;1,182273;1,162842;1,179006;1,115977;1,111223;10,276408;1,041617;12,134342;10,685574;1,151788;1,175549;18,221508;1,09472;1,127626;17,414373;1,05237;1,190499;1,063825;8,307791;1,130198;14,516286;9,140017;1,035973;1,088354;1,071286;13,009198;1,142156;1,120993;10,765647;8,261454;1,131784;7,574576;1,150112;1,278845;1,035148;1,226331;1,076375;1,329133;35,945235;1,142361;1,107674;1,057841;1,189434;1,168921;1,074189;1,05181;0,964858;1,099795;1,153429;1,309976;1,125624;1,150648;1,151105;1,098572;0,684181;1,253761;1,087005;17,376394;1,131949;13,317457;6,583922;1,289239;1,192133;1,219492;1,226568;1,186835;-2,514881;1,114232;1,184006;13,258024;11,242309;1,126921;1,102382;12,869369;1,07706;19,69706;1,497233;1,162251;1,063937;17,877499;1,055404;6,830065;1,162583;1,099147;5,37916;1,076293;6,167169;1,163231;1,090213;1,048209;1,051619;1,11086;0,860228;0,980023;0,803892;0,803892;0,497042;0,498929;1,090746;6,106935;11,203009;1,275936;7,995156
2012-07-01;1,029724;3,662621;1,133634;20,903665;6,813998;1,077897;0,995956;-0,215485;1,016783;1,043897;-17,412289;1,085203;1,491394;-17,903461;0,878102;0,92178;1,269643;0,980842;1,021891;-0,79883;0,958415;0,991484;-23,073289;0,86791;0,95736;-22,512794;2,371682;1,055284;0,958278;-9,915144;1,110786;0,927374;1,275363;2,036555;1,151073;0,888288;1,034009;11,405609;1,080704;1,047661;1,040856;6,433681;0,976888;5,983385;1,352953;1,125068;1,210964;1,019756;1,401537;1,332474;1,218152;13,698537;9,440924;1,161332;1,051892;26,204894;20,700508;1,060066;9,15663;1,02363;1,053487;1,040013;1,001456;1,095766;1,054143;0,901741;0,902362;1,086599;7,31414;14,469587;7,726121;7,692373;-10,148465;7,159139;1,001749;0,881348;1,180695;1,355631;4,894446;2,0497;1,199445;1,074051;6,490856;-7,010974;-4,958554;1,000724;0,933291;7,029693;1,11316;11,001257;19,553788;5,636837;0,998812;12,905382;-2,103561;0,91793;0,954695;1,10323;1,169941;-3,485163;1,020054;1,168833;1,196881;18,047272;1,063964;1,215747;8,444281;1,51293;0,796981;1,064736;1,244789;1,080704;1,165116;1,155469;9,521192;1,11922;9,64513;8,149861;0,988196;1,048505;12,342928;1,148923;1,151011;25,911319;1,038725;1,256313;4,229849;3,854688;1,081265;13,437204;10,386861;1,094949;1,175486;1,025327;21,433675;1,131044;1,18045;5,665755;8,665828;1,068424;1,576773;0,90375;0,929737;1,048641;0,902746;1,032219;0,785213;-18,58181;1,09349;1,034445;0,976856;0,93432;1,025125;1,051273;1,015047;1,013265;1,059735;0,938363;0,859924;0,951725;0,957474;0,982248;1,089809;0,709958;1,1763;0,900079;11,666724;1,064038;0,510427;3,706492;1,366115;1,221044;1,233571;1,169181;0,869677;4,014375;1,019418;0,969622;-1,307318;-3,424963;0,993543;1,006591;0,149456;0,992652;-16,7164;1,419267;1,004844;1,063061;20,716642;1,15601;7,110981;1,12459;0,995161;11,541376;0,966151;3,098471;0,902651;0,998618;1,095158;1,023376;1,033221;0,897451;1,016212;0,83389;0,83389;0,459863;0,459969;1,19941;10,445762;6,072941;1,216248;8,532626
2012-08-01;1,023081;3,804538;0,726155;-20,722566;-46,064556;0,778348;1,013832;-0,175978;1,038039;0,82985;1,394984;0,976246;1,670436;-5,610797;0,966967;0,940304;0,790455;0,984639;0,994688;0,37283;1,010603;0,876795;-79,894298;0,903286;0,938372;-5,606184;-0,133526;0,821662;1,01039;1,410985;1,029559;0,866977;1,138475;1,714722;1,033108;0,764094;0,516537;-54,010485;0,230895;0,652651;0,775214;-55,67991;0,859066;-41,626479;0,334496;0,406961;0,4924;0,610504;0,67784;0,882287;0,612734;-91,145704;-27,311726;0,764211;0,624391;-65,615403;-20,31843;0,899286;2,134516;0,874468;0,870836;1,000231;0,765794;0,309884;0,807588;0,909094;0,836824;1,098714;-5,365606;-22,675738;6,254392;5,08054;-3,738921;-0,162293;1,040156;0,649417;0,773574;-9,995345;-13,644593;-38,781498;0,728154;0,887569;-4,708329;-29,707288;-15,125253;0,94345;0,747769;-49,74023;0,678917;-12,346756;-50,703915;-30,291774;1,021532;-53,68119;-5,667429;0,843777;0,818053;0,547212;0,25826;-61,176695;0,453353;0,611122;0,742673;-43,299221;0,597118;0,690921;-40,329663;0,76786;-43,634946;0,661581;0,433474;0,462122;0,581259;0,425543;-30,539393;0,697954;-39,527337;-53,145251;0,395753;0,500278;-86,176492;0,476405;0,657072;-59,443329;0,664794;0,626979;-3,804585;-30,496906;0,527587;-40,907149;-45,917606;0,622674;0,586099;0,621175;-19,440443;1,133599;0,584342;-41,469584;-37,431112;0,874043;-22,291818;0,692834;0,920163;0,817042;0,738502;0,725869;0,730487;-47,108647;0,762902;0,841652;0,671802;0,742065;0,659305;0,827501;0,715518;0,711468;0,846018;0,638904;0,486896;0,942274;0,749812;0,819241;0,75399;0,818418;0,531749;0,892221;-20,395493;0,81217;-69,752333;-26,709232;0,744242;0,597827;0,869893;0,517721;0,940893;-2,39642;0,676686;0,393107;-51,44108;-29,002813;0,636001;0,532786;-72,337606;0,556801;-36,34158;0,305789;0,692911;0,758861;-40,658675;0,948025;-23,001516;0,488058;0,69884;-31,960742;0,951534;-8,166457;0,956867;0,826322;0,65108;0,850932;0,83577;0,842685;0,897564;0,779154;0,779154;0,41626;0,410115;1,120512;-33,394931;-14,154658;0,687488;-32,875664
2012-09-01;1,004807;5,537084;1,030974;2,700848;9,535187;0,997404;0,94468;-5,984244;0,959526;1,0113;-5,19401;0,883206;1,838721;-0,36533;0,939483;0,926534;0,723602;0,974006;1,017898;-0,489924;0,996148;1,022952;0,743983;1,154964;0,98588;-0,16937;-3,863311;1,040089;0,958717;0,396701;1,116956;1,010195;0,852181;-4,49877;0,889374;1,096308;1,0253;-3,687265;1,051085;1,154755;0,907075;0,964359;1,048225;5,281381;1,018476;1,012097;0,996492;1,316944;1,185427;1,047045;0,807849;1,361943;3,492363;0,987899;1,036355;3,332993;17,486804;0,938433;-2,966157;1,0159;0,983533;0,945805;0,951766;0,975695;1,020508;1,029491;1,036306;0,968892;1,307926;2,748532;6,872728;-8,321043;-5,609877;-0,793272;0,954289;0,634526;0,956591;-3,919946;-7,182788;-0,777604;1,012029;0,949969;-7,862429;7,961984;-5,56199;0,989477;1,098884;5,565646;0,998302;-4,915049;4,392338;-0,403447;0,998182;7,160807;-0,365951;1,007225;1,009128;1,01539;1,168851;4,668041;1,139484;0,937298;1,023973;4,407254;1,041916;1,006545;3,703471;1,254759;8,367915;0,784195;0,940439;1,057569;0,998354;1,021617;1,86798;1,102328;9,600248;9,23885;1,037286;1,116727;12,832183;1,042496;1,056393;4,408839;1,161913;0,97316;-1,488095;3,883123;1,034209;1,702118;-1,451663;1,003954;1,005174;1,009199;-2,962104;1,175656;1,062212;2,885497;5,087195;0,998376;5,825125;1,073343;1,033987;0,933477;1,032018;0,967142;1,319899;9,504496;0,980945;1,018318;1,07473;0,955331;1,025495;0,983181;1,010678;1,168132;1,275422;1,093167;1,46622;0,965097;1,125392;1,036865;1,011691;1,030857;1,035101;0,848787;5,463524;0,953672;-9,326331;-5,433219;1,172012;0,977701;1,13285;1,067171;1,143995;5,310667;0,942704;1,123646;-1,59239;3,092403;1,045435;1,021325;-1,727841;1,038098;4,38398;0,606201;1,126004;1,124565;5,357767;1,004147;-0,006998;0,899268;1,010278;-3,665189;1,013446;1,966368;1,041652;1,204298;0,955487;0,975849;1,012383;0,851279;0,988604;0,811076;0,811076;0,545056;0,540417;1,070235;2,049927;4,136492;1,026288;2,375104
2012-10-01;1,01695;6,148662;1,087575;18,186762;13,798368;1,172635;1,077549;9,043414;1,099142;1,115505;6,881851;1,007705;1,438305;11,382984;1,120455;1,026513;0,664893;1,070579;1,072629;8,38331;1,029283;1,131319;28,557971;1,41041;1,138805;14,061814;2,789749;1,086347;1,064858;9,44481;1,265805;1,439382;0,927943;1,479613;0,905227;1,225449;1,218003;7,865347;1,253833;1,083099;1,087691;18,32378;1,088444;16,556291;1,128361;1,223781;0,908046;1,136211;0,941863;1,262825;0,984655;21,495982;9,274871;0,838053;1,123771;19,8902;16,253294;0,930949;-5,482763;1,046894;1,082823;1,055765;1,059224;1,115398;1,075027;1,115556;1,089215;1,011052;5,013267;-10,245479;10,629089;-8,466904;-5,362711;1,065602;0,947457;0,670778;1,033157;6,438096;5,973991;4,392593;1,004246;1,079097;1,337626;8,916676;1,550031;1,118388;1,118424;9,961078;1,078262;3,997551;17,693564;5,889922;1,014703;19,43412;2,34387;1,032379;1,055827;1,048524;1,35466;21,186027;1,254963;1,178271;1,14578;17,141228;1,069501;1,208085;19,275567;1,487492;13,264501;1,013209;1,142061;1,122742;1,170474;1,135742;5,353473;1,176879;13,623791;13,820021;1,226841;1,239899;28,127785;1,17671;1,16973;18,137639;1,312608;1,081277;14,689651;17,091646;1,131311;13,288116;13,438594;1,213262;1,153342;1,112908;3,139543;1,133837;1,188397;17,546275;18,398937;1,035154;8,919283;1,12224;1,014628;1,082246;1,049192;1,333482;0,958744;12,434564;1,105351;1,041071;1,084057;0,959444;1,153402;1,073729;1,268747;1,374287;1,410656;1,091332;0,875585;1,087915;1,090763;1,044972;1,067308;1,097644;1,129663;1,148683;5,683234;1,035754;12,606823;2,9591;0,735871;0,991962;1,048052;1,06743;1,036945;12,442158;1,12732;1,154118;15,720577;11,802866;1,093198;1,266823;9,542855;1,175277;19,46871;0,884104;1,075606;1,117108;11,030184;1,061008;12,926473;1,178756;1,029298;6,937258;1,10111;6,94212;1,071026;0,990761;1,184074;1,073364;1,063813;0,923657;1,036044;0,924955;0,924955;0,862168;0,860493;0,981002;15,07518;10,812899;1,107346;13,831721
