;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;127,977991;613,559422;170,052114;94,542027;112,436887;95,745302;93,230559;106,219688;118,524895;96,613643;90,883329;117,352362;98,40161;114,658565;181,035847;97,593499;86,60964;109,467138;82,959326;93,460619;94,51107;101,584578;143,367745;86,539207;97,663583;107,787727;84,300074;112,142261;106,244622;96,362968;81,299623;96,766316;82,565676;103,345161;98,469892;366,595239;102,539982;100,775865;121,99628;140,703584;88,637635;130,498436;92,419598;119,896398;206,242048;101,653866;192,250521;402,367313;131,542432;138,024949;78,640739;139,893069;82,648778;228,636892;115,374878;117,671541;109,84516;69,801024;113,135004;142,384729;104,986978;99,642293;161,342293;102,540887;118,022231;113,877311;96,50138;158,823147;92,507699;164,031567;94,596978;98,080864;111,000994;96,260569;153,590681;87,099527;93,784976;93,248639;80,94187;134,26986;78,501029;56,988578;66,858884;103,807204;74,284047;71,748104;222,00227;108,15384;97,255512;90,372237;89,850233;89,983549;101,912303;96,656325;101,646418;76,383144;139,288564;132,130503;155,283266;114,999201;187,310017;239,343263;116,536048;97,761686;118,852903;105,615008;119,08047;110,563404;107,002097;394,997557;214,037665;231,413217;100,440416;143,91504;107,330571;105,779999;149,483061;107,91848;114,854271;240,039949;211,101198;141,062776;108,155813;106,010207;87,278686;131,593289;153,34288;75,561151;103,576355;89,624551;125,4747;72,708124;214,176334;140,151934;111,531657;93,210212;140,626528;131,895741;102,793078;72,763284;80,493139;247,676001;211,991996;93,765013;87,681154;197,644062;98,618037;109,498341;110,493136;107,929648;86,709483;35,489216;140,406409;108,295105;284,961993;87,526399;78,122334;147,285121;129,5292;170,335159;86,325447;180,452436;109,170423;177,34694;88,028439;144,181127;79,814403;75,849938;127,359493;79,332033;266,503034;114,21386;152,236479;43,725216;113,810808;54,328288;112,47522;133,905142;103,306483;104,329688;125,138054;70,705333;81,393941;83,482241;122,714338;24,077016;205,944045;120,96724;34,948729;143,545629;130,032517;68,976056;75,831073;77,594342;94,096814;95,678992;78,702297;164,893198;108,297021;115,140033;105,343327;103,159148;117,667128;96,229476;96,229428;93,873876;93,256963;110,044662;119,708936;103,127037;80,50703;106,15128
2012-02-01;127,864052;613,4917;129,842248;94,480164;111,492329;97,580966;93,277627;106,349324;118,153253;95,900977;91,193895;117,94535;98,224027;114,316028;179,297467;97,789364;86,308074;109,118567;82,407866;93,587723;94,470661;100,342724;147,454483;86,855728;97,252668;110,243808;84,654836;111,119616;106,734345;97,240325;82,24644;96,738955;83,107567;102,768384;98,35674;364,069822;104,830484;100,818134;122,189331;146,945044;88,731196;130,475237;92,314717;119,622324;203,321281;98,914392;189,680108;401,964098;130,586963;135,762302;77,887547;139,494231;82,767738;227,021444;115,901274;117,9269;109,456472;68,864292;114,115311;142,144595;104,6121;100,121672;157,711292;101,130995;118,027143;113,204233;96,058457;157,414354;93,382128;162,811312;93,639729;97,239046;112,047113;97,086363;153,675351;87,778612;93,028509;92,765915;81,147349;134,420573;78,602469;57,320691;68,305235;98,365165;78,673817;72,078713;220,527308;107,251551;97,312775;90,240341;89,646625;89,371183;101,331792;95,671986;100,57863;76,752536;144,876946;129,794174;153,285296;113,019505;185,699363;236,87631;115,198614;98,35616;117,994279;104,683291;118,803726;112,585058;106,408729;400,029225;209,236592;228,87304;99,774625;142,209475;107,164463;105,420028;147,067081;108,597427;114,822314;234,623297;206,222897;140,879352;107,786794;105,20345;87,808196;129,923866;153,121377;75,333482;102,652083;89,673635;124,00717;73,221718;211,951662;139,625753;111,117009;93,028388;138,617856;131,587088;103,021884;72,73422;79,72787;246,377998;200,736602;96,906215;87,344265;192,509168;98,123039;106,200494;111,793425;107,738246;86,363219;34,233671;140,018502;108,516206;284,275496;87,471569;76,427518;147,023941;128,470382;169,908783;86,291788;180,579353;108,706182;174,794923;86,664121;143,421082;79,925235;76,171513;126,224249;77,526565;255,09744;114,998747;151,218003;43,997776;111,370631;52,372894;109,764931;131,243223;101,320057;102,600412;124,693787;68,815819;80,644523;83,817969;122,970868;23,554102;205,66715;121,298147;35,530182;144,220541;129,223952;68,17773;76,09786;76,006306;93,646029;95,836868;77,274882;164,295802;107,221424;114,828317;107,445804;102,509397;117,579946;96,662544;96,662504;93,944087;93,426206;109,926463;118,656939;102,466398;74,910783;105,225125
2012-03-01;127,681699;614,22114;129,567929;94,212752;110,225011;99,536174;93,261866;106,348785;117,959918;95,080935;91,509578;118,406017;98,108727;114,003735;145,025146;98,005619;85,668804;108,783354;81,897121;93,650962;94,597013;99,098216;151,426843;87,172449;96,688357;113,011024;85,134827;110,243935;107,306173;98,117606;82,983605;96,810733;83,6948;102,314747;98,230679;362,792524;107,223296;100,780589;122,50077;153,417709;88,599176;130,520524;92,06821;119,424666;200,973566;96,505845;187,028396;403,887838;129,762621;133,298503;76,700289;139,111674;82,72066;226,881399;116,642625;118,284653;108,940372;68,130016;114,789845;141,738366;104,191571;100,506661;154,048737;99,60669;117,918168;112,299377;95,812222;157,548385;94,139422;160,819611;92,803203;96,273792;113,710062;97,93458;154,405341;88,321707;92,181424;92,608251;81,231705;133,879238;78,716116;57,72514;70,093404;93,200428;82,863105;72,675014;218,561067;106,355944;97,273551;90,117176;89,312547;88,695744;100,526368;94,70825;99,297726;77,160415;150,551546;127,708563;151,77584;110,969833;184,083996;233,286118;113,765892;98,638057;117,155129;103,737116;118,437638;114,565854;105,859209;404,035321;202,351208;224,808513;98,807955;139,503783;107,098677;104,558473;145,179669;109,32206;115,093666;228,359745;199,73023;141,005143;107,298057;104,305341;88,421322;128,666747;152,755271;74,860222;101,66232;89,721126;122,535629;73,601344;209,376895;139,083607;110,472281;92,407148;136,238313;131,226124;103,064305;72,922239;79,076743;245,848823;189,720565;100,069599;87,045014;187,809161;97,819876;103,153583;112,685297;107,698118;85,895374;33,221879;139,760465;108,858599;284,116723;87,108275;74,820631;147,205301;127,16087;169,167277;86,56123;181,121243;108,545832;173,806584;85,321053;143,204958;80,326437;76,501467;124,200664;75,046996;246,230341;115,846926;150,839441;44,749563;109,562112;49,164555;107,091701;127,936219;99,010259;100,666197;124,109718;67,195476;79,885831;84,279103;122,820155;23,079123;204,712272;121,626496;36,05049;145,283357;128,243008;67,741198;76,36194;74,335399;93,666713;96,027462;75,90023;163,771525;106,277822;114,466113;109,476825;101,708255;117,442414;97,405139;97,405102;94,32235;94,003751;109,867286;117,666271;101,680224;69,052235;104,35994
2012-04-01;127,166065;615,657243;129,513436;93,764343;108,929323;101,529267;93,227721;106,21778;117,683369;94,34064;91,770153;118,863062;98,058878;113,623538;143,737902;98,212244;85,380796;108,283637;81,544036;93,693595;94,615874;98,132555;155,032753;87,580227;96,052436;115,849789;85,814354;109,459234;107,895043;98,97994;83,837855;96,731571;84,396363;101,829894;98,017684;360,919642;109,789751;100,799119;122,953751;159,249291;88,374416;130,505332;91,867957;119,353184;199,929337;94,009031;182,859813;406,531811;129,043988;130,769646;75,442769;138,718924;82,474794;227,562421;117,453808;118,844731;108,321544;67,727706;115,590328;141,105598;103,722359;100,823692;150,409684;97,90885;117,66223;111,196422;96,011211;159,083992;94,860606;159,177638;92,052068;95,379256;115,796061;98,638524;155,262769;88,754274;91,265947;92,561841;81,229556;133,767578;78,763685;58,154619;72,25378;88,110754;86,647806;73,149471;216,072867;105,374253;97,164172;89,971015;89,070698;87,938808;99,538673;93,913559;97,937996;77,625999;155,838125;125,490024;150,512825;109,021791;182,434121;228,645108;112,283398;98,664307;116,305682;102,823157;117,798871;116,206049;105,337869;406,930199;194,427676;220,13065;97,675983;136,317647;107,186174;103,851538;143,073389;110,175656;115,845007;222,739652;192,151123;141,321779;106,586003;103,538945;89,03486;127,550548;152,199218;74,422422;100,821214;89,799004;121,178739;74,007852;206,877055;138,524957;109,750187;91,323942;133,869625;130,970073;103,191804;73,138314;78,642158;245,8736;179,39092;103,354495;86,80136;182,673844;97,507206;100,536888;113,330821;107,798952;85,680476;32,206049;139,595017;109,501068;284,452587;86,559352;73,739021;148,021976;126,077244;168,128856;86,957067;181,578429;108,483297;173,19499;84,020228;142,347199;80,965584;76,745644;121,541365;72,487016;237,452103;116,824827;150,951801;45,458568;108,485246;46,397189;104,868264;124,689882;96,595857;98,970596;123,689894;65,503694;79,192921;84,857517;122,950255;22,700766;203,194729;122,118587;36,576296;146,128502;127,347937;67,17433;76,521272;72,572795;93,844133;96,228694;74,494322;163,03382;105,377348;114,206253;111,491649;100,827006;117,312244;98,000608;98,000579;95,114475;95,017205;109,878698;116,740838;100,976147;63,356921;103,531233
2012-05-01;126,261258;618,134186;129,765786;93,068113;107,616999;103,270377;93,15196;105,876409;117,418983;93,649319;92,036397;119,416699;98,331183;113,234781;142,310922;98,389644;85,123609;107,712411;81,467226;93,701638;94,666924;97,701392;157,830566;87,905221;95,271516;118,411545;86,591761;109,142352;108,442956;99,77209;84,697641;96,528489;85,177914;101,336548;97,900147;359,165;112,109595;100,754077;123,533994;163,190029;88,140964;130,508951;91,665227;119,313598;200,865454;91,630158;177,617523;408,545429;128,600161;128,422023;74,210388;138,43909;82,215422;229,560015;118,309454;119,5187;107,595417;67,91438;116,288431;140,238681;103,227255;101,156351;147,286439;96,009576;117,23528;110,052293;96,690149;162,428162;95,484173;157,411644;91,492647;94,541568;118,405462;99,147739;155,531248;88,940778;90,417326;92,69047;81,143799;133,617632;78,779918;58,598304;74,546728;83,167267;89,219405;73,543118;213,359375;104,454726;96,923763;89,804514;88,984595;87,188325;98,450974;93,497478;96,577054;78,098924;159,849596;123,157489;149,782819;107,036914;180,695969;223,011186;110,81625;98,251714;115,465788;102,096765;116,810202;117,211527;104,77578;410,543168;185,539086;214,677519;96,452132;133,044553;107,464489;103,179011;140,904227;111,004873;117,105598;218,401842;183,768971;141,858364;105,694327;103,138395;89,768772;126,283832;151,32527;74,018355;100,285638;89,897278;120,207186;74,550782;204,148752;138,057697;109,092692;89,633534;131,777562;130,903406;103,311656;73,322472;78,510599;246,012398;171,147593;106,156058;86,577987;177,479484;97,173282;97,803323;113,356665;107,958286;85,407178;31,278859;139,497467;110,361735;285,370748;85,572744;73,580719;149,685282;124,818424;166,6053;87,275939;182,163254;108,681293;171,819851;83,061017;141,708995;81,916748;76,973051;118,245971;69,99585;227,411434;117,422215;151,97266;46,228307;107,451441;43,710993;103,43382;121,746431;94,416696;97,83741;123,493832;63,725721;78,649379;85,5625;123,170301;22,512708;201,492881;122,778131;37,164209;146,826464;126,628021;66,601661;76,576849;71,094588;94,05207;96,464223;73,311877;162,321574;104,454005;114,0928;113,180335;99,897397;117,157412;98,645446;98,645423;96,134761;96,284406;110,035701;116,026206;100,271163;58,704104;102,864313
2012-06-01;125,040109;621,622695;130,50244;92,233837;106,25155;104,756982;93,034034;105,40385;117,143204;93,019444;92,335962;120,427034;99,224663;112,88233;140,722315;98,528832;85,007114;107,266415;81,734501;93,602059;94,793554;97,851897;159,222805;88,190112;93,961911;120,290314;87,353858;109,360336;108,885323;100,350871;85,568733;96,355391;86,031909;100,876725;98,129149;357,655187;113,609533;100,645327;124,212218;164,312591;87,817589;130,427;91,418527;119,333539;203,876944;89,381947;173,569604;410,691485;128,653906;126,610667;73,037774;138,368197;81,982573;232,297156;119,04549;120,043279;106,757951;69,038659;116,999368;139,177018;102,770417;101,486557;145,018412;94,187201;116,624452;109,172639;97,308027;166,898302;95,966049;155,64471;91,41754;93,720162;121,810324;99,401053;153,901815;89,002639;89,837396;92,975828;81,043441;133,429819;78,737578;59,03872;76,499781;78,595733;89,756225;73,813278;210,905986;103,868175;96,529295;89,689468;89,134095;86,518074;97,340435;93,57935;95,526363;78,412989;162,064341;120,678539;149,607822;105,079029;178,929826;216,609631;109,310623;97,30012;114,634306;101,490439;115,434408;117,266966;104,212988;414,640015;175,761653;208,1233;95,100089;130,46133;107,868981;102,600958;138,64911;111,631745;118,418222;215,811034;175,530316;142,119366;104,808918;103,231973;90,846809;124,924134;150,360072;73,617398;99,906924;89,924572;119,86283;75,182002;201,246037;137,657662;108,416441;87,399086;130,097371;130,938673;103,412245;73,231819;78,447881;245,832293;166,519005;107,998127;86,303419;172,611532;96,881128;95,144067;112,862105;108,161342;85,038291;30,391982;139,159908;111,007831;286,806799;83,655802;74,807122;151,859696;123,588872;164,485355;87,565346;182,691928;109,200234;170,215077;82,851801;141,010523;83,060606;77,198458;114,879898;67,554658;216,268343;116,736397;153,503156;47,240723;106,615701;41,332071;102,789323;119,019678;92,88159;97,635763;123,35273;61,943463;78,110349;86,141405;123,521113;22,455931;199,848787;123,103696;37,776902;147,26729;126,130482;66,089215;76,659457;70,229551;94,387405;96,741701;72,836553;161,648091;103,539351;114,117804;114,093005;99,311358;110,513281;99,284834;99,284817;97,27833;97,667855;110,327884;115,635529;99,612339;56,181626;102,445447
2012-07-01;123,823332;625,111813;131,587478;91,505143;104,940985;106,141732;92,838032;104,973307;116,86887;92,457216;92,661131;121,840105;100,681803;112,496802;139,059289;98,616406;85,125646;107,154461;82,270105;93,293555;94,944692;98,519569;159,020992;88,395223;92,235355;121,241415;88,099623;110,016762;109,067828;100,473662;86,41489;96,222444;86,994084;100,474799;98,712284;356,410888;113,684848;100,461945;124,582592;162,069443;87,288414;130,260591;91,089934;119,436412;208,402256;87,236981;173,013546;412,596014;129,24969;126,164236;71,877345;138,493089;81,611443;235,401504;119,307131;120,187501;105,698782;71,018481;117,625095;138,03968;102,42146;101,752913;143,312778;92,712293;115,792069;108,695816;97,300561;171,459652;96,218663;153,809661;91,761278;92,964812;125,753537;99,251198;151,443398;88,816264;89,614326;93,522343;81,010542;133,066703;78,590014;59,492909;77,785048;74,481815;87,858096;73,898961;208,729451;103,828894;96,039432;89,615107;89,495255;85,980988;96,420488;94,082853;95,050817;78,379906;162,034542;117,929367;150,422513;103,229132;177,120098;209,714692;107,7513;95,931192;113,86344;100,826882;113,613199;115,8885;103,616231;418,780939;165,577807;200,732296;93,59247;128,869806;108,162693;102,062079;136,357681;112,015514;119,146487;214,329489;168,513384;141,864812;104,069419;103,531837;91,987196;123,655854;149,718869;73,229837;99,350595;89,785773;119,997006;76,028316;198,104768;137,348217;107,397836;85,056885;128,744334;130,904033;103,507024;72,518341;78,038113;243,90929;166,948709;109,179803;86,027239;167,710008;96,660509;92,96326;112,187936;108,496255;84,704652;29,520451;138,125738;111,006083;288,443188;80,587818;77,393115;153,712082;122,384619;162,146115;87,779421;182,574426;109,752291;168,275735;83,373557;140,294944;84,059792;77,396609;112,166391;65,224146;204,261986;113,620972;154,444484;48,356274;106,325269;39,553894;102,676165;116,415511;92,042772;98,189859;123,077298;60,264257;77,400966;86,360002;124,06952;22,321237;198,01969;122,519102;38,42815;147,492419;125,511749;65,728576;76,994977;70,149767;94,919893;97,025938;73,402033;161,116873;102,711542;114,23731;113,812837;99,469445;110,296162;99,869823;99,869813;98,388356;98,959935;110,542636;115,580623;98,998289;56,614484;102,277513
2012-08-01;122,817394;627,079736;132,400176;91,066371;103,896574;107,457139;92,575336;104,829136;116,622987;91,998946;93,02251;123,28035;102,354722;112,047475;137,411185;98,69982;85,440635;107,265924;82,803538;92,780736;95,134788;99,347509;157,396751;88,514344;90,533656;102,407772;88,904282;110,881778;108,946202;100,210136;87,125852;96,187858;88,095009;100,150203;99,619605;355,428708;111,824705;100,215382;124,553021;157,472933;86,590907;130,077882;90,712509;119,741719;213,180862;85,490216;176,653296;414,183285;130,184667;127,863931;70,622188;138,602673;80,946289;238,503032;118,846186;119,846397;104,561131;73,221829;118,220974;137,009614;102,217582;101,943506;142,018091;91,858345;114,734992;108,516631;96,448996;174,45998;96,115814;152,100975;91,956052;92,401813;129,256687;98,683595;149,459449;88,445074;89,649481;94,165798;81,152339;132,308753;78,316446;59,959224;78,34282;121,636731;84,442196;73,784086;206,823982;104,505037;95,570483;89,523527;89,870674;85,596399;95,858822;94,676821;95,102755;77,98693;160,236127;115,211927;152,559908;101,581991;175,338381;202,312029;106,184666;94,321156;113,078529;99,883818;111,332685;113,041235;103,031354;422,382649;155,970397;193,695598;91,947191;128,620475;108,184476;101,496063;134,217428;112,126025;118,739147;212,42643;163,550558;141,001714;103,580893;103,621628;92,855658;122,606036;149,740433;72,903564;98,358571;89,458209;120,197308;77,060102;194,891922;137,095482;105,888878;83,244418;127,485653;130,661397;103,564684;71,328422;76,977835;239,718765;172,1049;110,691215;85,773369;163,192299;96,433074;90,931752;111,749939;108,973379;84,595485;28,728738;135,914637;110,08027;289,421755;76,782481;80,996883;154,180398;121,082182;160,202405;88,046192;181,326755;109,93141;166,328481;84,422443;139,500399;84,733832;77,595507;110,580134;63,122731;191,882555;107,76573;154,245443;49,531023;106,220224;38,527393;102,34734;113,745587;91,432919;98,85172;122,500935;58,71088;76,505451;86,182386;124,909269;64,040447;196,281046;120,926305;39,114626;147,575083;124,35523;65,524795;77,573268;70,507353;95,688204;97,359021;75,154153;160,674017;102,028028;114,293577;112,393218;100,390367;110,034988;100,434653;100,43465;99,061748;99,710195;110,311937;115,640996;98,440181;60,465048;102,225164
2012-09-01;122,190629;626,09261;132,419768;90,864955;103,193632;108,729928;92,238561;105,065896;116,421091;91,637454;93,333187;124,247647;103,833099;111,678167;135,898394;98,838525;85,958791;107,374709;83,026729;92,221966;95,291748;99,963571;155,085087;88,56954;89,289806;102,383737;89,796177;111,496855;108,567886;99,78039;87,624747;96,262755;89,272097;99,952431;100,601267;354,914569;108,361894;99,992777;124,205413;152,658711;85,80146;130,040791;90,346756;120,20689;216,483275;84,753929;183,514439;414,813882;130,74741;131,65322;69,232671;138,537894;79,957898;241,325146;117,797508;119,020912;103,70148;74,809849;118,595224;136,175474;102,18521;101,999892;141,184964;92,023598;113,573384;108,504265;95,166481;174,887906;95,816075;150,341968;91,608005;92,073588;131,528563;97,815778;148,956379;88,118195;89,642223;94,676782;81,474757;131,207283;77,940541;60,457625;78,664154;118,7994;81,582667;73,512572;205,364958;105,596982;95,312281;89,445035;90,032855;85,316305;95,683621;94,919942;95,566498;77,374475;157,743296;112,671767;155,801059;100,17934;173,540489;194,272653;104,631828;92,742643;112,280848;98,58134;108,892096;109,551034;102,561485;425,879801;147,854865;187,660667;90,283902;129,551904;107,881739;100,917336;132,300213;112,026641;117,375785;208,258591;160,61374;139,50672;103,254156;103,165546;93,038324;121,970327;150,540882;72,659892;96,947153;88,981304;120,071983;78,352964;191,526102;136,966282;104,038516;82,290995;126,113034;130,20917;103,525176;70,083497;75,493886;233,695887;178,878029;113,717135;85,644998;158,627555;96,22396;89,549876;111,747521;109,724223;84,857728;28,032269;132,8044;108,598896;289,070796;73,163865;84,972144;152,859589;119,504725;159,158932;88,450574;179,170261;109,462659;164,829854;85,532894;138,659742;84,961239;77,791377;110,140801;61,569411;180,575651;100,457591;152,843606;50,708617;106,166427;38,863768;101,208178;110,854596;90,51848;99,045282;121,527458;57,355039;75,503906;85,685636;126,222369;61,372551;194,857007;118,858111;39,782203;147,416769;122,681252;56,309117;78,299648;70,863573;96,61459;97,773361;77,700241;160,303298;101,534902;114,214408;110,478268;101,751939;109,722612;100,912949;100,912954;99,335362;99,942585;109,536321;115,669032;97,946417;67,035024;102,126923
2012-10-01;121,937867;621,468882;131,146929;90,623451;103,033985;109,705915;91,867805;105,592624;116,257805;91,368082;93,493349;124,430403;104,761671;111,470473;134,657845;99,006465;86,450816;107,135542;82,882936;91,845184;95,35766;100,192526;152,141482;88,576227;88,989739;102,376174;90,658042;111,504349;108,051943;99,25077;87,854022;96,127502;90,508468;99,921346;101,181386;354,891854;104,006812;99,846543;123,901305;149,024378;85,060643;130,237101;90,053316;120,790159;217,688937;85,277848;190,609879;414,943752;130,092147;136,740724;67,864132;138,334037;78,740143;243,946169;116,35842;117,901707;103,374051;75,514202;118,592924;135,606411;102,263317;101,883981;141,6439;93,271771;112,307802;108,355612;94,381039;173,237282;95,495679;148,733331;90,784577;92,003995;132,054806;96,655348;150,19802;87,898356;89,208871;94,937602;81,905354;129,863333;77,509514;60,971187;79,449724;116,713319;80,33805;73,140825;204,266292;106,522326;95,382716;89,404279;89,782771;85,048381;95,74436;94,644952;96,22845;76,70145;154,981061;110,382802;159,763903;99,048167;171,749703;184,92722;103,144614;91,209285;111,528139;97,048547;106,988484;106,030703;102,277507;429,094258;142,410989;182,697515;88,816736;131,200996;107,323334;100,303143;130,764659;111,532302;115,773541;201,558715;159,177037;137,46274;102,86113;101,980318;92,195712;121,687869;151,911081;72,555313;95,358865;88,520386;119,386248;79,950742;188,245157;136,962053;102,03997;81,933481;124,703563;129,790188;103,410042;69,28963;74,14809;227,03497;185,319575;118,284919;85,704957;154,334316;96,027496;88,784193;111,684523;110,713298;85,652813;27,595384;129,507681;107,157076;287,544507;70,719943;88,857732;150,18799;117,58645;159,284163;88,959928;176,784041;108,518;163,677516;86,549866;138,393728;84,733931;77,955165;110,454989;60,706173;171,697458;93,39379;150,521351;51,476502;106,102137;40,483065;99,563191;108,072879;89,031032;98,573941;120,354076;56,274151;74,533792;85,100337;128,038407;57,596884;193,64621;116,834323;40,455172;147,002849;120,749749;56,496607;78,871203;70,894238;97,707955;98,131776;80,329336;160,031026;101,287;114,014882;108,70162;103,219977;109,384253;101,270154;101,270168;99,96019;100,430641;108,316482;115,626825;97,570788;75,530803;101,902114
