;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;126,597757;652,367774;174,042468;93,591938;112,633839;96,837463;91,340197;105,045129;117,839169;99,470306;90,681981;114,833491;97,443306;117,197153;174,127923;97,012742;90,930664;106,734069;84,433368;;94,689298;102,018707;129,561879;86,349154;97,991616;106,638658;85,775823;110,373791;105,793385;94,165824;83,799349;88,260619;83,52117;103,269612;95,097931;371,253211;103,688384;100,038556;122,95212;136,977572;87,829645;;92,941477;;213,591895;104,952418;176,234936;405,453779;106,43537;138,073375;71,147772;143,08205;81,827905;269,474185;115,632523;126,85302;110,386073;;115,122007;141,845049;105,108808;98,369556;167,099307;106,195543;;113,414016;;168,653637;91,145074;166,163975;92,328935;104,216561;113,518806;95,043922;159,079739;76,240997;94,175162;94,733761;79,026362;143,03605;78,369661;57,226961;70,079874;113,204274;69,065766;67,955876;220,761533;107,519467;97,884088;90,287161;90,772552;90,013965;99,835359;102,299368;103,405916;76,002026;129,786564;125,084865;160,424481;118,96168;185,453023;235,318136;117,774202;88,215758;129,394262;106,962771;120,406203;105,80082;106,576088;400,698129;218,763513;230,849231;100,900963;139,041292;108,527619;112,025963;149,546237;107,589401;120,770621;252,409815;196,309776;144,20321;106,710885;105,352624;84,934219;129,229247;152,232592;73,483621;105,877209;89,786308;127,522568;74,897707;208,503356;145,692915;110,479474;90,608383;143,115373;133,492539;110,808639;85,530871;82,791249;255,979228;230,176149;92,618186;87,571362;188,68743;99,676372;109,447922;108,610563;111,047112;83,083763;41,150467;143,359215;111,093877;315,785337;;131,65103;151,844456;131,496371;172,85065;83,319967;179,862308;110,705716;128,179065;90,083041;112,553488;81,048406;76,166686;125,029352;72,096366;269,931584;122,705916;160,449863;41,197473;120,272818;47,825498;118,833887;138,938771;104,509815;108,075654;127,918704;67,856176;81,760152;83,701178;128,576452;24,812034;196,632324;120,516624;;132,290668;132,399399;;74,479031;76,496236;96,692421;94,688387;80,239843;159,75138;104,870472;116,169947;103,157048;103,855967;115,342497;96,870261;96,870266;98,979927;98,602468;110,366105;121,23938;105,287321;;107,457052
2012-02-01;126,361077;611,6858;127,478298;68,020905;108,821088;92,792426;92,575956;107,476736;118,745544;97,010219;89,667567;119,899895;90,155727;110,203894;185,412313;98,212777;84,184592;111,423524;82,482436;;97,144754;102,85577;155,394831;81,845495;96,603534;101,79081;84,008986;116,145726;107,331909;97,554987;81,637069;97,381522;83,466872;103,288125;100,767718;325,259812;101,130505;99,19824;122,439025;139,684565;85,356313;;89,96867;;211,310988;105,669888;214,193009;348,963418;130,780831;137,692498;86,29871;144,863233;82,748903;233,065951;111,699442;117,726229;107,663354;;107,606961;140,235325;104,774823;100,223899;155,991381;82,773218;;112,258905;;159,581193;92,858385;157,61067;80,417954;92,752033;112,283931;95,070036;152,412252;84,570406;86,33204;92,827277;82,950983;125,113246;76,271655;57,322161;62,538851;105,376534;73,830254;72,07308;217,211584;109,247787;96,565316;90,686379;89,317361;89,182093;104,757289;97,370237;99,483266;77,115737;125,270382;137,03511;148,9946;110,605527;193,095143;237,277292;73,68809;69,339974;110,076398;76,144576;114,263192;94,184024;105,60339;417,678391;184,546103;235,124013;97,111798;151,331768;107,678515;101,21552;150,283039;107,784863;111,684159;231,995495;203,881764;136,120321;108,992063;109,380805;89,308265;131,495199;153,785747;80,736469;101,98019;89,996951;124,38305;64,721138;217,600575;137,266051;111,76934;93,409601;125,317612;130,280959;99,609114;72,880625;80,471728;260,0331;201,008442;93,030679;87,146636;218,4289;99,539177;118,902078;110,732796;107,284139;89,522177;50,894603;137,733264;107,372328;281,838392;;82,141828;147,229165;128,720743;163,719836;85,800212;179,451036;108,016629;198,99203;84,842095;153,767958;81,119378;72,898576;124,827607;88,528862;199,188575;106,118956;140,000755;45,988334;112,535237;55,384099;111,332217;129,492;101,515688;102,454842;122,763992;71,896311;82,576324;83,73323;118,759551;25,035751;208,135627;123,353088;;147,045385;127,516997;;75,386766;77,989562;96,851219;96,682813;75,623464;164,872278;111,054932;114,642532;106,777146;110,757101;121,022918;120,972222;120,972201;132,167889;131,522796;109,899572;100,102584;87,257182;;93,412412
2012-03-01;128,477559;612,679886;131,182138;96,064456;111,577393;82,924015;93,854264;105,931597;119,434639;95,78558;95,320406;127,862261;100,328262;115,266082;147,946923;98,100947;86,887202;109,627186;86,083963;;93,296199;98,951962;153,884779;89,436588;99,459121;112,017046;85,828781;109,064666;106,234337;100,382647;79,66079;98,482372;83,932054;103,587981;107,96573;365,760055;106,855738;100,72232;122,905118;145,755045;90,29944;;94,038951;;196,779345;98,655397;196,138514;472,671108;155,720977;152,725343;77,915478;139,943974;83,99042;209,773032;117,29227;117,781942;111,492448;;114,7958;143,576336;104,352919;100,242366;154,063246;101,99004;;114,515374;;155,42188;94,727566;170,363403;90,468524;93,024208;111,944245;98,844144;155,217089;96,648111;93,144521;90,865159;81,062556;132,834757;62,422696;55,755864;74,154638;100,57788;83,954781;69,134945;224,236685;106,482766;98,570237;90,036894;90,250115;90,130078;98,004041;93,528994;98,794438;76,991681;148,603442;135,317794;153,194831;115,357165;188,794639;239,395362;116,056903;100,363626;118,657504;108,417884;118,732996;118,745046;108,280015;402,769672;197,601094;219,49525;102,46046;126,660772;106,644046;106,635786;140,695433;101,758698;112,375312;235,84183;199,598239;142,657205;107,260896;104,939784;89,679109;131,323332;153,417975;76,663427;102,409464;101,069974;123,567925;78,086417;194,568583;141,043767;112,477777;92,652858;138,764158;131,955342;103,721998;71,610418;78,284736;219,225939;190,05816;103,638152;85,929813;191,620711;95,063526;87,049037;112,361859;96,344094;89,472443;30,053609;138,026101;107,745047;279,230982;;72,942159;144,733953;77,785616;171,391966;87,805168;177,061325;99,465305;215,038293;90,848008;153,824569;77,392941;77,804804;127,893977;80,222754;247,36721;112,642777;158,146485;44,919472;106,011883;64,312307;103,864448;129,111388;100,5842;100,929792;124,809885;71,466106;79,937923;78,493701;128,502518;21,571322;217,016329;121,336305;;146,45823;131,272935;;78,560424;76,123014;93,600936;96,85081;79,429283;178,49621;111,932985;119,732191;109,84636;101,105837;115,690315;94,712253;94,712261;90,879229;90,500629;110,700183;117,94254;103,602072;;105,024021
2012-04-01;129,809912;607,790649;128,345015;85,598855;110,182162;105,162124;93,50553;106,198343;116,454646;92,775185;88,621454;118,714095;96,526606;116,759192;137,630488;97,91655;92,045949;109,114162;80,260855;;92,425935;94,886769;157,95781;87,809169;92,81805;117,097235;82,967798;109,029596;108,20025;97,850529;82,392352;93,333872;86,543099;103,067208;99,092944;365,676874;106,327931;99,575312;119,74598;170,0209;88,6128;;91,393313;;192,235075;79,983575;178,785827;411,907353;124,633355;127,964799;71,428654;135,51644;82,164701;193,165899;118,600543;115,633437;106,839848;;88,488537;143,117395;100,45144;102,113249;134,228711;98,099197;;112,534223;;150,635775;96,85455;156,29326;92,645017;101,119047;120,947145;99,746438;146,406578;88,88307;91,341282;92,193644;81,482684;135,156347;79,581381;58,825373;67,822554;90,42831;89,417678;73,551753;218,065533;97,843827;95,786095;87,589033;87,535975;86,906061;102,597012;93,252628;99,933412;52,989764;181,547736;121,454282;149,055718;107,720313;186,994396;230,107639;108,076685;99,647024;115,866127;93,683323;120,495024;114,310073;106,391346;379,910757;205,8891;216,850151;105,957291;143,492897;105,7651;104,865012;141,607184;106,320423;114,686305;205,223885;191,108382;125,90733;106,454875;99,178172;87,902618;122,135833;150,057133;72,95348;99,12907;85,301317;118,897621;91,609254;213,596147;131,672632;109,112109;92,532552;130,847604;131,50425;101,554487;71,01842;76,387603;232,226448;173,543492;101,339942;89,131551;191,118094;96,425995;121,99224;115,647993;109,321048;82,832957;30,847752;126,195219;107,233978;283,709184;;72,050272;141,798128;131,408045;183,671613;101,687944;184,596962;108,630505;165,475153;81,070682;142,449555;80,254438;77,60771;124,118357;74,746711;261,857738;116,323327;136,361715;44,640025;68,158425;55,144706;102,260958;121,502421;96,628478;98,358882;122,205474;53,390076;75,233463;86,037126;122,451481;21,984897;198,977904;120,416441;;140,865384;124,006279;;76,432562;59,633778;91,316567;95,721972;73,835817;164,890763;82,637952;113,492933;112,409869;108,789553;116,882978;106,505422;106,505425;116,612474;116,069882;107,392499;115,227565;94,95133;;101,856765
2012-05-01;126,827237;621,731218;126,116347;93,214854;114,794861;103,793862;94,607503;106,407316;118,036195;91,00986;94,672983;119,240162;99,72729;112,455254;144,413557;98,508064;82,37534;106,274982;80,127986;;93,202063;95,965265;149,058551;87,588954;95,737366;119,03391;86,488793;108,200509;108,982048;98,168542;84,426608;108,295687;84,425664;102,172627;95,423395;354,156016;117,497962;106,547958;125,227367;175,744545;86,466203;;89,459652;;196,207585;108,304328;189,058218;402,91526;107,682778;123,161171;78,228008;137,65065;77,156582;271,905049;115,963797;121,108228;107,540897;;114,245508;138,504998;103,161009;101,216345;146,435582;96,044339;;108,812024;;155,082386;94,113059;159,009426;95,782215;93,702085;115,54853;101,262111;165,889713;94,478318;90,23497;93,960459;81,049728;129,202681;84,331118;60,114144;79,687985;78,139328;93,827239;75,836762;212,681998;104,940639;97,303092;90,459158;89,637742;87,864938;97,52907;92,520596;97,413556;56,516281;169,220719;108,74986;152,246547;106,933231;182,094378;217,02438;103,480383;98,071642;104,300479;99,243079;118,627008;120,227719;103,952958;457,013137;194,081173;219,67104;94,848233;129,84054;106,655179;100,343538;146,051577;117,99124;123,8471;216,614994;183,59865;143,878182;107,325585;102,269911;91,333562;131,622354;150,035595;70,288655;99,611044;89,974151;119,229791;71,67283;201,753;139,069052;107,741721;91,516597;130,76795;128,776239;102,083601;76,836762;77,232676;282,784358;164,630286;106,568801;88,706892;158,687366;101,94419;95,298503;112,838977;107,506264;83,044133;29,30175;142,059951;111,409085;288,955417;;67,763768;152,661018;130,520097;171,358706;85,58543;190,508087;109,652663;174,402695;82,78665;129,142116;84,317965;78,369122;116,356994;72,796348;256,122476;124,212781;168,639076;47,002119;155,067231;39,513264;100,896759;121,874322;92,938405;90,386297;123,831249;67,05425;77,300648;84,089064;125,418539;22,019467;196,908374;121,616824;;152,499961;125,05264;;76,884788;70,411588;93,804605;95,461315;71,890172;160,985119;104,460614;111,253534;106,915505;100,14867;116,452062;99,158101;99,158102;92,422716;93,684394;112,142349;116,460608;98,714689;;103,357308
2012-06-01;124,067589;643,651615;136,164583;93,22113;114,777412;104,437241;92,940532;105,875985;116,474971;93,377397;90,875031;119,12274;94,575536;128,563167;141,855372;98,782503;83,552768;107,105802;85,448079;;98,790954;98,717635;183,496381;88,530739;94,353298;122,1381;90,160397;105,911159;108,415422;102,936756;83,339249;96,737739;84,067445;99,395349;97,475887;340,401155;117,446726;99,410956;123,497257;155,2646;90,68408;;92,664277;;178,950851;91,350214;156,730354;298,921406;132,156534;129,897875;72,893852;130,331066;85,599728;223,469634;119,100765;120,588817;107,902912;;128,47967;147,553436;102,980889;99,200016;144,032294;97,903032;;106,879358;;174,624808;94,997302;153,834952;95,011397;97,052015;119,051932;98,032751;151,647113;96,858257;88,296865;93,609088;76,057912;122,881392;74,420712;58,188291;80,880294;67,478679;93,090029;75,43871;205,558504;103,714245;96,125865;90,256069;87,626261;84,645992;95,060153;92,843368;89,290111;66,37468;162,793139;128,808674;148,037107;106,052545;180,955578;219,398799;111,359671;98,748989;112,934194;99,98736;152,300226;116,770019;103,934751;369,939789;166,703253;212,583223;95,044565;125,098302;109,299098;97,966897;142,835405;108,755814;113,649184;223,781897;175,138419;140,374728;103,746534;103,941154;87,267046;132,191824;157,588774;75,074584;99,659239;90,595759;120,042072;71,889759;210,185278;138,467749;107,156968;88,041518;141,041108;130,802486;105,742189;72,774962;80,793048;228,144952;163,334374;112,022486;81,592405;156,570346;94,407254;84,986432;116,756297;106,348129;92,584057;31,626315;140,62758;112,656632;286,977809;;73,935611;153,299264;79,17301;152,133365;89,963675;176,312913;108,390916;134,862446;80,695937;159,999787;73,487248;78,991746;116,153016;56,009999;255,897409;114,250299;144,624004;48,197062;104,339609;21,038117;105,755432;119,769396;90,272039;96,934941;122,887831;57,452475;79,842557;85,665889;116,939238;23,439674;201,287655;122,710551;;147,899683;128,098043;;75,778787;69,427067;91,221073;100,118276;70,262809;156,478394;96,223355;116,485355;116,591983;99,344893;111,592012;100,182199;100,182199;101,933679;101,548224;109,30495;114,513531;99,152713;;101,626261
2012-07-01;121,472465;619,496599;120,663527;91,212464;94,351616;106,242378;88,964123;105,116749;116,428207;91,99581;93,407561;121,296476;85,058345;83,899512;140,39896;98,447829;72,547528;105,151012;83,114926;;94,009797;100,08225;191,385957;102,760441;95,383766;121,509118;88,847502;110,621754;109,863339;99,699883;89,721421;93,790493;81,459369;98,976374;97,937706;363,509911;111,259906;93,797244;127,82016;201,835347;85,487324;;92,443955;;224,052176;86,488125;162,690944;517,11662;124,162928;106,927539;57,502543;137,770346;81,363263;240,251683;120,952113;123,238632;105,31972;;113,084906;136,870785;102,164157;101,170651;141,631171;82,53054;;109,23872;;188,272461;99,34572;143,46579;90,618702;87,497592;126,536687;97,044131;157,754904;80,793877;89,621031;90,59832;81,026356;141,058542;79,491808;60,109431;78,236569;51,032382;84,697702;76,195746;202,369119;102,164393;95,148011;88,759691;91,453353;85,493562;106,742966;95,011888;94,168727;68,71492;158,392651;123,810668;145,198595;101,701676;170,574263;210,741031;108,319597;95,276986;120,826723;100,464874;135,177424;115,216924;112,002549;386,249703;170,795507;238,292045;93,454342;131,894068;108,958411;105,532512;136,541643;113,69503;124,529827;217,200733;169,628805;140,798693;102,833191;105,02279;92,057857;123,507374;145,103527;74,991399;101,050541;87,362495;119,647649;79,562843;197,876542;133,962185;109,250608;82,733424;129,881503;132,939645;105,763064;72,436318;79,113493;254,430498;168,502158;111,901099;84,337566;171,485583;92,072169;96,385823;98,703077;110,491868;82,868386;30,148086;135,401102;112,382746;285,46228;;88,672153;152,122761;122,444974;162,647489;107,296713;174,231433;107,262306;295,707528;83,961449;125,12477;84,319396;76,251143;109,786375;120,316555;190,612711;121,88957;157,080622;42,800698;96,918886;17,559993;149,06882;132,221259;92,892468;100,905348;128,919334;59,582734;86,507254;89,009771;124,736261;21,990797;193,759126;127,317447;;156,732299;127,221127;;74,202047;63,874563;94,694635;97,233434;89,128816;153,368285;109,025549;113,6798;115,734489;96,483225;111,505457;99,02155;99,021555;101,186641;101,1634;109,985334;115,976072;97,831313;;102,504352
2012-08-01;124,575865;628,873918;121,144493;89,669936;96,005463;98,706244;93,38869;103,643834;117,446441;92,016956;91,493446;120,77583;112,366636;112,78717;146,557342;98,774421;79,761121;110,404639;82,744018;;92,193057;101,602556;116,713315;90,208829;91,386197;90,903321;84,045726;114,65388;109,132224;100,220773;87,520133;97,819697;92,332081;104,496871;100,561821;364,039548;150,15606;112,070216;154,859648;156,305403;92,360946;;91,72535;;242,436953;72,363129;187,484894;443,565224;130,623601;139,359445;43,22334;138,687021;79,838669;253,076558;120,853112;104,958177;104,776435;;114,477102;129,277134;102,403093;103,66451;146,488122;176,607416;;108,266839;;183,651008;92,186383;159,15767;94,399567;88,266121;129,997637;99,143547;155,024561;88,229463;95,820042;98,478244;80,403948;143,2715;77,815865;58,920585;77,271091;131,848169;81,526967;76,705546;221,416465;115,267054;95,394157;89,58963;87,985983;86,456536;96,360829;94,926759;93,641745;63,280776;102,075025;118,301407;157,92404;100,644672;175,44052;282,570216;105,708593;92,395659;114,017057;102,060763;130,459356;130,171168;100,103753;475,220781;138,410803;185,360502;91,931968;124,196424;108,298739;100,910716;133,374485;117,185227;173,664095;203,896354;135,989816;144,83396;112,057776;103,217716;93,528463;112,431316;147,934086;72,383798;98,937581;95,880554;120,917869;72,833689;252,337577;136,525469;111,960862;81,835932;126,580588;130,437743;103,034069;73,902419;78,553379;242,228414;179,290214;105,649198;89,931459;183,28904;99,300592;91,973684;105,907051;108,588359;84,971434;32,83132;137,641676;109,80612;290,502303;;98,002772;166,643782;189,086705;159,133027;85,038122;187,793676;112,799354;183,472391;100,76757;137,314181;86,024106;74,531281;103,627413;91,746502;185,984511;136,642686;161,173714;54,302935;119,814305;51,321788;132,303361;109,983303;91,446599;96,708952;120,841842;42,196563;88,069947;87,432808;140,092817;66,369335;197,880924;132,783445;;148,055389;114,69146;;80,500554;72,808169;97,269183;97,767512;76,757201;166,596254;104,278039;125,935062;110,464056;98,360124;110,605217;101,843694;101,843695;97,792871;99,258195;123,9969;117,145358;100,575639;;104,274114
2012-09-01;121,116403;631,085055;131,876256;89,784415;103,297943;108,047171;91,247583;103,685515;115,512196;92,226234;88,36139;128,773757;106,884827;114,693429;134,32531;97,101103;90,866124;106,69798;83,349603;;99,132992;100,404474;155,649932;81,749983;85,005965;100,143662;87,969705;112,460636;107,487556;102,589323;91,438102;94,537082;87,649581;98,796758;101,482572;353,226395;112,734775;99,919652;122,050733;141,620681;85,618393;;90,750994;;187,948231;78,368104;162,120089;384,562539;147,992767;128,201813;85,925994;140,575061;82,973752;230,814003;115,55208;116,09713;103,690518;;116,207809;141,261232;101,594837;102,349694;141,765993;92,294878;;108,903487;;166,095323;99,540009;104,614397;92,986566;100,887539;130,583367;100,895756;130,846595;80,251649;89,621109;93,593614;82,435029;135,82109;80,418019;62,372885;78,65433;115,274327;91,830773;71,778336;208,552816;104,22039;98,568229;89,138027;91,352358;87,609129;95,819304;102,600353;96,726983;73,417003;159,074962;105,646736;156,946935;94,619028;151,663637;188,500023;111,422974;94,026857;112,690284;99,460265;123,333605;110,175472;104,699945;434,73163;154,059432;189,864765;93,159434;134,930583;106,899487;100,960911;125,830476;114,992027;133,393481;214,787181;179,818409;141,493527;102,490335;103,933767;95,013273;116,766738;149,269072;72,209065;98,517917;89,423209;129,231107;74,779995;217,977474;140,329822;106,286316;82,661487;128,507771;131,081812;100,423937;67,687614;74,865197;215,944516;164,450554;111,983336;88,479641;142,15391;95,658542;78,00357;112,725446;109,525115;82,941657;26,940604;135,109511;109,831036;316,821171;;74,048093;158,034635;75,907555;158,392327;87,36464;189,451979;110,033134;149,14444;84,785071;206,748328;85,393302;78,62103;113,216789;81,653317;185,402;92,633634;154,681989;50,096975;129,328008;51,560371;121,494773;115,789186;92,239972;101,121714;123,603569;58,197709;74,169492;85,751919;124,17243;62,74743;205,651966;118,621254;;140,149776;122,831037;;78,699585;75,068244;98,53365;97,532282;74,721283;156,47134;99,819189;115,847528;121,090388;101,619698;109,115185;99,632973;99,632981;94,312316;95,12194;111,282708;112,592751;96,579154;;100,267176
2012-10-01;122,059154;625,0697;134,619778;92,029894;101,00901;112,485052;93,392151;107,10727;117,793851;92,910035;95,842668;127,223774;126,254833;104,328906;129,261565;99,164775;91,319883;107,514057;82,877359;;92,490933;96,59905;147,521752;86,080136;86,06194;104,093071;91,104333;109,154234;109,580807;98,158099;87,289375;98,98366;93,339732;99,966538;102,397337;342,710243;104,146299;100,81784;126,710275;157,709329;82,716833;;88,750592;;210,598773;80,198694;194,850498;440,7177;130,070086;132,185918;75,960235;142,412089;80,25649;236,356891;117,687573;119,740992;103,452097;;118,61097;135,504885;105,968008;107,326377;142,444665;93,350436;;110,910321;;169,953287;95,59223;98,250808;94,998992;95,937008;136,299206;97,666783;137,402767;92,279146;90,139383;94,382805;82,0417;135,188341;76,688523;58,98445;76,108497;123,826608;75,709629;65,260052;206,388421;107,882116;95,723996;90,46966;90,098339;84,920789;94,391549;92,498299;96,892831;71,918798;159,918178;119,313027;150,49226;99,714659;177,532363;190,177368;103,784685;90,708566;112,157292;95,760321;116,731926;107,083093;100,569646;424,490349;140,786923;182,059802;86,78747;133,814617;108,513746;101,086709;131,751456;120,936123;104,182167;204,874267;163,044081;129,71014;105,984982;103,95573;94,047655;124,288911;152,901163;70,944086;93,667469;88,522064;120,752605;82,378316;201,030835;136,335036;96,717584;81,2941;124,047046;124,315906;106,058203;69,919833;73,556847;239,007957;180,70483;114,105028;75,456425;156,981402;98,487144;91,842843;112,837436;109,891063;81,478167;26,232596;128,284929;104,266611;288,029488;;88,747588;135,336965;124,492348;158,02908;89,524707;173,243771;110,489498;188,940764;94,800027;103,326083;84,978456;77,588257;125,652422;72,104903;133,417067;99,686759;147,630267;53,445305;79,037178;28,333078;112,056968;104,586536;93,278563;100,805068;119,194398;48,754146;73,465455;82,945027;124,363785;44,178705;188,085509;114,204356;;147,809323;122,983455;;78,85955;69,206385;94,954014;92,882788;81,901269;193,725501;87,460668;113,229541;108,618494;105,597255;109,219655;103,557948;103,557951;102,779087;102,979172;98,555227;115,688263;97,511248;;102,347923
