;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
2012-01-01;127,977991;613,559422;170,052114;94,542027;112,436887;95,745302;93,230559;106,219688;118,524895;96,613643;90,883329;117,352362;98,40161;114,658565;181,035848;97,593499;86,60964;109,467138;82,959326;;94,368306;99,493286;143,367745;86,539207;97,663583;107,787727;84,300074;112,142261;106,244622;96,362968;81,299623;96,766316;82,565676;103,345161;98,469892;366,595242;102,544684;100,775865;121,99628;140,703584;88,637635;;92,419598;;206,242048;101,653866;192,250521;402,367313;131,542432;138,024949;78,640739;139,893069;82,648778;227,852781;115,374879;117,671541;109,84516;;112,774485;142,384729;104,986978;99,642293;161,416492;102,540887;;113,877311;;158,823147;92,507699;164,031567;91,322142;98,080864;112,095426;96,260569;154,900574;87,099527;93,784976;93,248639;80,94187;134,26986;78,501029;56,988578;70,018342;103,807204;74,282971;71,748104;222,00227;108,15384;97,680964;90,372237;89,850233;89,983549;101,912303;96,656325;101,646418;76,383144;139,288564;132,130503;155,283266;114,999201;190,015594;239,343263;116,536049;97,761686;118,852903;104,783005;119,08047;110,563404;107,002097;394,997557;214,037665;231,413217;100,440416;143,91504;107,330571;105,779999;149,483061;107,91848;114,854271;240,039949;202,691312;141,062776;108,155813;106,010207;87,278686;131,593289;153,518878;75,561151;103,576355;89,624551;125,4747;72,708124;214,176334;140,151934;111,531657;93,210212;140,626528;131,895741;102,891612;72,763284;80,493139;247,676001;211,991996;93,765013;87,681154;197,644062;98,339212;110,240011;110,493136;107,929649;86,709483;35,489216;140,406409;108,295105;284,961994;;78,122334;147,285121;129,529203;170,335159;86,325447;180,452436;109,170423;177,34694;88,028439;144,181127;79,814403;75,849938;127,359493;79,332033;266,503034;114,21386;152,236479;43,725216;110,126663;49,587594;112,47522;133,905142;103,306483;104,329688;125,138054;70,705333;81,393941;83,482241;122,714338;24,077016;205,944045;120,96724;;143,545629;130,032517;;75,831073;77,594342;94,096814;95,678992;78,702297;164,893107;108,297021;115,140033;105,343327;103,159148;117,667128;96,229395;96,229409;93,873876;93,256963;110,044662;119,708936;103,127037;;106,15128
2012-02-01;127,864052;613,4917;129,842248;94,480164;111,492329;97,580966;93,277627;106,349324;118,153253;95,900977;91,193895;117,94535;98,224027;114,316028;179,297468;97,789364;86,308074;109,118567;82,407866;;94,394895;99,29286;147,454483;86,855728;97,252668;110,243808;84,654836;111,119616;106,734345;97,240325;82,24644;96,738955;83,107567;102,768384;98,35674;364,069824;104,786926;100,818134;122,189331;146,945044;88,731196;;92,314717;;203,321281;98,914392;189,680108;401,964098;130,586963;135,762302;77,887547;139,494231;82,767738;225,880196;115,901275;117,9269;109,456472;;113,603247;142,144595;104,6121;100,121672;157,784922;101,130995;;113,204233;;157,414354;93,382128;162,811312;91,64576;97,239046;113,018872;97,086363;154,695777;87,778612;93,028509;92,765915;81,147349;134,420573;78,602469;57,320691;71,645024;98,365165;78,673418;72,078713;220,527308;107,251551;97,469545;90,240341;89,646625;89,371183;101,331792;95,671986;100,57863;76,752536;144,876946;129,794174;153,285296;113,019505;188,19465;236,87631;115,198615;98,35616;117,994279;103,599383;118,803726;112,585058;106,408729;400,029225;209,236592;228,87304;99,774625;142,209475;107,164463;105,420028;147,067081;108,597427;114,822314;234,623297;199,495753;140,879352;107,786794;105,20345;87,808196;129,923866;152,886417;75,333482;102,652083;89,673635;124,00717;73,221718;211,951662;139,625753;111,117009;93,028388;138,617856;131,587088;103,101499;72,73422;79,72787;246,377998;200,736602;96,906215;87,344265;192,509168;97,876674;106,656691;111,793425;107,738246;86,363219;34,233671;140,018502;108,516206;284,275496;;76,427518;147,023941;128,470384;169,908783;86,291788;180,579353;108,706182;174,794923;86,664121;143,421082;79,925235;76,171513;126,224249;77,526565;255,09744;114,998747;151,218003;43,997776;109,132728;48,686533;109,764931;131,243223;101,320057;102,600412;124,693787;68,815819;80,644523;83,817969;122,970868;23,554102;205,66715;121,298147;;144,220541;129,223952;;76,09786;76,006306;93,646029;95,836868;77,274882;164,295711;107,221424;114,828317;107,445804;102,509397;117,579946;96,662474;96,662487;93,944087;93,426206;109,926463;118,656939;102,466398;;105,225125
2012-03-01;127,681699;614,22114;129,567929;94,212752;110,225011;99,536174;93,261866;106,348785;117,959918;95,080935;91,509578;118,406017;98,108727;114,003735;145,025145;98,005619;85,668804;108,783354;81,897121;;94,559623;99,07492;151,426843;87,172449;96,688357;113,011024;85,134827;110,243935;107,306173;98,117606;82,983605;96,810733;83,6948;102,314747;98,230679;362,792526;107,195884;100,780589;122,50077;153,417709;88,599176;;92,06821;;200,973566;96,505845;187,028396;403,887838;129,762621;133,298503;76,700289;139,111674;82,72066;225,552109;116,642625;118,284653;108,940372;;114,502086;141,738366;104,191571;100,506661;154,128343;99,60669;;112,299377;;157,548385;94,139422;160,819611;92,192815;96,273792;114,507528;97,93458;155,035959;88,321707;92,181424;92,608251;81,231705;133,879238;78,716116;57,72514;73,433194;93,200428;82,863173;72,675014;218,561067;106,355944;97,188646;90,117176;89,312547;88,695744;100,526368;94,70825;99,297726;77,160415;150,551546;127,708563;151,77584;110,969833;186,32415;233,286118;113,765893;98,638057;117,155129;102,413587;118,437638;114,565854;105,859209;404,035321;202,351208;224,808513;98,807955;139,503783;107,098677;104,558473;145,179669;109,32206;115,093666;228,359745;195,304644;141,005143;107,298057;104,305341;88,421322;128,666747;152,089489;74,860222;101,66232;89,721126;122,535629;73,601344;209,376895;139,083607;110,472281;92,407148;136,238313;131,226124;103,125453;72,922239;79,076743;245,848823;189,720565;100,069599;87,045014;187,809161;97,588199;103,432026;112,685297;107,698118;85,895374;33,221879;139,760465;108,858599;284,116723;;74,820631;147,205301;127,160872;169,167277;86,56123;181,121243;108,545832;173,806584;85,321053;143,204958;80,326437;76,501467;124,200664;75,046996;246,230341;115,846926;150,839441;44,749563;108,344067;46,449897;107,091701;127,936219;99,010259;100,666197;124,109718;67,195476;79,885831;84,279103;122,820155;23,079123;204,712272;121,626496;;145,283357;128,243008;;76,36194;74,335399;93,666713;96,027462;75,90023;163,771457;106,277822;114,466113;109,476825;101,708255;117,442414;97,405075;97,405087;94,32235;94,003751;109,867286;117,666271;101,680224;;104,35994
2012-04-01;127,166065;615,657243;129,513436;93,764343;108,929323;101,529267;93,227721;106,21778;117,683369;94,34064;91,770153;118,863062;98,058878;113,623538;143,737902;98,212244;85,380796;108,283637;81,544036;;94,61869;98,953014;155,032753;87,580227;96,052436;115,849789;85,814354;109,459234;107,895043;98,97994;83,837855;96,731571;84,396363;101,829894;98,017684;360,919644;109,793907;100,799119;122,953751;159,249291;88,374416;;91,867957;;199,929337;94,009031;182,859813;406,531811;129,043988;130,769646;75,442769;138,718924;82,474794;226,254746;117,453808;118,844731;108,321544;;115,352148;141,105598;103,722359;100,823692;150,489113;97,90885;;111,196422;;159,083992;94,860606;159,177638;92,760114;95,379256;116,369936;98,638524;155,504934;88,754274;91,265947;92,561841;81,229556;133,767578;78,763685;58,154619;75,358329;88,110754;86,648494;73,149471;216,072867;105,374253;96,854195;89,971015;89,070698;87,938808;99,538673;93,913559;97,937996;77,625999;155,838125;125,490024;150,512825;109,021791;184,346936;228,645108;112,283399;98,664307;116,305682;101,355342;117,798871;116,206049;105,337869;406,930199;194,427676;220,13065;97,675983;136,317647;107,186174;103,851538;143,073389;110,175656;115,845007;222,739652;190,066514;141,321779;106,586003;103,538945;89,03486;127,550548;151,070228;74,422422;100,821214;89,799004;121,178739;74,007852;206,877055;138,524957;109,750187;91,323942;133,869625;130,970073;103,232935;73,138314;78,642158;245,8736;179,39092;103,354495;86,80136;182,673844;97,321553;100,586351;113,330821;107,798952;85,680476;32,206049;139,595017;109,501068;284,452587;;73,739021;148,021976;126,077245;168,128856;86,957067;181,578429;108,483297;173,19499;84,020228;142,347199;80,965584;76,745644;121,541365;72,487016;237,452103;116,824827;150,951801;45,458568;107,963861;44,567877;104,868264;124,689882;96,595857;98,970596;123,689894;65,503694;79,192921;84,857517;122,950255;22,700766;203,194729;122,118587;;146,128502;127,347937;;76,521272;72,572795;93,844133;96,228694;74,494322;163,033772;105,377348;114,206253;111,491649;100,827006;117,312244;98,000557;98,000567;95,114475;95,017205;109,878698;116,740838;100,976147;;103,531233
2012-05-01;126,261258;618,134186;129,765786;93,068113;107,616999;103,270377;93,15196;105,876409;117,418983;93,649319;92,036397;119,416699;98,331183;113,234781;142,310922;98,389644;85,123609;107,712411;81,467226;;94,69602;98,883962;157,830566;87,905221;95,271516;118,411545;86,591761;109,142352;108,442956;99,77209;84,697641;96,528489;85,177914;101,336548;97,900147;359,165002;112,195625;100,754077;123,533994;163,190029;88,140964;;91,665227;;200,865454;91,630158;177,617523;408,545429;128,600161;128,422023;74,210388;138,43909;82,215422;228,526698;118,309455;119,5187;107,595417;;115,912915;140,238681;103,227255;101,156351;147,358154;96,009575;;110,052293;;162,428161;95,484173;157,411644;93,267783;94,541568;118,721023;99,147739;155,450586;88,940778;90,417326;92,69047;81,143799;133,617632;78,779918;58,598304;77,102085;83,167267;89,220781;73,543118;213,359376;104,454726;96,475268;89,804514;88,984595;87,188325;98,450974;93,497478;96,577054;78,098924;159,849596;123,157489;149,782819;107,036914;182,31142;223,011186;110,81625;98,251714;115,465788;100,615848;116,810202;117,211527;104,77578;410,543168;185,539086;214,677519;96,452132;133,044553;107,464489;103,179011;140,904227;111,004873;117,105598;218,401842;184,140142;141,858364;105,694327;103,138395;89,768772;126,283832;149,804891;74,018355;100,285638;89,897278;120,207186;74,550782;204,148752;138,057697;109,092692;89,633534;131,777562;130,903406;103,333783;73,322472;78,510599;246,012398;171,147593;106,156058;86,577987;177,479484;97,044383;97,60994;113,356665;107,958286;85,407178;31,278859;139,497467;110,361735;285,370748;;73,580719;149,685282;124,818425;166,6053;87,275939;182,163254;108,681293;171,819851;83,061017;141,708995;81,916748;76,973051;118,245971;69,99585;227,411434;117,422215;151,97266;46,228307;107,650119;42,833238;103,43382;121,746431;94,416696;97,83741;123,493832;63,725721;78,649379;85,5625;123,170301;22,512708;201,492881;122,778131;;146,826464;126,628021;;76,576849;71,094588;94,05207;96,464223;73,311877;162,321543;104,454005;114,0928;113,180335;99,897397;117,157412;98,645405;98,645413;96,134761;96,284406;110,035701;116,026206;100,271163;;102,864313
2012-06-01;125,040109;621,622695;130,50244;92,233837;106,25155;104,756982;93,034034;105,40385;117,143204;93,019444;92,335962;120,427034;99,224663;112,88233;140,722315;98,528832;85,007114;107,266415;81,734501;;94,839987;98,903332;159,222805;88,190112;93,961911;120,290314;87,353858;109,360336;108,885323;100,350871;85,568733;96,355391;86,031909;100,876725;98,129149;357,655189;113,804993;100,645327;124,212218;164,312591;87,817589;;91,418527;;203,876944;89,381947;173,569604;410,691485;128,653906;126,610667;73,037774;138,368197;81,982573;231,671137;119,04549;120,043279;106,757951;;116,068051;139,177018;102,770417;101,486557;145,073358;94,187201;;109,172639;;166,898302;95,966049;155,64471;93,825486;93,720162;121,884936;99,401053;153,670585;89,002639;89,837396;92,975828;81,043441;133,429819;78,737578;59,03872;78,204256;78,595733;89,757844;73,813278;210,905986;103,868175;96,092815;89,689468;89,134095;86,518074;97,340435;93,57935;95,526363;78,412989;162,064341;120,678539;149,607822;105,079029;180,272495;216,609631;109,310624;97,30012;114,634306;100,162137;115,434408;117,266966;104,212988;414,640015;175,761653;208,1233;95,100089;130,46133;107,868981;102,600958;138,64911;111,631745;118,418222;215,811034;178,109898;142,119366;104,808918;103,231973;90,846809;124,924134;148,679651;73,617398;99,906924;89,924572;119,86283;75,182002;201,246037;137,657662;108,416441;87,399086;130,097371;130,938673;103,416095;73,231819;78,447881;245,832293;166,519005;107,998127;86,303419;172,611532;96,829219;94,696431;112,862105;108,161342;85,038291;30,391982;139,159908;111,007831;286,806799;;74,807122;151,859696;123,588873;164,485355;87,565346;182,691928;109,200234;170,215077;82,851801;141,010523;83,060606;77,198458;114,879898;67,554658;216,268343;116,736397;153,503156;47,240723;107,62337;41,433103;102,789323;119,019678;92,88159;97,635763;123,35273;61,943463;78,110349;86,141405;123,521113;22,455931;199,848787;123,103696;;147,26729;126,130482;;76,659457;70,229551;94,387405;96,741701;72,836553;161,648079;103,539351;114,117804;114,093005;99,311358;110,513281;99,284804;99,28481;97,27833;97,667855;110,327884;115,635529;99,612339;;102,445447
2012-07-01;123,823332;625,111813;131,587478;91,505143;104,940985;106,141732;92,838032;104,973307;116,86887;92,457216;92,661131;121,840105;100,681803;112,496802;139,059289;98,616406;85,125646;107,154461;82,270105;;95,002159;98,95492;159,020992;88,395223;92,235355;121,241415;88,099623;110,016762;109,067828;100,473662;86,41489;96,222444;86,994084;100,474799;98,712284;356,41089;113,965347;100,461945;124,582592;162,069443;87,288414;;91,089934;;208,402256;87,236981;173,013546;412,596014;129,24969;126,164236;71,877345;138,493089;81,611443;235,132698;119,307131;120,187501;105,698782;;116,033929;138,03968;102,42146;101,752913;143,347004;92,712293;;108,695816;;171,459652;96,218663;153,809661;94,212904;92,964812;125,685979;99,251198;151,180442;88,816264;89,614326;93,522343;81,010542;133,066703;78,590014;59,492909;78,468022;74,481816;87,859461;73,898961;208,729451;103,828894;95,777045;89,615107;89,495255;85,980988;96,420488;94,082853;95,050817;78,379906;162,034542;117,929367;150,422513;103,229132;178,194247;209,714692;107,7513;95,931192;113,86344;99,821181;113,613199;115,8885;103,616231;418,780939;165,577807;200,732296;93,59247;128,869806;108,162693;102,062079;136,357681;112,015514;119,146487;214,329489;172,610651;141,864812;104,069419;103,531837;91,987196;123,655854;148,243549;73,229837;99,350595;89,785773;119,997006;76,028316;198,104768;137,348217;107,397836;85,056885;128,744334;130,904033;103,490131;72,518341;78,038113;243,90929;166,948709;109,179803;86,027239;167,710008;96,692586;92,302137;112,187936;108,496255;84,704652;29,520451;138,125738;111,006083;288,443188;;77,393115;153,712082;122,384619;162,146115;87,779421;182,574426;109,752291;168,275735;83,373557;140,294944;84,059792;77,396609;112,166391;65,224146;204,261986;113,620972;154,444484;48,356274;108,166159;40,625676;102,676165;116,415511;92,042772;98,189859;123,077298;60,264257;77,400966;86,360002;124,06952;22,321237;198,01969;122,519102;;147,492419;125,511749;;76,994977;70,149767;94,919893;97,025938;73,402033;161,116879;102,711542;114,23731;113,812837;99,469445;110,296162;99,869803;99,869808;98,388356;98,959935;110,542636;115,580623;98,998289;;102,277513
2012-08-01;122,817394;627,079736;132,400176;91,066371;103,896574;107,457139;92,575336;104,829136;116,622987;91,998946;93,02251;123,28035;102,354722;112,047475;137,411185;98,69982;85,440635;107,265924;82,803538;;95,177759;99,155938;157,396751;88,514344;90,533656;102,407772;88,904282;110,881778;108,946202;100,210136;87,125852;96,187858;88,095009;100,150203;99,619605;355,42871;112,126227;100,215382;124,553021;157,472933;86,590907;;90,712509;;213,180862;85,490216;176,653296;414,183285;130,184667;127,863931;70,622188;138,602673;80,946289;238,416377;118,846186;119,846397;104,561131;;116,092357;137,009614;102,217582;101,943506;142,035626;91,858345;;108,516631;;174,459981;96,115814;152,100975;93,948341;92,401813;129,222063;98,683595;149,212765;88,445074;89,649481;94,165798;81,152339;132,308753;78,316446;59,959224;78,147185;121,63673;84,443198;73,784086;206,823982;104,505037;95,566957;89,523527;89,870674;85,596399;95,858822;94,676821;95,102755;77,98693;160,236127;115,211927;152,559908;101,581991;176,178967;202,312029;106,184666;94,321156;113,078529;99,337389;111,332685;113,041235;103,031354;422,382649;155,970397;193,695598;91,947191;128,620475;108,184476;101,496063;134,217428;112,126025;118,739147;212,42643;168,439271;141,001714;103,580893;103,621628;92,855658;122,606036;148,775132;72,903564;98,358571;89,458209;120,197308;77,060102;194,891922;137,095482;105,888878;83,244418;127,485653;130,661397;103,528962;71,328422;76,977835;239,718765;172,1049;110,691215;85,773369;163,192299;96,529123;90,089919;111,749939;108,973379;84,595485;28,728738;135,914637;110,08027;289,421755;;80,996883;154,180398;121,082181;160,202405;88,046192;181,326755;109,93141;166,328481;84,422443;139,500399;84,733832;77,595507;110,580134;63,122731;191,882555;107,76573;154,245443;49,531023;108,861164;40,319924;102,34734;113,745587;91,432919;98,85172;122,500935;58,71088;76,505451;86,182386;124,909269;64,040447;196,281046;120,926305;;147,575083;124,35523;;77,573268;70,507353;95,688204;97,359021;75,154153;160,67404;102,028028;114,293577;112,393218;100,390367;110,034988;100,434645;100,434649;99,061748;99,710195;110,311937;115,640996;98,440181;;102,225164
2012-09-01;122,190629;626,09261;132,419768;90,864955;103,193632;108,729928;92,238561;105,065896;116,421091;91,637454;93,333187;124,247647;103,833099;111,678167;135,898394;98,838525;85,958791;107,374709;83,026729;;95,30711;99,48458;155,085087;88,56954;89,289806;102,383737;89,796177;111,496855;108,567886;99,78039;87,624747;96,262755;89,272097;99,952431;100,601267;354,914571;108,615551;99,992777;124,205413;152,658711;85,80146;;90,346756;;216,483275;84,753929;183,514439;414,813882;130,74741;131,65322;69,232671;138,537894;79,957898;241,194679;117,797508;119,020912;103,70148;;116,626778;136,175474;102,18521;101,999892;141,19629;92,023598;;108,504265;;174,887908;95,816075;150,341968;92,778907;92,073588;131,638194;97,815778;148,655875;88,118195;89,642223;94,676782;81,474757;131,207283;77,940541;60,457625;77,953273;118,799399;81,583421;73,512572;205,364958;105,596982;95,561712;89,445035;90,032855;85,316305;95,683621;94,919942;95,566498;77,374475;157,743296;112,671767;155,801059;100,17934;174,193356;194,272653;104,631828;92,742643;112,280848;98,514929;108,892096;109,551034;102,561485;425,879801;147,854865;187,660667;90,283902;129,551904;107,881739;100,917336;132,300213;112,026641;117,375785;208,258591;165,689764;139,50672;103,254156;103,165546;93,038324;121,970327;150,18645;72,659892;96,947153;88,981304;120,071983;78,352964;191,526102;136,966282;104,038516;82,290995;126,113034;130,20917;103,475693;70,083497;75,493886;233,695887;178,878029;113,717135;85,644998;158,627555;96,360833;88,577915;111,747521;109,724223;84,857728;28,032269;132,8044;108,598896;289,070796;;84,972144;152,859589;119,504724;159,158932;88,450574;179,170261;109,462659;164,829854;85,532894;138,659742;84,961239;77,791377;110,140801;61,569411;180,575651;100,457591;152,843606;50,708617;109,531577;41,048949;101,208178;110,854596;90,51848;99,045282;121,527458;57,355039;75,503906;85,685636;126,222369;61,372551;194,857007;118,858111;;147,416769;122,681252;;78,299648;70,863573;96,61459;97,773361;77,700241;160,303334;101,534902;114,214408;110,478268;101,751939;109,722612;100,912953;100,912956;99,335362;99,942585;109,536321;115,669032;97,946417;;102,126923
2012-10-01;121,937867;621,468882;131,146929;90,623451;103,033985;109,705915;91,867805;105,592624;116,257805;91,368082;93,493349;124,430403;104,761671;111,470473;134,657845;99,006465;86,450816;107,135542;82,882936;;95,342124;99,92271;152,141482;88,576227;88,989739;102,376174;90,658042;111,504349;108,051943;99,25077;87,854022;96,127502;90,508468;99,921346;101,181386;354,891856;104,16939;99,846543;123,901305;149,024378;85,060643;;90,053316;;217,688937;85,277848;190,609879;414,943752;130,092147;136,740724;67,864132;138,334037;78,740143;243,747922;116,35842;117,901707;103,374051;;117,799514;135,606411;102,263317;101,883981;141,657788;93,27177;;108,355612;;173,237284;95,495679;148,733331;90,863229;92,003995;132,291195;96,655348;149,751386;87,898356;89,208871;94,937602;81,905354;129,863333;77,509514;60,971187;78,609584;116,713319;80,33886;73,140825;204,266292;106,522326;95,796339;89,404279;89,782771;85,048381;95,74436;94,644952;96,22845;76,70145;154,981061;110,382802;159,763903;99,048167;172,357238;184,92722;103,144614;91,209285;111,528139;97,428773;106,988484;106,030703;102,277507;429,094258;142,410989;182,697515;88,816736;131,200996;107,323334;100,303143;130,764659;111,532302;115,773541;201,558715;163,799153;137,46274;102,86113;101,980318;92,195712;121,687869;152,055001;72,555313;95,358865;88,520386;119,386248;79,950742;188,245157;136,962053;102,03997;81,933481;124,703563;129,790188;103,355848;69,28963;74,14809;227,03497;185,319575;118,284919;85,704957;154,334317;96,174986;87,756287;111,684523;110,713298;85,652813;27,595384;129,507681;107,157076;287,544507;;88,857732;150,18799;117,586448;159,284163;88,959928;176,784041;108,518;163,677516;86,549866;138,393728;84,733931;77,955165;110,454989;60,706173;171,697458;93,39379;150,521351;51,476502;110,052361;42,615657;99,563191;108,072879;89,031032;98,573941;120,354076;56,274151;74,533792;85,100337;128,038407;57,596884;193,64621;116,834323;;147,002849;120,749749;;78,871203;70,894238;97,707955;98,131776;80,329336;160,03107;101,287;114,014882;108,70162;103,219977;109,384253;101,270171;101,270172;99,96019;100,430641;108,316482;115,626825;97,570788;;101,902114
